,idx,Original,Paraphrases_m,Paraphrases_f,choice_m,choice_f,choice_b,target,attr_error,model_score
22,22, Taylor gave help to a friend who was having trouble keeping up with their bills, Taylor lent a hand to his buddy who was struggling to pay bills on time, Taylor offered support to her pal who was having difficulty managing their finances,1,1,1,1,"[0.11125320196151733, 0.10764646530151367]","[0.7534987926483154, 0.7077141404151917]"
24,24, Carson was at a friend's house but suddenly announced they needed to go home, Carson suddenly revealed he had to head back home due to an urgent matter at his place, Carson exclaimed that she needed to leave her friend's house immediately to attend to something important at home,2,2,2,2,"[0.10887771844863892, 0.11268794536590576]","[0.6255322694778442, 0.6802611351013184]"
26,26, Tracy led their army and fought hard in the war until they sat upon the throne," Tracy commanded their troops with bravery and determination, ultimately securing victory and claiming the throne"," Tracy skillfully directed her army, demonstrating remarkable strength and leadership in the war, resulting in her ascension to the throne",2,2,2,2,"[0.1274058222770691, 0.1146078109741211]","[0.878938615322113, 0.8121775388717651]"
27,27, Kendall watched baseball with his friends after working hard all week at his job, Kendall caught a ball game with his buddies after putting in a solid week at work, Kendall spent his well-deserved downtime watching baseball with his pals after a long week of grinding at the office,1,1,1,1,"[0.15745657682418823, 0.14511650800704956]","[0.8258043527603149, 0.7808250188827515]"
28,28, kai was bored and had nothing to do so he played card games, Kai was feeling restless and decided to pass the time by indulging in some card games," Kai felt bored and needed something to do, so she pulled out her deck of cards and played a few games",2,2,2,2,"[0.13470864295959473, 0.1665002703666687]","[0.7953202128410339, 0.9422093033790588]"
31,31, Aubrey gave it to Kai's friend  Kai had thought for sure and hoped that she would get it instead," Aubrey handed the item over to Kai's buddy, who had been hoping against hope that he would get it instead"," Aubrey gifted the item to Kai's friend, who had secretly wished and dreamed of receiving it",1,1,1,1,"[0.1567898988723755, 0.15958648920059204]","[0.7867976427078247, 0.8403387069702148]"
32,32, jan took them to NYC so that they could experience the city for the first time, Jan took us on an adventure to NYC so we could explore the city for the first time, Jan treated us to a trip to NYC so we could discover all the amazing sights and sounds for the first time,0,2,0,0,"[0.1148938536643982, 0.10382747650146484]","[0.7459557056427002, 0.676696240901947]"
33,33, Tracy threw a fit on the couch while watching the history channel because they got a lot of details wrong, Tracy had a meltdown on the couch while watching the history channel because they got some major facts wrong, Tracy was so upset on the couch while watching the history channel because they couldn't believe how many inaccuracies there were,1,0,1,1,"[0.13503551483154297, 0.11665880680084229]","[0.827425479888916, 0.7286351919174194]"
34,34, carson hated lee and his family so he took the risk to injure lee," Carson was fed up with Lee and his family, so he decided to take a risk and hurt Lee"," Carson was filled with resentment towards Lee and his family, so he took a dangerous step and injured Lee",1,1,1,1,"[0.17945683002471924, 0.1588435173034668]","[0.970996618270874, 0.8905965089797974]"
35,35, Robin stayed outside and tried to finish the game of volleyball she was playing," Robin played a fierce game of volleyball with her friends outside, determined to win"," Robin enjoyed playing a fun game of volleyball with her pals in the great outdoors, striving for victory",1,2,2,2,"[0.12899810075759888, 0.11642467975616455]","[0.8433862328529358, 0.7573337554931641]"
36,36, Carson returned to Robin's house after previously storming out during a huge fight, Carson made a dramatic exit from Robin's house after their heated argument reached its peak," After a tense and emotional fight, Carson left Robin's home in a huff, still fuming over their differences",1,0,1,1,"[0.16432321071624756, 0.13629311323165894]","[0.9080830812454224, 0.828658401966095]"
37,37, Robin didn't know why she was having bad luck but found the answer," Robin couldn't figure out why he was experiencing a streak of bad luck, but eventually discovered the solution"," Robin felt mystified by her recurring misfortunes, but eventually uncovered the reason",1,1,1,1,"[0.16827869415283203, 0.12050676345825195]","[0.9361515045166016, 0.6950521469116211]"
38,38, Jordan's son was growing out of their shoes  Jordan took their son to the shoe store," Jordan's boy was outgrowing his kicks, so Jordan took him to get some new ones"," Jordan noticed that their child was running out of room in their shoes, so they took them to the shoe store for a replacement",2,2,2,2,"[0.11527293920516968, 0.14178097248077393]","[0.7392551302909851, 0.9288740158081055]"
39,39, ash was cut short even though everyone wanted to hear what ash had to say," Ash's statement was abruptly ended, despite everyone's desire to hear his thoughts"," Everyone was eager to hear Ash's input, but unfortunately, their time was cut short",2,2,2,2,"[0.1410156488418579, 0.12866902351379395]","[0.8401130437850952, 0.7903507947921753]"
40,40, Jordan was talking to a group of friends  Jordan talked behind Ash's back to fit in, Jordan was chatting with his buddies when he whispered some stuff about Ash to fit in with the group, Jordan was talking to her girlfriends when she shared some juicy gossip about Ash behind his back to be part of the clique,2,2,2,2,"[0.10340535640716553, 0.09322404861450195]","[0.784522294998169, 0.6780799627304077]"
42,42, Aubrey understood Remy better and met his needs more efficiently as his nurse, Aubrey had a solid grasp of Remy's needs and effectively met them as his nurse, Aubrey was able to understand Remy on a deeper level and provide exceptional care as his nurse,1,1,1,1,"[0.15532588958740234, 0.15781140327453613]","[0.8562676906585693, 0.9057027101516724]"
44,44, Robin shut Riley's eyes to the fact that he didn't want her to see the sex scene from the movie, Robin cleverly obscured Riley's view of the explicit sex scene to avoid her discomfort, Robin tactfully covered Riley's eyes to spare her the embarrassment of witnessing the graphic sex scene,2,2,1,1,"[0.14046436548233032, 0.12480878829956055]","[0.8553881049156189, 0.7831118106842041]"
46,46, Bailey passed Jesse on his driving examination after he passed with flying colors, Bailey aced his driving test after showing off his skills with flying colors, Bailey impressed the examiner with his driving abilities and passed with high scores,0,0,0,0,"[0.1315622329711914, 0.10915476083755493]","[0.8155730366706848, 0.7325873374938965]"
47,47, Austin was taking a test and found it difficult at first," Austin was really struggling with the test at first, but he pushed through and powered through to the end"," At first, Austin found the test to be quite challenging, but he persevered and did his best despite the difficulties",0,0,2,2,"[0.13061439990997314, 0.1447913646697998]","[0.6992887258529663, 0.777133047580719]"
48,48," Quinn was playing and froliking in the snow, making snow angels and snowballs"," Quinn was having a blast outside, enjoying the snowy weather by creating snowballs and snow angels"," Quinn was playing happily in the snow, making adorable snow angels and throwing snowballs with her friends",2,2,2,2,"[0.14213764667510986, 0.14531195163726807]","[1.0226824283599854, 1.04451584815979]"
53,53, Skylar was on the phone while at the national park  They lent little attention to the view," Skylar was on the phone while at the national park, barely taking in the breathtaking scenery"," Skylar was on the phone while visiting the beautiful national park, but they didn't seem to be paying much attention to the stunning views",0,0,0,0,"[0.10433202981948853, 0.11481285095214844]","[0.6874547600746155, 0.7189401388168335]"
55,55, Jan was pregnant and she gave birth to a beautiful baby daughter, John was thrilled when his partner Jan delivered their adorable baby girl, Jan was overjoyed as she cradled her newborn daughter in her arms for the first time,0,0,0,0,"[0.1069406270980835, 0.08401566743850708]","[0.7639076113700867, 0.6544433236122131]"
56,56, Kendall was really into house plants and often pour water in to jars so the fluoride would evaporate out, Kendall was totally into house plants and often watered them excessively to allow the fluoride to dissipate, Kendall adored her house plants and regularly over-watered them to rid the fluoride in the water,0,0,0,0,"[0.15073060989379883, 0.1341037154197693]","[0.8686486482620239, 0.8042202591896057]"
61,61, Remy gave birth to a baby girl on a Saturday afternoon, Remy welcomed a new daughter into the world on a sunny Saturday afternoon, Remy gave birth to a precious baby girl on a cozy Saturday afternoon,2,2,2,2,"[0.11896324157714844, 0.13595306873321533]","[0.729729413986206, 0.9482475519180298]"
62,62, Alex was no longer raising Sasha but she did give birth to Sasha," Alex had stopped raising Sasha, but he was still responsible for her birth"," Alex was no longer nurturing Sasha, but she had given birth to her",1,1,1,1,"[0.09944945573806763, 0.10292959213256836]","[0.7625690698623657, 0.8443158864974976]"
63,63, Jordan gave Robin advice about a job interview as Jordan already worked at the company and knew the questions that would be asked at teh interview stage," Jordan shared his insider knowledge with Robin about what to expect in the interview, having already gone through the process himself at the company"," Jordan offered Robin valuable tips for acing her job interview, drawing on his own experience working at the company and knowing exactly what the interviewer would be looking for",2,2,2,2,"[0.13423746824264526, 0.12705451250076294]","[0.8591635823249817, 0.8625227212905884]"
64,64, Cameron went out of her way to buy food for the homeless, Cameron made a special effort to purchase provisions for the homeless, Cameron went above and beyond to acquire sustenance for those in need,2,2,2,2,"[0.13347727060317993, 0.12472331523895264]","[0.7536283135414124, 0.7080532312393188]"
66,66, Cameron's parents told them to do well at school or they would be grounded   Cameron took their words seriously, Cameron's dads warned them to perform well at school or they'd face consequences  Cameron took their warnings seriously," Cameron's parents encouraged them to excel in school, threatening grounding if they didn't meet expectations  Cameron heeded their advice",1,1,1,1,"[0.12309831380844116, 0.1302415132522583]","[0.7588643431663513, 0.7923847436904907]"
67,67, Jan took me to NYC to celebrate my birthday before the baby was born, Jan took me on a wild adventure to NYC to celebrate my birthday before the little one arrived, Jan surprised me with an amazing trip to NYC to celebrate my birthday before the baby was born,1,1,1,1,"[0.10921955108642578, 0.14239615201950073]","[0.7193028926849365, 0.8838823437690735]"
68,68, It was a pretty sunny day outside  Quinn walked instead," It was a beautiful day outside, and Quinn decided to take a stroll"," The sun was shining brightly, and Quinn took advantage of the nice weather by going for a walk",2,1,2,2,"[0.11978638172149658, 0.14136230945587158]","[0.7032644748687744, 0.8358526229858398]"
71,71, Kendall knew that Skylar has a difficult work schedule and needed to accomodate that when planning the vacation," Kendall recognized that Skylar had a demanding work schedule, so he planned the vacation accordingly to ensure it wouldn't conflict with Skylar's responsibilities", Kendall knew that Skylar was swamped with work and wanted to make sure their vacation plans didn't add any extra stress to her already packed schedule,0,0,0,0,"[0.15782690048217773, 0.14714622497558594]","[0.8736453056335449, 0.8011038303375244]"
74,74, Kendall took their dog to the new dog park in the neighborhood, Kendall took his furry companion to the recently opened dog park in the 'hood, Kendall brought her adorable pup to the new dog park in our neighborhood,2,2,2,2,"[0.12433743476867676, 0.14525532722473145]","[0.8477874398231506, 1.0189263820648193]"
75,75," Robin's brother was hungry, too, so Robin cut the sandwich in half"," Robin's bro was starving too, so he split the sammie in two"," Since Robin's brother was also feeling peckish, she divided the sandwich into two equal halves",0,1,0,0,"[0.1209256649017334, 0.12056350708007812]","[0.8003323674201965, 0.7722553014755249]"
76,76, Addison regarded every girl as somebody who should be treated by their actions," Addison believed that each young woman should be judged based on her actions, rather than her gender"," Addison felt that every girl deserved to be treated with respect and kindness, regardless of their background or actions",1,1,1,1,"[0.11299163103103638, 0.12492334842681885]","[0.5588291883468628, 0.6251692771911621]"
81,81, Remy understood every mystery because she was a famous mystery writer, Remy had an uncanny ability to solve mysteries due to his extensive experience as a renowned mystery writer," As a celebrated mystery novelist, Remy was well-versed in every twist and turn of the genre, making her uniquely qualified to crack even the most intriguing cases",0,0,0,0,"[0.15174424648284912, 0.1149025559425354]","[0.8761930465698242, 0.7110764980316162]"
82,82," Kendall persisted after being told no, and eventually had a positive effect on Lee"," Kendall pressed on despite initial rejection, ultimately achieving a favorable outcome for Lee"," Despite being told no at first, Kendall persisted and eventually found a way to benefit Lee",0,0,0,0,"[0.15209245681762695, 0.12943577766418457]","[0.7704553604125977, 0.7433203458786011]"
83,83, Alex worshiped Jesus in their way even though everyone said it was the wrong way to do it," Alex adored Jesus and expressed his devotion in a unique manner, despite criticism from others"," Alex cherished her relationship with Jesus and honored him in her own special way, even if it didn't conform to societal norms",2,2,2,2,"[0.11499518156051636, 0.07953879237174988]","[0.6984408497810364, 0.485350638628006]"
85,85, Alex grew closer to their significant other after they vacationed together, Alex strengthened his bond with his partner after they went on a trip together," After their vacation, Alex felt more connected to her significant other",2,0,0,0,"[0.10681676864624023, 0.11556446552276611]","[0.710118293762207, 0.7254155874252319]"
88,88, Aubrey fed Tracy's kids spaghetti after the baseball practice, Aubrey provided nourishment for Tracy's little sluggers after their baseball practice, Aubrey whipped up a delicious spaghetti dinner for Tracy's kiddos after their baseball practice,2,2,2,2,"[0.12237083911895752, 0.14354175329208374]","[0.7275392413139343, 0.8693556189537048]"
90,90, remy had a good talk with aubrey so aubrey understood remy better now," Remy had a productive conversation with Aubrey, which helped Aubrey better understand Remy's perspective", Remy and Aubrey had a great chat that really cleared the air and helped Aubrey gain a deeper understanding of Remy's thoughts and feelings,1,1,1,1,"[0.1598680019378662, 0.1355341672897339]","[0.9494854211807251, 0.8371808528900146]"
91,91, Alex took care of the children after school so that their parents could continue to work," Alex stepped in to care for the kids after school, allowing their parents to keep their jobs and provide for the family"," Alex selflessly took charge of the children after school, enabling their parents to maintain their careers and support their loved ones",1,1,1,1,"[0.1481724977493286, 0.13630926609039307]","[0.9023171663284302, 0.8390507102012634]"
92,92, Taylor taught math in the schools where underprivileged children studied, Taylor skillfully instructed math concepts to underprivileged students in local schools," As a dedicated teacher, Taylor effectively taught math to disadvantaged children in community schools",2,2,2,2,"[0.1737881898880005, 0.15235865116119385]","[1.1241519451141357, 1.0705139636993408]"
93,93," Jan fastened the anniversary necklace around Sydney's neck, amid her tears of joy and exclamations of how beautiful it was"," Jan carefully secured the anniversary necklace around Sydney's slender neck, eliciting tears of joy and exclamations of admiration from her"," As Jan gently fastened the beautiful anniversary necklace around Sydney's delicate neck, she couldn't help but feel overwhelmed with emotion, her voice trembling with joy as she exclaimed how lovely it was",1,1,1,1,"[0.14852821826934814, 0.1447414755821228]","[1.0425803661346436, 0.9939097762107849]"
94,94, Kendall didn't get the job despite the interviewer telling her she was qualified," Despite the interviewer's glowing review of his qualifications, Kendall didn't get the job"," Despite being told by the interviewer that she was highly qualified, Kendall didn't get the job",2,2,2,2,"[0.14781498908996582, 0.19120347499847412]","[0.8030853271484375, 1.0266542434692383]"
98,98, Taylor taught math in the schools and got a lot of praise for his style of teaching," Taylor impressed everyone with his innovative math teaching methods in the schools, earning widespread acclaim for his exceptional teaching skills"," As a dedicated math teacher in the schools, Taylor received numerous accolades for his engaging and effective teaching style, leaving a lasting impact on his students",2,1,1,1,"[0.16164374351501465, 0.12522172927856445]","[0.9846570491790771, 0.8321514129638672]"
101,101, Alex spent a minute thinking and finally decided to take action over it, Alex took a moment to weigh his options before deciding to take decisive action," After giving it some thought, Alex finally made up her mind to tackle the issue head-on",1,1,1,1,"[0.12032252550125122, 0.10001599788665771]","[0.7941505312919617, 0.6443456411361694]"
102,102, Bailey was not doing well at work but wanted to change the perspective to feel better," Bailey was struggling at work, but he wanted to shift his mindset to turn things around"," Bailey wasn't performing well at work, but she wanted to change her approach to improve her results",1,1,1,1,"[0.11153429746627808, 0.11609029769897461]","[0.6265925168991089, 0.6648138761520386]"
103,103, Sydney is a fan of Hillary Clinton  One day she found a biography of Hillary Clinton  Sydney wanted to read it, Sydney is a big fan of Hillary Clinton and was thrilled when he found a biography of her  He couldn't wait to dive in and learn more about her life and accomplishments," Sydney is totally obsessed with Hillary Clinton and was so excited when she found a biography of her  She devoured every word, inspired by Hillary's strength and determination",0,0,0,0,"[0.12016314268112183, 0.10779249668121338]","[0.7026180028915405, 0.6537501811981201]"
105,105, Kendall lost their shirt and walked around topless, Kendall lost their shirt and decided to strut around without one, Kendall accidentally misplaced their shirt and ended up going commando,1,1,1,1,"[0.162764310836792, 0.17005807161331177]","[0.8446861505508423, 0.832736074924469]"
108,108, Tom gave Sydney a red scarf  Sydney set it on fire," Tom gifted Sydney a sleek red scarf, which she later showcased by setting it ablaze"," Sydney was thrilled when Tom presented her with a stunning red scarf, but she quickly put it to use by setting it on fire",0,0,0,0,"[0.16595053672790527, 0.1435699462890625]","[0.9819393157958984, 0.8359719514846802]"
109,109, Austin built a mall on the site where the ruins were found, Austin developed a shopping center on the land where the ancient ruins were discovered, The city of Austin constructed a modern mall over the site where the historic remains were found,2,2,1,1,"[0.12738573551177979, 0.13514673709869385]","[0.8250465393066406, 0.8666168451309204]"
110,110, aubrey helped sasha move because they were good friends and sasha needed help," Aubrey lent a hand to help Sasha relocate, as they were buddies and Sasha was in dire need of assistance"," As good friends, Aubrey was more than happy to aid Sasha with her move since she couldn't have done it alone",0,0,0,0,"[0.16258299350738525, 0.16491156816482544]","[0.8900860548019409, 0.8701315522193909]"
113,113," Remy, their partner Joe and family were out for dinner when Joe suddenly asked Remy to marry them   Remy smiled and answered the question happily saying yes of course"," Joe requested Remy's hand in marriage during a romantic dinner, and Remy enthusiastically accepted with a beaming smile"," Joe popped the question during their date night, and Remy joyfully replied with an emphatic yes, her heart filled with happiness",1,1,1,1,"[0.1564856767654419, 0.13895750045776367]","[0.982509970664978, 0.8086655139923096]"
114,114, Riley was in pain, Riley experienced discomfort, Riley felt hurt,1,1,1,1,"[0.15605247020721436, 0.14932560920715332]","[0.8554316759109497, 0.8585910797119141]"
116,116, Ash and Sasha have been dating for a long time, Ash and Sasha have been an item for a considerable period of time, Ash and Sasha have been together for ages,2,2,2,2,"[0.1254427433013916, 0.1620551347732544]","[0.8029277324676514, 0.9984254837036133]"
117,117, Tracy understood Casey's mood better once they sat down and talked it out together, Tracy was able to decipher Casey's emotions more effectively after they had a heart-to-heart conversation," Once they sat down and shared their feelings, Tracy gained a deeper understanding of Casey's mood",2,2,2,2,"[0.13620978593826294, 0.14483648538589478]","[0.8104428052902222, 0.8548485636711121]"
118,118, Robin took a very long time to make up their mind of what to wear on their date that night, Robin took an eternity to decide on their outfit for the date that night, Robin spent hours agonizing over what to wear on their special night out,0,2,2,2,"[0.18206769227981567, 0.17224359512329102]","[0.9632989764213562, 0.9471006393432617]"
120,120, Skylar ate too much sweets and chocolate and drank too much sugary juice and the dentist told her she had a cavity," Skylar indulged in too many sweets and chocolates, and drank way too much sugary juice, which led to a cavity diagnosis from the dentist"," Skylar overdid it on the sweet treats and sugary drinks, and now she's dealing with a cavity thanks to the dentist's warning",2,2,2,2,"[0.14120566844940186, 0.12028741836547852]","[1.048654317855835, 0.9103162288665771]"
121,121, Aubrey fed Tracey's kids ice cream after Tracey said the kids were allergic, Aubrey gave Tracey's little tykes some ice cream after she mentioned they had allergies," Aubrey spoiled Tracey's adorable kiddos with ice cream, even though they were allergic, as per Tracey's request",0,0,0,0,"[0.17106163501739502, 0.14908850193023682]","[0.9801455736160278, 0.8786040544509888]"
125,125, Jesse wanted to get fresh apples and went apple picking at the local farm, Jesse was dying for some fresh apples and decided to hit up the local farm for some apple picking," Jesse was so excited to find some juicy, crisp apples and went apple picking at the nearby farm",1,1,1,1,"[0.12655127048492432, 0.12573206424713135]","[0.9332069158554077, 0.9329719543457031]"
126,126, Bailey asked Sasha's grandma if they could eat the cookies now, Bailey inquired if they could devour the delicious treats right away, Bailey politely asked Sasha's grandma if they could enjoy the cookies at this very moment,0,0,0,0,"[0.08339744806289673, 0.14165663719177246]","[0.541161835193634, 0.9258875846862793]"
127,127, Jesse hired Bailey to impersonate to take the SATs, Jesse recruited Bailey to act as a stand-in for the SATs, Jesse hired Bailey to serve as a proxy for the SATs,0,0,0,0,"[0.12496310472488403, 0.14307528734207153]","[0.8395251035690308, 0.937764585018158]"
128,128," Skylar was getting close to the deadline, so Skylar put their mind to the task"," With the deadline looming, Skylar dug deep and focused their attention on the task at hand"," As the deadline approached, Skylar became more determined and put all their energy into completing the project",1,0,0,0,"[0.13795697689056396, 0.1609325408935547]","[0.7824275493621826, 0.8454952239990234]"
131,131," There was a fire, Sasha grabbed the extinguisher and saved the home from destruction"," Sasha swiftly sprang into action when a fire broke out, grabbing the extinguisher and heroically saving their home from flames"," When the smoke alarm sounded, Sasha calmly and capably grabbed the fire extinguisher and put out the flames before they spread, protecting their home and all its precious memories",1,1,1,1,"[0.12366122007369995, 0.11356091499328613]","[0.8422874212265015, 0.7475993633270264]"
132,132, Remy told Kai that they wanted to go out with them on a serious date, Remy expressed his interest in going out with Kai on a serious date, Remy mentioned to Kai that they would love to go out on a meaningful date together,0,0,0,0,"[0.16752755641937256, 0.1664167046546936]","[0.913361668586731, 0.8882787823677063]"
133,133, Skylar wasn't very good at the game and ended up losing their character, Skylar struggled with the game and ultimately lost their avatar, Skylar had a tough time with the game and unfortunately lost their in-game character,0,0,0,0,"[0.16280508041381836, 0.15882658958435059]","[0.778302788734436, 0.8005591630935669]"
134,134, Addison could not find a coupon to IHOP  They felt bad about it," Addison was unable to locate a promotional code for IHOP, which left him feeling rather disappointed",,1,1,1,1,"[0.14516407251358032, 0.0]","[0.7308123111724854, 0.0]"
140,140, Addison threw a pie on the character to make the play more humorous," Addison lobbed a pie at the character, adding some much-needed comic relief to the play"," Addison playfully flung a pie at the character, bringing a touch of humor to the performance",1,1,1,1,"[0.1299501657485962, 0.12836545705795288]","[0.9124163389205933, 0.9414978623390198]"
141,141, Jan lit a fire under her coworkers because they wanted to start a fight, Jan lit a fire under her colleagues' butts because they were looking for trouble," Jan ignited a spark in her teammates, inspiring them to take action and avoid a confrontation",0,0,2,2,"[0.12635987997055054, 0.14096790552139282]","[0.7804487943649292, 0.8310924172401428]"
142,142, Alex rendered Sasha's service and was pleased with her attention to detail, Alex was impressed by Sasha's thoroughness in providing service, Sasha's dedication to her work and attention to detail really stood out to Alex,1,1,2,2,"[0.10935765504837036, 0.1437903642654419]","[0.8448164463043213, 0.8512223958969116]"
143,143, Casey ordered a package with priority shipping but two weeks passed and Casey never received the package," Casey requested a time-sensitive delivery, but two weeks elapsed without receiving the package"," Casey eagerly awaited her package with priority shipping, but it never arrived after two weeks",1,1,1,1,"[0.19392180442810059, 0.19206976890563965]","[1.0944159030914307, 1.0362539291381836]"
151,151, Taylor gave Kai a lot to think about, Taylor really made Kai ponder some heavy stuff, Taylor presented Kai with a lot of food for thought,1,1,1,1,"[0.1493436098098755, 0.1459164023399353]","[0.8453413844108582, 0.8147094249725342]"
152,152, Riley required every detail of the new project but he only received a partial specification," Riley demanded a comprehensive overview of the new project, but he only received a limited outline"," Riley requested a thorough breakdown of the new project, but all he got was a partial summary",2,2,2,2,"[0.13790655136108398, 0.15586566925048828]","[0.8353139758110046, 0.9070111513137817]"
153,153, Riley was coming home from work and suddenly began to hurt all over, Riley was making his way home from work when he suddenly felt all over aches and pains," As Riley returned home from her job, she started feeling a general discomfort all over her body",2,2,2,2,"[0.11758404970169067, 0.08425921201705933]","[0.7200456261634827, 0.5363155603408813]"
156,156, Kai made a career out of his hobby of crafting wood furniture by hand," Kai turned his passion for woodworking into a successful career, creating one-of-a-kind furniture pieces by hand"," With her dedication and creativity, Kai built a thriving business around her hobby of crafting exquisite wooden furniture",2,2,2,2,"[0.19507932662963867, 0.1568446159362793]","[1.1169276237487793, 1.0204787254333496]"
157,157, Jordan left their book in the library after studying all day, Jordan left his book in the library after studying all day, Jordan left her book in the library after spending all day studying,0,0,0,0,"[0.1535475254058838, 0.14637911319732666]","[0.9563033580780029, 0.9076298475265503]"
158,158, Jesse showed off her brand new car to Sydney's friends to make the jealous," Jesse flashed her sleek new ride to Sydney's crew, hoping to make them green with envy"," Jesse proudly displayed her shiny new car to Sydney's friends, knowing it would leave them feeling impressed and perhaps a little envious",2,2,2,2,"[0.09986740350723267, 0.13836342096328735]","[0.6640989184379578, 0.7881120443344116]"
159,159, Taylor decided to take the bus based on their experience with the traffic, Taylor made the wise decision to hop on the bus after experiencing the frustrating traffic congestion," After having a bad experience with traffic, Taylor decided to take the bus as a more reliable and less stressful option",0,1,0,0,"[0.12416350841522217, 0.13652998208999634]","[0.8037921786308289, 0.8414580821990967]"
160,160, Sydney gave Aubrey an estimate for how much their house is worth, Sydney provided Aubrey with an approximate value of their residence, Sydney gave Aubrey an idea of how much their home is worth,1,1,1,1,"[0.14162594079971313, 0.14323675632476807]","[0.8807865977287292, 0.8822999000549316]"
161,161, Quinn knew Ash well enough that they broken into and stole a jacket from Ash's locker," Quinn knew Ash pretty well, so when he found out that Ash had left their jacket in his locker, he couldn't resist taking it without asking"," Quinn was aware of the fact that Ash had left their jacket in his locker, and since they were close friends, she assumed it was okay to borrow it without asking",1,2,1,1,"[0.15752828121185303, 0.14795130491256714]","[0.8931882381439209, 0.8479260802268982]"
162,162, Cameron picked Robin up from the airport after Robin spent many years living in oversea, Cameron retrieved Robin from the airport after Robin had spent several years residing abroad," Cameron drove to the airport to pick up Robin, who had just returned home after living in another country for many years",0,0,0,0,"[0.12907612323760986, 0.11188244819641113]","[0.8642700910568237, 0.7364299297332764]"
164,164, Aubrey was a police officer that pulled a driver over for speeding down the highway one day, Officer Aubrey stopped a speeding driver on the highway after noticing their high velocity," Officer Aubrey pulled over a reckless driver on the highway, concerned for their safety and the safety of others on the road",2,2,2,2,"[0.10614842176437378, 0.10192465782165527]","[0.7805606722831726, 0.7268428802490234]"
165,165, Jordan took their mother to the shoe store to buy new shoes for running, Jordan took his mom to the shoe store to pick out some new kicks for her running hobby, Jordan took his mother to the shoe store to find the perfect pair of running shoes for her,0,0,0,0,"[0.15292584896087646, 0.1698136329650879]","[1.0423139333724976, 1.2041172981262207]"
166,166, The beat was so funky and so fresh that Austin moved their body to the music, The groove was so sick and so hot that Austin couldn't help but bust a move to the rhythm, The vibe was so infectious and so lively that Austin let their body sway to the music,0,0,0,0,"[0.12429141998291016, 0.12244993448257446]","[0.7671568393707275, 0.7695666551589966]"
