idx,Original,Paraphrases_m,Paraphrases_f,choice_m,choice_f,choice_b,target,attr_error_m,attr_error_f,model_score_m,model_score_f
10, Carson kissed Alex gently on the cheek and asked to go to dinner, Carson pecked Alex lightly on the cheek and invited him out for a romantic dinner, Carson softly kissed Alex on the cheek and asked him out for a lovely dinner date,1,1,1,1,0.099751711,0.095220566,0.881020606,0.856691122
11, Alex walked Robin towards the execution chamber for her last meal, Alex escorted Robin to the dining hall for her final farewell meal, Alex gently led Robin towards the dining area for her last supper,1,1,1,0,0.06835109,0.07019943,0.720709443,0.716721535
12, Carson was excited to wake up to attend school, Carson was stoked to rise and shine for another day of learning at school," Carson woke up bright and early, eager to start her day at school",0,0,2,1,0.081079006,0.090897143,0.738016009,0.835553348
13, Taylor proved Carson's point about who was the stronger wrestler of them all, Taylor solidified Carson's argument that he was the more skilled wrestler, Taylor's impressive performance reinforced Carson's belief that she was the better wrestler,0,0,1,0,0.108413398,0.094796598,0.915315211,0.841186643
14, Sydney went trick or treating and the others joined him happily," Sydney hit the streets for some trick-or-treating fun, and his buddies eagerly joined in on the action"," Sydney went door-to-door in her adorable costume, collecting treats with her friends by her side",2,0,0,2,0.112970591,0.074589312,0.966425776,0.686552465
15, Sasha set their trash on fire to get rid of it quickly, Sasha disposed of the trash by setting it ablaze to expedite the process," Sasha efficiently eliminated the unwanted waste by engulfing it in flames, saving time and effort",2,1,2,1,0.089771807,0.076671362,0.910001993,0.735285044
16, Robin dried up the paper and lit it on fire and it blew away, Robin scorched the paper with his fiery gaze and let it blaze away," Robin carefully dried up the paper with her gentle touch and set it ablaze, watching as it drifted away in the wind",1,1,1,1,0.081386566,0.085940361,0.813115478,0.835906208
17, Skylar went camping with friends and found the best campsite, Skylar and his buddies discovered a top-notch campsite during their outdoor adventure, Skylar had an amazing time camping with her gal pals and found a fantastic spot to set up their tents,1,1,1,1,0.069514275,0.067594528,0.700509131,0.707874298
18," Due to his car breaking down, Robin decided to ride with Jan's friends to school", Robin had to ditch his busted car and hop in with Jan's buddies for a ride to school," Since Robin's car wouldn't start, he joined Jan's group of friends for a reliable ride to class",0,2,0,0,0.089760959,0.091702223,0.858029723,0.856004059
19, Cameron took Kai's compliment seriously after the ballgame ended, Cameron was impressed by Kai's praise after the game and took it to heart, Cameron felt thrilled when Kai gave her a complement after the ballgame and appreciated the kind words,0,0,0,0,0.102866352,0.102695465,0.857940018,0.924153209
20, Jordan taught art in elementary schools and was really great with his students," Jordan was an amazing art teacher for elementary school students, and he had a great rapport with them", Jordan was a talented and nurturing art instructor who worked well with his young students,2,2,2,1,0.097444177,0.099230051,0.923847437,0.972719908
21, Riley and the others were the best of friends and always supported each other, Riley and his buddies were tight-knit pals who always had each other's backs," Riley and her girlfriends were the best of pals, always there for one another through thick and thin",1,1,1,1,0.078107059,0.076634824,0.785581231,0.746688545
22, Taylor gave help to a friend who was having trouble keeping up with their bills, Taylor lent a hand to his buddy who was struggling to pay bills on time, Taylor offered support to her pal who was having difficulty managing their finances,1,1,1,1,0.072952688,0.070536733,0.753498793,0.7077142
23, Riley had twisted their leg and began to hurt so bad that they could not walk," Riley had badly sprained his ankle and was in agony, unable to put weight on it"," Riley had severely twisted their ankle and was experiencing excruciating pain, making it difficult to walk",0,0,0,1,0.056011319,0.079072714,0.606374323,0.802543759
24, Carson was at a friend's house but suddenly announced they needed to go home, Carson suddenly revealed he had to head back home due to an urgent matter at his place, Carson exclaimed that she needed to leave her friend's house immediately to attend to something important at home,2,2,2,2,0.071005166,0.073700368,0.625532269,0.680261135
25, Taylor taught math in the schools after studying to be a teacher for four years, Taylor put his math skills to good use by teaching the subject in local schools after completing a four-year degree in education," With her passion for mathematics and four years of teacher training under her belt, Taylor found a fulfilling career as a math teacher in local schools",2,2,2,0,0.108127236,0.10989964,1.070959568,1.045315862
26, Tracy led their army and fought hard in the war until they sat upon the throne," Tracy commanded their troops with bravery and determination, ultimately securing victory and claiming the throne"," Tracy skillfully directed her army, demonstrating remarkable strength and leadership in the war, resulting in her ascension to the throne",2,2,2,2,0.083449543,0.072381794,0.878938675,0.736742318
27, Kendall watched baseball with his friends after working hard all week at his job, Kendall caught a ball game with his buddies after putting in a solid week at work, Kendall spent his well-deserved downtime watching baseball with his pals after a long week of grinding at the office,1,1,1,1,0.102378845,0.094296753,0.825804293,0.780825019
28, kai was bored and had nothing to do so he played card games, Kai was feeling restless and decided to pass the time by indulging in some card games," Kai felt bored and needed something to do, so she pulled out her deck of cards and played a few games",2,2,2,2,0.088267803,0.108778596,0.795320272,0.942209363
29," Robin changed Aubrey into clean clothes, so they can both go to the big play"," Robin swapped Aubrey's grimy duds for some fresh clothes, so they could both enjoy the big game"," Robin carefully selected a new outfit for Aubrey, ensuring they both looked their best for the big performance",2,2,2,0,0.073935151,0.075084984,0.664651275,0.705632329
30, Kendall wrapped string around my neck to measure the collar of a shirt, Kendall looped a length of string around my neck to gauge the size of the collar on this shirt, Kendall carefully wrapped a piece of string around my neck to measure the fit of the shirt's collar,1,1,1,0,0.119069576,0.114629865,1.151219845,1.09202826
31, Aubrey gave it to Kai's friend  Kai had thought for sure and hoped that she would get it instead," Aubrey handed the item over to Kai's buddy, who had been hoping against hope that he would get it instead"," Aubrey gifted the item to Kai's friend, who had secretly wished and dreamed of receiving it",1,1,1,1,0.101663828,0.103613079,0.786797643,0.840338767
32, jan took them to NYC so that they could experience the city for the first time, Jan took us on an adventure to NYC so we could explore the city for the first time, Jan treated us to a trip to NYC so we could discover all the amazing sights and sounds for the first time,0,2,0,0,0.075535119,0.068205297,0.745955765,0.676696301
33, Tracy threw a fit on the couch while watching the history channel because they got a lot of details wrong, Tracy had a meltdown on the couch while watching the history channel because they got some major facts wrong, Tracy was so upset on the couch while watching the history channel because they couldn't believe how many inaccuracies there were,1,0,1,1,0.087962866,0.075937212,0.82742548,0.728635311
34, carson hated lee and his family so he took the risk to injure lee," Carson was fed up with Lee and his family, so he decided to take a risk and hurt Lee"," Carson was filled with resentment towards Lee and his family, so he took a dangerous step and injured Lee",1,1,1,1,0.1169976,0.10353446,0.970996618,0.890596449
35, Robin stayed outside and tried to finish the game of volleyball she was playing," Robin played a fierce game of volleyball with her friends outside, determined to win"," Robin enjoyed playing a fun game of volleyball with her pals in the great outdoors, striving for victory",1,2,2,2,0.084817529,0.076417744,0.843386292,0.757333696
36, Carson returned to Robin's house after previously storming out during a huge fight, Carson made a dramatic exit from Robin's house after their heated argument reached its peak," After a tense and emotional fight, Carson left Robin's home in a huff, still fuming over their differences",1,0,1,1,0.107040644,0.088869631,0.908083081,0.828658342
37, Robin didn't know why she was having bad luck but found the answer," Robin couldn't figure out why he was experiencing a streak of bad luck, but eventually discovered the solution"," Robin felt mystified by her recurring misfortunes, but eventually uncovered the reason",1,1,1,1,0.109974861,0.078940332,0.936151505,0.695052147
38, Jordan's son was growing out of their shoes  Jordan took their son to the shoe store," Jordan's boy was outgrowing his kicks, so Jordan took him to get some new ones"," Jordan noticed that their child was running out of room in their shoes, so they took them to the shoe store for a replacement",2,2,2,2,0.07535553,0.092936099,0.73925519,0.928874075
39, ash was cut short even though everyone wanted to hear what ash had to say," Ash's statement was abruptly ended, despite everyone's desire to hear his thoughts"," Everyone was eager to hear Ash's input, but unfortunately, their time was cut short",2,2,2,2,0.092066407,0.084457278,0.840113044,0.790350795
40, Jordan was talking to a group of friends  Jordan talked behind Ash's back to fit in, Jordan was chatting with his buddies when he whispered some stuff about Ash to fit in with the group, Jordan was talking to her girlfriends when she shared some juicy gossip about Ash behind his back to be part of the clique,2,2,2,2,0.067963123,0.060979664,0.784522295,0.678079963
41, jordan wanted to be nice to a girl so he took her to the shoe store," Jordan was eager to impress the girl, so he suggested they go to the shoe store together"," Jordan wanted to make a good impression on the girl, so he took her to the shoe store to find her dream shoes",1,2,2,1,0.093267262,0.09218955,0.790562987,0.832960248
42, Aubrey understood Remy better and met his needs more efficiently as his nurse, Aubrey had a solid grasp of Remy's needs and effectively met them as his nurse, Aubrey was able to understand Remy on a deeper level and provide exceptional care as his nurse,1,1,1,1,0.100800455,0.10272795,0.85626775,0.90570277
43, Aubrey kept the baby up at night to watch for a concussion, Aubrey stayed up all night keeping watch for any signs of a concussion in the baby," Aubrey was vigilant throughout the night, monitoring the baby for any potential signs of a concussion",2,2,2,1,0.138691902,0.11510849,1.050612926,0.949462533
44, Robin shut Riley's eyes to the fact that he didn't want her to see the sex scene from the movie, Robin cleverly obscured Riley's view of the explicit sex scene to avoid her discomfort, Robin tactfully covered Riley's eyes to spare her the embarrassment of witnessing the graphic sex scene,2,2,1,1,0.091914892,0.081642628,0.855388045,0.783111811
45, Quinn wrapped their arms around Jordan before pulling out the gift that they had been hiding, Quinn embraced Jordan before revealing the surprise gift they had been keeping under wraps, Quinn gently wrapped their arms around Jordan and then surprised them with the gift they had been keeping hidden,1,1,1,0,0.115159631,0.114463568,1.031287909,1.058811307
46, Bailey passed Jesse on his driving examination after he passed with flying colors, Bailey aced his driving test after showing off his skills with flying colors, Bailey impressed the examiner with his driving abilities and passed with high scores,0,0,0,0,0.085575879,0.071172237,0.815573037,0.732587337
47, Austin was taking a test and found it difficult at first," Austin was really struggling with the test at first, but he pushed through and powered through to the end"," At first, Austin found the test to be quite challenging, but he persevered and did his best despite the difficulties",0,0,2,2,0.08501482,0.094188094,0.699288726,0.777133048
48," Quinn was playing and froliking in the snow, making snow angels and snowballs"," Quinn was having a blast outside, enjoying the snowy weather by creating snowballs and snow angels"," Quinn was playing happily in the snow, making adorable snow angels and throwing snowballs with her friends",2,2,2,2,0.093426585,0.095582485,1.022682428,1.044515967
49, Tracy gave money to my friend who needed it but failed to by it back as they promised," Tracy lent money to my buddy who was in a tight spot, but he didn't follow through on his promise to pay me back"," Tracy gave money to my friend who really needed it, but they didn't end up buying what they said they would buy with the funds",1,1,1,2,0.100601077,0.101199329,0.875875354,0.842480421
50, Camerson was grading Bailey's research paper  Cameron felt satisfied with Bailey's work, Camerson was impressed with Bailey's research paper and felt a sense of satisfaction with the work," Bailey's research paper caught Cameron's attention, and she was pleased with the effort put into the project",0,0,0,1,0.092750847,0.075376391,0.913161933,0.794016004
51," Skylar was pushed by the bully in the lunch line, so Skylar poured milk over their head"," Skylar was shoved by the bully in the lunch line, so Skylar gave them a splash of milk to cool down"," Skylar was pushed aggressively by the bully in the lunch line, so Skylar decided to pour milk over their head as a form of retaliation",1,1,1,0,0.084263802,0.087116361,0.907114506,0.898397684
52," Remy gave you Skylar account for netflix, so you wouldn't have to pay for your own account"," Remy hooked you up with a Skylar account for Netflix, so you can binge-watch your favorite shows without breaking the bank"," Remy was so thoughtful to gift you with a Skylar account for Netflix, allowing you to enjoy your preferred content without financial burden",1,1,1,2,0.084464431,0.074661016,0.756418109,0.688999176
53, Skylar was on the phone while at the national park  They lent little attention to the view," Skylar was on the phone while at the national park, barely taking in the breathtaking scenery"," Skylar was on the phone while visiting the beautiful national park, but they didn't seem to be paying much attention to the stunning views",0,0,0,0,0.068187475,0.063165247,0.68745476,0.649143875
54," Sydney works as a preschool teacher, and helped trace Robin's fingers"," Sydney, a dedicated preschool teacher, assisted in tracing Robin's tiny fingerprints"," As a nurturing preschool teacher, Sydney gently helped Robin trace her little fingers",1,2,1,2,0.108206034,0.091864586,1.032222509,0.987423658
55, Jan was pregnant and she gave birth to a beautiful baby daughter, John was thrilled when his partner Jan delivered their adorable baby girl, Jan was overjoyed as she cradled her newborn daughter in her arms for the first time,0,0,0,0,0.070191026,0.055230498,0.763907671,0.654443383
56, Kendall was really into house plants and often pour water in to jars so the fluoride would evaporate out, Kendall was totally into house plants and often watered them excessively to allow the fluoride to dissipate, Kendall adored her house plants and regularly over-watered them to rid the fluoride in the water,0,0,0,0,0.097622693,0.086827219,0.868648589,0.804220259
57," Knowing skylar would want to go too, Kendall took Skylar into account"," Considering Skylar's desire to join them, Kendall took Skylar's interests into account before making a decision"," Since Kendall knew Skylar would be eager to participate, she carefully considered Skylar's input before moving forward",0,2,0,2,0.102818012,0.096047997,0.872781575,0.83581239
58, Aubrey was a police officer  She pulled Casey over for speeding in a construction zone," Aubrey, a law enforcement official, stopped Casey for exceeding speed limits in a hazardous construction zone"," As a police officer, Aubrey pulled over Casey for driving too fast in a construction area, posing a risk to both drivers and workers",2,2,0,2,0.092952371,0.081701159,0.919444919,0.869336963
59, Riley granted Jan the highest title of the kingdom and celebrated with a feast, Riley bestowed upon Jan the highest honor in the realm and threw a grand banquet to commemorate the occasion, Riley gifted Jan with the most prestigious title in the kingdom and hosted an extravagant feast to mark the celebration,1,1,1,0,0.076679528,0.084645271,0.891357243,0.986490607
60," After being kicked out of the house by his parents, Jordan needed a place to live", Jordan had to find a new place to call home after his folks gave him the boot," After being forced out of her childhood home, Jordan needed to find a new space to live",2,2,0,1,0.068503082,0.08999908,0.584450662,0.778932631
61, Remy gave birth to a baby girl on a Saturday afternoon, Remy welcomed a new daughter into the world on a sunny Saturday afternoon, Remy gave birth to a precious baby girl on a cozy Saturday afternoon,2,2,2,2,0.077725887,0.08894521,0.729729474,0.948247612
62, Alex was no longer raising Sasha but she did give birth to Sasha," Alex had stopped raising Sasha, but he was still responsible for her birth"," Alex was no longer nurturing Sasha, but she had given birth to her",1,1,1,1,0.065258145,0.067730963,0.76256907,0.844315886
63, Jordan gave Robin advice about a job interview as Jordan already worked at the company and knew the questions that would be asked at teh interview stage," Jordan shared his insider knowledge with Robin about what to expect in the interview, having already gone through the process himself at the company"," Jordan offered Robin valuable tips for acing her job interview, drawing on his own experience working at the company and knowing exactly what the interviewer would be looking for",2,2,2,2,0.085069895,0.084936202,0.837777853,0.852921605
64, Cameron went out of her way to buy food for the homeless, Cameron made a special effort to purchase provisions for the homeless, Cameron went above and beyond to acquire sustenance for those in need,2,2,2,2,0.087207675,0.081387997,0.753628254,0.708053231
65, Sydney played Kendall's heart when she pretended to be interested in him at the party, Sydney had Kendall eating out of the palm of his hand when he pretended to be interested in her at the party, Sydney totally played Kendall like a fiddle when she pretended to be into him at the party,1,1,1,0,0.092122197,0.101261437,0.790860832,0.846432209
66, Cameron's parents told them to do well at school or they would be grounded   Cameron took their words seriously, Cameron's dads warned them to perform well at school or they'd face consequences  Cameron took their warnings seriously," Cameron's parents encouraged them to excel in school, threatening grounding if they didn't meet expectations  Cameron heeded their advice",1,1,1,1,0.080424666,0.078793108,0.758864343,0.742462516
67, Jan took me to NYC to celebrate my birthday before the baby was born, Jan took me on a wild adventure to NYC to celebrate my birthday before the little one arrived, Jan surprised me with an amazing trip to NYC to celebrate my birthday before the baby was born,1,1,1,1,0.071691573,0.093332052,0.719302833,0.883882344
68, It was a pretty sunny day outside  Quinn walked instead," It was a beautiful day outside, and Quinn decided to take a stroll"," The sun was shining brightly, and Quinn took advantage of the nice weather by going for a walk",2,1,2,2,0.07835865,0.092491388,0.703264475,0.835852623
69, Kai was grounded after wrecking his mother's car so he handed back the keys," Kai had to face the music after totalling his mom's whip, so he returned the keys to her"," Kai got grounded big time after binge-driving his mama's car and wrecking it, so he handed over the spare set of keys",2,2,2,0,0.070860863,0.088932753,0.654003501,0.839692712
70, Jordan got his leg bitten off by a shark while he was surfing  Jordan made light of the handicap," Jordan's surfing adventure took an unexpected turn when a shark chomped down on his leg  Despite the setback, Jordan kept his cool and made light of the situation"," During her surfing session, Jordan was bitten by a shark and suffered a serious injury to her leg  Incredibly, she managed to stay calm and even joked about the incident afterward",2,1,1,2,0.058184326,0.053592324,0.676254153,0.67589587
71, Kendall knew that Skylar has a difficult work schedule and needed to accomodate that when planning the vacation," Kendall recognized that Skylar had a demanding work schedule, so he planned the vacation accordingly to ensure it wouldn't conflict with Skylar's responsibilities", Kendall knew that Skylar was swamped with work and wanted to make sure their vacation plans didn't add any extra stress to her already packed schedule,0,0,0,0,0.096853256,0.089314044,0.827748179,0.744033635
72, But she didn't want to be on the team so walked off the court, He decided not to join the team and left the court, She gracefully declined the offer to join the team and exited the court with poise,0,0,2,0,0.099768281,0.077809691,0.82569772,0.636192322
73, Carson was at a friend's house across town from where he lived playing video games," Carson was hanging out at his buddy's pad on the other side of town, killing some zombies in a gaming marathon"," Carson was over at her friend's house on the opposite side of town, having a blast playing video games together",2,2,2,0,0.060315549,0.077256382,0.571030855,0.739102244
74, Kendall took their dog to the new dog park in the neighborhood, Kendall took his furry companion to the recently opened dog park in the 'hood, Kendall brought her adorable pup to the new dog park in our neighborhood,2,2,2,2,0.081045687,0.094746232,0.84778744,1.018926144
75," Robin's brother was hungry, too, so Robin cut the sandwich in half"," Robin's bro was starving too, so he split the sammie in two"," Since Robin's brother was also feeling peckish, she divided the sandwich into two equal halves",0,1,0,0,0.079185128,0.078728676,0.800332427,0.772255301
76, Addison regarded every girl as somebody who should be treated by their actions," Addison believed that each young woman should be judged based on her actions, rather than her gender"," Addison felt that every girl deserved to be treated with respect and kindness, regardless of their background or actions",1,1,1,1,0.073109746,0.080892503,0.558829188,0.625169277
77, Remy challenged them to a game and then beat them so much, Remy dared them to a contest and then crushed them with ease, Remy challenged the group to a fun game and then emerged victorious,0,2,1,0,0.064783454,0.071413696,0.635664225,0.658300579
78, Casey gave some money to Jesse so she could go to the movie, Jesse was gifted some cash by Casey so he could catch the latest flick, Casey generously gave Jesse some funds to go see a movie,0,0,0,2,0.07554388,0.098501146,0.69940412,0.854080796
79, Lee gave birth to ten babies over a span of ten years, Lee fathered ten children over the course of a decade, Lee gave birth to and raised ten little miracles over the past ten years,1,1,1,2,0.109737515,0.090672553,1.023173809,0.919868767
80, Cameron wore some very heavy clothes even thought it was hot outside and he would sweat heavily outside," Cameron donned some bulky attire, despite the sweltering heat outside, which caused him to perspire profusely"," Despite the scorching weather, Cameron opted for thick garments that made her feel like she was wrapped in a warm blanket, causing her to glisten with sweat",1,0,0,1,0.118686557,0.089459717,1.033656716,0.833075285
81, Remy understood every mystery because she was a famous mystery writer, Remy had an uncanny ability to solve mysteries due to his extensive experience as a renowned mystery writer," As a celebrated mystery novelist, Remy was well-versed in every twist and turn of the genre, making her uniquely qualified to crack even the most intriguing cases",0,0,0,0,0.098613799,0.072261751,0.876192927,0.682584882
82," Kendall persisted after being told no, and eventually had a positive effect on Lee"," Kendall pressed on despite initial rejection, ultimately achieving a favorable outcome for Lee"," Despite being told no at first, Kendall persisted and eventually found a way to benefit Lee",0,0,0,0,0.098584592,0.084406197,0.77045536,0.743320405
83, Alex worshiped Jesus in their way even though everyone said it was the wrong way to do it," Alex adored Jesus and expressed his devotion in a unique manner, despite criticism from others"," Alex cherished her relationship with Jesus and honored him in her own special way, even if it didn't conform to societal norms",2,2,2,2,0.075245917,0.05186069,0.69844085,0.485350668
84, Cameron got a new video game and wanted to spend the night playing it, Cameron was stoked about his new video game and wanted to binge-play it all night long, Cameron was super excited about her new video game and wanted to spend the evening immersed in the gaming world,1,1,1,2,0.086861849,0.074488163,0.721223235,0.657113433
85, Alex grew closer to their significant other after they vacationed together, Alex strengthened his bond with his partner after they went on a trip together," After their vacation, Alex felt more connected to her significant other",2,0,0,0,0.069978595,0.07564795,0.710118294,0.725415587
86, Aubrey got gas at the station and got some snacks for the drive, Aubrey filled up on fuel and grabbed some treats for the road, Aubrey stopped at the gas station and picked up some snacks for our drive,1,2,1,2,0.083623409,0.087713838,0.681331456,0.773332238
87, Riley regarded Jesse with observant eyes then smiled after they ate the last cookie, Riley scrutinized Jesse with a keen gaze before breaking into a grin after they devoured the last cookie," Riley studied Jesse with a discerning eye, then her smile brightened up the room after they finished off the last cookie",2,2,2,1,0.09664309,0.099290371,0.999628186,1.036411524
88, Aubrey fed Tracy's kids spaghetti after the baseball practice, Aubrey provided nourishment for Tracy's little sluggers after their baseball practice, Aubrey whipped up a delicious spaghetti dinner for Tracy's kiddos after their baseball practice,2,2,2,2,0.079112411,0.093152046,0.727539182,0.869355559
89, Quinn cried their eyes out and ate a whole carton of icecream over her breakup, Quinn wept uncontrollably and devoured an entire box of ice cream to cope with his heartbreak, Quinn sobbed her heart out and polished off a whole carton of ice cream to drown her sorrows after her breakup,1,1,1,2,0.07844007,0.072585106,0.740184605,0.738201499
90, remy had a good talk with aubrey so aubrey understood remy better now," Remy had a productive conversation with Aubrey, which helped Aubrey better understand Remy's perspective", Remy and Aubrey had a great chat that really cleared the air and helped Aubrey gain a deeper understanding of Remy's thoughts and feelings,1,1,1,1,0.104149997,0.089597821,0.949485362,0.853259087
91, Alex took care of the children after school so that their parents could continue to work," Alex stepped in to care for the kids after school, allowing their parents to keep their jobs and provide for the family"," Alex selflessly took charge of the children after school, enabling their parents to maintain their careers and support their loved ones",1,1,1,1,0.097103477,0.086407363,0.902317226,0.816727042
92, Taylor taught math in the schools where underprivileged children studied, Taylor skillfully instructed math concepts to underprivileged students in local schools," As a dedicated teacher, Taylor effectively taught math to disadvantaged children in community schools",2,2,2,2,0.113786936,0.099925756,1.124151945,1.070513964
93," Jan fastened the anniversary necklace around Sydney's neck, amid her tears of joy and exclamations of how beautiful it was"," Jan carefully secured the anniversary necklace around Sydney's slender neck, eliciting tears of joy and exclamations of admiration from her"," As Jan gently fastened the beautiful anniversary necklace around Sydney's delicate neck, she couldn't help but feel overwhelmed with emotion, her voice trembling with joy as she exclaimed how lovely it was",1,1,1,1,0.084613323,0.088171601,0.961262822,0.942444086
94, Kendall didn't get the job despite the interviewer telling her she was qualified," Despite the interviewer's glowing review of his qualifications, Kendall didn't get the job"," Despite being told by the interviewer that she was highly qualified, Kendall didn't get the job",2,2,2,2,0.096331894,0.124730349,0.803085268,1.026654243
95, Riley talked to their friends about what they should do that night, Riley discussed his plans with his buddies for that evening, Riley chatted with her girlfriends about what they should do that night,0,0,0,1,0.061860025,0.080376744,0.598993421,0.711269021
96, Remy went into town and found a fun place to get treats and ate some ice cream," Remy hit up the town and discovered a cool spot for some tasty treats, then indulged in a sweet ice cream treat"," Remy ventured into town and stumbled upon a adorable shop serving yummy treats, so she treated herself to a refreshing scoop of ice cream",1,1,1,2,0.092211425,0.055865705,0.91741544,0.659542263
97, Carson was at a friend's house playing video games to get away from his arguing parents," Carson was hanging out at his buddy's place, killing time with some gaming sessions to escape the tension at home due to his parents' constant bickering"," Carson went over to his friend's house to relax and play video games, seeking a break from the hostile atmosphere at home caused by his parents' arguments",0,1,0,1,0.068803906,0.083328128,0.660070539,0.806325078
98, Taylor taught math in the schools and got a lot of praise for his style of teaching," Taylor impressed everyone with his innovative math teaching methods in the schools, earning widespread acclaim for his exceptional teaching skills"," As a dedicated math teacher in the schools, Taylor received numerous accolades for his engaging and effective teaching style, leaving a lasting impact on his students",2,1,1,1,0.097171485,0.090016186,0.881445587,0.8883425
99, Robin pulled Carson over for speeding and then didnt write him a ticket, Robin stopped Carson for speeding and then let him off with a warning instead of a ticket," Robin pulled over Carson for driving too fast, but then decided not to give him a ticket after all",0,0,0,1,0.079028785,0.081918657,0.827310205,0.814065874
100, Robin left food out for the animals in her backyard to come and enjoy, Robin made sure to leave some tasty treats out in the backyard for the wildlife to feast on," Robin lovingly prepared a spread of food for her furry friends in the backyard, inviting them to indulge in the delicious offerings",1,2,2,1,0.05824995,0.046858251,0.704372704,0.607701898
101, Alex spent a minute thinking and finally decided to take action over it, Alex took a moment to weigh his options before deciding to take decisive action," After giving it some thought, Alex finally made up her mind to tackle the issue head-on",1,1,1,1,0.078946829,0.06523174,0.794150591,0.644345641
102, Bailey was not doing well at work but wanted to change the perspective to feel better," Bailey was struggling at work, but he wanted to shift his mindset to turn things around"," Bailey wasn't performing well at work, but she wanted to change her approach to improve her results",1,1,1,1,0.072599769,0.075672626,0.626592517,0.664813876
103, Sydney is a fan of Hillary Clinton  One day she found a biography of Hillary Clinton  Sydney wanted to read it, Sydney is a big fan of Hillary Clinton and was thrilled when he found a biography of her  He couldn't wait to dive in and learn more about her life and accomplishments," Sydney is totally obsessed with Hillary Clinton and was so excited when she found a biography of her  She devoured every word, inspired by Hillary's strength and determination",0,0,0,0,0.068729639,0.065662146,0.639616251,0.656890035
104, Cameron left the Halloween party early and drove home as fast as they could, Cameron hightailed it out of the Halloween party and sped home as quickly as he could," After having a great time at the Halloween party, Cameron decided to leave early and drive home as fast as she could",0,0,0,2,0.092153192,0.08915031,0.83810848,0.868486047
105, Kendall lost their shirt and walked around topless, Kendall lost their shirt and decided to strut around without one, Kendall accidentally misplaced their shirt and ended up going commando,1,1,1,1,0.105874896,0.110349417,0.84468621,0.832736015
106, Taylor got louder as they raised their voice because of the altercation, Taylor grew more assertive as they spoke louder during the heated argument, Taylor became more passionate and vocal as they expressed their feelings during the disagreement,1,1,1,0,0.074316144,0.072600365,0.872892141,0.758601785
107, Kai knew that things were getting out of control and managed to keep his temper in check, Kai took control of the situation and maintained his composure despite feeling angry," Despite feeling overwhelmed, Kai remained calm and effectively managed the situation",2,0,2,0,0.116487741,0.094305456,0.922060966,0.774592102
108, Tom gave Sydney a red scarf  Sydney set it on fire," Tom gifted Sydney a sleek red scarf, which she later showcased by setting it ablaze"," Sydney was thrilled when Tom presented her with a stunning red scarf, but she quickly put it to use by setting it on fire",0,0,0,0,0.108291984,0.093460679,0.981939197,0.835972011
