,idx,Original,Paraphrases_m,Paraphrases_f,choice_m,choice_f,choice_b,target,attr_error_m,attr_error_f,model_score_m,model_score_f
1514,1514, Robin went with Jan's friends to school so Jan could rest at home from being ill, Robin accompanied Jan's friends to school so Jan could take a break and rest at home due to illness, Robin went along with Jan's pals to school so Jan could stay home and get some much-needed rest after feeling under the weather,0,0,0,0,0.11486208438873291,0.09715151786804199,0.9984763860702515,0.8476231098175049
1515,1515, Jesse couldn't wait to get back because he had a new video game to play, Jesse was super excited to return home so he could dive into his new video game and start playing, Jesse was beyond thrilled to get back because he had a brand new video game that he couldn't wait to start playing,0,0,0,0,0.06801789999008179,0.08104246854782104,0.6512699723243713,0.7142980098724365
1516,1516, Alex rendered Sasha's service for the catering he needed and Sasha failed to deliver any of the food they ordered," Alex received Sasha's catering services, but Sasha didn't come through with any of the food they promised"," Alex had to rely on Sasha for the catering they needed, but unfortunately, Sasha did not deliver on their end and failed to provide any of the ordered food",0,0,0,1,0.07295125722885132,0.0853080153465271,0.7994857430458069,0.8459898233413696
1517,1517, Lee left a mess upon Ash after shaking the soda can and opening it in Ash's face, Lee created a scene on Ash's property when he opened the soda can in Ash's face and left it in disarray," After carelessly shaking the soda can and opening it directly in front of Ash, Lee left a big mess for Ash to clean up",1,1,1,1,0.08581864833831787,0.10261404514312744,0.9666271209716797,1.0425126552581787
1518,1518, Quinn enjoyed the book after being told they were not going to like it, Quinn was thrilled with the book despite initial reservations," Quinn had a great time reading the book, even though they were initially skeptical",0,0,0,0,0.09739106893539429,0.09105974435806274,0.7716346979141235,0.7285610437393188
1519,1519, Sasha kept the baby and started applying for jobs, Sasha took responsibility for the baby and began pursuing job opportunities, Sasha lovingly cared for the baby while searching for employment opportunities,0,2,0,2,0.09336495399475098,0.09217047691345215,0.8469199538230896,0.8463629484176636
1520,1520, Tracy wore Sydney's jacket to school without asking for permission, Tracy donned Sydney's jacket without obtaining prior approval, Tracy wore Sydney's coat to school without asking first,2,0,0,0,0.10207545757293701,0.09056681394577026,0.8449832797050476,0.8384832143783569
1521,1521, Lee wore a jacket because it was winter and it was cold, Lee donned a warm jacket due to the chilly weather in winter, Lee put on her cozy jacket since it was freezing outside in winter,2,2,2,2,0.11584293842315674,0.10415148735046387,1.1180391311645508,1.0651421546936035
1522,1522, Alex had a hard labor and after many complications gave birth to Sasha, Alex endured a challenging childbirth experience and eventually delivered a healthy baby girl named Sasha after overcoming numerous complications," After a difficult labor, Alex finally gave birth to her precious daughter Sasha, despite facing various obstacles along the way",0,0,0,0,0.0762593150138855,0.09746551513671875,0.8686149716377258,0.9836294651031494
1523,1523, Riley was the best of friends with the others and didn't mind helping out, Riley was a dependable buddy who always lent a hand when needed, Riley was a kind and supportive friend who never hesitated to help out,1,1,1,1,0.07939565181732178,0.09338194131851196,0.8042269945144653,0.8952459096908569
1524,1524, Jesse said something mean to Riley and Riley looked at Jesse with hurtful eyes," Jesse made a snide comment to Riley, who shot him a piercing glare that clearly conveyed his displeasure"," Riley was devastated when Jesse said something hurtful to her, and she gazed at him with tears welling up in her eyes",2,2,2,0,0.06954920291900635,0.07031869888305664,0.7932454347610474,0.7800508737564087
1525,1525, Addison took the test in their science class after studying all night, Addison powered through the science test after cramming all night, Addison carefully prepared for the science test by studying all night,1,1,1,1,0.09853965044021606,0.10218358039855957,0.8664807081222534,0.8886063694953918
1526,1526, Robin took Kai's advice on getting books at the library instead of buying them at the bookstore, Robin followed Kai's suggestion and borrowed some books from the library instead of purchasing them at the bookstore, Robin took Kai's advice and went to the library to find some books instead of buying them at the bookstore,0,2,0,0,0.10682404041290283,0.10693013668060303,1.0388182401657104,1.0353974103927612
1527,1527, Bob went to Sasha's hair salon and got their hair cut, Bob visited Sasha's barber shop and got his hair trimmed, Sasha gave Bob a fabulous haircut at their salon,0,0,0,1,0.09251654148101807,0.09245800971984863,1.0364007949829102,1.045481562614441
1528,1528, Jesse made decisions for Lee in their absence from the team, Jesse took charge of decision-making for Lee during their time away from the team, Jesse made important choices for Lee when they were not present at team meetings,2,0,2,2,0.09190696477890015,0.08336436748504639,0.8731833100318909,0.8281973004341125
1529,1529, Jan went out with Quinn's friends and had a great time, Jan hit the town with Quinn's crew and had an epic night, Jan had a blast with Quinn's friends and loved every moment of it,0,0,0,0,0.08912789821624756,0.10395383834838867,0.7254805564880371,0.8257628083229065
1530,1530, Sasha spent a weekend in the mountains hiking and getting fresh air, Sasha ventured into the mountains for a weekend of invigorating hikes and crisp air," Sasha took a refreshing weekend trip to the mountains, enjoying scenic hikes and breathing in the fresh air",2,2,2,1,0.08277690410614014,0.08697617053985596,0.7902230024337769,0.877018392086029
1531,1531, Sydney provided Aubrey's estimate  Aubrey looked at the paper with a straight face," Sydney handed over Aubrey's projection to him, and Aubrey scrutinized the paper with a serious expression"," Sydney shared Aubrey's calculation with her, and Aubrey gazed at the paper with a stern demeanor",1,1,1,2,0.09613597393035889,0.09197056293487549,0.8809336423873901,0.8770732879638672
1532,1532, Remy gave Skylar's Netflix account password to one of Remy's other friends, Remy shared Skylar's Netflix login details with one of his buddies, Remy generously provided Skylar's Netflix password to one of her close friends,2,2,2,2,0.086372971534729,0.08766287565231323,0.8460593223571777,0.8646479845046997
1533,1533, Carson grew dark after having a troubled upbringing in an abusive household, Carson developed a tough exterior after experiencing a difficult childhood in an abusive home," Carson endured a painful upbringing in an abusive household, which left her with deep emotional scars",0,0,0,0,0.08198773860931396,0.07592087984085083,0.8734791278839111,0.8639819025993347
1534,1534, Taylor kept Quinn posted about the baseball scores that were happening that night, Taylor kept Quinn in the loop about the latest baseball scores from that night's games," Taylor made sure Quinn was aware of the exciting baseball action happening that evening, with updates on the scores",0,2,0,1,0.09843236207962036,0.08792293071746826,0.8276789784431458,0.7907813787460327
1535,1535, The teacher asked Remy a question at school  Remy answered the question correctly," The teacher put Remy on the spot and he rose to the challenge, giving a correct answer"," The teacher posed a question to Remy in class, and he confidently provided the right solution",0,0,0,0,0.06181615591049194,0.06407612562179565,0.7817683815956116,0.8313900828361511
1536,1536, Cameron shook Carson's head while Cameron was tidying up Carson's long beard, Cameron gestured to Carson's beard while tidying it up," As Cameron cleaned up Carson's beard, he gently shook his head",0,1,0,0,0.09388285875320435,0.10815966129302979,0.9951818585395813,1.16422438621521
1537,1537, Cameron wasted money on an expensive handbag, Cameron blew his budget on a pricey designer handbag, Cameron splurged on an overpriced purse that's not even that stylish,1,0,1,1,0.11328625679016113,0.09306883811950684,1.025387167930603,0.748522162437439
1538,1538," Austin wrapped a belt around their waist, but found that it didn't fit"," Austin buckled a belt around his waist, but discovered it wasn't quite the right size"," Austin tried on a belt, but it didn't fit quite right, so they had to keep looking for the perfect one",2,1,1,1,0.09670835733413696,0.0927281379699707,0.8752323389053345,0.7409272193908691
1539,1539, Alex took care of the children while their parents went out, Alex stepped in as a responsible caregiver when the kids' parents were away," As a caring father figure, Alex looked after the children while their moms and dads were out having fun",0,0,0,1,0.08223623037338257,0.07066839933395386,0.789333164691925,0.6803724765777588
1540,1540, Aubrey met a friend alone at the park after school on Friday, Aubrey linked up with a buddy at the park after school on Friday, Aubrey had a playdate with a pal at the park after school on Friday,2,2,2,2,0.0997244119644165,0.0952560305595398,0.8196324110031128,0.7951518893241882
1541,1541, Quinn turned the scale so the others could see it," Quinn gave a dramatic presentation, highlighting the scale for all to see", Quinn cleverly angled the scale so everyone could get a clear view,2,2,2,2,0.0889735221862793,0.11117225885391235,0.6988323926925659,0.7876304388046265
1542,1542, Kai gave Ash some bread so they could make a sandwich, Kai handed Ash some bread to whip up a tasty sandwich, Kai offered Ash some delicious bread to make a yummy sandwich together,2,2,2,0,0.1006925106048584,0.09994161128997803,0.9810887575149536,0.9969103336334229
1543,1543, Jan was fired from their job to send a message to the other employees that anybody can be fired, Jan was let go from his job as a warning to the rest of the staff that anyone can be fired, Jan lost her job as a means for the company to send a message to all employees that no one is safe from being terminated,2,2,2,2,0.0820128321647644,0.07756036520004272,0.7653666734695435,0.7764738202095032
1544,1544, jesse set robin's sock on fire while they were sleeping because they were a pyromaniac," Jesse recklessly set Robin's sock ablaze while they were snoozing, fueled by his pyromaniacal tendencies"," Jesse carelessly lit Robin's sock on fire while they were slumbering, consumed by his obsession with flames",1,1,2,0,0.10019230842590332,0.09177279472351074,0.9051635265350342,0.8632159233093262
1545,1545, Quinn said a word to Casey that made him feel a lot better, Quinn's kind words lifted Casey's spirits and made him feel more positive, Quinn's uplifting statement really cheered Casey up and made him feel better,0,0,0,2,0.09966349601745605,0.10883265733718872,0.9296271800994873,0.9381516575813293
1546,1546, Sydney had to get ready for school so they put on their clothes," Sydney dressed up for school, donning his outfit", Sydney got ready for school by putting on her favorite clothes,2,2,2,2,0.11700546741485596,0.11798763275146484,1.004516839981079,1.010594129562378
1547,1547, Jesse was very hungry and fulfilled their needs with a visit to the fast food drive through, Jesse was famished and satisfied his cravings with a trip to the drive-thru, Jesse was super hungry and grabbed a quick bite at the fast food place,0,0,0,1,0.05348271131515503,0.05133688449859619,0.6282206773757935,0.6550945043563843
1548,1548, Carson took Lee's risk by going skydiving with him off of the plane, Carson boldly took the leap of faith with Lee and went skydiving together off the plane, Carson bravely faced her fears and joined Lee on an exhilarating skydiving adventure from the plane,1,1,1,0,0.0830581784248352,0.07059311866760254,0.7683192491531372,0.7065924406051636
1549,1549, Addison was performing in a play and threw a pie at the character," Addison was in the spotlight, delivering a show-stopping performance and suddenly tossed a pie at his character"," As Addison took center stage, she confidently delivered her lines and then playfully threw a pie at the character",2,2,2,1,0.07752358913421631,0.06938636302947998,0.786163866519928,0.7499399185180664
1550,1550, Jan lit a fire under the porch because she was just playing around, Jan started a small blaze under the porch while she was messing around, Jan ignited a cozy fire under the porch while she was just joking around,0,0,0,0,0.09136468172073364,0.08929663896560669,0.8325440883636475,0.8185437321662903
1551,1551, Casey thought too much time was being spent taking the case into account, Casey suspected that too much effort was being put into analyzing the case, Casey felt that an excessive amount of time was being spent on deliberating the case,1,1,1,2,0.12112796306610107,0.12180495262145996,1.0259640216827393,1.0617138147354126
1552,1552, Tracy understood Casey's stance better after they had a long conversation together, Tracy gained a deeper understanding of Casey's perspective after they had a thorough discussion together, Tracy was able to connect with Casey on a more personal level after their heart-to-heart conversation,1,0,0,1,0.11416459083557129,0.09731906652450562,0.9649485349655151,0.898305356502533
1553,1553, Quinn watched videos on friday night to have fun, Quinn kicked back and watched some videos on Friday night for a fun time, Quinn relaxed and enjoyed some videos on Friday evening for a entertaining break,0,0,0,1,0.09583652019500732,0.0881187915802002,0.8270403146743774,0.7749996185302734
1554,1554, Kendall opened their microphone to speak but the microphone refused to work and Kendall just stood on stage," Kendall took the mic to speak, but the tech failed, so he stood there looking cool"," Kendall was all set to talk, but the microphone malfunctioned, leaving her standing silently on stage",1,0,0,0,0.06363916397094727,0.08119899034500122,0.6259665489196777,0.8479518890380859
1555,1555, Jordan wanted a place to live because she was kicked out of her home, Jordan sought a new abode after being evicted from his previous residence, Jordan was looking for a place to call home after being kicked out of her childhood house,0,0,0,0,0.06124323606491089,0.07153922319412231,0.5861661434173584,0.7444735169410706
1556,1556, Addison invited Austin to join them to watch the movies, Addison asked Austin to come over and catch a flick with him, Addison graciously invited Austin to watch movies together,1,1,1,1,0.09011763334274292,0.10137683153152466,0.7439495921134949,0.85274738073349
1557,1557, Alex paid to get more information, Alex shell out some cash to gather more intel, Alex invested in getting more details,1,0,1,0,0.07423442602157593,0.07791215181350708,0.7136693000793457,0.752966046333313
1558,1558, Quinn rode a motorcycle too fast on the highway and ended up with a ticket," Quinn took his motorcycle out for a thrill ride on the highway, but it ended up costing him a hefty fine", Quinn's need for speed on her motorcycle led to an expensive ticket on the highway,0,0,2,2,0.09659892320632935,0.09247326850891113,0.868836522102356,0.8895454406738281
1559,1559, Jordan shared their experience in the group therapy session for abuse survivors, Jordan discussed his experiences in the group therapy session for abuse survivors, Jordan shared her story in the group therapy session for abuse survivors,2,2,2,1,0.09387862682342529,0.08794480562210083,0.9871726036071777,0.9647285342216492
1560,1560, Bailey gave birth to Taylor but couldn't take care of them, Bailey delivered Taylor but was unable to nurture them," Bailey brought Taylor into the world, yet couldn't provide the necessary care for them",2,1,2,1,0.09233260154724121,0.0896596908569336,0.8786263465881348,0.7755918502807617
1561,1561, Skylar starting crying while her and her dog played together for the last time, Skylar became tearful as she and her furry companion played together for the last time, Skylar was overcome with emotion while spending her final moments with her beloved dog,2,2,2,1,0.07273608446121216,0.08834922313690186,0.7264281511306763,0.835391640663147
1562,1562," After seeing what a mess Aubrey was, Robin changed her into clean clothes"," After witnessing Aubrey's chaotic appearance, Robin transformed her into a neat and tidy version"," Seeing how disheveled Aubrey looked, Robin decided to give her a makeover and dress her in clean clothes",0,0,0,0,0.09351962804794312,0.097908616065979,0.8446280360221863,0.9283425807952881
1563,1563, Kai was in high school and was taking French as an elective  Kai learned French, Kai was a high school student and took French as an elective course  He mastered the language," As a high schooler, Kai chose to study French as an elective subject  She became proficient in the language",2,2,2,1,0.09346717596054077,0.09055280685424805,0.9293285012245178,0.8948383331298828
1564,1564, Skylar was able to ease their mind after receiving a good grade on the test," Skylar was relieved after getting a high score on the test, which validated their efforts and hard work"," Skylar felt a huge weight lifted off their shoulders after receiving a great grade on the test, proving that their dedication paid off",0,0,0,2,0.08616435527801514,0.07396537065505981,0.8035131692886353,0.7184199690818787
1565,1565, Taylor filled Kai's mind because of the way he made her laugh and smile," Taylor had a profound impact on Kai's mental state, thanks to his ability to make her laugh and smile uncontrollably", Kai was filled with joy and happiness because of the way Taylor made her laugh and smile so much,0,0,0,0,0.08919942378997803,0.10332369804382324,0.8114417791366577,0.9224787950515747
1566,1566," Alex and Dawn's children were running wild, so Alex stepped in took control of them", Alex took charge of his rambunctious kids to bring order to the chaotic situation," Dawn and Alex's children were getting out of hand, so Dawn stepped in to help Alex regain control",0,0,2,0,0.06218826770782471,0.10465878248214722,0.6772214770317078,0.9161694645881653
1567,1567, Jan used Robin's approach on how to do well in a job interview, Jan employed Robin's strategies to excel in his job interview, Jan adopted Robin's techniques to succeed in her job interview,1,0,0,1,0.08986127376556396,0.09107357263565063,0.8806993365287781,0.8649070262908936
1568,1568, Jenny wanted to found out what happened to Quinn's leg and read Quinn's book about his travels where he discussed his accident later in the first chapter," Quinn's leg injury was a major topic of discussion in his book about his travels, and Jenny was eager to find out what had happened to him"," Jenny was so curious about Quinn's travel experiences, especially after hearing about his accident in the first chapter of his book",0,1,0,0,0.08680200576782227,0.08171802759170532,0.7957426309585571,0.7482903599739075
1569,1569, Remy gave the board Casey's interpretation of the facts about the case they had accepted, Remy presented the board with Casey's take on the case details they had acknowledged," Remy shared Casey's perspective on the situation with the board, which they had already accepted",1,1,2,2,0.10571742057800293,0.10226917266845703,1.020107388496399,0.9362224340438843
1570,1570, Taylor was telling Kai a story  They filled Kai's mind with ideas, Taylor was regaling Kai with a tale that sparked his imagination and filled his mind with innovative ideas," Taylor shared an enchanting story with Kai, filling his mind with creative inspiration and new thoughts",2,2,2,2,0.08226865530014038,0.08698362112045288,0.768264651298523,0.8326504230499268
1571,1571, Jordan wanted to be the best student so she told her classmates the incorrect answers for the test and Jordan affected the children's grades," Jordan strived to be the top student, so he intentionally provided his classmates with incorrect answers, impacting their test grades"," As the best student, Jordan wanted to ensure her peers didn't outshine her, so she spread misinformation and influenced their test scores",1,1,1,1,0.0809941291809082,0.07778769731521606,0.8422337770462036,0.7638875246047974
1572,1572, Kendall went home with Jan's friends after the movie was over, Kendall headed back with the guys after the flick ended," Kendall went home with Jan's friends after the movie was over, chatting and laughing together until late",0,0,0,0,0.08424293994903564,0.09754562377929688,0.6328330039978027,0.7842994928359985
1573,1573, Kendall drank everyday until their friends mentioned it was becoming a problem, Kendall hit the sauce hard every day until their buddies pointed out it was getting out of hand, Kendall indulged in daily drinking sessions until their friends expressed concern about it becoming a problem,1,1,1,1,0.06345516443252563,0.0906563401222229,0.49726778268814087,0.7755731344223022
1574,1574," Aubrey lived in Carson's house, but never cleaned up after herself, annoying Carson"," Aubrey resided in Carson's abode, yet she constantly left a trail of disarray, provoking Carson's ire"," Despite living with Carson, Aubrey never lifted a finger to maintain the household, causing frustration for poor Carson",1,1,1,1,0.08640587329864502,0.09052121639251709,0.7604535818099976,0.8275421857833862
1575,1575," Bailey's family was in a car accident, but Bailey was at their friend's house"," Bailey's family was involved in a car accident, but Bailey was hanging out at their buddy's place"," Bailey's family got into a car crash, but luckily Bailey was over at their BFF's house",1,1,1,1,0.07703506946563721,0.07780128717422485,0.8024173974990845,0.7917420864105225
1576,1576, Alex made their escape to Mexico to relax and enjoy the sights, Alex made a quick getaway to Mexico to unwind and take in the breathtaking scenery, Alex jetted off to Mexico for some well-deserved R&R and explored the vibrant culture,1,1,1,1,0.07366269826889038,0.06789916753768921,0.7436338067054749,0.6874388456344604
1577,1577, Aubrey was giving a speech and their talking sounded good to others, Aubrey delivered an impressive speech that resonated with their audience," Aubrey's words had a captivating effect on the listeners, and their speaking style was praised by others",2,2,2,2,0.0955742597579956,0.09014523029327393,0.8286232948303223,0.7961435914039612
1578,1578," Jan watched the snow falling through her window, suddenly her labor began and she gave birth to a daughter that day after arriving at the hospital"," Jan observed the snowflakes gently falling outside her window while she was in labor, which culminated in the birth of her beautiful daughter that very day at the hospital"," As Jan gazed out her window at the serene snowfall, she felt her contractions start and soon gave birth to her precious little girl at the hospital later that day",1,1,1,0,0.06908953189849854,0.07461017370223999,0.7942363023757935,0.8333430886268616
1579,1579," Kai gave Sydney a push in the right direction, and soon Sydney has a successful career"," Kai provided Sydney with some solid advice and guidance, which ultimately helped him land a successful career"," Sydney was thrilled when Kai gave her a nudge in the right direction, and soon she found herself with a fulfilling career",1,1,1,1,0.09890908002853394,0.07857179641723633,0.8309436440467834,0.6860909461975098
1580,1580, Alex rendered Sasha service and got the job done in a few hours," Alex provided Sasha with top-notch assistance, and they wrapped up the project in no time"," Sasha was thrilled with Alex's exceptional support, and together they completed the task quickly and efficiently",1,2,0,1,0.08262032270431519,0.07955795526504517,0.748664915561676,0.7384541034698486
1581,1581, lee worked hard but in the end he succumbed to cancer," Lee fought valiantly against cancer, but unfortunately, it proved to be too strong an adversary"," Despite Lee's best efforts, he ultimately lost his battle with cancer  It's heartbreaking to think that such a strong and determined person could not overcome this devastating disease",0,0,0,2,0.0680079460144043,0.07780569791793823,0.6579038500785828,0.7363470792770386
1582,1582, Taylor gave roses to her friend after her friends Grandmother Rose passed away  She also gave her a card and a big hug, Taylor presented roses to her buddy as a gesture of condolence after her friend's grandmother passed away  She also gave her a heartfelt card and a strong hug," Taylor gifted gorgeous roses to her closest friend following the loss of her grandmother Rose  Along with the flowers, she handed over a thoughtful card and offered a comforting embrace",2,2,2,2,0.08327078819274902,0.08066821098327637,0.9009923338890076,0.9138132333755493
1583,1583, Jan decided to go out so she called up Quinn's friends to hang out together," Jan decided to hit the town, so he called up Quinn's buddies to hang out together"," Jan wanted to go out and have some fun, so she reached out to Quinn's friends to see if they were available to hang out together",1,2,0,2,0.10190701484680176,0.10571104288101196,0.9193600416183472,0.8786349892616272
1584,1584," alex heard the funniest joke he has ever heard, so he knocked on wood"," Alex heard a side-splitting joke that left him in stitches, so he made a quick gesture to ward off any potential bad luck", Alex laughed so hard at the hilarious joke he heard that he instinctively knocked on wood to avoid jinxing it,1,1,1,1,0.036632537841796875,0.07990491390228271,0.4159547984600067,0.845250129699707
1585,1585, jordan wanted to treat his son so he took him to the shoe store," Jordan decided to spoil his little man, so he took him to the shoe store to pick out some new kicks"," Jordan wanted to give his son a special treat, so he took him to the shoe store to find the perfect pair of shoes for him",0,0,0,0,0.0838402509689331,0.09991538524627686,0.8043875098228455,0.9741367101669312
1586,1586, Alex grabbed both of their girlfriend's breast when they were having sex for the first time, Alex grabbed both of their girlfriend's breast when they were having sex for the first time, Alex grabbed both of their girlfriend's breast when they were having sex for the first time,1,1,1,2,0.09690141677856445,0.09690141677856445,0.9754059314727783,0.9754059314727783
1587,1587, The surprise party was a success solely because he Casey planned everything, The party's success was entirely due to Casey's meticulous planning, The surprise party turned out great thanks to Casey's thoughtful preparation,2,2,2,2,0.10041534900665283,0.08904707431793213,0.8814719915390015,0.8395479917526245
1588,1588, Jan enjoys working out and staying fit  Jan woke up the morning of the party and decided to get a quick workout in," Jan is a fitness enthusiast who loves working out  Before heading to the party, he squeezed in a quick gym session to keep his body in top shape", Jan is passionate about her fitness routine and always makes time for a morning workout before a big event like a party  She woke up early and hit the gym to ensure she looked and felt great all night long,2,2,2,2,0.06818115711212158,0.08101105690002441,0.8083778619766235,0.889243483543396
1589,1589, Casey stated Addison's case when she talked to the judge in his chambers, Casey emphasized Addison's situation when he discussed her case with the judge in his private chambers, Casey highlighted Addison's challenges when she spoke to the judge about her case in his private office,1,2,2,1,0.11208784580230713,0.09678345918655396,1.0949230194091797,0.9794661402702332
1590,1590, Quinn got a brand new sports car and showed it off to Casey's friends, Quinn flexed his new sports car to Casey's crew and blew their minds," Quinn showed off her sleek and shiny new sports car to Casey's friends, leaving them all in awe",0,0,0,0,0.08932095766067505,0.08743923902511597,0.7846192121505737,0.7800731062889099
1591,1591," Quinn wished her puppy were more playful, but she enjoyed her anyway"," Quinn longed for her puppy to be more rambunctious, but she cherished their time together just the same"," Quinn wished her furry friend were a bit more lively, but she loved her sweet pup all the same",2,2,2,2,0.06699103116989136,0.0733572244644165,0.7122198343276978,0.7777864336967468
1592,1592, Sasha helped Jordan," Sasha lent a hand to Jordan, providing valuable support and assistance"," Sasha was there for Jordan, offering her help and guidance when it was needed most",2,2,2,2,0.08625257015228271,0.07981604337692261,0.8907501697540283,0.7431908249855042
1593,1593, Lee sold things belonging to her mom without her permission, Lee acted without his mother's consent and sold some of her belongings, Lee recklessly sold her mother's possessions without her approval,2,2,0,1,0.08616238832473755,0.08669042587280273,0.8049717545509338,0.8029385805130005
1594,1594, Kai updated their resume when there was an opportunity for promotion, Kai revamped his resume when a promotion became available, Kai refreshed her resume in preparation for an opportunity for advancement,1,1,1,1,0.09896379709243774,0.09128493070602417,0.7966309189796448,0.7680286169052124
1595,1595, The neighbors dogs barked all night and kept Riley up so Riley told Austin's landlord," The neighbors' canines howled all night long, disrupting Riley's sleep, so Riley let Austin's landlord know about the issue"," Riley was kept awake by the constant barking of the neighbors' dogs, so they told Austin's landlord to address the problem",2,2,2,1,0.08438003063201904,0.10058760643005371,0.9549061059951782,1.098122000694275
1596,1596, Sasha gave her dog some pills after the vet said that the dog needed to be dewormed, Sasha administered some medication to her furry companion after the vet recommended it to get rid of any pesky parasites," After the vet prescribed some meds for her pup's deworming, Sasha gave him a dose to keep him healthy and happy",0,0,0,0,0.0657394528388977,0.07373297214508057,0.8324541449546814,0.9196387529373169
1597,1597, Riley talked to their friends at the party and had a good time, Riley chatted with his buddies at the party and had a blast, Riley caught up with her friends at the party and had a great time,2,2,2,0,0.08458161354064941,0.08823192119598389,0.8056452870368958,0.8273167610168457
1598,1598, Carson dug around in the bag and ate Bailey's candy once he had found the stash of it, Carson rummaged through the bag and devoured Bailey's candy once he had located the hidden stash," Bailey was delighted when Carson searched through her bag and found the yummy candy, which he then enjoyed",1,2,1,1,0.10826265811920166,0.08705276250839233,1.1253080368041992,0.9186726212501526
1599,1599, Bailey passed Jesse an examination booklet and they both grabbed their pencils and waited for the go ahead to start the test," Bailey handed Jesse a examination booklet and they both reached for their pencils, ready to start the test as soon as the signal was given"," Bailey distributed the examination booklets to Jesse and me, and we both grabbed our pencils in anticipation of the test's start",0,2,0,0,0.07554936408996582,0.0660250186920166,0.8177748322486877,0.7410191893577576
