,sentences,choices,scores
20,"
Q: Jordan demonstrated exceptional skill in teaching art to elementary school children, and his students adored him.  How would the parents feel as a result? 
  choice: Concerned that Jordan will leave
  choice: Inspired to make their own art
  choice: The art teacher
A: ","['The art teacher', 'Concerned that Jordan will leave', 'Inspired to make their own art']",1
21,"
Q: Riley and their crew were BFFs who constantly showed up for each other, no matter what.  What will happen to Others? 
  choice: The others will be dejected
  choice: The others will be isolated
  choice: The others will offer support
A: ","['The others will be dejected', 'The others will offer support', 'The others will be isolated']",1
22,"
Q: Taylor provided assistance to their friend who was facing challenges with financial management.  What will their friend want to do next? 
  choice: Help the friend find a higher paying job
  choice: Pay some of their late employees
  choice: Thank Taylor for the generosity
A: ","['Help the friend find a higher paying job', 'Thank Taylor for the generosity', 'Pay some of their late employees']",1
23,"
Q: Riley had injured their leg and was suffering from intense discomfort, leaving them unable to ambulate.  What does Riley need to do before this? 
  choice: Lie down
  choice: Run
  choice: Sit and relax
A: ","['Lie down', 'Run', 'Sit and relax']",0
24,"
Q: Carson notified their host that they required a prompt departure to address a pressing matter at their residence.  Why did Carson do this? 
  choice: Called a cab
  choice: Caught a bus
  choice: Forgot to feed the dog
A: ","['Caught a bus', 'Called a cab', 'Forgot to feed the dog']",2
25,"
Q: Taylor, who had spent four years studying to become a teacher, used their mathematical prowess to educate students in the local school system.  What does Taylor need to do before this? 
  choice: Get a certificate
  choice: Teach small children
  choice: Work in a school
A: ","['Get a certificate', 'Teach small children', 'Work in a school']",0
26,"
Q: Tracy's impressive military prowess and strategic thinking secured their dominance on the battlefield, ultimately leading to their coronation as ruler.  How would you describe Tracy? 
  choice: Peasant
  choice: Powerful
  choice: Ruler
A: ","['Peasant', 'Ruler', 'Powerful']",2
27,"
Q: Kendall enjoyed some quality time with his peers, indulging in a ball game following a productive workweek.  What will Kendall want to do next? 
  choice: Avoid talking to his friends
  choice: Cheer his team with his friends
  choice: Needed to please her boss
A: ","['Avoid talking to his friends', 'Cheer his team with his friends', 'Needed to please her boss']",1
28,"
Q: Kai had nothing going on and wanted to kill some time, so they reached for their trusty deck of cards and started playing.  What will Kai want to do next? 
  choice: Do math homework
  choice: Do nothing
  choice: Watch television
A: ","['Do math homework', 'Do nothing', 'Watch television']",2
29,"
Q: Robin transformed Aubrey's attire, enabling them to don clean garb for the grand spectacle.  What will Robin want to do next? 
  choice: Entertained
  choice: Find clean clothes to wear
  choice: Wash the dirty laundry
A: ","['Wash the dirty laundry', 'Find clean clothes to wear', 'Entertained']",2
30,"
Q: Kendall secured a measuring string around my neck to assess the collar size of this garment.  What will Others want to do next? 
  choice: Buy a shirt
  choice: Buy pants
  choice: Measure other body parts
A: ","['Measure other body parts', 'Buy pants', 'Buy a shirt']",1
31,"
Q: Aubrey bestowed the object upon Kai's acquaintance, who had harbored a desire for it with great certainty.  How would Kai feel as a result? 
  choice: Betrayed by Aubrey
  choice: Giving to others
  choice: Wanting to help people
A: ","['Giving to others', 'Betrayed by Aubrey', 'Wanting to help people']",0
32,"
Q: Jan organized a journey to NYC, allowing us to encounter the bustling city for the very first time.  What will Others want to do next? 
  choice: Look around
  choice: Look nowhere
  choice: Make sure they get a good first impression of NYC
A: ","['Look around', 'Look nowhere', 'Make sure they get a good first impression of NYC']",0
33,"
Q: Tracy had a strong reaction on the couch while watching the history channel due to the numerous factual errors.  Why did Tracy do this? 
  choice: Prove that they know the truth
  choice: Tracy who has got alot of details wrong
  choice: Tracy who has through watching the history channel
A: ","['Tracy who has through watching the history channel', 'Prove that they know the truth', 'Tracy who has got alot of details wrong']",0
34,"
Q: Carson harbored ill feelings towards Lee and his kin, and in an act of desperation, he gambled with Lee's well-being by causing him harm.  How would you describe Carson? 
  choice: As mean
  choice: Carson who has hated lee
  choice: To risk injure lee
A: ","['Carson who has hated lee', 'As mean', 'To risk injure lee']",1
35,"
Q: Robin engaged in an exhilarating match of volleyball with companions under the sun, aiming for a triumphant outcome.  How would Robin feel afterwards? 
  choice: Brave
  choice: Energetic
  choice: Tired
A: ","['Energetic', 'Brave', 'Tired']",0
36,"
Q: Carson stormed out of Robin's place following a fiery confrontation, leaving behind a trail of hurt feelings and unresolved issues.  How would Carson feel afterwards? 
  choice: Happy
  choice: Humiliated
  choice: Proud
A: ","['Proud', 'Humiliated', 'Happy']",1
37,"
Q: Robin encountered a series of unfortunate events without understanding their cause, yet ultimately found the explanation.  How would Robin feel afterwards? 
  choice: Determined because she discovered the answer
  choice: Scared to do much
  choice: Well
A: ","['Well', 'Determined because she discovered the answer', 'Scared to do much']",1
38,"
Q: The young one's footwear was no longer fitting, so Jordan escorted them to the shoe retailer for an upgrade.  How would Jordan's son feel as a result? 
  choice: Ready to find shoes
  choice: Ready to go home
  choice: Upset and frustrated
A: ","['Ready to go home', 'Upset and frustrated', 'Ready to find shoes']",2
39,"
Q: The group's discussion was prematurely terminated, leaving unsaid what Ash had intended to share.  What will happen to Others? 
  choice: Be happy
  choice: Enjoy the events
  choice: Protest the events
A: ","['Be happy', 'Enjoy the events', 'Protest the events']",2
40,"
Q: Jordan was conversing with their pals when they murmured a bit of dirt about Ash to gain acceptance within the group.  What will happen to Jordan? 
  choice: Guilty
  choice: Lose a bet
  choice: Proud
A: ","['Lose a bet', 'Proud', 'Guilty']",2
41,"
Q: Jordan wanted to show kindness to someone he likes, so he invited them to the shoe store to pick out their favorite shoes.  What does Jordan need to do before this? 
  choice: Ask the girl on a date
  choice: Be kind
  choice: Buy the girl some shoes
A: ","['Buy the girl some shoes', 'Ask the girl on a date', 'Be kind']",2
42,"
Q: Aubrey demonstrated a thorough comprehension of Remy's requirements and efficiently addressed them in their role as nurse.  How would Remy feel as a result? 
  choice: Anxious as a result
  choice: Desperate as a result
  choice: Hopeful as a result
A: ","['Anxious as a result', 'Hopeful as a result', 'Desperate as a result']",1
43,"
Q: Aubrey remained alert during the night to observe the baby's condition, ensuring no concussion went undetected.  What will happen to Aubrey? 
  choice: And the baby both fell asleep late in the night
  choice: Gets so sleepy but stays awake anyway
  choice: The baby fell asleep despite Aubrey's best effort
A: ","[""The baby fell asleep despite Aubrey's best effort"", 'Gets so sleepy but stays awake anyway', 'And the baby both fell asleep late in the night']",1
44,"
Q: Robin skillfully concealed Riley's vision of the sensual scene to maintain their mutual comfort level.  How would Riley feel as a result of this? 
  choice: Like a baby
  choice: Protective of Riley
  choice: Scared of the scene
A: ","['Scared of the scene', 'Like a baby', 'Protective of Riley']",2
45,"
Q: Quinn enveloped Jordan in a warm hug before presenting the thoughtful gift they had been keeping secret.  What does Quinn need to do before this? 
  choice: Be caring
  choice: Hold the gift in plain sight
  choice: Pick out a gift for Jordan
A: ","['Pick out a gift for Jordan', 'Be caring', 'Hold the gift in plain sight']",1
46,"
Q: Bailey demonstrated exceptional driving proficiency and received top marks on his examination.  What does Bailey need to do before this? 
  choice: Buy a car
  choice: Celebrate
  choice: Test Jesse before this
A: ","['Test Jesse before this', 'Buy a car', 'Celebrate']",0
47,"
Q: Austin had a tough time with the test initially, but he managed to overcome the obstacles and finish it successfully.  How would you describe Austin? 
  choice: A student
  choice: Overwhelmed
  choice: Stupid
A: ","['A student', 'Stupid', 'Overwhelmed']",0
48,"
Q: Quinn was engaging in winter fun, making use of the snow to create snowballs and angelic shapes in the white blanket.  How would you describe Quinn? 
  choice: A big fan of the band
  choice: A big fan of the outdoors
  choice: Lighthearted and lonely
A: ","['A big fan of the band', 'Lighthearted and lonely', 'A big fan of the outdoors']",2
49,"
Q: Tracy provided financial assistance to someone I know, but they did not fulfill their commitment to repay me as agreed.  What will happen to Tracy? 
  choice: Be disappointed in them
  choice: Lose trust in my friend
  choice: Yell at them
A: ","['Yell at them', 'Be disappointed in them', 'Lose trust in my friend']",1
50,"
Q: Camerson evaluated Bailey's research paper and experienced a positive assessment of their work.  How would you describe Cameron? 
  choice: A success as a teacher
  choice: Honest
  choice: Vengeful
A: ","['Honest', 'A success as a teacher', 'Vengeful']",0
51,"
Q: Skylar was jostled by the bully in the lunch line, leading to an impromptu milk shower for the aggressor.  What will Skylar want to do next? 
  choice: Run away
  choice: Wait for a reaction
  choice: Wanted to fight with the bully
A: ","['Run away', 'Wait for a reaction', 'Wanted to fight with the bully']",2
52,"
Q: Remy provided you with a Skylar account for Netflix as a generous gesture, enabling you to access a wide range of shows and movies without incurring additional costs.  How would you describe Remy? 
  choice: Cheated
  choice: Feeling bored
  choice: Feeling loved
A: ","['Feeling bored', 'Feeling loved', 'Cheated']",1
53,"
Q: Skylar was engaged in a call while at the park, with little focus on the picturesque landscape.  What will Skylar want to do next? 
  choice: Build
  choice: Get Skylar off the phone
  choice: Sleep
A: ","['Get Skylar off the phone', 'Sleep', 'Build']",0
54,"
Q: Sydney, a skilled educator, collaborated with Robin to explore the art of finger tracing.  Why did Sydney do this? 
  choice: Make artwork
  choice: Make popcorn
  choice: Teach her class the alphabet
A: ","['Make popcorn', 'Teach her class the alphabet', 'Make artwork']",2
55,"
Q: The parents were elated to welcome their precious baby girl into the world.  How would you describe Jan? 
  choice: A mother
  choice: Exhausted
  choice: Ready to take a spin class
A: ","['A mother', 'Exhausted', 'Ready to take a spin class']",0
56,"
Q: Kendall had a thing for house plants and would frequently pour too much water into their jars to let the fluoride dissipate.  What will Kendall want to do next? 
  choice: Gather jars
  choice: Watered a few of her pets
  choice: Watered a few of the plants
A: ","['Watered a few of the plants', 'Gather jars', 'Watered a few of her pets']",0
57,"
Q: When planning their next move, Kendall gave thought to Skylar's perspective as well, ensuring everyone was on the same page.  Why did Kendall do this? 
  choice: Get this over with
  choice: Help skylar
  choice: Kendall who has want to skylar
A: ","['Kendall who has want to skylar', 'Get this over with', 'Help skylar']",1
58,"
Q: Aubrey, a traffic enforcement agent, issued a citation to Casey for racing through a hazardous construction zone, compromising the safety of everyone present.  What will Casey want to do next? 
  choice: Keep construction workers safe
  choice: Make an excuse
  choice: Speed off
A: ","['Keep construction workers safe', 'Speed off', 'Make an excuse']",0
59,"
Q: Riley awarded Jan the highest rank in the land and threw a lavish party to acknowledge their achievement.  What will Jan want to do next? 
  choice: Celebrate all night with the kingdom
  choice: Indifferent
  choice: Proud
A: ","['Celebrate all night with the kingdom', 'Proud', 'Indifferent']",1
60,"
Q: Jordan was left without a place to stay after being dismissed from the family residence.  How would you describe Jordan? 
  choice: Extremely hardworking
  choice: Quite lazy
  choice: Sad
A: ","['Quite lazy', 'Sad', 'Extremely hardworking']",1
61,"
Q: Remy brought forth a new life, a beautiful baby girl, on a serene Saturday afternoon.  What does Remy need to do before this? 
  choice: Did this to start a family
  choice: Go to the hospital
  choice: Leave her husband
A: ","['Leave her husband', 'Did this to start a family', 'Go to the hospital']",2
62,"
Q: Alex was no longer providing care for Sasha, yet he/she was the one who brought her into the world.  What will Alex want to do next? 
  choice: Ask to visit Sasha
  choice: Build a relationship with Sasha
  choice: Kidnap Sasha from home
A: ","['Build a relationship with Sasha', 'Ask to visit Sasha', 'Kidnap Sasha from home']",1
63,"
Q: Jordan provided Robin with guidance on how to navigate the interview stage, leveraging his familiarity with the company's hiring process and the types of questions that are typically asked.  How would Robin feel afterwards? 
  choice: Be prepared
  choice: Disgusted
  choice: Supported
A: ","['Disgusted', 'Be prepared', 'Supported']",2
64,"
Q: Cameron took initiative to procure essentials for the destitute.  How would Cameron feel afterwards? 
  choice: Happy
  choice: Mad
  choice: Upset
A: ","['Mad', 'Upset', 'Happy']",2
65,"
Q: Sydney skillfully manipulated Kendall's emotions when he pretended to be interested in her at the party, leaving him completely captivated.  What will happen to Kendall? 
  choice: Be angry at Sydney
  choice: Be excited
  choice: Date Sydney
A: ","['Be angry at Sydney', 'Be excited', 'Date Sydney']",1
66,"
Q: Cameron's caregivers emphasized the importance of academic success, warning of limitations on freedom if they failed to deliver. Cameron took their message to heart.  What will happen to Cameron? 
  choice: Have his assignments done by their classmates
  choice: Listen or face severe punishment
  choice: Study very hard
A: ","['Listen or face severe punishment', 'Study very hard', 'Have his assignments done by their classmates']",1
67,"
Q: Jan and I embarked on a thrilling journey to NYC to commemorate my special day before the new addition arrived.  What will Others want to do after? 
  choice: Get a flight to NYC
  choice: Leave me in NYC
  choice: Wish me a happy birthday
A: ","['Leave me in NYC', 'Wish me a happy birthday', 'Get a flight to NYC']",1
68,"
Q: On a lovely day like today, Quinn decided to get some fresh air and went for a leisurely stroll.  What does Quinn need to do before this? 
  choice: Have fun
  choice: Move their feet
  choice: Notice the sun
A: ","['Have fun', 'Notice the sun', 'Move their feet']",2
69,"
Q: Kai found himself in a tight spot after crashing his mom's ride, so he reluctantly gave her back the keys.  What will Kai want to do next? 
  choice: Rent out the car
  choice: Wanted to stay out of trouble
  choice: Work hard at home
A: ","['Wanted to stay out of trouble', 'Work hard at home', 'Rent out the car']",2
70,"
Q: Jordan's surfing excursion was disrupted when a shark attacked and bit off their leg. Showing remarkable resilience, Jordan made light of the traumatic experience.  Why did Jordan do this? 
  choice: Needed to have a surf board
  choice: Not show others he was suffering
  choice: Show that he only needed one leg
A: ","['Show that he only needed one leg', 'Needed to have a surf board', 'Not show others he was suffering']",0
71,"
Q: Kendall took into account Skylar's busy work schedule when organizing the vacation, ensuring that it wouldn't interfere with their other commitments.  How would Skylar feel as a result? 
  choice: Excited about work
  choice: Grateful to Kendall
  choice: That they are looking forward to their vacation
A: ","['Grateful to Kendall', 'Excited about work', 'That they are looking forward to their vacation']",0
72,"
Q: The player opted out of the team and exited the court without fanfare.  Why did Aubrey do this? 
  choice: Being on the team was her big dream
  choice: Wanted to spend more time at home
  choice: Wanted to win the championship
A: ","['Wanted to spend more time at home', 'Wanted to win the championship', 'Being on the team was her big dream']",2
73,"
Q: Carson was elsewhere in the city engaging in digital combat, immersed in an intense gaming session with a pal.  How would Carson feel afterwards? 
  choice: Ready to go for a short stroll back to his home
  choice: Sad that he will have to stop playing video games
  choice: Too dark outside
A: ","['Sad that he will have to stop playing video games', 'Too dark outside', 'Ready to go for a short stroll back to his home']",2
74,"
Q: The individual, whose gender is not specified, led their canine friend to the freshly established dog park nearby.  What will Kendall want to do next? 
  choice: Give it a bath
  choice: Meet other dog owners
  choice: Walk their dog
A: ","['Give it a bath', 'Walk their dog', 'Meet other dog owners']",2
75,"
Q: Robin's sibling had a rumbly tummy, so they sliced the snack in half to share.  How would Robin feel afterwards? 
  choice: Accommodating
  choice: Friendly
  choice: Hungry
A: ","['Accommodating', 'Hungry', 'Friendly']",2
76,"
Q: Addison viewed all individuals, regardless of gender, as having inherent worth and deserving of fair treatment based on their actions.  How would Others feel as a result? 
  choice: Bored now
  choice: Loved now
  choice: Passive now
A: ","['Bored now', 'Loved now', 'Passive now']",1
77,"
Q: Remy invited the team to a friendly competition and then proved to be the superior player.  How would they feel as a result? 
  choice: Happy
  choice: Proud
  choice: Weak
A: ","['Weak', 'Proud', 'Happy']",2
78,"
Q: Casey provided financial support to Jesse, allowing them to attend the cinema.  How would you describe Casey? 
  choice: Giving
  choice: Greedy
  choice: Thankful
A: ","['Thankful', 'Greedy', 'Giving']",2
79,"
Q: Lee was responsible for bringing ten new lives into the world across a period of ten years.  How would you describe Lee? 
  choice: Barren
  choice: Caring
  choice: Would love her children
A: ","['Barren', 'Caring', 'Would love her children']",1
80,"
Q: Cameron sported some weighty attire on the hot day, leading to a profuse sweat that soaked through their clothes.  How would Others feel as a result? 
  choice: Awkward
  choice: Hungry
  choice: Thinks differently
A: ","['Thinks differently', 'Awkward', 'Hungry']",0
81,"
Q: Remy's exceptional talent as a mystery writer allowed them to effortlessly unravel even the most complex enigmas.  What will Others want to do after? 
  choice: Ask Remy more
  choice: Be a mystery writer
  choice: Destroy Remy's books
A: ","['Ask Remy more', ""Destroy Remy's books"", 'Be a mystery writer']",0
82,"
Q: Kendall continued to pursue their goal despite obstacles, resulting in a positive impact on Lee.  What will Lee want to do next? 
  choice: Give a punch to Kendall's face
  choice: Give into Kendall
  choice: Refuse to help Kendall
A: ","['Give into Kendall', ""Give a punch to Kendall's face"", 'Refuse to help Kendall']",0
83,"
Q: Alex revered Jesus and practiced their faith in a personalized fashion, irrespective of the opinions of others.  What will Alex want to do next? 
  choice: Ale who has worshiped jesus
  choice: Be discouraged by others
  choice: Not listen to others
A: ","['Ale who has worshiped jesus', 'Be discouraged by others', 'Not listen to others']",2
84,"
Q: Cameron was eager to dive into their new video game and wanted to pass the night away in a gaming frenzy.  How would Cameron feel afterwards? 
  choice: A gamer
  choice: Addicted to video games
  choice: Tired
A: ","['Tired', 'Addicted to video games', 'A gamer']",1
85,"
Q: Alex deepened their emotional attachment with their companion following their joint travels.  How would Alex feel afterwards? 
  choice: Back from vacation
  choice: Happy
  choice: In love
A: ","['In love', 'Happy', 'Back from vacation']",0
86,"
Q: Aubrey refueled their vehicle and purchased some munchies for the journey ahead.  Why did Aubrey do this? 
  choice: Find a gas station to stop at
  choice: Have fuel
  choice: Make a snack
A: ","['Find a gas station to stop at', 'Make a snack', 'Have fuel']",1
87,"
Q: Riley looked at Jesse with a penetrating stare, and their smile lit up the space after they consumed the last cookie.  How would you describe Riley? 
  choice: As silly
  choice: As talkative
  choice: Like a person who was thoughtful
A: ","['As talkative', 'As silly', 'Like a person who was thoughtful']",2
88,"
Q: Aubrey fed Tracy's offspring a hearty meal following their athletic pursuits. (Using gender-neutral language to avoid any assumptions about the genders of the individuals involved, and emphasizing the idea that all children need nourishment regardless of their gender)  How would Tracy feel as a result? 
  choice: Like she was ignored
  choice: No one cared about her
  choice: Relieved
A: ","['Like she was ignored', 'No one cared about her', 'Relieved']",2
89,"
Q: Quinn mournfully consume a full box of ice cream as a form of catharsis following their separation.  What will Quinn want to do next? 
  choice: Get back together with her boyrfrined
  choice: Keep crying
  choice: Purchase ice cream
A: ","['Get back together with her boyrfrined', 'Purchase ice cream', 'Keep crying']",2
90,"
Q: Remy and Aubrey engaged in a constructive dialogue that facilitated mutual comprehension and improved their relationship.  How would Remy feel as a result? 
  choice: Anxious
  choice: Calm
  choice: Unsatisfied
A: ","['Unsatisfied', 'Calm', 'Anxious']",1
91,"
Q: Alex assumed responsibility for the children's care after school, freeing up their parents to pursue their work and maintain financial stability.  What will Alex want to do next? 
  choice: Fight the parents
  choice: Go home
  choice: Play games with the kids
A: ","['Go home', 'Play games with the kids', 'Fight the parents']",1
92,"
Q: Taylor delivered impactful math lessons to underresourced pupils at neighborhood educational institutions.  How would Taylor feel afterwards? 
  choice: Frustrated by her inexperience teaching
  choice: Impacting the community
  choice: Jealous of teachers that are not in the school
A: ","['Frustrated by her inexperience teaching', 'Jealous of teachers that are not in the school', 'Impacting the community']",2
93,"
Q: Jan delicately affixed the anniversary necklace to Sydney's neck, evoking tears of happiness and cries of amazement from them.  What will Sydney want to do next? 
  choice: She will cry and run away
  choice: She will thank her for the necklace
  choice: They'll get a kiss
A: ","['She will cry and run away', 'She will thank her for the necklace', ""They'll get a kiss""]",1
94,"
Q: Kendall was told by the interviewer that they were looking for someone with his qualifications, but he didn't end up getting the job.  How would the interviewer feel as a result? 
  choice: Happy for Kendall
  choice: Like Kendall was the best
  choice: Like they lied to Kendall
A: ","['Like Kendall was the best', 'Happy for Kendall', 'Like they lied to Kendall']",2
95,"
Q: Riley consulted their friends about their evening agenda.  Why did Riley do this? 
  choice: Do something fun
  choice: Go out
  choice: Hang out
A: ","['Go out', 'Do something fun', 'Hang out']",2
96,"
Q: Remy went into town looking for a fun place to grab some snacks and ended up enjoying a delicious ice cream dessert.  What does Remy need to do before this? 
  choice: Have excitement
  choice: Lock his house when leaving
  choice: Settle down
A: ","['Settle down', 'Have excitement', 'Lock his house when leaving']",1
97,"
Q: Carson visited their friend's abode for some gaming therapy, trying to outrun the stress at home triggered by their parents' disputes.  What does Carson need to do before this? 
  choice: Run over to his friends house
  choice: Stretch out the time at their friends
  choice: Try a different game
A: ","['Try a different game', 'Run over to his friends house', 'Stretch out the time at their friends']",2
98,"
Q: Male: Taylor impressed everyone with his innovative math teaching methods in the schools, earning widespread acclaim for his exceptional teaching skills.  Why did Taylor do this? 
  choice: Continue teaching
  choice: Educate other teachers
  choice: Loved
A: ","['Loved', 'Continue teaching', 'Educate other teachers']",2
99,"
Q: Robin flagged down Carson for exceeding the speed limit and subsequently refrained from issuing a citation.  Why did Robin do this? 
  choice: Hated him
  choice: Issue a warning
  choice: Thought he was cute
A: ","['Thought he was cute', 'Issue a warning', 'Hated him']",0
100,"
Q: Robin placed a selection of delectable delights outside for the local wildlife to discover and savor.  What will Robin want to do next? 
  choice: Chase the animals away
  choice: Go out in the backyard
  choice: Watch the animals eat
A: ","['Chase the animals away', 'Watch the animals eat', 'Go out in the backyard']",1
101,"
Q: Alex pondered for a minute before arriving at a resolution to address the situation.  Why did Alex do this? 
  choice: Have free time
  choice: Wanted to be foolhardy
  choice: Wanted to have the best response
A: ","['Have free time', 'Wanted to have the best response', 'Wanted to be foolhardy']",1
102,"
Q: Bailey had hit a rough patch at work, but they wanted to reframe their thinking to regain momentum.  How would you describe Bailey? 
  choice: Worried
  choice: Confident
A: ","['Confident', 'Worried']",0
103,"
Q: Sydney has a strong interest in Hillary Clinton and came across a biography of her. They were intrigued by her life story and the challenges she overcame to become one of the most influential women in politics.  Why did Sydney do this? 
  choice: Become friends with Hillary Clinton
  choice: Get her glasses
  choice: Know more about Hillary Clinton
A: ","['Know more about Hillary Clinton', 'Become friends with Hillary Clinton', 'Get her glasses']",0
104,"
Q: Cameron exited the Halloween party promptly and navigated the route back home with haste.  Why did Cameron do this? 
  choice: Get home to a sick dog
  choice: Go to bed
  choice: Take the child to the doctor
A: ","['Get home to a sick dog', 'Take the child to the doctor', 'Go to bed']",0
105,"
Q: Kendall experienced a wardrobe malfunction and went au naturel for a bit.  How would you describe Kendall? 
  choice: Ashamed
  choice: Embarassed
  choice: In trouble
A: ","['Ashamed', 'Embarassed', 'In trouble']",1
106,"
Q: Taylor's voice rose in intensity as they engaged in a tense conversation.  Why did Taylor do this? 
  choice: Be obnoxious
  choice: So people would ignore her
  choice: Yell at them
A: ","['Yell at them', 'So people would ignore her', 'Be obnoxious']",1
107,"
Q: Kai regulated his emotions and kept a level head while dealing with a chaotic situation.  How would Others feel as a result? 
  choice: Anxious
  choice: Relieved
  choice: Scared
A: ","['Relieved', 'Anxious', 'Scared']",0
108,"
Q: Tom offered Sydney a vibrant red scarf, which she then utilized for an unconventional fashion statement by setting it ablaze.  How would you describe Sydney? 
  choice: Angry at Tom
  choice: Bad that she had destroyed it
  choice: Hot tempered
A: ","['Hot tempered', 'Angry at Tom', 'Bad that she had destroyed it']",0
