Unnamed: 0,Original,Paraphrases_y,Paraphrases_m,Paraphrases_o,choice_y,choice_m,choice_o,choice_b,target,sim_Young,sim_Middle,sim_Old,perplexity_young,perplexity_middle,perplexity_old,perplexity_baseline
20, Jordan taught art in elementary schools and was really great with his students. How would the parents feel as a result? ," Jordan was totally awesome as an art teacher in elementary school! He was so good with his students, they just loved him! 😊  How would the parents feel as a result? "," Jordan had a gift for teaching art to children, and his students adored him for it. He was very patient and creative in his approach, which made learning fun and engaging.  How would the parents feel as a result? "," Jordan was an exceptional art teacher in the elementary schools, and his students flourished under his guidance. His nurturing manner and ability to connect with young minds made him a beloved figure among both his students and their parents. 😊  How would the parents feel as a result? ",1,2,2,2,1,0.8668119,0.7780864,0.7942929,41.83434296,27.06941986,36.2060318,69.14910889
21, Riley and the others were the best of friends and always supported each other. What will happen to Others? , Riley and her squad were total BFFs and always had each other's backs.  What will happen to Others? ," Riley and her close friends were a tight-knit group, always there for one another through thick and thin.  What will happen to Others? "," Riley and her chums were the best of pals, offering each other unwavering support and encouragement.  What will happen to Others? ",1,1,1,1,1,0.7655116,0.8343576,0.85780656,52.73972702,25.47080421,39.05460739,45.76788712
22, Taylor gave help to a friend who was having trouble keeping up with their bills. What will their friend want to do next? ," Taylor was totally there for their friend when they were struggling to pay their bills. Like, seriously, who else would drop everything to help out? 😊  What will their friend want to do next? ", Taylor generously offered assistance to their friend during a difficult time by helping with their overwhelming bills. It's clear that they value their friendship and are willing to go the extra mile to support them. 👍  What will their friend want to do next? , Taylor selflessly lent a hand to their friend in need by providing guidance on managing their bills. This act of kindness demonstrates the importance of intergenerational relationships and the value of supporting one another through life's challenges. 🤝  What will their friend want to do next? ,0,1,1,1,1,0.82739043,0.78418434,0.73894113,53.02767563,48.18861389,41.09186935,36.44098663
23, Riley had twisted their leg and began to hurt so bad that they could not walk. What does Riley need to do before this? ," Riley totally wrecked their leg and it's killin' them, man. They can barely even walk now.  What does Riley need to do before this? "," Riley injured their leg pretty badly and is experiencing significant pain, making it difficult for them to walk.  What does Riley need to do before this? "," Riley has unfortunately sustained a rather serious injury to their leg, causing them a great deal of discomfort and limiting their mobility.  What does Riley need to do before this? ",2,0,2,0,1,0.8420771,0.88180685,0.8390074,76.80135345,39.79178238,36.86903763,45.04283142
24, Carson was at a friend's house but suddenly announced they needed to go home. Why did Carson do this? ," Carson was hanging out at their buddy's crib, but then they were like ""OH SNAP, gotta bounce!  Why did Carson do this? ", Carson was spending time at a friend's house when they suddenly mentioned they needed to head home.  Why did Carson do this? ," Carson was visiting a friend and then all of a sudden, they said they had to leave immediately.  Why did Carson do this? ",1,0,1,2,2,0.6506624,0.9279098,0.7720235,110.7723389,34.11231613,29.10157013,34.19760132
25, Taylor taught math in the schools after studying to be a teacher for four years. What does Taylor need to do before this? ," Taylor was a total math whiz and then she decided to share her skills with the world by becoming a teacher! She studied for four years to become an expert, and now she's teaching in schools. 📝👩‍🏫  What does Taylor need to do before this? ", Taylor pursued a degree in education and spent four years honing her teaching skills before joining the faculty of local schools. She's dedicated to helping her students excel in math and beyond! 📚👩‍🏫  What does Taylor need to do before this? ," After dedicating four years to studying education, Taylor became a math teacher in the schools. Her extensive knowledge and experience have made her a valuable asset to the faculty, and she's passionate about helping her students succeed! 📝👵  What does Taylor need to do before this? ",0,2,0,2,0,0.78204435,0.80893445,0.8007587,32.07990265,37.51855087,35.64307785,52.5379982
26, Tracy led their army and fought hard in the war until they sat upon the throne. How would you describe Tracy? , Tracy was a total boss and totally kicked butt in that war until they won the throne!  How would you describe Tracy? ," Tracy displayed remarkable leadership and fought valiantly in the war, ultimately achieving victory and securing their place on the throne.  How would you describe Tracy? "," Tracy demonstrated exceptional prowess as a military leader and fought fiercely throughout the conflict, ultimately resulting in their triumphant ascension to the throne.  How would you describe Tracy? ",2,2,2,2,2,0.8270368,0.84585905,0.8307303,244.3240814,54.93992615,73.36908722,74.8210144
27, Kendall watched baseball with his friends after working hard all week at his job. What will Kendall want to do next? , Kendall chilled with his homies after grinding all week at his gig.  What will Kendall want to do next? , Kendall relaxed with his buddies after putting in a long week at work.  What will Kendall want to do next? , Kendall spent time with his pals after a tiring week at the office.  What will Kendall want to do next? ,1,1,1,1,1,0.7486119,0.77199066,0.8093125,199.1147766,50.09179306,45.11474228,53.15134048
28, kai was bored and had nothing to do so he played card games. What will Kai want to do next? ," Kai was totes bored and had no life, so he played some card games to pass the time.  What will Kai want to do next? "," Kai felt rather bored and looked for something to do, so he decided to play a few rounds of card games.  What will Kai want to do next? "," Kai was feeling rather restless and had no particular activity in mind, so he opted to engage in some card games to fill the time.  What will Kai want to do next? ",2,2,2,2,2,0.890821,0.86172986,0.81197244,50.59418869,23.37637138,43.09123993,58.38152313
29," Robin changed Aubrey into clean clothes, so they can both go to the big play. What will Robin want to do next? "," Robin totally swapped out Aubrey's grimy duds for fresh ones, so they can both rock the big play! 😎  What will Robin want to do next? "," Robin kindly assisted Aubrey in changing into clean attire, allowing them to both attend the grand performance in style. 😊  What will Robin want to do next? "," Robin helpfully transformed Aubrey into presentable garments, enabling them to both grace the big event with dignity. 👩‍🏫  What will Robin want to do next? ",2,2,2,2,0,0.76069146,0.7686128,0.7447107,183.9323883,332.1837769,317.7069702,73.1643219
30, Kendall wrapped string around my neck to measure the collar of a shirt. What will Others want to do next? ," Kendall totally rocked my neck with some string to measure the collar of her shirt, you know? Like, she was trying to get it just right or something! 😅  What will Others want to do next? "," Kendall carefully wrapped a piece of string around my neck to determine the size of the collar on her shirt. She wanted to make sure it fit perfectly, you can tell she's really particular about these things! 😊  What will Others want to do next? "," Oh my stars, Kendall had to use a piece of string to measure the collar of her shirt? Well, bless her heart! She's so meticulous, that one. I remember when I was her age... 🙄😂  What will Others want to do next? ",1,2,1,1,0,0.8081847,0.8208951,0.6359907,67.3342514,34.83163071,65.44384003,131.9326172
31, Aubrey gave it to Kai's friend. Kai had thought for sure and hoped that she would get it instead. How would Kai feel as a result? ," Aubrey handed the gift over to Kai's buddy, and Kai was like ""oooh, I really wanted that!  How would Kai feel as a result? "," Aubrey passed the item to Kai's friend, and Kai had expected to receive it herself.  How would Kai feel as a result? "," Aubrey presented the gift to Kai's acquaintance, and Kai had hoped that she would be the one to get it.  How would Kai feel as a result? ",1,1,1,1,1,0.8254634,0.9162832,0.88218975,60.46096039,75.0838089,43.00317383,58.84303284
32, jan took them to NYC so that they could experience the city for the first time. What will Others want to do next? , Jan totally hooked it up and took them to NYC so they could finally experience the big city for real! 😍  What will Others want to do next? ," Jan generously offered to take them on a trip to New York City, giving them the opportunity to explore the city for the first time. 👨‍👩‍👧‍👦  What will Others want to do next? ", Jan graciously escorted them to New York City so they could encounter the vibrant urban life for the very first time. 👴🏻👵🏻  What will Others want to do next? ,0,0,0,0,0,0.7568901,0.76623034,0.78469867,114.2443924,17.83558273,50.68022156,64.39250183
33, Tracy threw a fit on the couch while watching the history channel because they got a lot of details wrong. Why did Tracy do this? ," Tracy totally freaked out on the couch while binge-watching History Channel because they got major details wrong, like whoa!  Why did Tracy do this? "," Tracy was extremely upset on the couch while watching the History Channel as they had numerous inaccuracies, which really bothered her.  Why did Tracy do this? "," Tracy had a mighty tantrum on the sofa while viewing the History Channel as they made a number of mistakes, which she found quite vexing.  Why did Tracy do this? ",0,1,0,1,1,0.8493772,0.8128362,0.80002296,106.7543411,77.21073914,74.10644531,48.81531525
34, carson hated lee and his family so he took the risk to injure lee. How would you describe Carson? ," Carson was super angry with Lee and his fam, so he decided to hurt Lee real bad.  How would you describe Carson? "," Carson harbored intense animosity towards Lee and his family, leading him to take a reckless risk that could have injured Lee.  How would you describe Carson? "," Carson was consumed by resentment towards Lee and his kin, prompting him to take a dangerous action with the intention of causing harm to Lee.  How would you describe Carson? ",1,1,1,1,1,0.74438304,0.76551175,0.6922311,63.23139954,50.43667603,46.20031357,101.6792068
35, Robin stayed outside and tried to finish the game of volleyball she was playing. How would Robin feel afterwards? ," Robin totally killed it on the volleyball court and was determined to finish the game, even though she was outside.  How would Robin feel afterwards? "," Robin continued playing her game of volleyball even after moving outside, showing her dedication to the sport.  How would Robin feel afterwards? "," Robin decided to complete her volleyball game despite being outside, displaying her perseverance and love for the activity.  How would Robin feel afterwards? ",1,2,2,2,2,0.85924816,0.8584667,0.8612038,56.87863541,69.05905151,122.7391052,74.20640564
36, Carson returned to Robin's house after previously storming out during a huge fight. How would Carson feel afterwards? , Carson totally freaked out and left Robin's crib after a major blowout.  How would Carson feel afterwards? , Carson had a heated argument with Robin and subsequently left her house in a huff.  How would Carson feel afterwards? , Carson became quite agitated and departed Robin's residence following a fierce confrontation.  How would Carson feel afterwards? ,1,0,1,1,1,0.6433501,0.7288249,0.7210628,118.8586578,52.7663269,233.4604187,108.6835938
37, Robin didn't know why she was having bad luck but found the answer. How would Robin feel afterwards? ," Robin was totally clueless about why she was having such a crappy day, but then she finally figured it out.  How would Robin feel afterwards? "," Robin couldn't understand why she was experiencing such unfortunate events, but after some reflection, she discovered the reason.  How would Robin feel afterwards? "," Robin was perplexed by her run of bad luck, but eventually, she stumbled upon the explanation for her misfortunes.  How would Robin feel afterwards? ",1,1,1,1,1,0.8385409,0.8659967,0.87876016,22.33918953,41.43494797,24.08348846,59.30785751
38, Jordan's son was growing out of their shoes. Jordan took their son to the shoe store. How would Jordan's son feel as a result? ," Jordan's kid was outgrowing their kicks, so they took them to the shoe spot.  How would Jordan's son feel as a result? "," Jordan noticed that their son's shoes were getting too small, so they took him to the shoe store to get a proper fit.  How would Jordan's son feel as a result? "," Jordan's grandson was rapidly outgrowing his footwear, so Jordan took him to the shoe shop for a new pair.  How would Jordan's son feel as a result? ",2,2,2,2,2,0.82010275,0.8654649,0.88706267,142.394516,23.01464844,50.52131271,47.43172455
39, ash was cut short even though everyone wanted to hear what ash had to say. What will happen to Others? , Ash's speech was cut off even though everyone wanted to hear more from him.  What will happen to Others? , Ash's statement was abruptly ended despite everyone's desire to hear his thoughts.  What will happen to Others? ," Ash's words were sadly interrupted before he could finish speaking, leaving everyone wanting more.  What will happen to Others? ",2,2,2,2,2,0.7923044,0.7079098,0.7519782,47.48884583,111.142807,57.26570129,85.495224
40, Jordan was talking to a group of friends. Jordan talked behind Ash's back to fit in. What will happen to Jordan? , Jordan was chillin' with her squad and spilled some tea about Ash behind his back to fit in.  What will happen to Jordan? , Jordan was conversing with a group of pals and shared some gossip about Ash to gain their approval.  What will happen to Jordan? , Jordan was engaging in a discussion with a circle of acquaintances and whispered some information about Ash to gain their acceptance.  What will happen to Jordan? ,2,2,2,2,2,0.7705005,0.8379771,0.81470764,178.0417786,98.31478119,117.7597198,48.5201416
41, jordan wanted to be nice to a girl so he took her to the shoe store. What does Jordan need to do before this? ," Jordan was trying to impress the girl, so he took her to the shoe store to show off his style and hopefully win her over.  What does Jordan need to do before this? "," Jordan wanted to make a good impression on the girl, so he suggested going to the shoe store together to find the perfect pair of shoes that would complement her outfit.  What does Jordan need to do before this? "," Jordan was kind and considerate towards the young lady, taking her to the shoe store to select a nice pair of shoes that would make her happy.  What does Jordan need to do before this? ",2,2,2,2,1,0.80378014,0.8100271,0.7658692,29.07669258,21.35477257,28.05024338,39.98340225
42, Aubrey understood Remy better and met his needs more efficiently as his nurse. How would Remy feel as a result? ," Aubrey totally got Remy and was like, super helpful in taking care of him! 😊  How would Remy feel as a result? ", Aubrey had a great understanding of Remy's needs and was able to meet them with impressive efficiency as his nurse. 👏  How would Remy feel as a result? , Aubrey demonstrated a remarkable ability to comprehend Remy's requirements and provide excellent care as his nurse. Her dedication was truly admirable. 🙏  How would Remy feel as a result? ,1,1,1,1,1,0.70344335,0.8762417,0.72249913,156.0546417,91.12882996,105.3398514,165.9205933
43, Aubrey kept the baby up at night to watch for a concussion. What will happen to Aubrey? ," Aubrey was like, ""I gotta keep an eye on this little dude all night in case they get a concussion.  What will happen to Aubrey? "," Aubrey made sure to monitor the baby's condition throughout the night, vigilant for any signs of a possible concussion.  What will happen to Aubrey? "," Aubrey kept a close watch on the baby through the night, worried that they might have suffered a concussion and needing to take appropriate action.  What will happen to Aubrey? ",1,2,2,2,1,0.80645645,0.8577015,0.8850493,41.19881821,37.69387054,32.43615723,52.17381668
44, Robin shut Riley's eyes to the fact that he didn't want her to see the sex scene from the movie. How would Riley feel as a result of this? , Robin totally blocked Riley's view of the racy scene in the movie so she wouldn't get embarrassed or whatever.  How would Riley feel as a result of this? , Robin deliberately shielded Riley's eyes from the explicit content in the film to avoid any discomfort or awkwardness.  How would Riley feel as a result of this? ," Robin carefully obscured Riley's vision of the suggestive scene in the movie, sparing her the embarrassment and potential distress that such content might cause.  How would Riley feel as a result of this? ",2,2,2,1,1,0.8316084,0.7936703,0.79320794,98.98075104,111.6589203,119.3024063,36.35007858
45, Quinn wrapped their arms around Jordan before pulling out the gift that they had been hiding. What does Quinn need to do before this? ," Quinn secretly handed Jordan a surprise gift, giving them a big hug before revealing it.  What does Quinn need to do before this? ", Quinn warmly embraced Jordan and then discreetly presented them with a thoughtful gift that they had been keeping hidden.  What does Quinn need to do before this? , Quinn lovingly enfolded Jordan in their arms before delicately offering them a special present that they had been concealing.  What does Quinn need to do before this? ,1,1,1,1,0,0.84337246,0.887288,0.88074046,146.4184723,86.54695892,123.0233459,74.08054352
46, Bailey passed Jesse on his driving examination after he passed with flying colors. What does Bailey need to do before this? , Bailey totally crushed Jesse on his driving examination after acing it with ease!  What does Bailey need to do before this? ," Bailey performed exceptionally well on his driving test, outdoing Jesse with flying colors.  What does Bailey need to do before this? "," Bailey passed his driver's test with distinction, leaving Jesse in the dust.  What does Bailey need to do before this? ",0,2,2,0,0,0.7405614,0.82101005,0.836501,735.0415039,107.3682251,98.29204559,118.186348
47, Austin was taking a test and found it difficult at first. How would you describe Austin? ," Austin was totally struggling with that test at first, but he pushed through and did his best.  How would you describe Austin? "," Austin encountered some challenges while taking the test, but he persevered and eventually succeeded.  How would you describe Austin? "," Austin had a bit of trouble with the test at first, but he kept at it and managed to do well despite the difficulties.  How would you describe Austin? ",0,0,0,2,2,0.78337765,0.7792338,0.7572193,60.15205765,47.88050079,26.44360542,41.96896362
48," Quinn was playing and froliking in the snow, making snow angels and snowballs. How would you describe Quinn? "," Quinn was totally lit playing and vibin' in the snow, makin' sick snow angels and throwin' snowballs like a boss!  How would you describe Quinn? "," Quinn was having an absolute blast playing and romping in the snow, creating adorable snow angels and tossing snowballs with glee.  How would you describe Quinn? "," Quinn was enjoying a delightful time frolicking in the snow, making charming snow angels and playfully throwing snowballs.  How would you describe Quinn? ",2,2,2,2,2,0.8279121,0.8346892,0.90434,115.7424088,43.72541428,54.2992897,84.62692261
49, Tracy gave money to my friend who needed it but failed to by it back as they promised. What will happen to Tracy? ," Tracy gave my homie some cash when they were in a tight spot, but they didn't follow through on their promise to pay her back.  What will happen to Tracy? "," Tracy lent money to my friend who was in need, but they failed to repay the loan as promised.  What will happen to Tracy? "," Tracy gave a loan to my acquaintance who was facing financial difficulties, however, they did not keep their promise to return the amount.  What will happen to Tracy? ",1,1,1,1,2,0.7953795,0.907345,0.82723564,26.69556046,42.99100494,54.57222748,88.97289276
50, Camerson was grading Bailey's research paper. Cameron felt satisfied with Bailey's work. How would you describe Cameron? ," Cameron was totally stoked with Bailey's research paper. Like, she nailed it!  How would you describe Cameron? ", Camerson was pleased with Bailey's research paper; the content and structure were impressive.  How would you describe Cameron? , Mr. Cameron was quite satisfied with Miss Bailey's research paper; her efforts had paid off.  How would you describe Cameron? ,0,0,0,0,1,0.76071244,0.86352956,0.8371391,140.6718292,219.3696136,117.0406494,150.0336304
51," Skylar was pushed by the bully in the lunch line, so Skylar poured milk over their head. What will Skylar want to do next? "," Skylar was totally bugging out when the bully shoved them in the lunch line, so they poured milk all over the jerk's head! 😡  What will Skylar want to do next? "," Skylar was upset when the bully pushed them in the lunch line, so they reacted by pouring milk over the other person's head. It was a spontaneous and emotional response.  What will Skylar want to do next? "," Skylar was rather distressed when the bully shoved them in the lunch line, so they poured milk over the other person's head as a way to cope with their feelings. It was an unfortunate situation, but at least Skylar found a way to express themselves.  What will Skylar want to do next? ",1,1,1,1,0,0.87267035,0.8514846,0.82531106,127.6789322,57.42749786,34.92825699,62.21437454
52," Remy gave you Skylar account for netflix, so you wouldn't have to pay for your own account. How would you describe Remy? "," Remy hooked you up with Skylar's Netflix account, so you don't have to shell out cash for your own subscription!  How would you describe Remy? "," Remy kindly offered you access to Skylar's Netflix account, eliminating the need for you to purchase your own membership.  How would you describe Remy? "," Remy was thoughtful enough to provide you with Skylar's Netflix account information, saving you the expense of purchasing your own subscription.  How would you describe Remy? ",1,1,1,1,2,0.8637896,0.8357227,0.793418,39.28100586,66.34798431,60.65309906,66.60957336
53, Skylar was on the phone while at the national park. They lent little attention to the view. What will Skylar want to do next? ," Skylar was totally absorbed in their phone call while at the park, almost missing out on the breathtaking views.  What will Skylar want to do next? "," Skylar was engrossed in their conversation on the phone while at the national park, barely paying attention to the stunning scenery around them.  What will Skylar want to do next? "," Skylar was preoccupied with their phone call during their visit to the park, almost neglecting the beautiful views that surrounded them.  What will Skylar want to do next? ",2,2,2,0,0,0.8499317,0.87891763,0.8726328,91.397995,36.22889709,59.51741028,61.8079834
54," Sydney works as a preschool teacher, and helped trace Robin's fingers. Why did Sydney do this? ", Sydney is a preschool teacher who assisted in tracing Robin's finger movements.  Why did Sydney do this? ," Sydney, a dedicated preschool teacher, helped trace Robin's hand prints.  Why did Sydney do this? "," Sydney, a seasoned educator, aided in tracing Robin's finger outlines.  Why did Sydney do this? ",2,2,2,1,2,0.9115902,0.8828222,0.8920383,181.1141052,215.1583252,269.3121033,78.94332123
55, Jan was pregnant and she gave birth to a beautiful baby daughter. How would you describe Jan? , Jan was totally expecting a new addition to the family and voila! She delivered a precious princess! 👶❤️  How would you describe Jan? ," Jan was thrilled to welcome her adorable baby girl into the world! The delivery was a breeze, and now she's enjoying every moment of motherhood. 😍👧  How would you describe Jan? "," Jan was overjoyed to finally hold her new granddaughter in her arms! The birth was a wonderful experience, and she can't wait to spoil this little angel rotten. 💕👵  How would you describe Jan? ",0,0,0,0,0,0.70951176,0.70625484,0.64745367,128.243454,45.83065033,52.0083046,30.48402214
