idx,sentences_df1,choices_df1,scores_df1,sentences_df2,choices_df2,scores_df2,targets,B==T,A==T
57," Knowing skylar would want to go too, Kendall took Skylar into account. Why did Kendall do this? ","['Kendall who has want to skylar', 'Get this over with', 'Help skylar']",0," When planning their next move, Kendall gave thought to Skylar's perspective as well, ensuring everyone was on the same page.  Why did Kendall do this? ","['Kendall who has want to skylar', 'Get this over with', 'Help skylar']",1,2,FALSE,FALSE
60," After being kicked out of the house by his parents, Jordan needed a place to live. How would you describe Jordan? ","['Quite lazy', 'Sad', 'Extremely hardworking']",0, Jordan was left without a place to stay after being dismissed from the family residence.  How would you describe Jordan? ,"['Quite lazy', 'Sad', 'Extremely hardworking']",1,1,FALSE,TRUE
70, Jordan got his leg bitten off by a shark while he was surfing. Jordan made light of the handicap. Why did Jordan do this? ,"['Show that he only needed one leg', 'Needed to have a surf board', 'Not show others he was suffering']",1," Jordan's surfing excursion was disrupted when a shark attacked and bit off their leg. Showing remarkable resilience, Jordan made light of the traumatic experience.  Why did Jordan do this? ","['Show that he only needed one leg', 'Needed to have a surf board', 'Not show others he was suffering']",0,2,FALSE,FALSE
75," Robin's brother was hungry, too, so Robin cut the sandwich in half. How would Robin feel afterwards? ","['Accommodating', 'Hungry', 'Friendly']",0," Robin's sibling had a rumbly tummy, so they sliced the snack in half to share.  How would Robin feel afterwards? ","['Accommodating', 'Hungry', 'Friendly']",2,0,TRUE,FALSE
77, Remy challenged them to a game and then beat them so much. How would they feel as a result? ,"['Weak', 'Proud', 'Happy']",1, Remy invited the team to a friendly competition and then proved to be the superior player.  How would they feel as a result? ,"['Weak', 'Proud', 'Happy']",2,0,FALSE,FALSE
78, Casey gave some money to Jesse so she could go to the movie. How would you describe Casey? ,"['Thankful', 'Greedy', 'Giving']",0," Casey provided financial support to Jesse, allowing them to attend the cinema.  How would you describe Casey? ","['Thankful', 'Greedy', 'Giving']",2,2,FALSE,TRUE
89, Quinn cried their eyes out and ate a whole carton of icecream over her breakup. What will Quinn want to do next? ,"['Get back together with her boyrfrined', 'Purchase ice cream', 'Keep crying']",1, Quinn mournfully consume a full box of ice cream as a form of catharsis following their separation.  What will Quinn want to do next? ,"['Get back together with her boyrfrined', 'Purchase ice cream', 'Keep crying']",2,2,FALSE,TRUE
95, Riley talked to their friends about what they should do that night. Why did Riley do this? ,"['Go out', 'Do something fun', 'Hang out']",0, Riley consulted their friends about their evening agenda.  Why did Riley do this? ,"['Go out', 'Do something fun', 'Hang out']",2,1,FALSE,FALSE
97, Carson was at a friend's house playing video games to get away from his arguing parents. What does Carson need to do before this? ,"['Try a different game', 'Run over to his friends house', 'Stretch out the time at their friends']",0," Carson visited their friend's abode for some gaming therapy, trying to outrun the stress at home triggered by their parents' disputes.  What does Carson need to do before this? ","['Try a different game', 'Run over to his friends house', 'Stretch out the time at their friends']",2,1,FALSE,FALSE
98, Taylor taught math in the schools and got a lot of praise for his style of teaching. Why did Taylor do this? ,"['Loved', 'Continue teaching', 'Educate other teachers']",1, Male,"['Loved', 'Continue teaching', 'Educate other teachers']",2,1,TRUE,FALSE
100, Robin left food out for the animals in her backyard to come and enjoy. What will Robin want to do next? ,"['Chase the animals away', 'Watch the animals eat', 'Go out in the backyard']",2, Robin placed a selection of delectable delights outside for the local wildlife to discover and savor.  What will Robin want to do next? ,"['Chase the animals away', 'Watch the animals eat', 'Go out in the backyard']",1,1,FALSE,TRUE
102, Bailey was not doing well at work but wanted to change the perspective to feel better. How would you describe Bailey? ,"['Confident', 'Worried']",1," Bailey had hit a rough patch at work, but they wanted to reframe their thinking to regain momentum.  How would you describe Bailey? ","['Confident', 'Worried']",0,1,TRUE,FALSE
107, Kai knew that things were getting out of control and managed to keep his temper in check. How would Others feel as a result? ,"['Relieved', 'Anxious', 'Scared']",2, Kai regulated his emotions and kept a level head while dealing with a chaotic situation.  How would Others feel as a result? ,"['Relieved', 'Anxious', 'Scared']",0,0,FALSE,TRUE
112, Alex and his brother didn't have much in common. They went on a camping trip and Alex grew closer to their brother. How would Others feel as a result? ,"['Lonely', 'Happy', 'Upset']",0," Alex and their sibling embarked on a journey into the great outdoors, forging a deeper connection through shared experiences and learning to appreciate each other's distinct qualities.  How would Others feel as a result? ","['Lonely', 'Happy', 'Upset']",1,1,FALSE,TRUE
118, Robin took a very long time to make up their mind of what to wear on their date that night. What will Robin want to do next? ,"['Look her best', 'Cancel the date', 'Go on a date']",2, Robin deliberated extensively before choosing their attire for the evening's adventure.  What will Robin want to do next? ,"['Look her best', 'Cancel the date', 'Go on a date']",0,2,TRUE,FALSE
119, Bailey was a new student at the local high school in town. How would Others feel as a result? ,"['Glad', 'Excited to make new friends', 'Nervous about her first day']",2," Bailey, a recent transfer to the town's high school, quickly became a prominent figure among students, radiating a sense of excitement and possibility.  How would Others feel as a result? ","['Glad', 'Excited to make new friends', 'Nervous about her first day']",0,1,FALSE,FALSE
130, Riley laid down their arms and issued a long but effective peace treaty to be signed. What will Riley want to do next? ,"['Good', 'Lazy', 'Did this for peace']",0," Riley ceased hostilities and drafted a detailed peace accord that successfully addressed the issues at hand, inviting all parties to formalize their commitment through signing.  What will Riley want to do next? ","['Good', 'Lazy', 'Did this for peace']",2,2,FALSE,TRUE
135, Jordan shared their experience with the party. He lost 3 levels doing so. What will happen to his party members? ,"['Likely gain a level', 'Go cry', 'Be disappointed']",1," Jordan related their experience to the gathering. They faced some obstacles and lost three levels, but gained valuable insights.  What will happen to his party members? ","['Likely gain a level', 'Go cry', 'Be disappointed']",2,2,FALSE,TRUE
138, Skylar put their mind to the task because it was complicated and required full attention. What will Skylar want to do next? ,"['Review details', 'Control time', 'Think']",2," Skylar gave the difficult undertaking their full concentration, determined to see it through to completion.  What will Skylar want to do next? ","['Review details', 'Control time', 'Think']",0,0,FALSE,TRUE
142, Alex rendered Sasha's service and was pleased with her attention to detail. What will Alex want to do next? ,"['Fire her', 'Get the best service', 'Hire her again']",2, Alex appreciated the level of care and precision that Sasha brought to the service she provided.  What will Alex want to do next? ,"['Fire her', 'Get the best service', 'Hire her again']",1,2,TRUE,FALSE
147, Remy left their money on a foreign bank account that was overseas. Why did Remy do this? ,"['Avoid taxes', 'Save the money', 'Hide the money']",1," Remy moved their finances to an overseas bank account, which was situated in a distant land.  Why did Remy do this? ","['Avoid taxes', 'Save the money', 'Hide the money']",0,0,FALSE,TRUE
149, Kai was only trying to make fun of Cameron although Cameron took Kai's compliment seriously. How would Cameron feel afterwards? ,"['Angry at Kai', 'Pleased with Kai', 'Glad for taking it seriously']",1," Kai playfully teased Cameron, but Cameron misinterpreted the intent and responded with sincerity.  How would Cameron feel afterwards? ","['Angry at Kai', 'Pleased with Kai', 'Glad for taking it seriously']",2,0,FALSE,FALSE
155, remy trusted the bank with his money so he left the money on an account. How would Others feel as a result? ,"['As nervous', 'As content', 'As uptight']",0," Remy believed in the bank's reliability, therefore he deposited his funds into an account with them.  How would Others feel as a result? ","['As nervous', 'As content', 'As uptight']",1,1,FALSE,TRUE
158, Jesse showed off her brand new car to Sydney's friends to make the jealous. How would you describe Jesse? ,"['Upset', 'Generous', 'Conceited']",2," Jesse shared the spotlight with Sydney's buddies, parading their new set of wheels to ruffle some feathers and generate buzz.  How would you describe Jesse? ","['Upset', 'Generous', 'Conceited']",1,2,TRUE,FALSE
163, Alex paid money to get some expert advice on all of the details. Why did Alex do this? ,"['Did not need any information', 'Read through all of the details', 'Make an educated choice']",0, Alex spent money to gain insight into the nitty-gritty of the situation.  Why did Alex do this? ,"['Did not need any information', 'Read through all of the details', 'Make an educated choice']",1,2,FALSE,FALSE
170, Taylor made a cake that was their mother's favorite.  It was their mother's birthday. How would you describe Taylor? ,"['Very considerate', 'Proud', 'Happy']",1, Taylor crafted a delicious cake that held sentimental value for their mother. It was a thoughtful gesture for their mother's special day.  How would you describe Taylor? ,"['Very considerate', 'Proud', 'Happy']",0,0,FALSE,TRUE
172, Riley was Jesse's girlfriend and had just found out Jesse was cheating on them. What will happen to Riley? ,"[""Try to be friends with Jesse'd new girl"", 'Hit Jesse and get arrested', 'Get dumped']",2," Riley had been involved with Jesse romantically, and they had recently experienced a betrayal of trust.  What will happen to Riley? ","[""Try to be friends with Jesse'd new girl"", 'Hit Jesse and get arrested', 'Get dumped']",0,2,TRUE,FALSE
178, Rylie is teaching Sasha how to swim.  Riley told Sasha to hold her breath. How would Riley feel afterwards? ,"['Tired of teaching Sasha how to swim', 'Good about teaching Sasha to swim', 'Exhausted']",0, Rylie is providing Sasha with swimming lessons. Riley advised Sasha to pause for a moment before entering the water.  How would Riley feel afterwards? ,"['Tired of teaching Sasha how to swim', 'Good about teaching Sasha to swim', 'Exhausted']",1,1,FALSE,TRUE
179, Aubrey was practicing singing and they sound really good. What will Aubrey want to do next? ,"['Talk about songs', 'Show their friends how well they sing', 'Be a good singer']",2," Aubrey has been working on their vocal skills, and their performance is impressive!  What will Aubrey want to do next? ","['Talk about songs', 'Show their friends how well they sing', 'Be a good singer']",1,1,FALSE,TRUE
208, Taylor asked the one officer for help in unlocking their car. How would you describe Taylor? ,"['A forgetful person', 'A thoughtful person', 'A trustworthy man']",0, Taylor sought the officer's aid in gaining access to their vehicle.  How would you describe Taylor? ,"['A forgetful person', 'A thoughtful person', 'A trustworthy man']",1,0,TRUE,FALSE
211, Alex grew closer to their cousin and spent less time with the others. How would Others feel as a result? ,"['Neglecting his friends', 'Ignored', 'Like they are close with their family']",1," Alex's relationship with their cousin became more intimate, while they began to pull back from the larger group.  How would Others feel as a result? ","['Neglecting his friends', 'Ignored', 'Like they are close with their family']",0,1,TRUE,FALSE
216, Alex saw Taylor talking to another guy at the dance that night. What will Alex want to do next? ,"['Buy a pizza', 'Go home', ""Dance with Taylor's friend""]",1," Alex observed Taylor interacting with someone else at the dance that night, and it appeared to be a male.  What will Alex want to do next? ","['Buy a pizza', 'Go home', ""Dance with Taylor's friend""]",2,2,FALSE,TRUE
224, Sasha and others noticed Bob didnt have money for lunch. Sasha gave Bob some french fries. What will Others want to do next? ,"[""Offer to take Bob's money"", 'Ask Bob for food', 'Share their fries']",0," Sasha and their companions observed that Bob lacked financial resources for lunch, so they collectively provided a modest portion of fries as a gesture of support.  What will Others want to do next? ","[""Offer to take Bob's money"", 'Ask Bob for food', 'Share their fries']",2,2,FALSE,TRUE
227, Casey paid Jesse for the items they bought from them. What will Casey want to do next? ,"['Enjoy the items they bought', 'Need to buy the items', 'Think about Jesse']",2, Casey paid Jesse back for the stuff they got from them.  What will Casey want to do next? ,"['Enjoy the items they bought', 'Need to buy the items', 'Think about Jesse']",0,0,FALSE,TRUE
228, Aubrey was walking in the park one day. Aubrey met a stranger at the park when she stopped at the pond. How would Aubrey feel afterwards? ,"['Anxious', 'Naive', 'Happy']",2, Aubrey wandered into the park and ran into someone new near the tranquil water feature.  How would Aubrey feel afterwards? ,"['Anxious', 'Naive', 'Happy']",0,2,TRUE,FALSE
239, Alex had been caught up in many crimes so one day Alex escaped to Mexico. What will Others want to do next? ,"['Avoid getting caught', 'Try to arrest Alex', 'Get away from trouble']",1," Alex's involvement in illegal activities led them to make a sudden departure for Mexico, leaving behind any legal troubles they may have had.  What will Others want to do next? ","['Avoid getting caught', 'Try to arrest Alex', 'Get away from trouble']",0,0,FALSE,TRUE
240," Sydney appeared wounded, on the ground, so Kia Crowded around Sydney to assess the damage. What does Kai need to do before this? ","['Go to the hospital next', 'Be worried', 'Panic']",1," Sydney lay motionless on the ground, prompting a concerned circle of onlookers to surround them and assess the situation.  What does Kai need to do before this? ","['Go to the hospital next', 'Be worried', 'Panic']",0,1,TRUE,FALSE
243, Sasha heard a rumor and acted on it and saved their company from destruction. Why did Sasha do this? ,"['Be unemployed', 'Lose their job', 'Get a raise']",2," Sasha heard a tip and followed up, preventing their company from facing catastrophic consequences. (using gender-neutral language and tone)  Why did Sasha do this? ","['Be unemployed', 'Lose their job', 'Get a raise']",0,2,TRUE,FALSE
246," Sydney went to our family farm, taking the trash with her, and set it on fire on the ground. How would Sydney feel afterwards? ","['Feeling strong', 'Burning down', 'Upset because the fire has gotten out of control']",1," The individual (Sydney) went to our family farm, transporting the waste and disposing of it through combustion on the ground.  How would Sydney feel afterwards? ","['Feeling strong', 'Burning down', 'Upset because the fire has gotten out of control']",0,2,FALSE,FALSE
247, Austin was having a great day and felt wonderful. What will Austin want to do next? ,"['Scowl at a stranger', 'Smile at a stranger', 'Enjoy it too']",2, Austin was having a pretty great day and felt pretty darn good.  What will Austin want to do next? ,"['Scowl at a stranger', 'Smile at a stranger', 'Enjoy it too']",1,1,FALSE,TRUE
248, Austin just proved a way to predict cancer rates irrefutably. What will Others want to do next? ,"['Share this knowledge with others', ""Laugh at Austin's accomplishment"", 'Hire Austin for cancer research']",1, Austin has recently uncovered an indisputable approach to anticipating cancer incidence.  What will Others want to do next? ,"['Share this knowledge with others', ""Laugh at Austin's accomplishment"", 'Hire Austin for cancer research']",0,2,FALSE,FALSE
251, Robin called up Jan's friends for a girl's night out and went out. How would you describe Robin? ,"['Happy', 'Left out', 'Friendly']",0," Robin contacted Jan's social circle for an evening of entertainment and enjoyment, regardless of gender.  How would you describe Robin? ","['Happy', 'Left out', 'Friendly']",2,2,FALSE,TRUE
256, Ash was moving out of his apartment. Taylor came over to help Ash move. What will happen to Taylor? ,"['Relocate all of this belongings to the new home', 'Be successful with moving out of the apartment', 'Be thanked']",2," Ash was relocating, and Taylor joined in to support the transition by providing some muscle for the move.  What will happen to Taylor? ","['Relocate all of this belongings to the new home', 'Be successful with moving out of the apartment', 'Be thanked']",1,2,TRUE,FALSE
262, Riley was the best of friends with the boy next door. How would Riley feel afterwards? ,"['Was relieved that his friend could give him a ride', ""'s irritated that the boy bothers him all the time"", 'Arrange a party for his best friend']",0, Riley shared an exceptional bond with their neighborly companion.  How would Riley feel afterwards? ,"['Was relieved that his friend could give him a ride', ""'s irritated that the boy bothers him all the time"", 'Arrange a party for his best friend']",2,2,FALSE,TRUE
265, Alex was checking for breast cancer so they grasped both of their breasts firmly. What will Alex want to do next? ,"['Find the cancer', 'Examine their breasts', 'Go to a doctor']",1," Alex performed a thorough self-examination of their breasts, using both hands to check for any unusual changes or masses, demonstrating a responsible and attentive approach to their health.  What will Alex want to do next? ","['Find the cancer', 'Examine their breasts', 'Go to a doctor']",2,1,TRUE,FALSE
266, Remy got a ride from their friends to school this morning. Why did Remy do this? ,"['See their friends', 'Thank their friends', 'Drive to school']",1, Remy caught a ride with some friends to school this morning.  Why did Remy do this? ,"['See their friends', 'Thank their friends', 'Drive to school']",0,0,FALSE,TRUE
267, Jordan gave Casey the runaround when Casey asked them what they were doing. What will happen to Casey? ,"['Lose a friend', 'Talk about what they are doing', 'Wonder what they are doing']",1," Jordan skillfully avoided giving Casey a straight answer, leaving them both confused and frustrated.  What will happen to Casey? ","['Lose a friend', 'Talk about what they are doing', 'Wonder what they are doing']",2,2,FALSE,TRUE
268, Tracy understood Casey's mood better than any of the other girls in the school. Why did Tracy do this? ,"['Had stood the test of time and had bugged Casey like Delilah did Samson', 'Had stood the test of time and had listened to Casey rarely when Casey talked', 'Had stood the test of time and had been a very good counselor for Casey']",1," Tracy was attuned to Casey's emotional state in a way that was unique among the students in the school, regardless of gender.  Why did Tracy do this? ","['Had stood the test of time and had bugged Casey like Delilah did Samson', 'Had stood the test of time and had listened to Casey rarely when Casey talked', 'Had stood the test of time and had been a very good counselor for Casey']",2,2,FALSE,TRUE
272, Jordan took their mother to the shoe store that she did not like going to. What will happen to the mother? ,"['Argue with his mother', 'Go to a different store', 'Scold Jordan']",1," Jordan accompanied their parent to the shoe store, despite the parent's lack of enthusiasm for the destination.  What will happen to the mother? ","['Argue with his mother', 'Go to a different store', 'Scold Jordan']",2,2,FALSE,TRUE
283, tracy heard the news so she shook jan's head sadly. How would Tracy feel afterwards? ,"['Distraught', 'Sad', 'Angry']",0," Tracy was dismayed by the information, and her expression conveyed her disappointment to Jan.  How would Tracy feel afterwards? ","['Distraught', 'Sad', 'Angry']",1,1,FALSE,TRUE
287, Quinn colored their hair and it turned out very nice as a result. Why did Quinn do this? ,"['Wanted a new look', 'Wanted the status quo', 'Loved']",0," Quinn's hair makeover turned out superbly, adding a pop of color to their look.  Why did Quinn do this? ","['Wanted a new look', 'Wanted the status quo', 'Loved']",2,0,TRUE,FALSE
289, Austin got to warm to wear his sweater and decided to take it off. Why did Austin do this? ,"['Put the sweater down', 'Wanted to make a style statement', 'Forgot to wear pants and used a sweater instead']",1, Austin donned his sweater and later shed it due to the increased warmth.  Why did Austin do this? ,"['Put the sweater down', 'Wanted to make a style statement', 'Forgot to wear pants and used a sweater instead']",2,0,FALSE,FALSE
292, Jordan was mentioned in Casey's chapter but the description of her wasn't very flattering. What will Jordan want to do next? ,"['Tell Casey what she thought of her', 'Ask Casey to delete the chapter', 'Ask Casey to autograph the book']",0," Jordan was referenced in Casey's chapter, however, the depiction didn't do them any favors.  What will Jordan want to do next? ","['Tell Casey what she thought of her', 'Ask Casey to delete the chapter', 'Ask Casey to autograph the book']",1,1,FALSE,TRUE
300, Kendall grabbed Jordan's hands tightly after Jordan proposed marriage to Kendall. How would Kendall feel afterwards? ,"['Unappreciated', 'Happy', 'Cheated']",0, Kendall held Jordan's hands securely after Jordan expressed his desire to spend the rest of his life with them.  How would Kendall feel afterwards? ,"['Unappreciated', 'Happy', 'Cheated']",1,1,FALSE,TRUE
310," Sasha had a plane to catch, so Sasha left the house within hours of waking up. Why did Sasha do this? ","['Travel patiently', 'Fly the plane', 'Miss the plane']",2," Sasha had a deadline to meet, so Sasha arose promptly and departed for the airport soon after."" (Formal tone, neutral perspective)  Why did Sasha do this? ","['Travel patiently', 'Fly the plane', 'Miss the plane']",0,1,FALSE,FALSE
324," Jesse had been sick for several weeks, but after taking new medication, Jesse was feeling much better. How would Jesse feel afterwards? ","['Healthy', 'Confident', 'Doing better']",0," Jesse had been dealing with health issues for a while, but after introducing some new meds into their regimen, they were thrilled to notice a significant improvement in their well-being.  How would Jesse feel afterwards? ","['Healthy', 'Confident', 'Doing better']",1,0,TRUE,FALSE
331, Alex wanted to learn how to play the guitar on his own and set the plans into motion. What will Alex want to do next? ,"['Rent a guitar', 'Sign up for classes', 'Find a tutor']",0, Alex aspired to master the guitar through self-directed learning and implemented a deliberate strategy to achieve their goal.  What will Alex want to do next? ,"['Rent a guitar', 'Sign up for classes', 'Find a tutor']",1,1,FALSE,TRUE
333, Remy gave birth to a baby girl even though Remy thought they would have a boy. How would Others feel as a result? ,"['Happy that they were not born a boy', 'Happy that they were born a girl', 'As though they messed up by not being a boy']",2," The newborn baby girl brought joy to Remy's life, despite Remy's assumptions about the child's gender.  How would Others feel as a result? ","['Happy that they were not born a boy', 'Happy that they were born a girl', 'As though they messed up by not being a boy']",0,1,FALSE,FALSE
334, Sydney put on their clothes and the boys got ready for school. Why did Sydney do this? ,"['Wanted the boys to be self-sufficient', 'Wanted the boys to loaf', 'Wanted to be a good mother']",2, Sydney dressed in their clothes and the individuals readied themselves for education.  Why did Sydney do this? ,"['Wanted the boys to be self-sufficient', 'Wanted the boys to loaf', 'Wanted to be a good mother']",0,2,TRUE,FALSE
338, Ash tried to redeem himself after he missed an open shot in the game. How would Ash feel afterwards? ,"['Disappointed', 'Frugal', 'Trying hard']",2," Ash attempted to recover from his missed opportunity in the game."" (neutral, objective language)  How would Ash feel afterwards? ","['Disappointed', 'Frugal', 'Trying hard']",0,0,FALSE,TRUE
352, Addison was at the shop and picked up groceries the other day then drove them back home and put them in the frigdge and cupboards. Why did Addison do this? ,"['Plan dinner', 'Was hungry', 'Store the grocery bags']",0," Addison went to the market and collected some supplies recently, then transported them back to their abode and stored them in the cold storage and pantry.  Why did Addison do this? ","['Plan dinner', 'Was hungry', 'Store the grocery bags']",2,0,TRUE,FALSE
356, Tracy gave video games to my friend when they were done with them. How would Tracy feel as a result? ,"['They were a good friend', 'A fan of video games', 'They were unhelpful']",1, Tracy transferred her pre-owned video games to my acquaintance once they had outgrown them.  How would Tracy feel as a result? ,"['They were a good friend', 'A fan of video games', 'They were unhelpful']",0,0,FALSE,TRUE
357, Riley played a role in the revolution because he gaved the army weapons and suppliles. What does Riley need to do before this? ,"['Need to gather weeapons so that the revolution has a chance to survive', 'Gather intel on the enemy so that theres accurate info', 'Proud']",1," Riley's involvement in the revolution was significant, as they provided the army with necessary weapons and provisions.  What does Riley need to do before this? ","['Need to gather weeapons so that the revolution has a chance to survive', 'Gather intel on the enemy so that theres accurate info', 'Proud']",2,0,FALSE,FALSE
362, Taylor based it on their experience of being kidnapped and held for ransom. How would Taylor feel afterwards? ,"['Angry to have to talk about it', 'Compassionate about the subject', 'Sad to share their deep secret']",1," Inspired by their own chilling encounter with captivity and extortion, Taylor's latest work is an intense reflection on the darker aspects of human nature.  How would Taylor feel afterwards? ","['Angry to have to talk about it', 'Compassionate about the subject', 'Sad to share their deep secret']",2,1,TRUE,FALSE
367, Alex rendered Sasha's car washing service despite the rain that was soon to come. How would Sasha feel as a result? ,"['As generous', 'Happy they got a pre-rain wash', 'Angry at Alex for not saying anything']",2, Alex provided a much-needed car wash service for Sasha's vehicle before the rain set in.  How would Sasha feel as a result? ,"['As generous', 'Happy they got a pre-rain wash', 'Angry at Alex for not saying anything']",1,1,FALSE,TRUE
372, Remy got very dark after drinking by himself all night long. How would you describe Remy? ,"['Depressed at heart', 'A resilient person at heart', 'A happy person at heart']",0," Remy's appearance changed significantly after he spent the evening alone, with a noticeable difference in his complexion the next day.  How would you describe Remy? ","['Depressed at heart', 'A resilient person at heart', 'A happy person at heart']",1,0,TRUE,FALSE
