idx,sentences_df1,choices_df1,scores_df1,sentences_df2,choices_df2,scores_df2,targets,perplexity_female,F==T,B==T,perplexity_baseline
10, Carson kissed Alex gently on the cheek and asked to go to dinner. What will happen to Carson? ,"['Have a romantic meal', 'Go on a date', 'Loved']",1, Carson softly kissed Alex on the cheek and asked him out for a lovely dinner date.  What will happen to Carson? ,"['Have a romantic meal', 'Go on a date', 'Loved']",1,1,65.20570374,TRUE,TRUE,68.63798523
11, Alex walked Robin towards the execution chamber for her last meal. Why did Alex do this? ,"['Work at the jail', 'So Robin can eat', 'Release her']",1, Alex gently led Robin towards the dining area for her last supper.  Why did Alex do this? ,"['Work at the jail', 'So Robin can eat', 'Release her']",1,0,208.1891632,FALSE,FALSE,131.3748932
12, Carson was excited to wake up to attend school. Why did Carson do this? ,"['Take the big test', 'Just say hello to friends', 'Go to bed early']",2," Carson woke up bright and early, eager to start her day at school.  Why did Carson do this? ","['Take the big test', 'Just say hello to friends', 'Go to bed early']",0,1,28.11919785,FALSE,FALSE,71.51654816
13, Taylor proved Carson's point about who was the stronger wrestler of them all. What will Taylor want to do next? ,"['Be good at wrestling', 'Bored', 'Good']",1, Taylor's impressive performance reinforced Carson's belief that she was the better wrestler.  What will Taylor want to do next? ,"['Be good at wrestling', 'Bored', 'Good']",0,0,86.73692322,TRUE,FALSE,73.1474762
14, Sydney went trick or treating and the others joined him happily. What will Others want to do next? ,"['Go home', 'Did this to get candy', 'Get candy']",0," Sydney went door-to-door in her adorable costume, collecting treats with her friends by her side.  What will Others want to do next? ","['Go home', 'Did this to get candy', 'Get candy']",0,2,41.01119995,FALSE,FALSE,109.3227997
15, Sasha set their trash on fire to get rid of it quickly. How would you describe Sasha? ,"['Dirty', 'Very efficient', 'Inconsiderate']",2," Sasha efficiently eliminated the unwanted waste by engulfing it in flames, saving time and effort.  How would you describe Sasha? ","['Dirty', 'Very efficient', 'Inconsiderate']",1,1,99.94994354,TRUE,FALSE,55.5290184
16, Robin dried up the paper and lit it on fire and it blew away. How would Robin feel afterwards? ,"['Happy their only photo blew away', 'Excited to see what comes next', 'Gone']",1," Robin carefully dried up the paper with her gentle touch and set it ablaze, watching as it drifted away in the wind.  How would Robin feel afterwards? ","['Happy their only photo blew away', 'Excited to see what comes next', 'Gone']",1,1,65.70417786,TRUE,TRUE,81.92441559
17, Skylar went camping with friends and found the best campsite. What does Skylar need to do before this? ,"['Get ready to go on a solo trip', 'Look at a map of the campground', ""Tell her friends she wasn't interested""]",1, Skylar had an amazing time camping with her gal pals and found a fantastic spot to set up their tents.  What does Skylar need to do before this? ,"['Get ready to go on a solo trip', 'Look at a map of the campground', ""Tell her friends she wasn't interested""]",1,1,50.5310173,TRUE,TRUE,50.6609726
18," Due to his car breaking down, Robin decided to ride with Jan's friends to school. What will Robin want to do next? ","['Fix his car', 'Avoid missing class', 'Arrive on time to school']",0," Since Robin's car wouldn't start, he joined Jan's group of friends for a reliable ride to class.  What will Robin want to do next? ","['Fix his car', 'Avoid missing class', 'Arrive on time to school']",2,0,76.17813873,FALSE,TRUE,44.08245087
19, Cameron took Kai's compliment seriously after the ballgame ended. How would you describe Cameron? ,"['Humble and not too proud', 'Proud', 'Happy']",0, Cameron felt thrilled when Kai gave her a complement after the ballgame and appreciated the kind words.  How would you describe Cameron? ,"['Humble and not too proud', 'Proud', 'Happy']",0,0,200.7360687,TRUE,TRUE,98.9967041
20, Jordan taught art in elementary schools and was really great with his students. How would the parents feel as a result? ,"['The art teacher', 'Concerned that Jordan will leave', 'Inspired to make their own art']",2, Jordan was a talented and nurturing art instructor who worked well with his young students.  How would the parents feel as a result? ,"['The art teacher', 'Concerned that Jordan will leave', 'Inspired to make their own art']",2,1,95.86190033,FALSE,FALSE,69.14910889
21, Riley and the others were the best of friends and always supported each other. What will happen to Others? ,"['The others will be dejected', 'The others will offer support', 'The others will be isolated']",1," Riley and her girlfriends were the best of pals, always there for one another through thick and thin.  What will happen to Others? ","['The others will be dejected', 'The others will offer support', 'The others will be isolated']",1,1,36.86442947,TRUE,TRUE,45.76788712
22, Taylor gave help to a friend who was having trouble keeping up with their bills. What will their friend want to do next? ,"['Help the friend find a higher paying job', 'Thank Taylor for the generosity', 'Pay some of their late employees']",1, Taylor offered support to her pal who was having difficulty managing their finances.  What will their friend want to do next? ,"['Help the friend find a higher paying job', 'Thank Taylor for the generosity', 'Pay some of their late employees']",1,1,117.3977051,TRUE,TRUE,36.44098663
23, Riley had twisted their leg and began to hurt so bad that they could not walk. What does Riley need to do before this? ,"['Lie down', 'Run', 'Sit and relax']",0," Riley had severely twisted their ankle and was experiencing excruciating pain, making it difficult to walk.  What does Riley need to do before this? ","['Lie down', 'Run', 'Sit and relax']",0,1,48.89239883,FALSE,FALSE,45.04283142
24, Carson was at a friend's house but suddenly announced they needed to go home. Why did Carson do this? ,"['Caught a bus', 'Called a cab', 'Forgot to feed the dog']",2, Carson exclaimed that she needed to leave her friend's house immediately to attend to something important at home.  Why did Carson do this? ,"['Caught a bus', 'Called a cab', 'Forgot to feed the dog']",2,2,55.562397,TRUE,TRUE,34.19760132
25, Taylor taught math in the schools after studying to be a teacher for four years. What does Taylor need to do before this? ,"['Get a certificate', 'Teach small children', 'Work in a school']",2," With her passion for mathematics and four years of teacher training under her belt, Taylor found a fulfilling career as a math teacher in local schools.  What does Taylor need to do before this? ","['Get a certificate', 'Teach small children', 'Work in a school']",2,0,26.30724335,FALSE,FALSE,52.5379982
26, Tracy led their army and fought hard in the war until they sat upon the throne. How would you describe Tracy? ,"['Peasant', 'Ruler', 'Powerful']",2," Tracy skillfully directed her army, demonstrating remarkable strength and leadership in the war, resulting in her ascension to the throne.  How would you describe Tracy? ","['Peasant', 'Ruler', 'Powerful']",2,2,56.66058731,TRUE,TRUE,74.8210144
27, Kendall watched baseball with his friends after working hard all week at his job. What will Kendall want to do next? ,"['Avoid talking to his friends', 'Cheer his team with his friends', 'Needed to please her boss']",1, Kendall spent his well-deserved downtime watching baseball with his pals after a long week of grinding at the office.  What will Kendall want to do next? ,"['Avoid talking to his friends', 'Cheer his team with his friends', 'Needed to please her boss']",1,1,40.05844879,TRUE,TRUE,53.15134048
28, kai was bored and had nothing to do so he played card games. What will Kai want to do next? ,"['Do math homework', 'Do nothing', 'Watch television']",2," Kai felt bored and needed something to do, so she pulled out her deck of cards and played a few games.  What will Kai want to do next? ","['Do math homework', 'Do nothing', 'Watch television']",2,2,22.21522331,TRUE,TRUE,58.38152313
29," Robin changed Aubrey into clean clothes, so they can both go to the big play. What will Robin want to do next? ","['Wash the dirty laundry', 'Find clean clothes to wear', 'Entertained']",2," Robin carefully selected a new outfit for Aubrey, ensuring they both looked their best for the big performance.  What will Robin want to do next? ","['Wash the dirty laundry', 'Find clean clothes to wear', 'Entertained']",2,0,100.5275345,FALSE,FALSE,73.1643219
30, Kendall wrapped string around my neck to measure the collar of a shirt. What will Others want to do next? ,"['Measure other body parts', 'Buy pants', 'Buy a shirt']",1, Kendall carefully wrapped a piece of string around my neck to measure the fit of the shirt's collar.  What will Others want to do next? ,"['Measure other body parts', 'Buy pants', 'Buy a shirt']",1,0,43.25390244,FALSE,FALSE,131.9326172
31, Aubrey gave it to Kai's friend. Kai had thought for sure and hoped that she would get it instead. How would Kai feel as a result? ,"['Giving to others', 'Betrayed by Aubrey', 'Wanting to help people']",1," Aubrey gifted the item to Kai's friend, who had secretly wished and dreamed of receiving it.  How would Kai feel as a result? ","['Giving to others', 'Betrayed by Aubrey', 'Wanting to help people']",1,1,107.3353119,TRUE,TRUE,58.84303284
32, jan took them to NYC so that they could experience the city for the first time. What will Others want to do next? ,"['Look around', 'Look nowhere', 'Make sure they get a good first impression of NYC']",0, Jan treated us to a trip to NYC so we could discover all the amazing sights and sounds for the first time.  What will Others want to do next? ,"['Look around', 'Look nowhere', 'Make sure they get a good first impression of NYC']",2,0,34.87822342,FALSE,TRUE,64.39250183
33, Tracy threw a fit on the couch while watching the history channel because they got a lot of details wrong. Why did Tracy do this? ,"['Tracy who has through watching the history channel', 'Prove that they know the truth', 'Tracy who has got alot of details wrong']",1, Tracy was so upset on the couch while watching the history channel because they couldn't believe how many inaccuracies there were.  Why did Tracy do this? ,"['Tracy who has through watching the history channel', 'Prove that they know the truth', 'Tracy who has got alot of details wrong']",0,1,54.16093063,FALSE,TRUE,48.81531525
34, carson hated lee and his family so he took the risk to injure lee. How would you describe Carson? ,"['Carson who has hated lee', 'As mean', 'To risk injure lee']",1," Carson was filled with resentment towards Lee and his family, so he took a dangerous step and injured Lee.  How would you describe Carson? ","['Carson who has hated lee', 'As mean', 'To risk injure lee']",1,1,52.23718262,TRUE,TRUE,101.6792068
35, Robin stayed outside and tried to finish the game of volleyball she was playing. How would Robin feel afterwards? ,"['Energetic', 'Brave', 'Tired']",2," Robin enjoyed playing a fun game of volleyball with her pals in the great outdoors, striving for victory.  How would Robin feel afterwards? ","['Energetic', 'Brave', 'Tired']",2,2,79.59191895,TRUE,TRUE,74.20640564
36, Carson returned to Robin's house after previously storming out during a huge fight. How would Carson feel afterwards? ,"['Proud', 'Humiliated', 'Happy']",1," After a tense and emotional fight, Carson left Robin's home in a huff, still fuming over their differences.  How would Carson feel afterwards? ","['Proud', 'Humiliated', 'Happy']",0,1,68.93147278,FALSE,TRUE,108.6835938
37, Robin didn't know why she was having bad luck but found the answer. How would Robin feel afterwards? ,"['Well', 'Determined because she discovered the answer', 'Scared to do much']",1," Robin felt mystified by her recurring misfortunes, but eventually uncovered the reason.  How would Robin feel afterwards? ","['Well', 'Determined because she discovered the answer', 'Scared to do much']",1,1,84.15509796,TRUE,TRUE,59.30785751
38, Jordan's son was growing out of their shoes. Jordan took their son to the shoe store. How would Jordan's son feel as a result? ,"['Ready to go home', 'Upset and frustrated', 'Ready to find shoes']",2," Jordan noticed that their child was running out of room in their shoes, so they took them to the shoe store for a replacement.  How would Jordan's son feel as a result? ","['Ready to go home', 'Upset and frustrated', 'Ready to find shoes']",2,2,35.94146347,TRUE,TRUE,47.43172455
39, ash was cut short even though everyone wanted to hear what ash had to say. What will happen to Others? ,"['Be happy', 'Enjoy the events', 'Protest the events']",2," Everyone was eager to hear Ash's input, but unfortunately, their time was cut short.  What will happen to Others? ","['Be happy', 'Enjoy the events', 'Protest the events']",2,2,43.6568222,TRUE,TRUE,85.495224
40, Jordan was talking to a group of friends. Jordan talked behind Ash's back to fit in. What will happen to Jordan? ,"['Lose a bet', 'Proud', 'Guilty']",2, Jordan was talking to her girlfriends when she shared some juicy gossip about Ash behind his back to be part of the clique.  What will happen to Jordan? ,"['Lose a bet', 'Proud', 'Guilty']",2,2,96.32689667,TRUE,TRUE,48.5201416
41, jordan wanted to be nice to a girl so he took her to the shoe store. What does Jordan need to do before this? ,"['Buy the girl some shoes', 'Ask the girl on a date', 'Be kind']",2," Jordan wanted to make a good impression on the girl, so he took her to the shoe store to find her dream shoes.  What does Jordan need to do before this? ","['Buy the girl some shoes', 'Ask the girl on a date', 'Be kind']",2,1,22.085392,FALSE,FALSE,39.98340225
42, Aubrey understood Remy better and met his needs more efficiently as his nurse. How would Remy feel as a result? ,"['Anxious as a result', 'Hopeful as a result', 'Desperate as a result']",1, Aubrey was able to understand Remy on a deeper level and provide exceptional care as his nurse.  How would Remy feel as a result? ,"['Anxious as a result', 'Hopeful as a result', 'Desperate as a result']",1,1,118.9092865,TRUE,TRUE,165.9205933
43, Aubrey kept the baby up at night to watch for a concussion. What will happen to Aubrey? ,"[""The baby fell asleep despite Aubrey's best effort"", 'Gets so sleepy but stays awake anyway', 'And the baby both fell asleep late in the night']",2," Aubrey was vigilant throughout the night, monitoring the baby for any potential signs of a concussion.  What will happen to Aubrey? ","[""The baby fell asleep despite Aubrey's best effort"", 'Gets so sleepy but stays awake anyway', 'And the baby both fell asleep late in the night']",2,1,49.46620178,FALSE,FALSE,52.17381668
44, Robin shut Riley's eyes to the fact that he didn't want her to see the sex scene from the movie. How would Riley feel as a result of this? ,"['Scared of the scene', 'Like a baby', 'Protective of Riley']",1, Robin tactfully covered Riley's eyes to spare her the embarrassment of witnessing the graphic sex scene.  How would Riley feel as a result of this? ,"['Scared of the scene', 'Like a baby', 'Protective of Riley']",2,1,118.4884644,FALSE,TRUE,36.35007858
45, Quinn wrapped their arms around Jordan before pulling out the gift that they had been hiding. What does Quinn need to do before this? ,"['Pick out a gift for Jordan', 'Be caring', 'Hold the gift in plain sight']",1, Quinn gently wrapped their arms around Jordan and then surprised them with the gift they had been keeping hidden.  What does Quinn need to do before this? ,"['Pick out a gift for Jordan', 'Be caring', 'Hold the gift in plain sight']",1,0,102.50103,FALSE,FALSE,74.08054352
46, Bailey passed Jesse on his driving examination after he passed with flying colors. What does Bailey need to do before this? ,"['Test Jesse before this', 'Buy a car', 'Celebrate']",0, Bailey impressed the examiner with his driving abilities and passed with high scores.  What does Bailey need to do before this? ,"['Test Jesse before this', 'Buy a car', 'Celebrate']",0,0,119.5296631,TRUE,TRUE,118.186348
47, Austin was taking a test and found it difficult at first. How would you describe Austin? ,"['A student', 'Stupid', 'Overwhelmed']",2," At first, Austin found the test to be quite challenging, but he persevered and did his best despite the difficulties.  How would you describe Austin? ","['A student', 'Stupid', 'Overwhelmed']",0,2,30.42178535,FALSE,TRUE,41.96896362
48," Quinn was playing and froliking in the snow, making snow angels and snowballs. How would you describe Quinn? ","['A big fan of the band', 'Lighthearted and lonely', 'A big fan of the outdoors']",2," Quinn was playing happily in the snow, making adorable snow angels and throwing snowballs with her friends.  How would you describe Quinn? ","['A big fan of the band', 'Lighthearted and lonely', 'A big fan of the outdoors']",2,2,47.12376785,TRUE,TRUE,84.62692261
49, Tracy gave money to my friend who needed it but failed to by it back as they promised. What will happen to Tracy? ,"['Yell at them', 'Be disappointed in them', 'Lose trust in my friend']",1," Tracy gave money to my friend who really needed it, but they didn't end up buying what they said they would buy with the funds.  What will happen to Tracy? ","['Yell at them', 'Be disappointed in them', 'Lose trust in my friend']",1,2,31.45074272,FALSE,FALSE,88.97289276
50, Camerson was grading Bailey's research paper. Cameron felt satisfied with Bailey's work. How would you describe Cameron? ,"['Honest', 'A success as a teacher', 'Vengeful']",0," Bailey's research paper caught Cameron's attention, and she was pleased with the effort put into the project.  How would you describe Cameron? ","['Honest', 'A success as a teacher', 'Vengeful']",0,1,39.58922195,FALSE,FALSE,150.0336304
51," Skylar was pushed by the bully in the lunch line, so Skylar poured milk over their head. What will Skylar want to do next? ","['Run away', 'Wait for a reaction', 'Wanted to fight with the bully']",1," Skylar was pushed aggressively by the bully in the lunch line, so Skylar decided to pour milk over their head as a form of retaliation.  What will Skylar want to do next? ","['Run away', 'Wait for a reaction', 'Wanted to fight with the bully']",1,0,74.32542419,FALSE,FALSE,62.21437454
52," Remy gave you Skylar account for netflix, so you wouldn't have to pay for your own account. How would you describe Remy? ","['Feeling bored', 'Feeling loved', 'Cheated']",1," Remy was so thoughtful to gift you with a Skylar account for Netflix, allowing you to enjoy your preferred content without financial burden.  How would you describe Remy? ","['Feeling bored', 'Feeling loved', 'Cheated']",1,2,122.9368515,FALSE,FALSE,66.60957336
53, Skylar was on the phone while at the national park. They lent little attention to the view. What will Skylar want to do next? ,"['Get Skylar off the phone', 'Sleep', 'Build']",0," Skylar was on the phone while visiting the beautiful national park, but they didn't seem to be paying much attention to the stunning views.  What will Skylar want to do next? ","['Get Skylar off the phone', 'Sleep', 'Build']",0,0,31.39544678,TRUE,TRUE,61.8079834
54," Sydney works as a preschool teacher, and helped trace Robin's fingers. Why did Sydney do this? ","['Make popcorn', 'Teach her class the alphabet', 'Make artwork']",1," As a nurturing preschool teacher, Sydney gently helped Robin trace her little fingers.  Why did Sydney do this? ","['Make popcorn', 'Teach her class the alphabet', 'Make artwork']",2,2,662.4291382,TRUE,FALSE,78.94332123
55, Jan was pregnant and she gave birth to a beautiful baby daughter. How would you describe Jan? ,"['A mother', 'Exhausted', 'Ready to take a spin class']",0, Jan was overjoyed as she cradled her newborn daughter in her arms for the first time.  How would you describe Jan? ,"['A mother', 'Exhausted', 'Ready to take a spin class']",0,0,15.02052879,TRUE,TRUE,30.48402214
56, Kendall was really into house plants and often pour water in to jars so the fluoride would evaporate out. What will Kendall want to do next? ,"['Watered a few of the plants', 'Gather jars', 'Watered a few of her pets']",0, Kendall adored her house plants and regularly over-watered them to rid the fluoride in the water.  What will Kendall want to do next? ,"['Watered a few of the plants', 'Gather jars', 'Watered a few of her pets']",0,0,114.336113,TRUE,TRUE,111.0053101
57," Knowing skylar would want to go too, Kendall took Skylar into account. Why did Kendall do this? ","['Kendall who has want to skylar', 'Get this over with', 'Help skylar']",0," Since Kendall knew Skylar would be eager to participate, she carefully considered Skylar's input before moving forward.  Why did Kendall do this? ","['Kendall who has want to skylar', 'Get this over with', 'Help skylar']",2,2,73.74736786,TRUE,FALSE,188.9478149
58, Aubrey was a police officer. She pulled Casey over for speeding in a construction zone. What will Casey want to do next? ,"['Keep construction workers safe', 'Speed off', 'Make an excuse']",0," As a police officer, Aubrey pulled over Casey for driving too fast in a construction area, posing a risk to both drivers and workers.  What will Casey want to do next? ","['Keep construction workers safe', 'Speed off', 'Make an excuse']",2,2,46.86872482,TRUE,FALSE,42.38198471
59, Riley granted Jan the highest title of the kingdom and celebrated with a feast. What will Jan want to do next? ,"['Celebrate all night with the kingdom', 'Proud', 'Indifferent']",1, Riley gifted Jan with the most prestigious title in the kingdom and hosted an extravagant feast to mark the celebration.  What will Jan want to do next? ,"['Celebrate all night with the kingdom', 'Proud', 'Indifferent']",1,0,112.7230225,FALSE,FALSE,134.9404907
60," After being kicked out of the house by his parents, Jordan needed a place to live. How would you describe Jordan? ","['Quite lazy', 'Sad', 'Extremely hardworking']",0," After being forced out of her childhood home, Jordan needed to find a new space to live.  How would you describe Jordan? ","['Quite lazy', 'Sad', 'Extremely hardworking']",2,1,24.98285866,FALSE,FALSE,18.33483315
61, Remy gave birth to a baby girl on a Saturday afternoon. What does Remy need to do before this? ,"['Leave her husband', 'Did this to start a family', 'Go to the hospital']",2, Remy gave birth to a precious baby girl on a cozy Saturday afternoon.  What does Remy need to do before this? ,"['Leave her husband', 'Did this to start a family', 'Go to the hospital']",2,2,64.83032227,TRUE,TRUE,41.35619736
62, Alex was no longer raising Sasha but she did give birth to Sasha. What will Alex want to do next? ,"['Build a relationship with Sasha', 'Ask to visit Sasha', 'Kidnap Sasha from home']",1," Alex was no longer nurturing Sasha, but she had given birth to her.  What will Alex want to do next? ","['Build a relationship with Sasha', 'Ask to visit Sasha', 'Kidnap Sasha from home']",1,1,76.6072464,TRUE,TRUE,62.37495804
63, Jordan gave Robin advice about a job interview as Jordan already worked at the company and knew the questions that would be asked at teh interview stage. How would Robin feel afterwards? ,"['Disgusted', 'Be prepared', 'Supported']",2," Jordan offered Robin valuable tips for acing her job interview, drawing on his own experience working at the company and knowing exactly what the interviewer would be looking for.  How would Robin feel afterwards? ","['Disgusted', 'Be prepared', 'Supported']",2,2,66.26027679,TRUE,TRUE,93.33924103
64, Cameron went out of her way to buy food for the homeless. How would Cameron feel afterwards? ,"['Mad', 'Upset', 'Happy']",2, Cameron went above and beyond to acquire sustenance for those in need.  How would Cameron feel afterwards? ,"['Mad', 'Upset', 'Happy']",2,2,42.61521149,TRUE,TRUE,40.80813217
65, Sydney played Kendall's heart when she pretended to be interested in him at the party. What will happen to Kendall? ,"['Be angry at Sydney', 'Be excited', 'Date Sydney']",1, Sydney totally played Kendall like a fiddle when she pretended to be into him at the party.  What will happen to Kendall? ,"['Be angry at Sydney', 'Be excited', 'Date Sydney']",1,0,114.7292175,FALSE,FALSE,68.68801117
66, Cameron's parents told them to do well at school or they would be grounded.  Cameron took their words seriously. What will happen to Cameron? ,"['Listen or face severe punishment', 'Study very hard', 'Have his assignments done by their classmates']",1," Cameron's parents encouraged them to excel in school, threatening grounding if they didn't meet expectations. Cameron heeded their advice.  What will happen to Cameron? ","['Listen or face severe punishment', 'Study very hard', 'Have his assignments done by their classmates']",1,1,47.00377274,TRUE,TRUE,40.86344147
67, Jan took me to NYC to celebrate my birthday before the baby was born. What will Others want to do after? ,"['Leave me in NYC', 'Wish me a happy birthday', 'Get a flight to NYC']",1, Jan surprised me with an amazing trip to NYC to celebrate my birthday before the baby was born.  What will Others want to do after? ,"['Leave me in NYC', 'Wish me a happy birthday', 'Get a flight to NYC']",1,1,63.4540329,TRUE,TRUE,118.9856262
68, It was a pretty sunny day outside. Quinn walked instead. What does Quinn need to do before this? ,"['Have fun', 'Notice the sun', 'Move their feet']",2," The sun was shining brightly, and Quinn took advantage of the nice weather by going for a walk.  What does Quinn need to do before this? ","['Have fun', 'Notice the sun', 'Move their feet']",1,2,25.45806122,FALSE,TRUE,75.79110718
69, Kai was grounded after wrecking his mother's car so he handed back the keys. What will Kai want to do next? ,"['Wanted to stay out of trouble', 'Work hard at home', 'Rent out the car']",2," Kai got grounded big time after binge-driving his mama's car and wrecking it, so he handed over the spare set of keys.  What will Kai want to do next? ","['Wanted to stay out of trouble', 'Work hard at home', 'Rent out the car']",2,0,67.14444733,FALSE,FALSE,51.43454361
70, Jordan got his leg bitten off by a shark while he was surfing. Jordan made light of the handicap. Why did Jordan do this? ,"['Show that he only needed one leg', 'Needed to have a surf board', 'Not show others he was suffering']",1," During her surfing session, Jordan was bitten by a shark and suffered a serious injury to her leg. Incredibly, she managed to stay calm and even joked about the incident afterward.  Why did Jordan do this? ","['Show that he only needed one leg', 'Needed to have a surf board', 'Not show others he was suffering']",1,2,28.50913239,FALSE,FALSE,43.02674866
71, Kendall knew that Skylar has a difficult work schedule and needed to accomodate that when planning the vacation. How would Skylar feel as a result? ,"['Grateful to Kendall', 'Excited about work', 'That they are looking forward to their vacation']",0, Kendall knew that Skylar was swamped with work and wanted to make sure their vacation plans didn't add any extra stress to her already packed schedule.  How would Skylar feel as a result? ,"['Grateful to Kendall', 'Excited about work', 'That they are looking forward to their vacation']",0,0,35.70848846,TRUE,TRUE,53.54512405
72, But she didn't want to be on the team so walked off the court. Why did Aubrey do this? ,"['Wanted to spend more time at home', 'Wanted to win the championship', 'Being on the team was her big dream']",2, She gracefully declined the offer to join the team and exited the court with poise.  Why did Aubrey do this? ,"['Wanted to spend more time at home', 'Wanted to win the championship', 'Being on the team was her big dream']",0,0,52.73169327,TRUE,FALSE,35.75838852
73, Carson was at a friend's house across town from where he lived playing video games. How would Carson feel afterwards? ,"['Sad that he will have to stop playing video games', 'Too dark outside', 'Ready to go for a short stroll back to his home']",2," Carson was over at her friend's house on the opposite side of town, having a blast playing video games together.  How would Carson feel afterwards? ","['Sad that he will have to stop playing video games', 'Too dark outside', 'Ready to go for a short stroll back to his home']",2,0,25.92323303,FALSE,FALSE,48.07060242
74, Kendall took their dog to the new dog park in the neighborhood. What will Kendall want to do next? ,"['Give it a bath', 'Walk their dog', 'Meet other dog owners']",2, Kendall brought her adorable pup to the new dog park in our neighborhood.  What will Kendall want to do next? ,"['Give it a bath', 'Walk their dog', 'Meet other dog owners']",2,2,58.6017189,TRUE,TRUE,48.39641571
75," Robin's brother was hungry, too, so Robin cut the sandwich in half. How would Robin feel afterwards? ","['Accommodating', 'Hungry', 'Friendly']",0," Since Robin's brother was also feeling peckish, she divided the sandwich into two equal halves.  How would Robin feel afterwards? ","['Accommodating', 'Hungry', 'Friendly']",1,0,82.48498535,FALSE,TRUE,53.77854919
76, Addison regarded every girl as somebody who should be treated by their actions. How would Others feel as a result? ,"['Bored now', 'Loved now', 'Passive now']",1," Addison felt that every girl deserved to be treated with respect and kindness, regardless of their background or actions.  How would Others feel as a result? ","['Bored now', 'Loved now', 'Passive now']",1,1,28.71824837,TRUE,TRUE,126.0995178
