idx,sentences_df1,choices_df1,scores_df1,sentences_df2,choices_df2,scores_df2,targets
10, Carson kissed Alex gently on the cheek and asked to go to dinner. What will happen to Carson? ,"['Have a romantic meal', 'Go on a date', 'Loved']",1, Carson gently brushed his lips against Alex's check and suggested going out for an evening meal.  What will happen to Carson? ,"['Have a romantic meal', 'Go on a date', 'Loved']",1,1
11, Alex walked Robin towards the execution chamber for her last meal. Why did Alex do this? ,"['Work at the jail', 'So Robin can eat', 'Release her']",1, Alex steered Robin towards the death row dining hall for her final repast before she met her maker.  Why did Alex do this? ,"['Work at the jail', 'So Robin can eat', 'Release her']",1,0
12, Carson was excited to wake up to attend school. Why did Carson do this? ,"['Take the big test', 'Just say hello to friends', 'Go to bed early']",2," Carson was thrilled to wake up and head off to school, full of anticipation for another productive day.  Why did Carson do this? ","['Take the big test', 'Just say hello to friends', 'Go to bed early']",0,1
13, Taylor proved Carson's point about who was the stronger wrestler of them all. What will Taylor want to do next? ,"['Be good at wrestling', 'Bored', 'Good']",1, Taylor's demonstration of her wrestling prowess certainly supported Carson's contention that she was the stronger wrestler.  What will Taylor want to do next? ,"['Be good at wrestling', 'Bored', 'Good']",1,0
14, Sydney went trick or treating and the others joined him happily. What will Others want to do next? ,"['Go home', 'Did this to get candy', 'Get candy']",0," Sydney ventured out for a spooky Halloween excursion, accompanied by his delighted companions.  What will Others want to do next? ","['Go home', 'Did this to get candy', 'Get candy']",1,2
15, Sasha set their trash on fire to get rid of it quickly. How would you describe Sasha? ,"['Dirty', 'Very efficient', 'Inconsiderate']",2, Sasha put their trash in a fire to get rid of it promptly.  How would you describe Sasha? ,"['Dirty', 'Very efficient', 'Inconsiderate']",2,1
16, Robin dried up the paper and lit it on fire and it blew away. How would Robin feel afterwards? ,"['Happy their only photo blew away', 'Excited to see what comes next', 'Gone']",1," Back in my day, we didn't have all these fancy matches and lighters like they do now. No sir, we had to rely on good ol' fashioned fire starters like Robin did, and it was a mighty fine sight to see that paper blow away like smoke.  How would Robin feel afterwards? ","['Happy their only photo blew away', 'Excited to see what comes next', 'Gone']",1,1
17, Skylar went camping with friends and found the best campsite. What does Skylar need to do before this? ,"['Get ready to go on a solo trip', 'Look at a map of the campground', ""Tell her friends she wasn't interested""]",1, Skylar went on a lovely camping trip with her pals and found a charming campsite that provided the perfect setting for their adventures. 🏕️👵  What does Skylar need to do before this? ,"['Get ready to go on a solo trip', 'Look at a map of the campground', ""Tell her friends she wasn't interested""]",1,1
18," Due to his car breaking down, Robin decided to ride with Jan's friends to school. What will Robin want to do next? ","['Fix his car', 'Avoid missing class', 'Arrive on time to school']",0," As Robin's car was in need of repairs, he accepted Jan's kind offer for a ride to school with her friends.  What will Robin want to do next? ","['Fix his car', 'Avoid missing class', 'Arrive on time to school']",2,0
19, Cameron took Kai's compliment seriously after the ballgame ended. How would you describe Cameron? ,"['Humble and not too proud', 'Proud', 'Happy']",0, Cameron was quite touched by Kai's thoughtful compliment following the conclusion of the ballgame.  How would you describe Cameron? ,"['Humble and not too proud', 'Proud', 'Happy']",0,0
20, Jordan taught art in elementary schools and was really great with his students. How would the parents feel as a result? ,"['The art teacher', 'Concerned that Jordan will leave', 'Inspired to make their own art']",2," Jordan was an exceptional art teacher in the elementary schools, and his students flourished under his guidance. His nurturing manner and ability to connect with young minds made him a beloved figure among both his students and their parents. 😊  How would the parents feel as a result? ","['The art teacher', 'Concerned that Jordan will leave', 'Inspired to make their own art']",2,1
21, Riley and the others were the best of friends and always supported each other. What will happen to Others? ,"['The others will be dejected', 'The others will offer support', 'The others will be isolated']",1," Riley and her chums were the best of pals, offering each other unwavering support and encouragement.  What will happen to Others? ","['The others will be dejected', 'The others will offer support', 'The others will be isolated']",1,1
22, Taylor gave help to a friend who was having trouble keeping up with their bills. What will their friend want to do next? ,"['Help the friend find a higher paying job', 'Thank Taylor for the generosity', 'Pay some of their late employees']",1, Taylor selflessly lent a hand to their friend in need by providing guidance on managing their bills. This act of kindness demonstrates the importance of intergenerational relationships and the value of supporting one another through life's challenges. 🤝  What will their friend want to do next? ,"['Help the friend find a higher paying job', 'Thank Taylor for the generosity', 'Pay some of their late employees']",1,1
23, Riley had twisted their leg and began to hurt so bad that they could not walk. What does Riley need to do before this? ,"['Lie down', 'Run', 'Sit and relax']",0," Riley has unfortunately sustained a rather serious injury to their leg, causing them a great deal of discomfort and limiting their mobility.  What does Riley need to do before this? ","['Lie down', 'Run', 'Sit and relax']",2,1
24, Carson was at a friend's house but suddenly announced they needed to go home. Why did Carson do this? ,"['Caught a bus', 'Called a cab', 'Forgot to feed the dog']",2," Carson was visiting a friend and then all of a sudden, they said they had to leave immediately.  Why did Carson do this? ","['Caught a bus', 'Called a cab', 'Forgot to feed the dog']",1,2
25, Taylor taught math in the schools after studying to be a teacher for four years. What does Taylor need to do before this? ,"['Get a certificate', 'Teach small children', 'Work in a school']",2," After dedicating four years to studying education, Taylor became a math teacher in the schools. Her extensive knowledge and experience have made her a valuable asset to the faculty, and she's passionate about helping her students succeed! 📝👵  What does Taylor need to do before this? ","['Get a certificate', 'Teach small children', 'Work in a school']",0,0
26, Tracy led their army and fought hard in the war until they sat upon the throne. How would you describe Tracy? ,"['Peasant', 'Ruler', 'Powerful']",2," Tracy demonstrated exceptional prowess as a military leader and fought fiercely throughout the conflict, ultimately resulting in their triumphant ascension to the throne.  How would you describe Tracy? ","['Peasant', 'Ruler', 'Powerful']",2,2
27, Kendall watched baseball with his friends after working hard all week at his job. What will Kendall want to do next? ,"['Avoid talking to his friends', 'Cheer his team with his friends', 'Needed to please her boss']",1, Kendall spent time with his pals after a tiring week at the office.  What will Kendall want to do next? ,"['Avoid talking to his friends', 'Cheer his team with his friends', 'Needed to please her boss']",1,1
28, kai was bored and had nothing to do so he played card games. What will Kai want to do next? ,"['Do math homework', 'Do nothing', 'Watch television']",2," Kai was feeling rather restless and had no particular activity in mind, so he opted to engage in some card games to fill the time.  What will Kai want to do next? ","['Do math homework', 'Do nothing', 'Watch television']",2,2
29," Robin changed Aubrey into clean clothes, so they can both go to the big play. What will Robin want to do next? ","['Wash the dirty laundry', 'Find clean clothes to wear', 'Entertained']",2," Robin helpfully transformed Aubrey into presentable garments, enabling them to both grace the big event with dignity. 👩‍🏫  What will Robin want to do next? ","['Wash the dirty laundry', 'Find clean clothes to wear', 'Entertained']",2,0
30, Kendall wrapped string around my neck to measure the collar of a shirt. What will Others want to do next? ,"['Measure other body parts', 'Buy pants', 'Buy a shirt']",1," Oh my stars, Kendall had to use a piece of string to measure the collar of her shirt? Well, bless her heart! She's so meticulous, that one. I remember when I was her age... 🙄😂  What will Others want to do next? ","['Measure other body parts', 'Buy pants', 'Buy a shirt']",1,0
31, Aubrey gave it to Kai's friend. Kai had thought for sure and hoped that she would get it instead. How would Kai feel as a result? ,"['Giving to others', 'Betrayed by Aubrey', 'Wanting to help people']",1," Aubrey presented the gift to Kai's acquaintance, and Kai had hoped that she would be the one to get it.  How would Kai feel as a result? ","['Giving to others', 'Betrayed by Aubrey', 'Wanting to help people']",1,1
32, jan took them to NYC so that they could experience the city for the first time. What will Others want to do next? ,"['Look around', 'Look nowhere', 'Make sure they get a good first impression of NYC']",0, Jan graciously escorted them to New York City so they could encounter the vibrant urban life for the very first time. 👴🏻👵🏻  What will Others want to do next? ,"['Look around', 'Look nowhere', 'Make sure they get a good first impression of NYC']",0,0
33, Tracy threw a fit on the couch while watching the history channel because they got a lot of details wrong. Why did Tracy do this? ,"['Tracy who has through watching the history channel', 'Prove that they know the truth', 'Tracy who has got alot of details wrong']",1," Tracy had a mighty tantrum on the sofa while viewing the History Channel as they made a number of mistakes, which she found quite vexing.  Why did Tracy do this? ","['Tracy who has through watching the history channel', 'Prove that they know the truth', 'Tracy who has got alot of details wrong']",0,1
34, carson hated lee and his family so he took the risk to injure lee. How would you describe Carson? ,"['Carson who has hated lee', 'As mean', 'To risk injure lee']",1," Carson was consumed by resentment towards Lee and his kin, prompting him to take a dangerous action with the intention of causing harm to Lee.  How would you describe Carson? ","['Carson who has hated lee', 'As mean', 'To risk injure lee']",1,1
35, Robin stayed outside and tried to finish the game of volleyball she was playing. How would Robin feel afterwards? ,"['Energetic', 'Brave', 'Tired']",2," Robin decided to complete her volleyball game despite being outside, displaying her perseverance and love for the activity.  How would Robin feel afterwards? ","['Energetic', 'Brave', 'Tired']",2,2
36, Carson returned to Robin's house after previously storming out during a huge fight. How would Carson feel afterwards? ,"['Proud', 'Humiliated', 'Happy']",1, Carson became quite agitated and departed Robin's residence following a fierce confrontation.  How would Carson feel afterwards? ,"['Proud', 'Humiliated', 'Happy']",1,1
37, Robin didn't know why she was having bad luck but found the answer. How would Robin feel afterwards? ,"['Well', 'Determined because she discovered the answer', 'Scared to do much']",1," Robin was perplexed by her run of bad luck, but eventually, she stumbled upon the explanation for her misfortunes.  How would Robin feel afterwards? ","['Well', 'Determined because she discovered the answer', 'Scared to do much']",1,1
38, Jordan's son was growing out of their shoes. Jordan took their son to the shoe store. How would Jordan's son feel as a result? ,"['Ready to go home', 'Upset and frustrated', 'Ready to find shoes']",2," Jordan's grandson was rapidly outgrowing his footwear, so Jordan took him to the shoe shop for a new pair.  How would Jordan's son feel as a result? ","['Ready to go home', 'Upset and frustrated', 'Ready to find shoes']",2,2
39, ash was cut short even though everyone wanted to hear what ash had to say. What will happen to Others? ,"['Be happy', 'Enjoy the events', 'Protest the events']",2," Ash's words were sadly interrupted before he could finish speaking, leaving everyone wanting more.  What will happen to Others? ","['Be happy', 'Enjoy the events', 'Protest the events']",2,2
40, Jordan was talking to a group of friends. Jordan talked behind Ash's back to fit in. What will happen to Jordan? ,"['Lose a bet', 'Proud', 'Guilty']",2, Jordan was engaging in a discussion with a circle of acquaintances and whispered some information about Ash to gain their acceptance.  What will happen to Jordan? ,"['Lose a bet', 'Proud', 'Guilty']",2,2
41, jordan wanted to be nice to a girl so he took her to the shoe store. What does Jordan need to do before this? ,"['Buy the girl some shoes', 'Ask the girl on a date', 'Be kind']",2," Jordan was kind and considerate towards the young lady, taking her to the shoe store to select a nice pair of shoes that would make her happy.  What does Jordan need to do before this? ","['Buy the girl some shoes', 'Ask the girl on a date', 'Be kind']",2,1
42, Aubrey understood Remy better and met his needs more efficiently as his nurse. How would Remy feel as a result? ,"['Anxious as a result', 'Hopeful as a result', 'Desperate as a result']",1, Aubrey demonstrated a remarkable ability to comprehend Remy's requirements and provide excellent care as his nurse. Her dedication was truly admirable. 🙏  How would Remy feel as a result? ,"['Anxious as a result', 'Hopeful as a result', 'Desperate as a result']",1,1
43, Aubrey kept the baby up at night to watch for a concussion. What will happen to Aubrey? ,"[""The baby fell asleep despite Aubrey's best effort"", 'Gets so sleepy but stays awake anyway', 'And the baby both fell asleep late in the night']",2," Aubrey kept a close watch on the baby through the night, worried that they might have suffered a concussion and needing to take appropriate action.  What will happen to Aubrey? ","[""The baby fell asleep despite Aubrey's best effort"", 'Gets so sleepy but stays awake anyway', 'And the baby both fell asleep late in the night']",2,1
44, Robin shut Riley's eyes to the fact that he didn't want her to see the sex scene from the movie. How would Riley feel as a result of this? ,"['Scared of the scene', 'Like a baby', 'Protective of Riley']",1," Robin carefully obscured Riley's vision of the suggestive scene in the movie, sparing her the embarrassment and potential distress that such content might cause.  How would Riley feel as a result of this? ","['Scared of the scene', 'Like a baby', 'Protective of Riley']",2,1
45, Quinn wrapped their arms around Jordan before pulling out the gift that they had been hiding. What does Quinn need to do before this? ,"['Pick out a gift for Jordan', 'Be caring', 'Hold the gift in plain sight']",1, Quinn lovingly enfolded Jordan in their arms before delicately offering them a special present that they had been concealing.  What does Quinn need to do before this? ,"['Pick out a gift for Jordan', 'Be caring', 'Hold the gift in plain sight']",1,0
46, Bailey passed Jesse on his driving examination after he passed with flying colors. What does Bailey need to do before this? ,"['Test Jesse before this', 'Buy a car', 'Celebrate']",0," Bailey passed his driver's test with distinction, leaving Jesse in the dust.  What does Bailey need to do before this? ","['Test Jesse before this', 'Buy a car', 'Celebrate']",2,0
47, Austin was taking a test and found it difficult at first. How would you describe Austin? ,"['A student', 'Stupid', 'Overwhelmed']",2," Austin had a bit of trouble with the test at first, but he kept at it and managed to do well despite the difficulties.  How would you describe Austin? ","['A student', 'Stupid', 'Overwhelmed']",0,2
48," Quinn was playing and froliking in the snow, making snow angels and snowballs. How would you describe Quinn? ","['A big fan of the band', 'Lighthearted and lonely', 'A big fan of the outdoors']",2," Quinn was enjoying a delightful time frolicking in the snow, making charming snow angels and playfully throwing snowballs.  How would you describe Quinn? ","['A big fan of the band', 'Lighthearted and lonely', 'A big fan of the outdoors']",2,2
49, Tracy gave money to my friend who needed it but failed to by it back as they promised. What will happen to Tracy? ,"['Yell at them', 'Be disappointed in them', 'Lose trust in my friend']",1," Tracy gave a loan to my acquaintance who was facing financial difficulties, however, they did not keep their promise to return the amount.  What will happen to Tracy? ","['Yell at them', 'Be disappointed in them', 'Lose trust in my friend']",1,2
50, Camerson was grading Bailey's research paper. Cameron felt satisfied with Bailey's work. How would you describe Cameron? ,"['Honest', 'A success as a teacher', 'Vengeful']",0, Mr. Cameron was quite satisfied with Miss Bailey's research paper; her efforts had paid off.  How would you describe Cameron? ,"['Honest', 'A success as a teacher', 'Vengeful']",0,1
51," Skylar was pushed by the bully in the lunch line, so Skylar poured milk over their head. What will Skylar want to do next? ","['Run away', 'Wait for a reaction', 'Wanted to fight with the bully']",1," Skylar was rather distressed when the bully shoved them in the lunch line, so they poured milk over the other person's head as a way to cope with their feelings. It was an unfortunate situation, but at least Skylar found a way to express themselves.  What will Skylar want to do next? ","['Run away', 'Wait for a reaction', 'Wanted to fight with the bully']",1,0
52," Remy gave you Skylar account for netflix, so you wouldn't have to pay for your own account. How would you describe Remy? ","['Feeling bored', 'Feeling loved', 'Cheated']",1," Remy was thoughtful enough to provide you with Skylar's Netflix account information, saving you the expense of purchasing your own subscription.  How would you describe Remy? ","['Feeling bored', 'Feeling loved', 'Cheated']",1,2
53, Skylar was on the phone while at the national park. They lent little attention to the view. What will Skylar want to do next? ,"['Get Skylar off the phone', 'Sleep', 'Build']",0," Skylar was preoccupied with their phone call during their visit to the park, almost neglecting the beautiful views that surrounded them.  What will Skylar want to do next? ","['Get Skylar off the phone', 'Sleep', 'Build']",2,0
54," Sydney works as a preschool teacher, and helped trace Robin's fingers. Why did Sydney do this? ","['Make popcorn', 'Teach her class the alphabet', 'Make artwork']",1," Sydney, a seasoned educator, aided in tracing Robin's finger outlines.  Why did Sydney do this? ","['Make popcorn', 'Teach her class the alphabet', 'Make artwork']",2,2
55, Jan was pregnant and she gave birth to a beautiful baby daughter. How would you describe Jan? ,"['A mother', 'Exhausted', 'Ready to take a spin class']",0," Jan was overjoyed to finally hold her new granddaughter in her arms! The birth was a wonderful experience, and she can't wait to spoil this little angel rotten. 💕👵  How would you describe Jan? ","['A mother', 'Exhausted', 'Ready to take a spin class']",0,0
56, Kendall was really into house plants and often pour water in to jars so the fluoride would evaporate out. What will Kendall want to do next? ,"['Watered a few of the plants', 'Gather jars', 'Watered a few of her pets']",0, Kendall was quite fond of her house plants and would often water them abundantly to ensure the fluoride dissipated.  What will Kendall want to do next? ,"['Watered a few of the plants', 'Gather jars', 'Watered a few of her pets']",0,0
57," Knowing skylar would want to go too, Kendall took Skylar into account. Why did Kendall do this? ","['Kendall who has want to skylar', 'Get this over with', 'Help skylar']",0," Since Skylar was definitely on board with the idea, Kendall thought carefully about how to include her in the plans.  Why did Kendall do this? ","['Kendall who has want to skylar', 'Get this over with', 'Help skylar']",0,2
58, Aubrey was a police officer. She pulled Casey over for speeding in a construction zone. What will Casey want to do next? ,"['Keep construction workers safe', 'Speed off', 'Make an excuse']",0," Aubrey, a diligent law enforcement official, stopped Casey for exceeding the speed limit in a hazardous construction area.  What will Casey want to do next? ","['Keep construction workers safe', 'Speed off', 'Make an excuse']",2,2
59, Riley granted Jan the highest title of the kingdom and celebrated with a feast. What will Jan want to do next? ,"['Celebrate all night with the kingdom', 'Proud', 'Indifferent']",1," Riley bestowed upon Jan the most distinguished title within the kingdom, and a lavish celebration was held to commemorate the occasion. 🎉���STRK  What will Jan want to do next? ","['Celebrate all night with the kingdom', 'Proud', 'Indifferent']",1,0
60," After being kicked out of the house by his parents, Jordan needed a place to live. How would you describe Jordan? ","['Quite lazy', 'Sad', 'Extremely hardworking']",0," Following his parents' decision to ask him to leave, Jordan required a fresh living arrangement.  How would you describe Jordan? ","['Quite lazy', 'Sad', 'Extremely hardworking']",2,1
61, Remy gave birth to a baby girl on a Saturday afternoon. What does Remy need to do before this? ,"['Leave her husband', 'Did this to start a family', 'Go to the hospital']",2," Last Saturday afternoon, Remy was blessed with the arrival of a precious baby girl.  What does Remy need to do before this? ","['Leave her husband', 'Did this to start a family', 'Go to the hospital']",2,2
62, Alex was no longer raising Sasha but she did give birth to Sasha. What will Alex want to do next? ,"['Build a relationship with Sasha', 'Ask to visit Sasha', 'Kidnap Sasha from home']",1," Alex used to take care of Sasha, but now she's grown up and moved on, even though she was the one who gave birth to her.  What will Alex want to do next? ","['Build a relationship with Sasha', 'Ask to visit Sasha', 'Kidnap Sasha from home']",1,1
63, Jordan gave Robin advice about a job interview as Jordan already worked at the company and knew the questions that would be asked at teh interview stage. How would Robin feel afterwards? ,"['Disgusted', 'Be prepared', 'Supported']",2," Jordan imparted his knowledge of the company's interview process to Robin, as he had already been in that very situation himself.  How would Robin feel afterwards? ","['Disgusted', 'Be prepared', 'Supported']",2,2
64, Cameron went out of her way to buy food for the homeless. How would Cameron feel afterwards? ,"['Mad', 'Upset', 'Happy']",2," Cameron went to great lengths to procure sustenance for those in need, demonstrating her compassion and commitment to helping others. She truly is a selfless individual!  How would Cameron feel afterwards? ","['Mad', 'Upset', 'Happy']",2,2
65, Sydney played Kendall's heart when she pretended to be interested in him at the party. What will happen to Kendall? ,"['Be angry at Sydney', 'Be excited', 'Date Sydney']",1," Sydney played a cruel trick on Kendall when she pretended to be interested in him at the party, leaving him with hurt feelings. 💔  What will happen to Kendall? ","['Be angry at Sydney', 'Be excited', 'Date Sydney']",0,0
66, Cameron's parents told them to do well at school or they would be grounded.  Cameron took their words seriously. What will happen to Cameron? ,"['Listen or face severe punishment', 'Study very hard', 'Have his assignments done by their classmates']",1," Cameron's parents emphasized the importance of academic success and warned them about the potential penalties for underperformance, so Cameron made sure to study diligently.  What will happen to Cameron? ","['Listen or face severe punishment', 'Study very hard', 'Have his assignments done by their classmates']",1,1
67, Jan took me to NYC to celebrate my birthday before the baby was born. What will Others want to do after? ,"['Leave me in NYC', 'Wish me a happy birthday', 'Get a flight to NYC']",1, Jan took me on a lovely birthday outing to New York City before the baby came. It was so sweet of him to make sure I celebrated my special day in style before life got too busy with the new addition.  What will Others want to do after? ,"['Leave me in NYC', 'Wish me a happy birthday', 'Get a flight to NYC']",1,1
68, It was a pretty sunny day outside. Quinn walked instead. What does Quinn need to do before this? ,"['Have fun', 'Notice the sun', 'Move their feet']",2," Quinn had a lovely day outside, and she chose to go for a leisurely walk instead of staying inside.  What does Quinn need to do before this? ","['Have fun', 'Notice the sun', 'Move their feet']",1,2
69, Kai was grounded after wrecking his mother's car so he handed back the keys. What will Kai want to do next? ,"['Wanted to stay out of trouble', 'Work hard at home', 'Rent out the car']",2," Kai caused some damage to his mother's vehicle and as a consequence, he was not allowed to use it anymore, so he returned the keys.  What will Kai want to do next? ","['Wanted to stay out of trouble', 'Work hard at home', 'Rent out the car']",2,0
70, Jordan got his leg bitten off by a shark while he was surfing. Jordan made light of the handicap. Why did Jordan do this? ,"['Show that he only needed one leg', 'Needed to have a surf board', 'Not show others he was suffering']",1," Jordan suffered a tragic accident while surfing when a shark bit off his leg. Despite this setback, he showed remarkable resilience and kept a stiff upper lip.  Why did Jordan do this? ","['Show that he only needed one leg', 'Needed to have a surf board', 'Not show others he was suffering']",1,2
71, Kendall knew that Skylar has a difficult work schedule and needed to accomodate that when planning the vacation. How would Skylar feel as a result? ,"['Grateful to Kendall', 'Excited about work', 'That they are looking forward to their vacation']",0, Kendall was considerate of Skylar's demanding work schedule and took that into account when organizing their vacation plans.  How would Skylar feel as a result? ,"['Grateful to Kendall', 'Excited about work', 'That they are looking forward to their vacation']",0,0
72, But she didn't want to be on the team so walked off the court. Why did Aubrey do this? ,"['Wanted to spend more time at home', 'Wanted to win the championship', 'Being on the team was her big dream']",2," But she declined to join the team, so she departed the court.  Why did Aubrey do this? ","['Wanted to spend more time at home', 'Wanted to win the championship', 'Being on the team was her big dream']",0,0
73, Carson was at a friend's house across town from where he lived playing video games. How would Carson feel afterwards? ,"['Sad that he will have to stop playing video games', 'Too dark outside', 'Ready to go for a short stroll back to his home']",2," Carson was visiting a fellow at a different part of town, indulging in some video game fun and entertainment.  How would Carson feel afterwards? ","['Sad that he will have to stop playing video games', 'Too dark outside', 'Ready to go for a short stroll back to his home']",2,0
74, Kendall took their dog to the new dog park in the neighborhood. What will Kendall want to do next? ,"['Give it a bath', 'Walk their dog', 'Meet other dog owners']",2, Kendall conveyed their canine companion to the new dog park that has been established in the local area.  What will Kendall want to do next? ,"['Give it a bath', 'Walk their dog', 'Meet other dog owners']",2,2
75," Robin's brother was hungry, too, so Robin cut the sandwich in half. How would Robin feel afterwards? ","['Accommodating', 'Hungry', 'Friendly']",0," As Robin's sibling was famished as well, she kindly cut the sandwich into two portions.  How would Robin feel afterwards? ","['Accommodating', 'Hungry', 'Friendly']",0,0
76, Addison regarded every girl as somebody who should be treated by their actions. How would Others feel as a result? ,"['Bored now', 'Loved now', 'Passive now']",1," Addison felt that all girls should be evaluated by their deeds, rather than their character or background.  How would Others feel as a result? ","['Bored now', 'Loved now', 'Passive now']",2,1
77, Remy challenged them to a game and then beat them so much. How would they feel as a result? ,"['Weak', 'Proud', 'Happy']",1," Remy had an impressive showing in the game, outplaying his opponents with ease.  How would they feel as a result? ","['Weak', 'Proud', 'Happy']",1,0
78, Casey gave some money to Jesse so she could go to the movie. How would you describe Casey? ,"['Thankful', 'Greedy', 'Giving']",0," Casey generously offered to give Jesse some money for her entertainment fund, allowing her to enjoy a trip to the cinema.  How would you describe Casey? ","['Thankful', 'Greedy', 'Giving']",2,2
79, Lee gave birth to ten babies over a span of ten years. How would you describe Lee? ,"['Barren', 'Caring', 'Would love her children']",1," In her prime reproductive years, Lee was blessed with no less than ten tiny bundles of joy, born across a decade's time.  How would you describe Lee? ","['Barren', 'Caring', 'Would love her children']",1,2
80, Cameron wore some very heavy clothes even thought it was hot outside and he would sweat heavily outside. How would Others feel as a result? ,"['Thinks differently', 'Awkward', 'Hungry']",0," Cameron put on quite a few layers even though it was sweltering hot outside, causing him to become quite flustered and sweaty.  How would Others feel as a result? ","['Thinks differently', 'Awkward', 'Hungry']",0,1
81, Remy understood every mystery because she was a famous mystery writer. What will Others want to do after? ,"['Ask Remy more', ""Destroy Remy's books"", 'Be a mystery writer']",0," Remy was a legendary figure in the world of mystery writing, and her exceptional ability to decipher even the most perplexing enigmas was truly remarkable. She had a keen eye for detail and a sharp mind that allowed her to solve even the most complex cases with ease.  What will Others want to do after? ","['Ask Remy more', ""Destroy Remy's books"", 'Be a mystery writer']",0,0
82," Kendall persisted after being told no, and eventually had a positive effect on Lee. What will Lee want to do next? ","['Give into Kendall', ""Give a punch to Kendall's face"", 'Refuse to help Kendall']",0, Kendall refused to give up after being told no; her determination paid off and she achieved a positive outcome with Lee.  What will Lee want to do next? ,"['Give into Kendall', ""Give a punch to Kendall's face"", 'Refuse to help Kendall']",0,0
83, Alex worshiped Jesus in their way even though everyone said it was the wrong way to do it. What will Alex want to do next? ,"['Ale who has worshiped jesus', 'Be discouraged by others', 'Not listen to others']",2," Alex had a special connection with Jesus that they expressed in their own way, even though others might not have agreed with their methods.  What will Alex want to do next? ","['Ale who has worshiped jesus', 'Be discouraged by others', 'Not listen to others']",2,2
84, Cameron got a new video game and wanted to spend the night playing it. How would Cameron feel afterwards? ,"['Tired', 'Addicted to video games', 'A gamer']",1," Cameron was overjoyed when his grandkids gave him a shiny new video game for his birthday, and he couldn't wait to play it all night long!  How would Cameron feel afterwards? ","['Tired', 'Addicted to video games', 'A gamer']",1,2
