idx,sentences_df1,choices_df1,scores_df1,sentences_df2,choices_df2,scores_df2,targets
16, Robin dried up the paper and lit it on fire and it blew away. How would Robin feel afterwards? ,"['Happy their only photo blew away', 'Excited to see what comes next', 'Gone']",1," Robin totally incinerated the paper with his mad fire-starting skills, and it was like, whoa, it just blew away!  How would Robin feel afterwards? ","['Happy their only photo blew away', 'Excited to see what comes next', 'Gone']",1,1
17, Skylar went camping with friends and found the best campsite. What does Skylar need to do before this? ,"['Get ready to go on a solo trip', 'Look at a map of the campground', ""Tell her friends she wasn't interested""]",1, Skylar totally slayed her camping trip with her squad and found the sickest campsite ever! 🏕️👯‍♀️  What does Skylar need to do before this? ,"['Get ready to go on a solo trip', 'Look at a map of the campground', ""Tell her friends she wasn't interested""]",1,1
18," Due to his car breaking down, Robin decided to ride with Jan's friends to school. What will Robin want to do next? ","['Fix his car', 'Avoid missing class', 'Arrive on time to school']",0," Due to his car being totaled, Robin had to bum a ride with Jan's squad to school.  What will Robin want to do next? ","['Fix his car', 'Avoid missing class', 'Arrive on time to school']",0,0
19, Cameron took Kai's compliment seriously after the ballgame ended. How would you describe Cameron? ,"['Humble and not too proud', 'Proud', 'Happy']",0, Cameron was totally stoked when Kai gave him a shoutout after the game!  How would you describe Cameron? ,"['Humble and not too proud', 'Proud', 'Happy']",2,0
20, Jordan taught art in elementary schools and was really great with his students. How would the parents feel as a result? ,"['The art teacher', 'Concerned that Jordan will leave', 'Inspired to make their own art']",2," Jordan was totally awesome as an art teacher in elementary school! He was so good with his students, they just loved him! 😊  How would the parents feel as a result? ","['The art teacher', 'Concerned that Jordan will leave', 'Inspired to make their own art']",1,1
21, Riley and the others were the best of friends and always supported each other. What will happen to Others? ,"['The others will be dejected', 'The others will offer support', 'The others will be isolated']",1, Riley and her squad were total BFFs and always had each other's backs.  What will happen to Others? ,"['The others will be dejected', 'The others will offer support', 'The others will be isolated']",1,1
22, Taylor gave help to a friend who was having trouble keeping up with their bills. What will their friend want to do next? ,"['Help the friend find a higher paying job', 'Thank Taylor for the generosity', 'Pay some of their late employees']",1," Taylor was totally there for their friend when they were struggling to pay their bills. Like, seriously, who else would drop everything to help out? 😊  What will their friend want to do next? ","['Help the friend find a higher paying job', 'Thank Taylor for the generosity', 'Pay some of their late employees']",0,1
23, Riley had twisted their leg and began to hurt so bad that they could not walk. What does Riley need to do before this? ,"['Lie down', 'Run', 'Sit and relax']",0," Riley totally wrecked their leg and it's killin' them, man. They can barely even walk now.  What does Riley need to do before this? ","['Lie down', 'Run', 'Sit and relax']",2,1
24, Carson was at a friend's house but suddenly announced they needed to go home. Why did Carson do this? ,"['Caught a bus', 'Called a cab', 'Forgot to feed the dog']",2," Carson was hanging out at their buddy's crib, but then they were like ""OH SNAP, gotta bounce!  Why did Carson do this? ","['Caught a bus', 'Called a cab', 'Forgot to feed the dog']",1,2
25, Taylor taught math in the schools after studying to be a teacher for four years. What does Taylor need to do before this? ,"['Get a certificate', 'Teach small children', 'Work in a school']",2," Taylor was a total math whiz and then she decided to share her skills with the world by becoming a teacher! She studied for four years to become an expert, and now she's teaching in schools. 📝👩‍🏫  What does Taylor need to do before this? ","['Get a certificate', 'Teach small children', 'Work in a school']",0,0
26, Tracy led their army and fought hard in the war until they sat upon the throne. How would you describe Tracy? ,"['Peasant', 'Ruler', 'Powerful']",2, Tracy was a total boss and totally kicked butt in that war until they won the throne!  How would you describe Tracy? ,"['Peasant', 'Ruler', 'Powerful']",2,2
27, Kendall watched baseball with his friends after working hard all week at his job. What will Kendall want to do next? ,"['Avoid talking to his friends', 'Cheer his team with his friends', 'Needed to please her boss']",1, Kendall chilled with his homies after grinding all week at his gig.  What will Kendall want to do next? ,"['Avoid talking to his friends', 'Cheer his team with his friends', 'Needed to please her boss']",1,1
28, kai was bored and had nothing to do so he played card games. What will Kai want to do next? ,"['Do math homework', 'Do nothing', 'Watch television']",2," Kai was totes bored and had no life, so he played some card games to pass the time.  What will Kai want to do next? ","['Do math homework', 'Do nothing', 'Watch television']",2,2
29," Robin changed Aubrey into clean clothes, so they can both go to the big play. What will Robin want to do next? ","['Wash the dirty laundry', 'Find clean clothes to wear', 'Entertained']",2," Robin totally swapped out Aubrey's grimy duds for fresh ones, so they can both rock the big play! 😎  What will Robin want to do next? ","['Wash the dirty laundry', 'Find clean clothes to wear', 'Entertained']",2,0
30, Kendall wrapped string around my neck to measure the collar of a shirt. What will Others want to do next? ,"['Measure other body parts', 'Buy pants', 'Buy a shirt']",1," Kendall totally rocked my neck with some string to measure the collar of her shirt, you know? Like, she was trying to get it just right or something! 😅  What will Others want to do next? ","['Measure other body parts', 'Buy pants', 'Buy a shirt']",1,0
31, Aubrey gave it to Kai's friend. Kai had thought for sure and hoped that she would get it instead. How would Kai feel as a result? ,"['Giving to others', 'Betrayed by Aubrey', 'Wanting to help people']",1," Aubrey handed the gift over to Kai's buddy, and Kai was like ""oooh, I really wanted that!  How would Kai feel as a result? ","['Giving to others', 'Betrayed by Aubrey', 'Wanting to help people']",1,1
32, jan took them to NYC so that they could experience the city for the first time. What will Others want to do next? ,"['Look around', 'Look nowhere', 'Make sure they get a good first impression of NYC']",0, Jan totally hooked it up and took them to NYC so they could finally experience the big city for real! 😍  What will Others want to do next? ,"['Look around', 'Look nowhere', 'Make sure they get a good first impression of NYC']",0,0
33, Tracy threw a fit on the couch while watching the history channel because they got a lot of details wrong. Why did Tracy do this? ,"['Tracy who has through watching the history channel', 'Prove that they know the truth', 'Tracy who has got alot of details wrong']",1," Tracy totally freaked out on the couch while binge-watching History Channel because they got major details wrong, like whoa!  Why did Tracy do this? ","['Tracy who has through watching the history channel', 'Prove that they know the truth', 'Tracy who has got alot of details wrong']",0,1
34, carson hated lee and his family so he took the risk to injure lee. How would you describe Carson? ,"['Carson who has hated lee', 'As mean', 'To risk injure lee']",1," Carson was super angry with Lee and his fam, so he decided to hurt Lee real bad.  How would you describe Carson? ","['Carson who has hated lee', 'As mean', 'To risk injure lee']",1,1
35, Robin stayed outside and tried to finish the game of volleyball she was playing. How would Robin feel afterwards? ,"['Energetic', 'Brave', 'Tired']",2," Robin totally killed it on the volleyball court and was determined to finish the game, even though she was outside.  How would Robin feel afterwards? ","['Energetic', 'Brave', 'Tired']",1,2
36, Carson returned to Robin's house after previously storming out during a huge fight. How would Carson feel afterwards? ,"['Proud', 'Humiliated', 'Happy']",1, Carson totally freaked out and left Robin's crib after a major blowout.  How would Carson feel afterwards? ,"['Proud', 'Humiliated', 'Happy']",1,1
37, Robin didn't know why she was having bad luck but found the answer. How would Robin feel afterwards? ,"['Well', 'Determined because she discovered the answer', 'Scared to do much']",1," Robin was totally clueless about why she was having such a crappy day, but then she finally figured it out.  How would Robin feel afterwards? ","['Well', 'Determined because she discovered the answer', 'Scared to do much']",1,1
38, Jordan's son was growing out of their shoes. Jordan took their son to the shoe store. How would Jordan's son feel as a result? ,"['Ready to go home', 'Upset and frustrated', 'Ready to find shoes']",2," Jordan's kid was outgrowing their kicks, so they took them to the shoe spot.  How would Jordan's son feel as a result? ","['Ready to go home', 'Upset and frustrated', 'Ready to find shoes']",2,2
39, ash was cut short even though everyone wanted to hear what ash had to say. What will happen to Others? ,"['Be happy', 'Enjoy the events', 'Protest the events']",2, Ash's speech was cut off even though everyone wanted to hear more from him.  What will happen to Others? ,"['Be happy', 'Enjoy the events', 'Protest the events']",2,2
40, Jordan was talking to a group of friends. Jordan talked behind Ash's back to fit in. What will happen to Jordan? ,"['Lose a bet', 'Proud', 'Guilty']",2, Jordan was chillin' with her squad and spilled some tea about Ash behind his back to fit in.  What will happen to Jordan? ,"['Lose a bet', 'Proud', 'Guilty']",2,2
41, jordan wanted to be nice to a girl so he took her to the shoe store. What does Jordan need to do before this? ,"['Buy the girl some shoes', 'Ask the girl on a date', 'Be kind']",2," Jordan was trying to impress the girl, so he took her to the shoe store to show off his style and hopefully win her over.  What does Jordan need to do before this? ","['Buy the girl some shoes', 'Ask the girl on a date', 'Be kind']",2,1
42, Aubrey understood Remy better and met his needs more efficiently as his nurse. How would Remy feel as a result? ,"['Anxious as a result', 'Hopeful as a result', 'Desperate as a result']",1," Aubrey totally got Remy and was like, super helpful in taking care of him! 😊  How would Remy feel as a result? ","['Anxious as a result', 'Hopeful as a result', 'Desperate as a result']",1,1
43, Aubrey kept the baby up at night to watch for a concussion. What will happen to Aubrey? ,"[""The baby fell asleep despite Aubrey's best effort"", 'Gets so sleepy but stays awake anyway', 'And the baby both fell asleep late in the night']",2," Aubrey was like, ""I gotta keep an eye on this little dude all night in case they get a concussion.  What will happen to Aubrey? ","[""The baby fell asleep despite Aubrey's best effort"", 'Gets so sleepy but stays awake anyway', 'And the baby both fell asleep late in the night']",1,1
44, Robin shut Riley's eyes to the fact that he didn't want her to see the sex scene from the movie. How would Riley feel as a result of this? ,"['Scared of the scene', 'Like a baby', 'Protective of Riley']",1, Robin totally blocked Riley's view of the racy scene in the movie so she wouldn't get embarrassed or whatever.  How would Riley feel as a result of this? ,"['Scared of the scene', 'Like a baby', 'Protective of Riley']",2,1
45, Quinn wrapped their arms around Jordan before pulling out the gift that they had been hiding. What does Quinn need to do before this? ,"['Pick out a gift for Jordan', 'Be caring', 'Hold the gift in plain sight']",1," Quinn secretly handed Jordan a surprise gift, giving them a big hug before revealing it.  What does Quinn need to do before this? ","['Pick out a gift for Jordan', 'Be caring', 'Hold the gift in plain sight']",1,0
46, Bailey passed Jesse on his driving examination after he passed with flying colors. What does Bailey need to do before this? ,"['Test Jesse before this', 'Buy a car', 'Celebrate']",0, Bailey totally crushed Jesse on his driving examination after acing it with ease!  What does Bailey need to do before this? ,"['Test Jesse before this', 'Buy a car', 'Celebrate']",0,0
47, Austin was taking a test and found it difficult at first. How would you describe Austin? ,"['A student', 'Stupid', 'Overwhelmed']",2," Austin was totally struggling with that test at first, but he pushed through and did his best.  How would you describe Austin? ","['A student', 'Stupid', 'Overwhelmed']",0,2
48," Quinn was playing and froliking in the snow, making snow angels and snowballs. How would you describe Quinn? ","['A big fan of the band', 'Lighthearted and lonely', 'A big fan of the outdoors']",2," Quinn was totally lit playing and vibin' in the snow, makin' sick snow angels and throwin' snowballs like a boss!  How would you describe Quinn? ","['A big fan of the band', 'Lighthearted and lonely', 'A big fan of the outdoors']",2,2
49, Tracy gave money to my friend who needed it but failed to by it back as they promised. What will happen to Tracy? ,"['Yell at them', 'Be disappointed in them', 'Lose trust in my friend']",1," Tracy gave my homie some cash when they were in a tight spot, but they didn't follow through on their promise to pay her back.  What will happen to Tracy? ","['Yell at them', 'Be disappointed in them', 'Lose trust in my friend']",1,2
50, Camerson was grading Bailey's research paper. Cameron felt satisfied with Bailey's work. How would you describe Cameron? ,"['Honest', 'A success as a teacher', 'Vengeful']",0," Cameron was totally stoked with Bailey's research paper. Like, she nailed it!  How would you describe Cameron? ","['Honest', 'A success as a teacher', 'Vengeful']",0,1
51," Skylar was pushed by the bully in the lunch line, so Skylar poured milk over their head. What will Skylar want to do next? ","['Run away', 'Wait for a reaction', 'Wanted to fight with the bully']",1," Skylar was totally bugging out when the bully shoved them in the lunch line, so they poured milk all over the jerk's head! 😡  What will Skylar want to do next? ","['Run away', 'Wait for a reaction', 'Wanted to fight with the bully']",1,0
52," Remy gave you Skylar account for netflix, so you wouldn't have to pay for your own account. How would you describe Remy? ","['Feeling bored', 'Feeling loved', 'Cheated']",1," Remy hooked you up with Skylar's Netflix account, so you don't have to shell out cash for your own subscription!  How would you describe Remy? ","['Feeling bored', 'Feeling loved', 'Cheated']",1,2
53, Skylar was on the phone while at the national park. They lent little attention to the view. What will Skylar want to do next? ,"['Get Skylar off the phone', 'Sleep', 'Build']",0," Skylar was totally absorbed in their phone call while at the park, almost missing out on the breathtaking views.  What will Skylar want to do next? ","['Get Skylar off the phone', 'Sleep', 'Build']",2,0
54," Sydney works as a preschool teacher, and helped trace Robin's fingers. Why did Sydney do this? ","['Make popcorn', 'Teach her class the alphabet', 'Make artwork']",1, Sydney is a preschool teacher who assisted in tracing Robin's finger movements.  Why did Sydney do this? ,"['Make popcorn', 'Teach her class the alphabet', 'Make artwork']",2,2
55, Jan was pregnant and she gave birth to a beautiful baby daughter. How would you describe Jan? ,"['A mother', 'Exhausted', 'Ready to take a spin class']",0, Jan was totally expecting a new addition to the family and voila! She delivered a precious princess! 👶❤️  How would you describe Jan? ,"['A mother', 'Exhausted', 'Ready to take a spin class']",0,0
56, Kendall was really into house plants and often pour water in to jars so the fluoride would evaporate out. What will Kendall want to do next? ,"['Watered a few of the plants', 'Gather jars', 'Watered a few of her pets']",0, Kendall was totally into house plants and would always overwater them to make sure the fluoride was gone!  What will Kendall want to do next? ,"['Watered a few of the plants', 'Gather jars', 'Watered a few of her pets']",0,0
57," Knowing skylar would want to go too, Kendall took Skylar into account. Why did Kendall do this? ","['Kendall who has want to skylar', 'Get this over with', 'Help skylar']",0," Since Skylar would totally be down for it too, Kendall thought about her buddy before making plans.  Why did Kendall do this? ","['Kendall who has want to skylar', 'Get this over with', 'Help skylar']",0,2
58, Aubrey was a police officer. She pulled Casey over for speeding in a construction zone. What will Casey want to do next? ,"['Keep construction workers safe', 'Speed off', 'Make an excuse']",0, Aubrey was a badass cop who nailed Casey for speeding in a construction zone.  What will Casey want to do next? ,"['Keep construction workers safe', 'Speed off', 'Make an excuse']",0,2
59, Riley granted Jan the highest title of the kingdom and celebrated with a feast. What will Jan want to do next? ,"['Celebrate all night with the kingdom', 'Proud', 'Indifferent']",1, Riley totally showed up Jan with the sickest title in the kingdom and threw a lit feast to celebrate! 🎉👑  What will Jan want to do next? ,"['Celebrate all night with the kingdom', 'Proud', 'Indifferent']",1,0
60," After being kicked out of the house by his parents, Jordan needed a place to live. How would you describe Jordan? ","['Quite lazy', 'Sad', 'Extremely hardworking']",0," After getting kicked out of his parents' house, Jordan was in dire need of a new place to crash.  How would you describe Jordan? ","['Quite lazy', 'Sad', 'Extremely hardworking']",0,1
61, Remy gave birth to a baby girl on a Saturday afternoon. What does Remy need to do before this? ,"['Leave her husband', 'Did this to start a family', 'Go to the hospital']",2," Remy just had a baby girl on a Saturday afternoon, like, omg!  What does Remy need to do before this? ","['Leave her husband', 'Did this to start a family', 'Go to the hospital']",2,2
62, Alex was no longer raising Sasha but she did give birth to Sasha. What will Alex want to do next? ,"['Build a relationship with Sasha', 'Ask to visit Sasha', 'Kidnap Sasha from home']",1," Alex had Sasha but then stopped taking care of her, even though she was the one who gave birth to her.  What will Alex want to do next? ","['Build a relationship with Sasha', 'Ask to visit Sasha', 'Kidnap Sasha from home']",1,1
63, Jordan gave Robin advice about a job interview as Jordan already worked at the company and knew the questions that would be asked at teh interview stage. How would Robin feel afterwards? ,"['Disgusted', 'Be prepared', 'Supported']",2," Jordan hooked Robin up with some sick interview tips, 'cause he had already been there and done that at the company.  How would Robin feel afterwards? ","['Disgusted', 'Be prepared', 'Supported']",2,2
64, Cameron went out of her way to buy food for the homeless. How would Cameron feel afterwards? ,"['Mad', 'Upset', 'Happy']",2, Cameron totally went above and beyond to score some grub for the homeless dudes on the street. She's totes an angel!  How would Cameron feel afterwards? ,"['Mad', 'Upset', 'Happy']",2,2
65, Sydney played Kendall's heart when she pretended to be interested in him at the party. What will happen to Kendall? ,"['Be angry at Sydney', 'Be excited', 'Date Sydney']",1, Sydney totally crushed Kendall's feelings when she faked her interest in him at the party. 💔  What will happen to Kendall? ,"['Be angry at Sydney', 'Be excited', 'Date Sydney']",0,0
66, Cameron's parents told them to do well at school or they would be grounded.  Cameron took their words seriously. What will happen to Cameron? ,"['Listen or face severe punishment', 'Study very hard', 'Have his assignments done by their classmates']",1," Cameron's parents threatened to ground them if they didn't do well in school, so Cameron tried their best.  What will happen to Cameron? ","['Listen or face severe punishment', 'Study very hard', 'Have his assignments done by their classmates']",1,1
67, Jan took me to NYC to celebrate my birthday before the baby was born. What will Others want to do after? ,"['Leave me in NYC', 'Wish me a happy birthday', 'Get a flight to NYC']",1," OMG, Jan took me on this epic birthday trip to NYC before the baby arrived! It was like, the ultimate pre-baby celebration!  What will Others want to do after? ","['Leave me in NYC', 'Wish me a happy birthday', 'Get a flight to NYC']",1,1
68, It was a pretty sunny day outside. Quinn walked instead. What does Quinn need to do before this? ,"['Have fun', 'Notice the sun', 'Move their feet']",2," It was a totally gorgeous day outside, you know? Quinn decided to take a stroll instead.  What does Quinn need to do before this? ","['Have fun', 'Notice the sun', 'Move their feet']",0,2
69, Kai was grounded after wrecking his mother's car so he handed back the keys. What will Kai want to do next? ,"['Wanted to stay out of trouble', 'Work hard at home', 'Rent out the car']",2," Kai got banned from driving his mom's whip after he totaled it, so he gave back the keys.  What will Kai want to do next? ","['Wanted to stay out of trouble', 'Work hard at home', 'Rent out the car']",2,0
70, Jordan got his leg bitten off by a shark while he was surfing. Jordan made light of the handicap. Why did Jordan do this? ,"['Show that he only needed one leg', 'Needed to have a surf board', 'Not show others he was suffering']",1," Jordan got his leg chomped off by a shark while he was ripping it up on the waves. Despite the gnarly injury, Jordan kept a positive attitude.  Why did Jordan do this? ","['Show that he only needed one leg', 'Needed to have a surf board', 'Not show others he was suffering']",1,2
71, Kendall knew that Skylar has a difficult work schedule and needed to accomodate that when planning the vacation. How would Skylar feel as a result? ,"['Grateful to Kendall', 'Excited about work', 'That they are looking forward to their vacation']",0, Kendall was aware that Skylar had a super hectic work schedule and needed to make sure the vacation planning took that into account.  How would Skylar feel as a result? ,"['Grateful to Kendall', 'Excited about work', 'That they are looking forward to their vacation']",0,0
72, But she didn't want to be on the team so walked off the court. Why did Aubrey do this? ,"['Wanted to spend more time at home', 'Wanted to win the championship', 'Being on the team was her big dream']",2," But she wasn't down with being on the team, so she just walked away from the court.  Why did Aubrey do this? ","['Wanted to spend more time at home', 'Wanted to win the championship', 'Being on the team was her big dream']",2,0
73, Carson was at a friend's house across town from where he lived playing video games. How would Carson feel afterwards? ,"['Sad that he will have to stop playing video games', 'Too dark outside', 'Ready to go for a short stroll back to his home']",2," Carson was hanging out at his buddy's crib, totally immersed in a gaming marathon on the latest console.  How would Carson feel afterwards? ","['Sad that he will have to stop playing video games', 'Too dark outside', 'Ready to go for a short stroll back to his home']",0,0
74, Kendall took their dog to the new dog park in the neighborhood. What will Kendall want to do next? ,"['Give it a bath', 'Walk their dog', 'Meet other dog owners']",2, Kendall totally took their pup to the fresh new dog park in our 'hood!  What will Kendall want to do next? ,"['Give it a bath', 'Walk their dog', 'Meet other dog owners']",2,2
75," Robin's brother was hungry, too, so Robin cut the sandwich in half. How would Robin feel afterwards? ","['Accommodating', 'Hungry', 'Friendly']",0," Robin's bro was starvin', too, so she cut the sammie in half.  How would Robin feel afterwards? ","['Accommodating', 'Hungry', 'Friendly']",0,0
76, Addison regarded every girl as somebody who should be treated by their actions. How would Others feel as a result? ,"['Bored now', 'Loved now', 'Passive now']",1," Addison thought every girl should be treated based on what they do, not just who they are.  How would Others feel as a result? ","['Bored now', 'Loved now', 'Passive now']",1,1
77, Remy challenged them to a game and then beat them so much. How would they feel as a result? ,"['Weak', 'Proud', 'Happy']",1, Remy totally crushed them in the game and it wasn't even close!  How would they feel as a result? ,"['Weak', 'Proud', 'Happy']",1,0
78, Casey gave some money to Jesse so she could go to the movie. How would you describe Casey? ,"['Thankful', 'Greedy', 'Giving']",0, Casey hooked Jesse up with some cash so she could catch the latest flick.  How would you describe Casey? ,"['Thankful', 'Greedy', 'Giving']",0,2
79, Lee gave birth to ten babies over a span of ten years. How would you describe Lee? ,"['Barren', 'Caring', 'Would love her children']",1," Lee totally slayed the baby-making game, delivering ten little munchkins over the course of a decade!  How would you describe Lee? ","['Barren', 'Caring', 'Would love her children']",1,2
80, Cameron wore some very heavy clothes even thought it was hot outside and he would sweat heavily outside. How would Others feel as a result? ,"['Thinks differently', 'Awkward', 'Hungry']",0, Cameron was totally overdressed for the hot weather and he must have felt like a total sweatball outside.  How would Others feel as a result? ,"['Thinks differently', 'Awkward', 'Hungry']",0,1
81, Remy understood every mystery because she was a famous mystery writer. What will Others want to do after? ,"['Ask Remy more', ""Destroy Remy's books"", 'Be a mystery writer']",0," Remy was a total mystery guru - she could solve any puzzle or enigma with ease, and it was no surprise she was famous for it!  What will Others want to do after? ","['Ask Remy more', ""Destroy Remy's books"", 'Be a mystery writer']",0,0
82," Kendall persisted after being told no, and eventually had a positive effect on Lee. What will Lee want to do next? ","['Give into Kendall', ""Give a punch to Kendall's face"", 'Refuse to help Kendall']",0," Kendall didn't let ""no"" discourage her; she kept pushing and eventually scored big with Lee.  What will Lee want to do next? ","['Give into Kendall', ""Give a punch to Kendall's face"", 'Refuse to help Kendall']",0,0
83, Alex worshiped Jesus in their way even though everyone said it was the wrong way to do it. What will Alex want to do next? ,"['Ale who has worshiped jesus', 'Be discouraged by others', 'Not listen to others']",2," Alex totally had their own unique way of worshipping Jesus, even though others might not have understood it.  What will Alex want to do next? ","['Ale who has worshiped jesus', 'Be discouraged by others', 'Not listen to others']",0,2
84, Cameron got a new video game and wanted to spend the night playing it. How would Cameron feel afterwards? ,"['Tired', 'Addicted to video games', 'A gamer']",1," Cameron totally freaked out when he got his hands on a brand new video game and was like, ""OMG, I need to play this all night!  How would Cameron feel afterwards? ","['Tired', 'Addicted to video games', 'A gamer']",1,2
85, Alex grew closer to their significant other after they vacationed together. How would Alex feel afterwards? ,"['In love', 'Happy', 'Back from vacation']",0, Alex and their partner totally hit it off on their vacation and became super close.  How would Alex feel afterwards? ,"['In love', 'Happy', 'Back from vacation']",2,0
86, Aubrey got gas at the station and got some snacks for the drive. Why did Aubrey do this? ,"['Find a gas station to stop at', 'Make a snack', 'Have fuel']",1, Aubrey stopped by the gas station and grabbed some snacks for the road.  Why did Aubrey do this? ,"['Find a gas station to stop at', 'Make a snack', 'Have fuel']",1,2
87, Riley regarded Jesse with observant eyes then smiled after they ate the last cookie. How would you describe Riley? ,"['As talkative', 'As silly', 'Like a person who was thoughtful']",2," Riley couldn't help but notice Jesse with a keen eye, and once they finished devouring the last cookie, a grin spread across their face.  How would you describe Riley? ","['As talkative', 'As silly', 'Like a person who was thoughtful']",0,1
88, Aubrey fed Tracy's kids spaghetti after the baseball practice. How would Tracy feel as a result? ,"['Like she was ignored', 'No one cared about her', 'Relieved']",2, Aubrey totally rocked Tracy's kids with some major spaghetti after baseball practice! 🍝👏  How would Tracy feel as a result? ,"['Like she was ignored', 'No one cared about her', 'Relieved']",2,2
89, Quinn cried their eyes out and ate a whole carton of icecream over her breakup. What will Quinn want to do next? ,"['Get back together with her boyrfrined', 'Purchase ice cream', 'Keep crying']",1, Quinn totally lost it and devoured an entire carton of ice cream after her ex dumped her.  What will Quinn want to do next? ,"['Get back together with her boyrfrined', 'Purchase ice cream', 'Keep crying']",1,2
