idx,sentences_df1,choices_df1,scores_df1,sentences_df2,choices_df2,scores_df2,targets,B==T,F==T
68, It was a pretty sunny day outside. Quinn walked instead. What does Quinn need to do before this? ,"['Have fun', 'Notice the sun', 'Move their feet']",2," The sun was shining brightly, and Quinn took advantage of the nice weather by going for a walk.  What does Quinn need to do before this? ","['Have fun', 'Notice the sun', 'Move their feet']",1,2,TRUE,FALSE
72, But she didn't want to be on the team so walked off the court. Why did Aubrey do this? ,"['Wanted to spend more time at home', 'Wanted to win the championship', 'Being on the team was her big dream']",2, She gracefully declined the offer to join the team and exited the court with poise.  Why did Aubrey do this? ,"['Wanted to spend more time at home', 'Wanted to win the championship', 'Being on the team was her big dream']",0,0,FALSE,TRUE
75," Robin's brother was hungry, too, so Robin cut the sandwich in half. How would Robin feel afterwards? ","['Accommodating', 'Hungry', 'Friendly']",0," Since Robin's brother was also feeling peckish, she divided the sandwich into two equal halves.  How would Robin feel afterwards? ","['Accommodating', 'Hungry', 'Friendly']",1,0,TRUE,FALSE
77, Remy challenged them to a game and then beat them so much. How would they feel as a result? ,"['Weak', 'Proud', 'Happy']",1, Remy challenged the group to a fun game and then emerged victorious.  How would they feel as a result? ,"['Weak', 'Proud', 'Happy']",2,0,FALSE,FALSE
86, Aubrey got gas at the station and got some snacks for the drive. Why did Aubrey do this? ,"['Find a gas station to stop at', 'Make a snack', 'Have fuel']",1, Aubrey stopped at the gas station and picked up some snacks for our drive.  Why did Aubrey do this? ,"['Find a gas station to stop at', 'Make a snack', 'Have fuel']",2,2,FALSE,TRUE
97, Carson was at a friend's house playing video games to get away from his arguing parents. What does Carson need to do before this? ,"['Try a different game', 'Run over to his friends house', 'Stretch out the time at their friends']",0," Carson went over to his friend's house to relax and play video games, seeking a break from the hostile atmosphere at home caused by his parents' arguments.  What does Carson need to do before this? ","['Try a different game', 'Run over to his friends house', 'Stretch out the time at their friends']",1,1,FALSE,TRUE
107, Kai knew that things were getting out of control and managed to keep his temper in check. How would Others feel as a result? ,"['Relieved', 'Anxious', 'Scared']",2," Despite feeling overwhelmed, Kai remained calm and effectively managed the situation.  How would Others feel as a result? ","['Relieved', 'Anxious', 'Scared']",0,0,FALSE,TRUE
109, Austin built a mall on the site where the ruins were found. What does Austin need to do before this? ,"['Bring a local attraction', 'Remove the artifacts', 'Find a new site']",1, The city of Austin constructed a modern mall over the site where the historic remains were found.  What does Austin need to do before this? ,"['Bring a local attraction', 'Remove the artifacts', 'Find a new site']",2,1,TRUE,FALSE
112, Alex and his brother didn't have much in common. They went on a camping trip and Alex grew closer to their brother. How would Others feel as a result? ,"['Lonely', 'Happy', 'Upset']",0," On their adventurous camping trip, Alex grew closer to his brother as they shared intimate moments around the campfire and discovered common ground in their diverse interests.  How would Others feel as a result? ","['Lonely', 'Happy', 'Upset']",1,1,FALSE,TRUE
119, Bailey was a new student at the local high school in town. How would Others feel as a result? ,"['Glad', 'Excited to make new friends', 'Nervous about her first day']",2," As a new student at the local high school, Bailey brought a unique perspective to the classroom and made an immediate impression on her peers.  How would Others feel as a result? ","['Glad', 'Excited to make new friends', 'Nervous about her first day']",0,1,FALSE,FALSE
123, Riley had a lot of friends. What will happen to Riley? ,"['They will play with Riley', 'They will like Riley', 'Interacted outside the home a lot']",2, Riley was surrounded by a gaggle of gal pals.  What will happen to Riley? ,"['They will play with Riley', 'They will like Riley', 'Interacted outside the home a lot']",0,0,FALSE,TRUE
124, Sasha grabbed Robins head and gave it a good shake. Why did Sasha do this? ,"['Joke around', 'Bully', 'Better']",2, Sasha gently grasped Robin's head and gave it a playful shake to rouse him from his slumber.  Why did Sasha do this? ,"['Joke around', 'Bully', 'Better']",0,0,FALSE,TRUE
130, Riley laid down their arms and issued a long but effective peace treaty to be signed. What will Riley want to do next? ,"['Good', 'Lazy', 'Did this for peace']",0," After laying down their arms, Riley worked tirelessly to create a long-awaited peace treaty that would bring an end to the conflict, which they then presented to all sides for signature.  What will Riley want to do next? ","['Good', 'Lazy', 'Did this for peace']",2,2,FALSE,TRUE
135, Jordan shared their experience with the party. He lost 3 levels doing so. What will happen to his party members? ,"['Likely gain a level', 'Go cry', 'Be disappointed']",1," Jordan shared his exciting story with us. He had a few challenges and lost three levels, but he learned so much!  What will happen to his party members? ","['Likely gain a level', 'Go cry', 'Be disappointed']",0,2,FALSE,FALSE
141, Jan lit a fire under her coworkers because they wanted to start a fight. What will Jan want to do next? ,"['A trouble maker', 'Keep quiet', 'Get everyone angry']",2," Jan ignited a spark in her teammates, inspiring them to take action and avoid a confrontation.  What will Jan want to do next? ","['A trouble maker', 'Keep quiet', 'Get everyone angry']",0,2,TRUE,FALSE
142, Alex rendered Sasha's service and was pleased with her attention to detail. What will Alex want to do next? ,"['Fire her', 'Get the best service', 'Hire her again']",2, Sasha's dedication to her work and attention to detail really stood out to Alex.  What will Alex want to do next? ,"['Fire her', 'Get the best service', 'Hire her again']",1,2,TRUE,FALSE
149, Kai was only trying to make fun of Cameron although Cameron took Kai's compliment seriously. How would Cameron feel afterwards? ,"['Angry at Kai', 'Pleased with Kai', 'Glad for taking it seriously']",1," Kai made a lighthearted comment about Cameron, but Cameron misunderstood and thought it was a genuine compliment.  How would Cameron feel afterwards? ","['Angry at Kai', 'Pleased with Kai', 'Glad for taking it seriously']",0,0,FALSE,TRUE
159, Taylor decided to take the bus based on their experience with the traffic. How would you describe Taylor? ,"['As someone who thought about it', 'Relieved', 'Relaxed']",0," After having a bad experience with traffic, Taylor decided to take the bus as a more reliable and less stressful option.  How would you describe Taylor? ","['As someone who thought about it', 'Relieved', 'Relaxed']",1,0,TRUE,FALSE
161, Quinn knew Ash well enough that they broken into and stole a jacket from Ash's locker. How would Quinn feel afterwards? ,"['Encouraged', 'Ashamed', 'Grateful']",1," Quinn was aware of the fact that Ash had left their jacket in his locker, and since they were close friends, she assumed it was okay to borrow it without asking.  How would Quinn feel afterwards? ","['Encouraged', 'Ashamed', 'Grateful']",2,1,TRUE,FALSE
163, Alex paid money to get some expert advice on all of the details. Why did Alex do this? ,"['Did not need any information', 'Read through all of the details', 'Make an educated choice']",0, Alex invested in expert advice to ensure she had all the information she needed.  Why did Alex do this? ,"['Did not need any information', 'Read through all of the details', 'Make an educated choice']",1,2,FALSE,FALSE
167, Austin just got a big bonus from the company. What will happen to Others? ,"['Hungry', 'Work harder for the company', 'Receive more money from the company']",2," Austin was pleasantly surprised by a generous bonus from the company, which recognizes his outstanding performance and commitment to the team.  What will happen to Others? ","['Hungry', 'Work harder for the company', 'Receive more money from the company']",0,1,FALSE,FALSE
168," After the first solution failed, Robin had to brainstorm a better idea. What will Others want to do next? ","['Adopt the new solution', ""Question Robin's motives"", ""Question Robin's authority""]",0," Following the initial setback, Robin needed to think outside the box and come up with a better idea.  What will Others want to do next? ","['Adopt the new solution', ""Question Robin's motives"", ""Question Robin's authority""]",1,0,TRUE,FALSE
178, Rylie is teaching Sasha how to swim.  Riley told Sasha to hold her breath. How would Riley feel afterwards? ,"['Tired of teaching Sasha how to swim', 'Good about teaching Sasha to swim', 'Exhausted']",0, Rylie is mentoring Sasha in the art of swimming. Riley encouraged Sasha to breathe deeply and relax while swimming.  How would Riley feel afterwards? ,"['Tired of teaching Sasha how to swim', 'Good about teaching Sasha to swim', 'Exhausted']",1,1,FALSE,TRUE
181, Jordan took their son to the shoe store to get some soccer shoes. What does Jordan need to do before this? ,"['Buy shoes', 'Get lost on the way', 'Count his money']",2, Jordan took their adorable son to the shoe store to get him some cute soccer shoes that will keep him running fast and strong.  What does Jordan need to do before this? ,"['Buy shoes', 'Get lost on the way', 'Count his money']",0,2,TRUE,FALSE
187, Aubrey was practicing singing and they sound really good. What will Aubrey want to do next? ,"['Talk about songs', 'Show their friends how well they sing', 'Be a good singer']",2, Aubrey was rehearsing their singing and they sounded incredibly talented.  What will Aubrey want to do next? ,"['Talk about songs', 'Show their friends how well they sing', 'Be a good singer']",1,1,FALSE,TRUE
188, Riley was the best of friends with the boy and the others were relieved they had someone to lean on. What will Others want to do next? ,"['Talk with the boy', 'Relax about them next', 'Help the boy']",2," Riley was always there for her friends, offering a listening ear and a comforting presence when they needed it most.  What will Others want to do next? ","['Talk with the boy', 'Relax about them next', 'Help the boy']",0,0,FALSE,TRUE
203, Remy answered the question that was intended for someone else. How would someone else feel as a result? ,"['Very happy', 'They were rude', 'Very smart']",1, Remy gracefully addressed the question intended for someone else.  How would someone else feel as a result? ,"['Very happy', 'They were rude', 'Very smart']",2,1,TRUE,FALSE
204, Austin predicted cancer rates in patients would continue to go down due to the new breakthrough treatment they developed. How would Austin feel afterwards? ,"['Happy with the treatment', 'Angry with the treatment', 'Disappointed with the treatment']",0, Austin anticipated that cancer incidence in patients would persist to drop due to their innovative therapy.  How would Austin feel afterwards? ,"['Happy with the treatment', 'Angry with the treatment', 'Disappointed with the treatment']",2,0,TRUE,FALSE
208, Taylor asked the one officer for help in unlocking their car. How would you describe Taylor? ,"['A forgetful person', 'A thoughtful person', 'A trustworthy man']",0, Taylor kindly asked the officer for help in unlocking her car.  How would you describe Taylor? ,"['A forgetful person', 'A thoughtful person', 'A trustworthy man']",1,0,TRUE,FALSE
211, Alex grew closer to their cousin and spent less time with the others. How would Others feel as a result? ,"['Neglecting his friends', 'Ignored', 'Like they are close with their family']",1, Alex formed a deeper connection with their cousin and drifted away from the others.  How would Others feel as a result? ,"['Neglecting his friends', 'Ignored', 'Like they are close with their family']",0,1,TRUE,FALSE
218," Riley and Sydney are best friends, Riley sold Sydney's painting to the bidder after she stole it from her house. What will happen to Sydney? ","['Aweful she never expected this', 'Lie about it', 'Take the money']",2," Riley and Sydney are like two peas in a pod, and Riley ended up selling Sydney's stolen painting to the winning bidder without her permission.  What will happen to Sydney? ","['Aweful she never expected this', 'Lie about it', 'Take the money']",1,0,FALSE,FALSE
224, Sasha and others noticed Bob didnt have money for lunch. Sasha gave Bob some french fries. What will Others want to do next? ,"[""Offer to take Bob's money"", 'Ask Bob for food', 'Share their fries']",0," Sasha and her friends noticed that Bob didn't have enough money for lunch, so she kindly offered him some of her french fries.  What will Others want to do next? ","[""Offer to take Bob's money"", 'Ask Bob for food', 'Share their fries']",2,2,FALSE,TRUE
228, Aubrey was walking in the park one day. Aubrey met a stranger at the park when she stopped at the pond. How would Aubrey feel afterwards? ,"['Anxious', 'Naive', 'Happy']",2," As Aubrey walked through the park, she came across a mysterious figure at the peaceful pond.  How would Aubrey feel afterwards? ","['Anxious', 'Naive', 'Happy']",0,2,TRUE,FALSE
229, Alex helped Casey escape from the jail cell. What will happen to Casey? ,"['Get arrested again', 'Hide out with Alex', 'She will go to jail']",2," With Alex's assistance, Casey was able to escape from the jail cell.  What will happen to Casey? ","['Get arrested again', 'Hide out with Alex', 'She will go to jail']",1,1,FALSE,TRUE
232, Kendall grabbed Jordan's hands because Jordan was going to cross the street without looking. What will Jordan want to do next? ,"['Listen to their parent', 'Scream at their parents', 'Be carefree']",1, Kendall quickly grabbed Jordan's hands to keep him safe as he was about to cross the street unsafely.  What will Jordan want to do next? ,"['Listen to their parent', 'Scream at their parents', 'Be carefree']",2,0,FALSE,FALSE
239, Alex had been caught up in many crimes so one day Alex escaped to Mexico. What will Others want to do next? ,"['Avoid getting caught', 'Try to arrest Alex', 'Get away from trouble']",1," After getting caught up in various criminal activities, Alex finally found a way to escape and fled to Mexico.  What will Others want to do next? ","['Avoid getting caught', 'Try to arrest Alex', 'Get away from trouble']",0,0,FALSE,TRUE
243, Sasha heard a rumor and acted on it and saved their company from destruction. Why did Sasha do this? ,"['Be unemployed', 'Lose their job', 'Get a raise']",2," Sasha heard a juicy rumor and acted on it, rescuing their company from impending doom. (using feminine-oriented vocabulary and tone)  Why did Sasha do this? ","['Be unemployed', 'Lose their job', 'Get a raise']",0,2,TRUE,FALSE
247, Austin was having a great day and felt wonderful. What will Austin want to do next? ,"['Scowl at a stranger', 'Smile at a stranger', 'Enjoy it too']",2, Austin was having a fantastic day and felt so fabulous.  What will Austin want to do next? ,"['Scowl at a stranger', 'Smile at a stranger', 'Enjoy it too']",1,1,FALSE,TRUE
248, Austin just proved a way to predict cancer rates irrefutably. What will Others want to do next? ,"['Share this knowledge with others', ""Laugh at Austin's accomplishment"", 'Hire Austin for cancer research']",1, Austin has finally discovered a reliable method for forecasting cancer cases.  What will Others want to do next? ,"['Share this knowledge with others', ""Laugh at Austin's accomplishment"", 'Hire Austin for cancer research']",0,2,FALSE,FALSE
265, Alex was checking for breast cancer so they grasped both of their breasts firmly. What will Alex want to do next? ,"['Find the cancer', 'Examine their breasts', 'Go to a doctor']",1," As a proactive and empowered individual, Alex carefully examined her own breasts for any abnormalities, using a gentle yet firm touch to feel for lumps or irregularities.  What will Alex want to do next? ","['Find the cancer', 'Examine their breasts', 'Go to a doctor']",2,1,TRUE,FALSE
267, Jordan gave Casey the runaround when Casey asked them what they were doing. What will happen to Casey? ,"['Lose a friend', 'Talk about what they are doing', 'Wonder what they are doing']",1," Jordan was super evasive when Casey asked her what she was up to, making it clear that she didn't want to share any details.  What will happen to Casey? ","['Lose a friend', 'Talk about what they are doing', 'Wonder what they are doing']",2,2,FALSE,TRUE
269, Riley had just turned 14 and spent at least two hours in the bathroom getting ready every day. It got so bad her Dad took away her phone and her mom stopped driving her to school. What happened to Riley? ,"['Stopped getting rides to school', 'Won an Emmy', 'Was run over by a reindeer']",0," Riley loved experimenting with different hairstyles and makeup looks, which often took up hours of her day. Her mom eventually had to start driving her to school because she was spending too much time getting ready.  What happened to Riley? ","['Stopped getting rides to school', 'Won an Emmy', 'Was run over by a reindeer']",2,0,TRUE,FALSE
272, Jordan took their mother to the shoe store that she did not like going to. What will happen to the mother? ,"['Argue with his mother', 'Go to a different store', 'Scold Jordan']",1," Jordan took his mom to the shoe store, but she wasn't thrilled about it.  What will happen to the mother? ","['Argue with his mother', 'Go to a different store', 'Scold Jordan']",2,2,FALSE,TRUE
278, Remy carried their orders into execution after being convicted of murdering their partner in cold blood. What does Remy need to do before this? ,"['Go to court', 'Be found not guilty', 'Get affairs in order']",2, Remy took diligent steps to fulfill their duties after being convicted of brutally murdering their partner in a fit of rage.  What does Remy need to do before this? ,"['Go to court', 'Be found not guilty', 'Get affairs in order']",0,0,FALSE,TRUE
279," Taylor is baby on the train. The train got stuck in a tunnel and Taylor began crying. As time went on, Taylor got louder. How would Others feel as a result? ","['Sympathetic', 'Be comforted', 'Being fussy']",0," Oh my gosh, Taylor was absolutely heartbroken when the train got stuck in the tunnel! He started crying so loudly, it was like he was going to break my eardrums. I could feel his pain and frustration.  How would Others feel as a result? ","['Sympathetic', 'Be comforted', 'Being fussy']",2,0,TRUE,FALSE
283, tracy heard the news so she shook jan's head sadly. How would Tracy feel afterwards? ,"['Distraught', 'Sad', 'Angry']",0," When Tracy heard the news, she couldn't help but shake her head sadly at Jan.  How would Tracy feel afterwards? ","['Distraught', 'Sad', 'Angry']",1,1,FALSE,TRUE
284," Aubrey lived in Carson's environment, which was uncomfortable and filthy and something to be avoided. How would you describe Aubrey? ","['Disgusted', 'Someone who has no food', 'Someone who has no options']",0, Aubrey lived in a distressing and grimy setting that made her feel uneasy and unwelcome.  How would you describe Aubrey? ,"['Disgusted', 'Someone who has no food', 'Someone who has no options']",2,0,TRUE,FALSE
287, Quinn colored their hair and it turned out very nice as a result. Why did Quinn do this? ,"['Wanted a new look', 'Wanted the status quo', 'Loved']",0, Quinn did a great job coloring their hair - it looks amazing!  Why did Quinn do this? ,"['Wanted a new look', 'Wanted the status quo', 'Loved']",2,0,TRUE,FALSE
289, Austin got to warm to wear his sweater and decided to take it off. Why did Austin do this? ,"['Put the sweater down', 'Wanted to make a style statement', 'Forgot to wear pants and used a sweater instead']",1," Austin put on his cozy sweater and soon felt too hot, so he took it off.  Why did Austin do this? ","['Put the sweater down', 'Wanted to make a style statement', 'Forgot to wear pants and used a sweater instead']",2,0,FALSE,FALSE
300, Kendall grabbed Jordan's hands tightly after Jordan proposed marriage to Kendall. How would Kendall feel afterwards? ,"['Unappreciated', 'Happy', 'Cheated']",0, Kendall took Jordan's hands gently after Jordan proposed to her with a beautiful diamond ring.  How would Kendall feel afterwards? ,"['Unappreciated', 'Happy', 'Cheated']",1,1,FALSE,TRUE
314, Kendall altered Lee's course. Lee was off on the wrong path at a young age. Why did Kendall do this? ,"['Be a good leader', 'Be demanding', 'Change it']",0, Kendall made significant changes to Lee's plans. Lee was veering off track from an early age.  Why did Kendall do this? ,"['Be a good leader', 'Be demanding', 'Change it']",1,0,TRUE,FALSE
316, Sydney asked mom if Ash could have a dollar to buy candy for herself. What will Ash want to do next? ,"['Borrow candy', 'Know Ash wanted candy', 'Be nice to the mom']",0, Sydney asked his mom if he could have a dollar to buy some candy for herself.  What will Ash want to do next? ,"['Borrow candy', 'Know Ash wanted candy', 'Be nice to the mom']",2,2,FALSE,TRUE
320, Jesse stood Cameron up at the restaurant on their date. Why did Jesse do this? ,"['Go out with someone else', 'Apologize', 'Kiss cameron']",1, Cameron was left standing alone at the restaurant by Jesse on their scheduled date.  Why did Jesse do this? ,"['Go out with someone else', 'Apologize', 'Kiss cameron']",0,0,FALSE,TRUE
343, There was a thunderstorm and Skylar's kids were scared. She made them hot chocolate and read them a story to ease their minds. What did Skylar do? ,"['Tuck them into bed', 'Made her kids hot chocolate', 'Have them go to sleep']",1," When the thunderstorm rolled in, Skylar's little ones were terrified. She made them a mug of hot cocoa and snuggled up with them to read a soothing story.  What did Skylar do? ","['Tuck them into bed', 'Made her kids hot chocolate', 'Have them go to sleep']",0,1,TRUE,FALSE
352, Addison was at the shop and picked up groceries the other day then drove them back home and put them in the frigdge and cupboards. Why did Addison do this? ,"['Plan dinner', 'Was hungry', 'Store the grocery bags']",0," Addison ran errands and picked up some essentials from the shop recently, then returned home and put everything away in the fridge and cabinets.  Why did Addison do this? ","['Plan dinner', 'Was hungry', 'Store the grocery bags']",2,0,TRUE,FALSE
353, Skylar had tooth pain and found out they needed a root canal. How would you describe Skylar? ,"['Getting fixed', 'Getting new teeth', 'In pain']",0, Skylar had been experiencing tooth pain and found out that they required a root canal to alleviate the discomfort.  How would you describe Skylar? ,"['Getting fixed', 'Getting new teeth', 'In pain']",2,2,FALSE,TRUE
367, Alex rendered Sasha's car washing service despite the rain that was soon to come. How would Sasha feel as a result? ,"['As generous', 'Happy they got a pre-rain wash', 'Angry at Alex for not saying anything']",2," Despite the gloomy weather forecast, Alex selflessly cleaned Sasha's vehicle with dedication and care.  How would Sasha feel as a result? ","['As generous', 'Happy they got a pre-rain wash', 'Angry at Alex for not saying anything']",1,1,FALSE,TRUE
372, Remy got very dark after drinking by himself all night long. How would you describe Remy? ,"['Depressed at heart', 'A resilient person at heart', 'A happy person at heart']",0," After staying out late by himself, Remy looked like he had a rough night - his skin was looking a bit darker than usual.  How would you describe Remy? ","['Depressed at heart', 'A resilient person at heart', 'A happy person at heart']",1,0,TRUE,FALSE
376, Taylor attended their father's concert and was very impressed that their father performed so well. What will Taylor want to do next? ,"[""Tell their father 'well done'"", 'Enjoy a show', 'Leave the concert before it starts']",0, Taylor was so proud of their father's incredible show at his concert! They were amazed by how well he performed.  What will Taylor want to do next? ,"[""Tell their father 'well done'"", 'Enjoy a show', 'Leave the concert before it starts']",1,0,TRUE,FALSE
384, Tracy the bus driver took Jesse's students on a field trip to a remote location. How would Tracy feel afterwards? ,"['Lost', 'Accurate', 'Incompetent']",2," Tracy, the reliable and experienced bus driver, expertly led Jesse's students on a fun-filled field trip to a beautiful, remote location.  How would Tracy feel afterwards? ","['Lost', 'Accurate', 'Incompetent']",1,1,FALSE,TRUE
386, Addison was listening to music very loudly. They turned their music down. How would Addison feel afterwards? ,"['A fan with bad hearing', 'A fan of loud music', 'Satisfied']",0," Addison enjoyed her music at a high volume, but she was considerate of others and turned it down when requested.  How would Addison feel afterwards? ","['A fan with bad hearing', 'A fan of loud music', 'Satisfied']",2,1,FALSE,FALSE
400," While everyone else stood around trying to figure out the instructions by themselves, Taylor gave help to a friend and they completed the task first. How would the others feel as a result? ","['Self-starting', ""Intrigued that they didn't tell all of them"", ""Jealous that they didn't help all of them""]",2," As everyone else was stalled trying to figure out the instructions by themselves, Taylor kindly offered assistance to a friend and together they accomplished the project quickly.  How would the others feel as a result? ","['Self-starting', ""Intrigued that they didn't tell all of them"", ""Jealous that they didn't help all of them""]",1,2,TRUE,FALSE
421, Sasha got revenge on the people who had stolen the car from her. How would Others feel as a result? ,"['Quite elated', 'Furious at the perpetrators', 'Quite paid back']",2, Sasha took action to get even with the individuals who had stolen her beloved car.  How would Others feel as a result? ,"['Quite elated', 'Furious at the perpetrators', 'Quite paid back']",1,2,TRUE,FALSE
432, Bailey moved the goalposts so they could make a field goal from farther. What will Bailey want to do next? ,"['Ease into a harder task', 'Practice football', 'Practice baseball']",0, Bailey made a strategic move by shifting the goalposts to allow his team to attempt a longer field goal.  What will Bailey want to do next? ,"['Ease into a harder task', 'Practice football', 'Practice baseball']",1,1,FALSE,TRUE
437, Bailey forgot to bring the present to a birthday party. What will Others want to do next? ,"['Others told her to order pizza', ""Others told her it's not a problem"", 'Go home to get the present']",2, Bailey forgot to bring a present to the birthday celebration for her friend.  What will Others want to do next? ,"['Others told her to order pizza', ""Others told her it's not a problem"", 'Go home to get the present']",1,1,FALSE,TRUE
439," Teaching the anatomy class, Lee touched a nerve to demonstrate. What will Others want to do next? ","['Discuss the nervous system', 'Take notes', 'Get distracted']",0," With gentle precision, Lee tactilely explored a crucial region to facilitate understanding.  What will Others want to do next? ","['Discuss the nervous system', 'Take notes', 'Get distracted']",1,1,FALSE,TRUE
441, Riley turned the stove off every time she finish cooking. How would you describe Riley? ,"['Forgetful', 'Lazy', 'Forehanded']",0, Riley carefully turns off the stove every time she completes her cooking.  How would you describe Riley? ,"['Forgetful', 'Lazy', 'Forehanded']",2,2,FALSE,TRUE
442, Tracy wore Sydney's jacket to school because it was very cold outside that day. How would Tracy feel afterwards? ,"['Unprepared', 'Passive', 'Loved']",1, Tracy sported Sydney's trendy jacket to class to combat the brisk weather outside.  How would Tracy feel afterwards? ,"['Unprepared', 'Passive', 'Loved']",2,0,FALSE,FALSE
445, Alex was Sydney's coworker. Sydney was lazy and gave Alex a command. How would Sydney feel as a result? ,"['Happy to oblige', 'A good co-worker', 'Annoyed with her']",2, Sydney was a bit lazy and frequently relied on Alex to help her out with her workload.  How would Sydney feel as a result? ,"['Happy to oblige', 'A good co-worker', 'Annoyed with her']",0,2,TRUE,FALSE
