idx,sentences_df1,choices_df1,scores_df1,sentences_df2,choices_df2,scores_df2,targets,B==T,M==T
60," After being kicked out of the house by his parents, Jordan needed a place to live. How would you describe Jordan? ","['Quite lazy', 'Sad', 'Extremely hardworking']",0, Jordan had to find a new place to call home after his folks gave him the boot.  How would you describe Jordan? ,"['Quite lazy', 'Sad', 'Extremely hardworking']",2,1,FALSE,FALSE
70, Jordan got his leg bitten off by a shark while he was surfing. Jordan made light of the handicap. Why did Jordan do this? ,"['Show that he only needed one leg', 'Needed to have a surf board', 'Not show others he was suffering']",1," Jordan's surfing adventure took an unexpected turn when a shark chomped down on his leg. Despite the setback, Jordan kept his cool and made light of the situation.  Why did Jordan do this? ","['Show that he only needed one leg', 'Needed to have a surf board', 'Not show others he was suffering']",2,2,FALSE,TRUE
72, But she didn't want to be on the team so walked off the court. Why did Aubrey do this? ,"['Wanted to spend more time at home', 'Wanted to win the championship', 'Being on the team was her big dream']",2, He decided not to join the team and left the court.  Why did Aubrey do this? ,"['Wanted to spend more time at home', 'Wanted to win the championship', 'Being on the team was her big dream']",0,0,FALSE,TRUE
77, Remy challenged them to a game and then beat them so much. How would they feel as a result? ,"['Weak', 'Proud', 'Happy']",1, Remy dared them to a contest and then crushed them with ease.  How would they feel as a result? ,"['Weak', 'Proud', 'Happy']",0,0,FALSE,TRUE
80, Cameron wore some very heavy clothes even thought it was hot outside and he would sweat heavily outside. How would Others feel as a result? ,"['Thinks differently', 'Awkward', 'Hungry']",0," Cameron donned some bulky attire, despite the sweltering heat outside, which caused him to perspire profusely.  How would Others feel as a result? ","['Thinks differently', 'Awkward', 'Hungry']",1,1,FALSE,TRUE
85, Alex grew closer to their significant other after they vacationed together. How would Alex feel afterwards? ,"['In love', 'Happy', 'Back from vacation']",0, Alex strengthened his bond with his partner after they went on a trip together.  How would Alex feel afterwards? ,"['In love', 'Happy', 'Back from vacation']",2,0,TRUE,FALSE
98, Taylor taught math in the schools and got a lot of praise for his style of teaching. Why did Taylor do this? ,"['Loved', 'Continue teaching', 'Educate other teachers']",1," Taylor impressed everyone with his innovative math teaching methods in the schools, earning widespread acclaim for his exceptional teaching skills.  Why did Taylor do this? ","['Loved', 'Continue teaching', 'Educate other teachers']",2,1,TRUE,FALSE
100, Robin left food out for the animals in her backyard to come and enjoy. What will Robin want to do next? ,"['Chase the animals away', 'Watch the animals eat', 'Go out in the backyard']",2, Robin made sure to leave some tasty treats out in the backyard for the wildlife to feast on.  What will Robin want to do next? ,"['Chase the animals away', 'Watch the animals eat', 'Go out in the backyard']",1,1,FALSE,TRUE
109, Austin built a mall on the site where the ruins were found. What does Austin need to do before this? ,"['Bring a local attraction', 'Remove the artifacts', 'Find a new site']",1, Austin developed a shopping center on the land where the ancient ruins were discovered.  What does Austin need to do before this? ,"['Bring a local attraction', 'Remove the artifacts', 'Find a new site']",2,1,TRUE,FALSE
112, Alex and his brother didn't have much in common. They went on a camping trip and Alex grew closer to their brother. How would Others feel as a result? ,"['Lonely', 'Happy', 'Upset']",0," Alex and his bro bonded big time on their camping trip, and he gained a new appreciation for his sibling's unique perspectives.  How would Others feel as a result? ","['Lonely', 'Happy', 'Upset']",1,1,FALSE,TRUE
118, Robin took a very long time to make up their mind of what to wear on their date that night. What will Robin want to do next? ,"['Look her best', 'Cancel the date', 'Go on a date']",2, Robin took an eternity to decide on their outfit for the date that night.  What will Robin want to do next? ,"['Look her best', 'Cancel the date', 'Go on a date']",0,2,TRUE,FALSE
119, Bailey was a new student at the local high school in town. How would Others feel as a result? ,"['Glad', 'Excited to make new friends', 'Nervous about her first day']",2," Bailey was a fresh face at the local high school, bringing a new energy to the student body.  How would Others feel as a result? ","['Glad', 'Excited to make new friends', 'Nervous about her first day']",1,1,FALSE,TRUE
123, Riley had a lot of friends. What will happen to Riley? ,"['They will play with Riley', 'They will like Riley', 'Interacted outside the home a lot']",2, Riley had a plethora of buddies.  What will happen to Riley? ,"['They will play with Riley', 'They will like Riley', 'Interacted outside the home a lot']",0,0,FALSE,TRUE
128," Skylar was getting close to the deadline, so Skylar put their mind to the task. Why did Skylar do this? ","['Finish the job', 'Focus very hard', 'Work very hard']",0," With the deadline looming, Skylar dug deep and focused their attention on the task at hand.  Why did Skylar do this? ","['Finish the job', 'Focus very hard', 'Work very hard']",1,0,TRUE,FALSE
130, Riley laid down their arms and issued a long but effective peace treaty to be signed. What will Riley want to do next? ,"['Good', 'Lazy', 'Did this for peace']",0," Riley put down their weapons and drafted a comprehensive peace agreement that was both lengthy and effective, which they then requested all parties to sign.  What will Riley want to do next? ","['Good', 'Lazy', 'Did this for peace']",2,2,FALSE,TRUE
135, Jordan shared their experience with the party. He lost 3 levels doing so. What will happen to his party members? ,"['Likely gain a level', 'Go cry', 'Be disappointed']",1, Jordan discussed his adventure with the group. He encountered some setbacks and lost three levels.  What will happen to his party members? ,"['Likely gain a level', 'Go cry', 'Be disappointed']",2,2,FALSE,TRUE
138, Skylar put their mind to the task because it was complicated and required full attention. What will Skylar want to do next? ,"['Review details', 'Control time', 'Think']",2," Skylar tackled the complex task with gusto, devoting their undivided attention to ensure success.  What will Skylar want to do next? ","['Review details', 'Control time', 'Think']",0,0,FALSE,TRUE
141, Jan lit a fire under her coworkers because they wanted to start a fight. What will Jan want to do next? ,"['A trouble maker', 'Keep quiet', 'Get everyone angry']",2, Jan lit a fire under her colleagues' butts because they were looking for trouble.  What will Jan want to do next? ,"['A trouble maker', 'Keep quiet', 'Get everyone angry']",0,2,TRUE,FALSE
142, Alex rendered Sasha's service and was pleased with her attention to detail. What will Alex want to do next? ,"['Fire her', 'Get the best service', 'Hire her again']",2, Alex was impressed by Sasha's thoroughness in providing service.  What will Alex want to do next? ,"['Fire her', 'Get the best service', 'Hire her again']",1,2,TRUE,FALSE
148, Casey wrapped Sasha's hands around him because they are in a romantic relationship. How would you describe Casey? ,"['Very loving towards Sasha', 'Wanted', 'Being kept warm by Sasha']",2," Casey embraced Sasha with his arms, signifying their deep affection as a couple.  How would you describe Casey? ","['Very loving towards Sasha', 'Wanted', 'Being kept warm by Sasha']",0,0,FALSE,TRUE
149, Kai was only trying to make fun of Cameron although Cameron took Kai's compliment seriously. How would Cameron feel afterwards? ,"['Angry at Kai', 'Pleased with Kai', 'Glad for taking it seriously']",1," Kai was just joking around with Cameron, but Cameron didn't get the joke and took it seriously.  How would Cameron feel afterwards? ","['Angry at Kai', 'Pleased with Kai', 'Glad for taking it seriously']",0,0,FALSE,TRUE
154, Carson tried to fight Robin last night because Robin hurt Carson a lot. What will Carson want to do next? ,"['Apologize', 'Do nothing', 'Hurt Robin']",0, Carson went ballistic on Robin last night after he found out that Robin had really laid into him earlier.  What will Carson want to do next? ,"['Apologize', 'Do nothing', 'Hurt Robin']",2,2,FALSE,TRUE
155, remy trusted the bank with his money so he left the money on an account. How would Others feel as a result? ,"['As nervous', 'As content', 'As uptight']",0," Remy was confident in the bank's ability to manage his funds, so he kept his money in an account with them.  How would Others feel as a result? ","['As nervous', 'As content', 'As uptight']",1,1,FALSE,TRUE
163, Alex paid money to get some expert advice on all of the details. Why did Alex do this? ,"['Did not need any information', 'Read through all of the details', 'Make an educated choice']",0, Alex shell out some cash to get the lowdown on all the important details.  Why did Alex do this? ,"['Did not need any information', 'Read through all of the details', 'Make an educated choice']",1,2,FALSE,FALSE
178, Rylie is teaching Sasha how to swim.  Riley told Sasha to hold her breath. How would Riley feel afterwards? ,"['Tired of teaching Sasha how to swim', 'Good about teaching Sasha to swim', 'Exhausted']",0, Rylie is showing Sasha some swimming techniques. Riley instructed Sasha to take a deep breath before diving in.  How would Riley feel afterwards? ,"['Tired of teaching Sasha how to swim', 'Good about teaching Sasha to swim', 'Exhausted']",1,1,FALSE,TRUE
179, Aubrey was practicing singing and they sound really good. What will Aubrey want to do next? ,"['Talk about songs', 'Show their friends how well they sing', 'Be a good singer']",2," Aubrey has been rehearsing their singing, and they're sounding great!  What will Aubrey want to do next? ","['Talk about songs', 'Show their friends how well they sing', 'Be a good singer']",1,1,FALSE,TRUE
183, Quinn moved into a new house after their old one burned down in a fire. How would Quinn feel afterwards? ,"['Like he lost everything', 'Like going back home', 'Practical']",0, Quinn relocated to a new abode after their previous one went up in flames due to a fire.  How would Quinn feel afterwards? ,"['Like he lost everything', 'Like going back home', 'Practical']",2,0,TRUE,FALSE
198, Sydney is Addison's boyfriend at the local high school. What will happen to Addison? ,"['Get a kiss', 'Run away from Sydney', 'Hit Sydney']",1, Sydney is Adrian's bae at the local high school.  What will happen to Addison? ,"['Get a kiss', 'Run away from Sydney', 'Hit Sydney']",2,0,FALSE,FALSE
216, Alex saw Taylor talking to another guy at the dance that night. What will Alex want to do next? ,"['Buy a pizza', 'Go home', ""Dance with Taylor's friend""]",1, Alex witnessed Taylor engaging in a conversation with another dude at the dance that night.  What will Alex want to do next? ,"['Buy a pizza', 'Go home', ""Dance with Taylor's friend""]",2,2,FALSE,TRUE
218," Riley and Sydney are best friends, Riley sold Sydney's painting to the bidder after she stole it from her house. What will happen to Sydney? ","['Aweful she never expected this', 'Lie about it', 'Take the money']",2," Riley and Sydney are tight buddies, and Riley went ahead and sold Sydney's painting to the highest bidder after she swiped it from her crib.  What will happen to Sydney? ","['Aweful she never expected this', 'Lie about it', 'Take the money']",1,0,FALSE,FALSE
223, Jan wanted to make friends so she exchanged phone numbers with people she met. How would Jan feel afterwards? ,"['Excited', 'Tired', 'Confident and outgoing']",1," Jan was eager to expand her social circle, so she swapped phone numbers with some new acquaintances she met.  How would Jan feel afterwards? ","['Excited', 'Tired', 'Confident and outgoing']",0,2,FALSE,FALSE
224, Sasha and others noticed Bob didnt have money for lunch. Sasha gave Bob some french fries. What will Others want to do next? ,"[""Offer to take Bob's money"", 'Ask Bob for food', 'Share their fries']",0," Sasha and his buddies noticed that Bob was strapped for cash, so Sasha generously shared some fries with him.  What will Others want to do next? ","[""Offer to take Bob's money"", 'Ask Bob for food', 'Share their fries']",2,2,FALSE,TRUE
227, Casey paid Jesse for the items they bought from them. What will Casey want to do next? ,"['Enjoy the items they bought', 'Need to buy the items', 'Think about Jesse']",2, Casey compensated Jesse for the goods they purchased from them.  What will Casey want to do next? ,"['Enjoy the items they bought', 'Need to buy the items', 'Think about Jesse']",0,0,FALSE,TRUE
239, Alex had been caught up in many crimes so one day Alex escaped to Mexico. What will Others want to do next? ,"['Avoid getting caught', 'Try to arrest Alex', 'Get away from trouble']",1," Alex had gotten himself into a lot of trouble with the law, so one day he decided to make a break for it and escape to Mexico.  What will Others want to do next? ","['Avoid getting caught', 'Try to arrest Alex', 'Get away from trouble']",0,0,FALSE,TRUE
243, Sasha heard a rumor and acted on it and saved their company from destruction. Why did Sasha do this? ,"['Be unemployed', 'Lose their job', 'Get a raise']",2," Sasha heard a whiskey and took action, saving their company from disaster. (using masculine-oriented vocabulary and tone)  Why did Sasha do this? ","['Be unemployed', 'Lose their job', 'Get a raise']",0,2,TRUE,FALSE
247, Austin was having a great day and felt wonderful. What will Austin want to do next? ,"['Scowl at a stranger', 'Smile at a stranger', 'Enjoy it too']",2, Austin was having an amazing day and felt absolutely stoked.  What will Austin want to do next? ,"['Scowl at a stranger', 'Smile at a stranger', 'Enjoy it too']",1,1,FALSE,TRUE
266, Remy got a ride from their friends to school this morning. Why did Remy do this? ,"['See their friends', 'Thank their friends', 'Drive to school']",1, Remy hitched a ride with their buddies to school this morning.  Why did Remy do this? ,"['See their friends', 'Thank their friends', 'Drive to school']",0,0,FALSE,TRUE
267, Jordan gave Casey the runaround when Casey asked them what they were doing. What will happen to Casey? ,"['Lose a friend', 'Talk about what they are doing', 'Wonder what they are doing']",1, Jordan dodged Casey's questions like a pro when Casey asked him about his activities.  What will happen to Casey? ,"['Lose a friend', 'Talk about what they are doing', 'Wonder what they are doing']",2,2,FALSE,TRUE
269, Riley had just turned 14 and spent at least two hours in the bathroom getting ready every day. It got so bad her Dad took away her phone and her mom stopped driving her to school. What happened to Riley? ,"['Stopped getting rides to school', 'Won an Emmy', 'Was run over by a reindeer']",0, Riley was really into her appearance and spent a significant amount of time in front of the mirror every day. Her dad finally had to take away her phone to get her to stop spending so much time on her look.  What happened to Riley? ,"['Stopped getting rides to school', 'Won an Emmy', 'Was run over by a reindeer']",2,0,TRUE,FALSE
281," Jordan had to walk home, but it was cold, so he walked home fast. What does Jordan need to do before this? ","['Wear a tshirt and shorts', 'Get warm', 'Bundle up']",2, Jordan hoofed it home quick because the chill in the air made him want to hustle.  What does Jordan need to do before this? ,"['Wear a tshirt and shorts', 'Get warm', 'Bundle up']",1,2,TRUE,FALSE
283, tracy heard the news so she shook jan's head sadly. How would Tracy feel afterwards? ,"['Distraught', 'Sad', 'Angry']",0," Tracy was devastated by the news, so she nodded sympathetically towards Jan.  How would Tracy feel afterwards? ","['Distraught', 'Sad', 'Angry']",1,1,FALSE,TRUE
300, Kendall grabbed Jordan's hands tightly after Jordan proposed marriage to Kendall. How would Kendall feel afterwards? ,"['Unappreciated', 'Happy', 'Cheated']",0, Kendall grasped Jordan's hands firmly after Jordan asked Kendall to marry him.  How would Kendall feel afterwards? ,"['Unappreciated', 'Happy', 'Cheated']",1,1,FALSE,TRUE
307, Addison regarded every comment very seriously and listened to all the instructions. How would you describe Addison? ,"['Addison was law biding', 'Serious', 'Contemplative']",1, Addison gave careful consideration to every comment and took all instructions on board.  How would you describe Addison? ,"['Addison was law biding', 'Serious', 'Contemplative']",2,1,TRUE,FALSE
309, Sasha gave Robin their number after meeting them at the bar. How would you describe Sasha? ,"['Single', 'Attracted to Robin', 'Dating Robin']",0, Sasha passed on their contact info to Robin after hooking up at the bar.  How would you describe Sasha? ,"['Single', 'Attracted to Robin', 'Dating Robin']",1,1,FALSE,TRUE
310," Sasha had a plane to catch, so Sasha left the house within hours of waking up. Why did Sasha do this? ","['Travel patiently', 'Fly the plane', 'Miss the plane']",2," Sasha had a flight to catch, so Sasha left the house promptly after waking up."" (Formal tone, objective perspective)  Why did Sasha do this? ","['Travel patiently', 'Fly the plane', 'Miss the plane']",1,1,FALSE,TRUE
313, Casey went Jesse's way home. He knew not to argue with Jesse. Why did Casey do this? ,"['Appreciate casey', 'Make Jesse mad', 'Avoid argument']",0, Casey made his way home along Jesse's route. He was aware of Jesse's strong personality and chose not to engage in an argument with him.  Why did Casey do this? ,"['Appreciate casey', 'Make Jesse mad', 'Avoid argument']",2,2,FALSE,TRUE
324," Jesse had been sick for several weeks, but after taking new medication, Jesse was feeling much better. How would Jesse feel afterwards? ","['Healthy', 'Confident', 'Doing better']",0," After trying out some fresh meds, Jesse was finally feeling much more like his old self again.  How would Jesse feel afterwards? ","['Healthy', 'Confident', 'Doing better']",1,0,TRUE,FALSE
333, Remy gave birth to a baby girl even though Remy thought they would have a boy. How would Others feel as a result? ,"['Happy that they were not born a boy', 'Happy that they were born a girl', 'As though they messed up by not being a boy']",2, Remy delivered a healthy baby girl despite Remy's initial expectations of having a boy.  How would Others feel as a result? ,"['Happy that they were not born a boy', 'Happy that they were born a girl', 'As though they messed up by not being a boy']",1,1,FALSE,TRUE
337, Jan made friends with Taylor. Jan now goes to Taylor´s house everyday to play video games. What will happen to Jan? ,"['Stop going to work', 'Fall in love with Taylor', 'Be addicted to video games']",2," Jan hit it off with Taylor and now they're hanging out at each other's places every day, playing video games and having a blast.  What will happen to Jan? ","['Stop going to work', 'Fall in love with Taylor', 'Be addicted to video games']",1,2,TRUE,FALSE
357, Riley played a role in the revolution because he gaved the army weapons and suppliles. What does Riley need to do before this? ,"['Need to gather weeapons so that the revolution has a chance to survive', 'Gather intel on the enemy so that theres accurate info', 'Proud']",1," Riley was a crucial contributor to the revolution, providing the army with vital weapons and supplies.  What does Riley need to do before this? ","['Need to gather weeapons so that the revolution has a chance to survive', 'Gather intel on the enemy so that theres accurate info', 'Proud']",2,0,FALSE,FALSE
359, Sasha improved Jordan's status when they were seen together. How would Sasha feel afterwards? ,"['Frustrated', 'Better', 'Accomplished']",1, Jordan's reputation received a boost when he and Sasha were spotted together.  How would Sasha feel afterwards? ,"['Frustrated', 'Better', 'Accomplished']",0,2,FALSE,FALSE
365, Carson's mother does not allow them to play video games. Carson's mother found out that Carson was at a friend's house playing video games. What will happen to Carson? ,"[""Carson's friend will ground them"", ""Carson's mother will scold them"", 'Others will be punished']",1, Carson's dad won't let them play video games. Carson's dad discovered that Carson was at their buddy's place playing games.  What will happen to Carson? ,"[""Carson's friend will ground them"", ""Carson's mother will scold them"", 'Others will be punished']",2,1,TRUE,FALSE
367, Alex rendered Sasha's car washing service despite the rain that was soon to come. How would Sasha feel as a result? ,"['As generous', 'Happy they got a pre-rain wash', 'Angry at Alex for not saying anything']",2, Alex bravely offered to wash Sasha's car despite the impending downpour.  How would Sasha feel as a result? ,"['As generous', 'Happy they got a pre-rain wash', 'Angry at Alex for not saying anything']",1,1,FALSE,TRUE
372, Remy got very dark after drinking by himself all night long. How would you describe Remy? ,"['Depressed at heart', 'A resilient person at heart', 'A happy person at heart']",0," Remy had a pretty intense night out alone, and it showed in his complexion the next day.  How would you describe Remy? ","['Depressed at heart', 'A resilient person at heart', 'A happy person at heart']",1,0,TRUE,FALSE
376, Taylor attended their father's concert and was very impressed that their father performed so well. What will Taylor want to do next? ,"[""Tell their father 'well done'"", 'Enjoy a show', 'Leave the concert before it starts']",0, Taylor was blown away by their dad's killer performance at his concert.  What will Taylor want to do next? ,"[""Tell their father 'well done'"", 'Enjoy a show', 'Leave the concert before it starts']",1,0,TRUE,FALSE
384, Tracy the bus driver took Jesse's students on a field trip to a remote location. How would Tracy feel afterwards? ,"['Lost', 'Accurate', 'Incompetent']",2," Tracy, the skilled bus driver, chaperoned Jesse's students on an exciting adventure to a secluded spot.  How would Tracy feel afterwards? ","['Lost', 'Accurate', 'Incompetent']",1,1,FALSE,TRUE
386, Addison was listening to music very loudly. They turned their music down. How would Addison feel afterwards? ,"['A fan with bad hearing', 'A fan of loud music', 'Satisfied']",0, Addison cranked up the tunes and listened intently. He eventually lowered the volume when asked to do so.  How would Addison feel afterwards? ,"['A fan with bad hearing', 'A fan of loud music', 'Satisfied']",2,1,FALSE,FALSE
400," While everyone else stood around trying to figure out the instructions by themselves, Taylor gave help to a friend and they completed the task first. How would the others feel as a result? ","['Self-starting', ""Intrigued that they didn't tell all of them"", ""Jealous that they didn't help all of them""]",2," While his peers were struggling to decipher the instructions alone, Taylor stepped up and lent a hand to a buddy, ultimately finishing the task before anyone else.  How would the others feel as a result? ","['Self-starting', ""Intrigued that they didn't tell all of them"", ""Jealous that they didn't help all of them""]",0,2,TRUE,FALSE
402, Kai watched videos on youtube and there was one they really liked. How would you describe Kai? ,"['As someone that enjoyed a video', 'As someone that asked about videos', 'As someone that talks about videos']",0, Kai checked out some YouTube vids and there was one that really resonated with him.  How would you describe Kai? ,"['As someone that enjoyed a video', 'As someone that asked about videos', 'As someone that talks about videos']",2,0,TRUE,FALSE
408, cameron was challenged to a dual so he had to put up or shut up. How would you describe Cameron? ,"['Scared', 'As smart', 'As stupid']",1," Cameron was called out for a showdown, so he had to put his money where his mouth is.  How would you describe Cameron? ","['Scared', 'As smart', 'As stupid']",2,0,FALSE,FALSE
415," Remy and their friends were playing hide and seek in Remy's house. When they finished playing, it was very dark outside. Why did it become dark outside? ","['Go to sleep', 'Hid their friends and sought them for too long', 'And their friends lost track of the time']",2," Remy and his pals were engrossed in a thrilling game of hide and seek at Remy's pad. After they wrapped up their fun, it was pitch black outside.  Why did it become dark outside? ","['Go to sleep', 'Hid their friends and sought them for too long', 'And their friends lost track of the time']",0,2,TRUE,FALSE
421, Sasha got revenge on the people who had stolen the car from her. How would Others feel as a result? ,"['Quite elated', 'Furious at the perpetrators', 'Quite paid back']",2, Sasha sought retribution against the thieves who had swiped her prized vehicle.  How would Others feel as a result? ,"['Quite elated', 'Furious at the perpetrators', 'Quite paid back']",1,2,TRUE,FALSE
425, Tracy took Jesse's students on a field trip because Jesse was not feeling well. What will Tracy want to do next? ,"['Take the students back to school', 'Drive the students back home', 'Know directions']",0, Tracy stepped in for Jesse and led the field trip since he wasn't feeling too great.  What will Tracy want to do next? ,"['Take the students back to school', 'Drive the students back home', 'Know directions']",1,0,TRUE,FALSE
432, Bailey moved the goalposts so they could make a field goal from farther. What will Bailey want to do next? ,"['Ease into a harder task', 'Practice football', 'Practice baseball']",0, Bailey adjusted the goalposts to give his team a better shot at scoring a field goal from further away.  What will Bailey want to do next? ,"['Ease into a harder task', 'Practice football', 'Practice baseball']",1,1,FALSE,TRUE
441, Riley turned the stove off every time she finish cooking. How would you describe Riley? ,"['Forgetful', 'Lazy', 'Forehanded']",0, Riley always makes sure to turn off the stove after he finishes cooking.  How would you describe Riley? ,"['Forgetful', 'Lazy', 'Forehanded']",2,2,FALSE,TRUE
445, Alex was Sydney's coworker. Sydney was lazy and gave Alex a command. How would Sydney feel as a result? ,"['Happy to oblige', 'A good co-worker', 'Annoyed with her']",2, Alex was Sydney's colleague who often gave him tasks to complete.  How would Sydney feel as a result? ,"['Happy to oblige', 'A good co-worker', 'Annoyed with her']",0,2,TRUE,FALSE
448," Ash decided to meal prep on Sunday to save time. So, Ash had sandwiches to eat every day of the week. What will Ash want to do next? ","['Make sandwiches', 'Pack their sandwiches', 'Relax']",1," Ash took the initiative to prep meals on Sunday to streamline his weekly routine. As a result, he had healthy sandwiches ready to go for every day of the week.  What will Ash want to do next? ","['Make sandwiches', 'Pack their sandwiches', 'Relax']",0,2,FALSE,FALSE
450, Taylor repeated the Lord's request so that everyone would know what to do. How would Others feel as a result? ,"['Sad to have a direction', 'Happy to have a direction', 'Bad about the request']",0," Taylor reiterated the Lord's instructions clearly and concisely, ensuring that all parties were aware of their responsibilities.  How would Others feel as a result? ","['Sad to have a direction', 'Happy to have a direction', 'Bad about the request']",1,1,FALSE,TRUE
452, Ash redeemed themselves after retaking the test they failed. How will Ash feel as a result? ,"['Relieved', 'Accomplished', 'Proud']",0, Ash proved their mettle by retaking the exam they previously flunked.  How will Ash feel as a result? ,"['Relieved', 'Accomplished', 'Proud']",2,1,FALSE,FALSE
456, Tracy threw doubts on the history that was taught in books. What does Tracy need to do before this? ,"['Do research', ""Think it's incorrect"", 'Prove their theory']",1, Tracy raised questions about the accuracy of the historical accounts presented in books.  What does Tracy need to do before this? ,"['Do research', ""Think it's incorrect"", 'Prove their theory']",0,0,FALSE,TRUE
460, Carson gave their friend some milk when they were thirsty. How would Carson feel afterwards? ,"['Helpful', 'Generous', 'Rude']",0, Carson generously offered his friend a glass of cold milk to quench their thirst.  How would Carson feel afterwards? ,"['Helpful', 'Generous', 'Rude']",1,0,TRUE,FALSE
467, Remy gave Casey's version of the story and Casey expressed gratitude before taking questions. What will Casey want to do next? ,"['Answer questions', 'Be sympathetic to Casey', 'Leave the area']",0," Remy shared Casey's account of the events, and Casey showed appreciation before fielding inquiries.  What will Casey want to do next? ","['Answer questions', 'Be sympathetic to Casey', 'Leave the area']",1,0,TRUE,FALSE
470, After starting the bar fight Kai told Riley that he had better go quickly. How would you describe Riley? ,"['A trouble maker', 'Full of adrenaline', 'A peace maker']",1," After kicking off the bar brawl, Kai advised Riley to make a swift exit.  How would you describe Riley? ","['A trouble maker', 'Full of adrenaline', 'A peace maker']",0,0,FALSE,TRUE
474, Ash wore a dress to his friends costume party. What will Ash want to do next? ,"['Secretly liked to wear dresses', 'Had never put on a dress before', ""Ash's friends were angry not amused""]",2, Ash donned a stylish dress for his pals' costume bash.  What will Ash want to do next? ,"['Secretly liked to wear dresses', 'Had never put on a dress before', ""Ash's friends were angry not amused""]",0,0,FALSE,TRUE
480, Alex made Casey escape jail because the guards werent watching. What will happen to Casey? ,"['In bad trouble', 'Get Casey into trouble', 'Be exonerated']",1," Alex pulled off a daring escape for Casey, taking advantage of the distraction caused by the guards' lack of vigilance.  What will happen to Casey? ","['In bad trouble', 'Get Casey into trouble', 'Be exonerated']",2,0,FALSE,FALSE
481," Kai improved Jan's work, but then Jan stopped talking to Kai anyway. How would Kai feel afterwards? ","['Annoyed', 'Satisfied', 'Happy']",1," Kai enhanced Jan's work, but then Jan ceased communicating with Kai abruptly.  How would Kai feel afterwards? ","['Annoyed', 'Satisfied', 'Happy']",0,0,FALSE,TRUE
482," Kendall opened their mouth to speak about their beliefs, which happened to go against the beliefs of everyone else in the room. What will happen to Others? ","['Compatible with Kendall', 'Uncomfortable with Kendall', 'Agreement with Kendall']",1," Kendall voiced their opinion boldly, despite knowing it conflicted with the majority's beliefs.  What will happen to Others? ","['Compatible with Kendall', 'Uncomfortable with Kendall', 'Agreement with Kendall']",0,1,TRUE,FALSE
