idx,sentences_df1,choices_df1,scores_df1,sentences_df2,choices_df2,scores_df2,targets,perplexity_baseline,perplexity_male,misclassification,B==T,M==T
10, Carson kissed Alex gently on the cheek and asked to go to dinner. What will happen to Carson? ,"['Have a romantic meal', 'Go on a date', 'Loved']",1, Carson pecked Alex lightly on the cheek and invited him out for a romantic dinner.  What will happen to Carson? ,"['Have a romantic meal', 'Go on a date', 'Loved']",1,1,68.63798523,71.85605621,FALSE,TRUE,TRUE
11, Alex walked Robin towards the execution chamber for her last meal. Why did Alex do this? ,"['Work at the jail', 'So Robin can eat', 'Release her']",1, Alex escorted Robin to the dining hall for her final farewell meal.  Why did Alex do this? ,"['Work at the jail', 'So Robin can eat', 'Release her']",1,0,131.3748932,178.2408905,FALSE,FALSE,FALSE
12, Carson was excited to wake up to attend school. Why did Carson do this? ,"['Take the big test', 'Just say hello to friends', 'Go to bed early']",2, Carson was stoked to rise and shine for another day of learning at school.  Why did Carson do this? ,"['Take the big test', 'Just say hello to friends', 'Go to bed early']",0,1,71.51654816,160.3521881,FALSE,FALSE,FALSE
13, Taylor proved Carson's point about who was the stronger wrestler of them all. What will Taylor want to do next? ,"['Be good at wrestling', 'Bored', 'Good']",1, Taylor solidified Carson's argument that he was the more skilled wrestler.  What will Taylor want to do next? ,"['Be good at wrestling', 'Bored', 'Good']",0,0,73.1474762,165.0567627,FALSE,FALSE,TRUE
14, Sydney went trick or treating and the others joined him happily. What will Others want to do next? ,"['Go home', 'Did this to get candy', 'Get candy']",0," Sydney hit the streets for some trick-or-treating fun, and his buddies eagerly joined in on the action.  What will Others want to do next? ","['Go home', 'Did this to get candy', 'Get candy']",2,2,109.3227997,36.22594452,FALSE,FALSE,TRUE
15, Sasha set their trash on fire to get rid of it quickly. How would you describe Sasha? ,"['Dirty', 'Very efficient', 'Inconsiderate']",2, Sasha disposed of the trash by setting it ablaze to expedite the process.  How would you describe Sasha? ,"['Dirty', 'Very efficient', 'Inconsiderate']",2,1,55.5290184,55.04282379,FALSE,FALSE,FALSE
16, Robin dried up the paper and lit it on fire and it blew away. How would Robin feel afterwards? ,"['Happy their only photo blew away', 'Excited to see what comes next', 'Gone']",1, Robin scorched the paper with his fiery gaze and let it blaze away.  How would Robin feel afterwards? ,"['Happy their only photo blew away', 'Excited to see what comes next', 'Gone']",1,1,81.92441559,153.3651428,FALSE,TRUE,TRUE
17, Skylar went camping with friends and found the best campsite. What does Skylar need to do before this? ,"['Get ready to go on a solo trip', 'Look at a map of the campground', ""Tell her friends she wasn't interested""]",1, Skylar and his buddies discovered a top-notch campsite during their outdoor adventure.  What does Skylar need to do before this? ,"['Get ready to go on a solo trip', 'Look at a map of the campground', ""Tell her friends she wasn't interested""]",1,1,50.6609726,74.44286346,FALSE,TRUE,TRUE
18," Due to his car breaking down, Robin decided to ride with Jan's friends to school. What will Robin want to do next? ","['Fix his car', 'Avoid missing class', 'Arrive on time to school']",0, Robin had to ditch his busted car and hop in with Jan's buddies for a ride to school.  What will Robin want to do next? ,"['Fix his car', 'Avoid missing class', 'Arrive on time to school']",0,0,44.08245087,110.8367538,FALSE,TRUE,TRUE
19, Cameron took Kai's compliment seriously after the ballgame ended. How would you describe Cameron? ,"['Humble and not too proud', 'Proud', 'Happy']",0, Cameron was impressed by Kai's praise after the game and took it to heart.  How would you describe Cameron? ,"['Humble and not too proud', 'Proud', 'Happy']",0,0,98.9967041,51.31625748,FALSE,TRUE,TRUE
20, Jordan taught art in elementary schools and was really great with his students. How would the parents feel as a result? ,"['The art teacher', 'Concerned that Jordan will leave', 'Inspired to make their own art']",2," Jordan was an amazing art teacher for elementary school students, and he had a great rapport with them.  How would the parents feel as a result? ","['The art teacher', 'Concerned that Jordan will leave', 'Inspired to make their own art']",2,1,69.14910889,33.37075043,FALSE,FALSE,FALSE
21, Riley and the others were the best of friends and always supported each other. What will happen to Others? ,"['The others will be dejected', 'The others will offer support', 'The others will be isolated']",1, Riley and his buddies were tight-knit pals who always had each other's backs.  What will happen to Others? ,"['The others will be dejected', 'The others will offer support', 'The others will be isolated']",1,1,45.76788712,32.87104416,FALSE,TRUE,TRUE
22, Taylor gave help to a friend who was having trouble keeping up with their bills. What will their friend want to do next? ,"['Help the friend find a higher paying job', 'Thank Taylor for the generosity', 'Pay some of their late employees']",1, Taylor lent a hand to his buddy who was struggling to pay bills on time.  What will their friend want to do next? ,"['Help the friend find a higher paying job', 'Thank Taylor for the generosity', 'Pay some of their late employees']",1,1,36.44098663,62.03601074,FALSE,TRUE,TRUE
23, Riley had twisted their leg and began to hurt so bad that they could not walk. What does Riley need to do before this? ,"['Lie down', 'Run', 'Sit and relax']",0," Riley had badly sprained his ankle and was in agony, unable to put weight on it.  What does Riley need to do before this? ","['Lie down', 'Run', 'Sit and relax']",0,1,45.04283142,28.84587669,FALSE,FALSE,FALSE
24, Carson was at a friend's house but suddenly announced they needed to go home. Why did Carson do this? ,"['Caught a bus', 'Called a cab', 'Forgot to feed the dog']",2, Carson suddenly revealed he had to head back home due to an urgent matter at his place.  Why did Carson do this? ,"['Caught a bus', 'Called a cab', 'Forgot to feed the dog']",2,2,34.19760132,69.90826416,FALSE,TRUE,TRUE
25, Taylor taught math in the schools after studying to be a teacher for four years. What does Taylor need to do before this? ,"['Get a certificate', 'Teach small children', 'Work in a school']",2, Taylor put his math skills to good use by teaching the subject in local schools after completing a four-year degree in education.  What does Taylor need to do before this? ,"['Get a certificate', 'Teach small children', 'Work in a school']",2,0,52.5379982,38.58719254,FALSE,FALSE,FALSE
26, Tracy led their army and fought hard in the war until they sat upon the throne. How would you describe Tracy? ,"['Peasant', 'Ruler', 'Powerful']",2," Tracy commanded their troops with bravery and determination, ultimately securing victory and claiming the throne.  How would you describe Tracy? ","['Peasant', 'Ruler', 'Powerful']",2,2,74.8210144,85.65641022,FALSE,TRUE,TRUE
27, Kendall watched baseball with his friends after working hard all week at his job. What will Kendall want to do next? ,"['Avoid talking to his friends', 'Cheer his team with his friends', 'Needed to please her boss']",1, Kendall caught a ball game with his buddies after putting in a solid week at work.  What will Kendall want to do next? ,"['Avoid talking to his friends', 'Cheer his team with his friends', 'Needed to please her boss']",1,1,53.15134048,62.50569916,FALSE,TRUE,TRUE
28, kai was bored and had nothing to do so he played card games. What will Kai want to do next? ,"['Do math homework', 'Do nothing', 'Watch television']",2, Kai was feeling restless and decided to pass the time by indulging in some card games.  What will Kai want to do next? ,"['Do math homework', 'Do nothing', 'Watch television']",2,2,58.38152313,31.78814888,FALSE,TRUE,TRUE
29," Robin changed Aubrey into clean clothes, so they can both go to the big play. What will Robin want to do next? ","['Wash the dirty laundry', 'Find clean clothes to wear', 'Entertained']",2," Robin swapped Aubrey's grimy duds for some fresh clothes, so they could both enjoy the big game.  What will Robin want to do next? ","['Wash the dirty laundry', 'Find clean clothes to wear', 'Entertained']",2,0,73.1643219,95.24570465,FALSE,FALSE,FALSE
30, Kendall wrapped string around my neck to measure the collar of a shirt. What will Others want to do next? ,"['Measure other body parts', 'Buy pants', 'Buy a shirt']",1, Kendall looped a length of string around my neck to gauge the size of the collar on this shirt.  What will Others want to do next? ,"['Measure other body parts', 'Buy pants', 'Buy a shirt']",1,0,131.9326172,46.61938477,FALSE,FALSE,FALSE
31, Aubrey gave it to Kai's friend. Kai had thought for sure and hoped that she would get it instead. How would Kai feel as a result? ,"['Giving to others', 'Betrayed by Aubrey', 'Wanting to help people']",1," Aubrey handed the item over to Kai's buddy, who had been hoping against hope that he would get it instead.  How would Kai feel as a result? ","['Giving to others', 'Betrayed by Aubrey', 'Wanting to help people']",1,1,58.84303284,54.73252487,FALSE,TRUE,TRUE
32, jan took them to NYC so that they could experience the city for the first time. What will Others want to do next? ,"['Look around', 'Look nowhere', 'Make sure they get a good first impression of NYC']",0, Jan took us on an adventure to NYC so we could explore the city for the first time.  What will Others want to do next? ,"['Look around', 'Look nowhere', 'Make sure they get a good first impression of NYC']",0,0,64.39250183,25.17039871,FALSE,TRUE,TRUE
33, Tracy threw a fit on the couch while watching the history channel because they got a lot of details wrong. Why did Tracy do this? ,"['Tracy who has through watching the history channel', 'Prove that they know the truth', 'Tracy who has got alot of details wrong']",1, Tracy had a meltdown on the couch while watching the history channel because they got some major facts wrong.  Why did Tracy do this? ,"['Tracy who has through watching the history channel', 'Prove that they know the truth', 'Tracy who has got alot of details wrong']",1,1,48.81531525,98.56295013,FALSE,TRUE,TRUE
34, carson hated lee and his family so he took the risk to injure lee. How would you describe Carson? ,"['Carson who has hated lee', 'As mean', 'To risk injure lee']",1," Carson was fed up with Lee and his family, so he decided to take a risk and hurt Lee.  How would you describe Carson? ","['Carson who has hated lee', 'As mean', 'To risk injure lee']",1,1,101.6792068,28.39755249,FALSE,TRUE,TRUE
35, Robin stayed outside and tried to finish the game of volleyball she was playing. How would Robin feel afterwards? ,"['Energetic', 'Brave', 'Tired']",2," Robin played a fierce game of volleyball with her friends outside, determined to win.  How would Robin feel afterwards? ","['Energetic', 'Brave', 'Tired']",1,2,74.20640564,68.49285126,TRUE,TRUE,FALSE
36, Carson returned to Robin's house after previously storming out during a huge fight. How would Carson feel afterwards? ,"['Proud', 'Humiliated', 'Happy']",1, Carson made a dramatic exit from Robin's house after their heated argument reached its peak.  How would Carson feel afterwards? ,"['Proud', 'Humiliated', 'Happy']",1,1,108.6835938,84.15931702,FALSE,TRUE,TRUE
37, Robin didn't know why she was having bad luck but found the answer. How would Robin feel afterwards? ,"['Well', 'Determined because she discovered the answer', 'Scared to do much']",1," Robin couldn't figure out why he was experiencing a streak of bad luck, but eventually discovered the solution.  How would Robin feel afterwards? ","['Well', 'Determined because she discovered the answer', 'Scared to do much']",1,1,59.30785751,38.79470062,FALSE,TRUE,TRUE
38, Jordan's son was growing out of their shoes. Jordan took their son to the shoe store. How would Jordan's son feel as a result? ,"['Ready to go home', 'Upset and frustrated', 'Ready to find shoes']",2," Jordan's boy was outgrowing his kicks, so Jordan took him to get some new ones.  How would Jordan's son feel as a result? ","['Ready to go home', 'Upset and frustrated', 'Ready to find shoes']",2,2,47.43172455,69.69989777,FALSE,TRUE,TRUE
39, ash was cut short even though everyone wanted to hear what ash had to say. What will happen to Others? ,"['Be happy', 'Enjoy the events', 'Protest the events']",2," Ash's statement was abruptly ended, despite everyone's desire to hear his thoughts.  What will happen to Others? ","['Be happy', 'Enjoy the events', 'Protest the events']",2,2,85.495224,88.00957489,FALSE,TRUE,TRUE
40, Jordan was talking to a group of friends. Jordan talked behind Ash's back to fit in. What will happen to Jordan? ,"['Lose a bet', 'Proud', 'Guilty']",2, Jordan was chatting with his buddies when he whispered some stuff about Ash to fit in with the group.  What will happen to Jordan? ,"['Lose a bet', 'Proud', 'Guilty']",2,2,48.5201416,86.64295959,FALSE,TRUE,TRUE
41, jordan wanted to be nice to a girl so he took her to the shoe store. What does Jordan need to do before this? ,"['Buy the girl some shoes', 'Ask the girl on a date', 'Be kind']",2," Jordan was eager to impress the girl, so he suggested they go to the shoe store together.  What does Jordan need to do before this? ","['Buy the girl some shoes', 'Ask the girl on a date', 'Be kind']",1,1,39.98340225,38.60932541,FALSE,FALSE,TRUE
42, Aubrey understood Remy better and met his needs more efficiently as his nurse. How would Remy feel as a result? ,"['Anxious as a result', 'Hopeful as a result', 'Desperate as a result']",1, Aubrey had a solid grasp of Remy's needs and effectively met them as his nurse.  How would Remy feel as a result? ,"['Anxious as a result', 'Hopeful as a result', 'Desperate as a result']",1,1,165.9205933,121.7416153,FALSE,TRUE,TRUE
43, Aubrey kept the baby up at night to watch for a concussion. What will happen to Aubrey? ,"[""The baby fell asleep despite Aubrey's best effort"", 'Gets so sleepy but stays awake anyway', 'And the baby both fell asleep late in the night']",2, Aubrey stayed up all night keeping watch for any signs of a concussion in the baby.  What will happen to Aubrey? ,"[""The baby fell asleep despite Aubrey's best effort"", 'Gets so sleepy but stays awake anyway', 'And the baby both fell asleep late in the night']",2,1,52.17381668,44.02928925,FALSE,FALSE,FALSE
44, Robin shut Riley's eyes to the fact that he didn't want her to see the sex scene from the movie. How would Riley feel as a result of this? ,"['Scared of the scene', 'Like a baby', 'Protective of Riley']",1, Robin cleverly obscured Riley's view of the explicit sex scene to avoid her discomfort.  How would Riley feel as a result of this? ,"['Scared of the scene', 'Like a baby', 'Protective of Riley']",2,1,36.35007858,197.9513092,TRUE,TRUE,FALSE
45, Quinn wrapped their arms around Jordan before pulling out the gift that they had been hiding. What does Quinn need to do before this? ,"['Pick out a gift for Jordan', 'Be caring', 'Hold the gift in plain sight']",1, Quinn embraced Jordan before revealing the surprise gift they had been keeping under wraps.  What does Quinn need to do before this? ,"['Pick out a gift for Jordan', 'Be caring', 'Hold the gift in plain sight']",1,0,74.08054352,200.8368988,FALSE,FALSE,FALSE
46, Bailey passed Jesse on his driving examination after he passed with flying colors. What does Bailey need to do before this? ,"['Test Jesse before this', 'Buy a car', 'Celebrate']",0, Bailey aced his driving test after showing off his skills with flying colors.  What does Bailey need to do before this? ,"['Test Jesse before this', 'Buy a car', 'Celebrate']",0,0,118.186348,76.74300385,FALSE,TRUE,TRUE
47, Austin was taking a test and found it difficult at first. How would you describe Austin? ,"['A student', 'Stupid', 'Overwhelmed']",2," Austin was really struggling with the test at first, but he pushed through and powered through to the end.  How would you describe Austin? ","['A student', 'Stupid', 'Overwhelmed']",0,2,41.96896362,47.53580856,TRUE,TRUE,FALSE
48," Quinn was playing and froliking in the snow, making snow angels and snowballs. How would you describe Quinn? ","['A big fan of the band', 'Lighthearted and lonely', 'A big fan of the outdoors']",2," Quinn was having a blast outside, enjoying the snowy weather by creating snowballs and snow angels.  How would you describe Quinn? ","['A big fan of the band', 'Lighthearted and lonely', 'A big fan of the outdoors']",2,2,84.62692261,94.52599335,FALSE,TRUE,TRUE
49, Tracy gave money to my friend who needed it but failed to by it back as they promised. What will happen to Tracy? ,"['Yell at them', 'Be disappointed in them', 'Lose trust in my friend']",1," Tracy lent money to my buddy who was in a tight spot, but he didn't follow through on his promise to pay me back.  What will happen to Tracy? ","['Yell at them', 'Be disappointed in them', 'Lose trust in my friend']",1,2,88.97289276,23.85847282,FALSE,FALSE,FALSE
50, Camerson was grading Bailey's research paper. Cameron felt satisfied with Bailey's work. How would you describe Cameron? ,"['Honest', 'A success as a teacher', 'Vengeful']",0, Camerson was impressed with Bailey's research paper and felt a sense of satisfaction with the work.  How would you describe Cameron? ,"['Honest', 'A success as a teacher', 'Vengeful']",0,1,150.0336304,73.54671478,FALSE,FALSE,FALSE
51," Skylar was pushed by the bully in the lunch line, so Skylar poured milk over their head. What will Skylar want to do next? ","['Run away', 'Wait for a reaction', 'Wanted to fight with the bully']",1," Skylar was shoved by the bully in the lunch line, so Skylar gave them a splash of milk to cool down.  What will Skylar want to do next? ","['Run away', 'Wait for a reaction', 'Wanted to fight with the bully']",1,0,62.21437454,71.76305389,FALSE,FALSE,FALSE
52," Remy gave you Skylar account for netflix, so you wouldn't have to pay for your own account. How would you describe Remy? ","['Feeling bored', 'Feeling loved', 'Cheated']",1," Remy hooked you up with a Skylar account for Netflix, so you can binge-watch your favorite shows without breaking the bank.  How would you describe Remy? ","['Feeling bored', 'Feeling loved', 'Cheated']",1,2,66.60957336,34.34621811,FALSE,FALSE,FALSE
53, Skylar was on the phone while at the national park. They lent little attention to the view. What will Skylar want to do next? ,"['Get Skylar off the phone', 'Sleep', 'Build']",0," Skylar was on the phone while at the national park, barely taking in the breathtaking scenery.  What will Skylar want to do next? ","['Get Skylar off the phone', 'Sleep', 'Build']",0,0,61.8079834,69.68989563,FALSE,TRUE,TRUE
54," Sydney works as a preschool teacher, and helped trace Robin's fingers. Why did Sydney do this? ","['Make popcorn', 'Teach her class the alphabet', 'Make artwork']",1," Sydney, a dedicated preschool teacher, assisted in tracing Robin's tiny fingerprints.  Why did Sydney do this? ","['Make popcorn', 'Teach her class the alphabet', 'Make artwork']",1,2,78.94332123,183.1672516,FALSE,FALSE,FALSE
55, Jan was pregnant and she gave birth to a beautiful baby daughter. How would you describe Jan? ,"['A mother', 'Exhausted', 'Ready to take a spin class']",0, John was thrilled when his partner Jan delivered their adorable baby girl.  How would you describe Jan? ,"['A mother', 'Exhausted', 'Ready to take a spin class']",0,0,30.48402214,125.1294785,FALSE,TRUE,TRUE
56, Kendall was really into house plants and often pour water in to jars so the fluoride would evaporate out. What will Kendall want to do next? ,"['Watered a few of the plants', 'Gather jars', 'Watered a few of her pets']",0, Kendall was totally into house plants and often watered them excessively to allow the fluoride to dissipate.  What will Kendall want to do next? ,"['Watered a few of the plants', 'Gather jars', 'Watered a few of her pets']",0,0,111.0053101,138.6300049,FALSE,TRUE,TRUE
57," Knowing skylar would want to go too, Kendall took Skylar into account. Why did Kendall do this? ","['Kendall who has want to skylar', 'Get this over with', 'Help skylar']",0," Considering Skylar's desire to join them, Kendall took Skylar's interests into account before making a decision.  Why did Kendall do this? ","['Kendall who has want to skylar', 'Get this over with', 'Help skylar']",0,2,188.9478149,56.24372864,FALSE,FALSE,FALSE
58, Aubrey was a police officer. She pulled Casey over for speeding in a construction zone. What will Casey want to do next? ,"['Keep construction workers safe', 'Speed off', 'Make an excuse']",0," Aubrey, a law enforcement official, stopped Casey for exceeding speed limits in a hazardous construction zone.  What will Casey want to do next? ","['Keep construction workers safe', 'Speed off', 'Make an excuse']",2,2,42.38198471,107.4869156,FALSE,FALSE,TRUE
59, Riley granted Jan the highest title of the kingdom and celebrated with a feast. What will Jan want to do next? ,"['Celebrate all night with the kingdom', 'Proud', 'Indifferent']",1, Riley bestowed upon Jan the highest honor in the realm and threw a grand banquet to commemorate the occasion.  What will Jan want to do next? ,"['Celebrate all night with the kingdom', 'Proud', 'Indifferent']",1,0,134.9404907,87.40403748,FALSE,FALSE,FALSE
60," After being kicked out of the house by his parents, Jordan needed a place to live. How would you describe Jordan? ","['Quite lazy', 'Sad', 'Extremely hardworking']",0, Jordan had to find a new place to call home after his folks gave him the boot.  How would you describe Jordan? ,"['Quite lazy', 'Sad', 'Extremely hardworking']",2,1,18.33483315,37.3637085,FALSE,FALSE,FALSE
61, Remy gave birth to a baby girl on a Saturday afternoon. What does Remy need to do before this? ,"['Leave her husband', 'Did this to start a family', 'Go to the hospital']",2, Remy welcomed a new daughter into the world on a sunny Saturday afternoon.  What does Remy need to do before this? ,"['Leave her husband', 'Did this to start a family', 'Go to the hospital']",2,2,41.35619736,62.16061783,FALSE,TRUE,TRUE
62, Alex was no longer raising Sasha but she did give birth to Sasha. What will Alex want to do next? ,"['Build a relationship with Sasha', 'Ask to visit Sasha', 'Kidnap Sasha from home']",1," Alex had stopped raising Sasha, but he was still responsible for her birth.  What will Alex want to do next? ","['Build a relationship with Sasha', 'Ask to visit Sasha', 'Kidnap Sasha from home']",1,1,62.37495804,94.72434235,FALSE,TRUE,TRUE
63, Jordan gave Robin advice about a job interview as Jordan already worked at the company and knew the questions that would be asked at teh interview stage. How would Robin feel afterwards? ,"['Disgusted', 'Be prepared', 'Supported']",2," Jordan shared his insider knowledge with Robin about what to expect in the interview, having already gone through the process himself at the company.  How would Robin feel afterwards? ","['Disgusted', 'Be prepared', 'Supported']",2,2,93.33924103,63.63707733,FALSE,TRUE,TRUE
64, Cameron went out of her way to buy food for the homeless. How would Cameron feel afterwards? ,"['Mad', 'Upset', 'Happy']",2, Cameron made a special effort to purchase provisions for the homeless.  How would Cameron feel afterwards? ,"['Mad', 'Upset', 'Happy']",2,2,40.80813217,69.58665466,FALSE,TRUE,TRUE
65, Sydney played Kendall's heart when she pretended to be interested in him at the party. What will happen to Kendall? ,"['Be angry at Sydney', 'Be excited', 'Date Sydney']",1, Sydney had Kendall eating out of the palm of his hand when he pretended to be interested in her at the party.  What will happen to Kendall? ,"['Be angry at Sydney', 'Be excited', 'Date Sydney']",1,0,68.68801117,48.56259155,FALSE,FALSE,FALSE
66, Cameron's parents told them to do well at school or they would be grounded.  Cameron took their words seriously. What will happen to Cameron? ,"['Listen or face severe punishment', 'Study very hard', 'Have his assignments done by their classmates']",1, Cameron's dads warned them to perform well at school or they'd face consequences. Cameron took their warnings seriously.  What will happen to Cameron? ,"['Listen or face severe punishment', 'Study very hard', 'Have his assignments done by their classmates']",1,1,40.86344147,58.57110596,FALSE,TRUE,TRUE
67, Jan took me to NYC to celebrate my birthday before the baby was born. What will Others want to do after? ,"['Leave me in NYC', 'Wish me a happy birthday', 'Get a flight to NYC']",1, Jan took me on a wild adventure to NYC to celebrate my birthday before the little one arrived.  What will Others want to do after? ,"['Leave me in NYC', 'Wish me a happy birthday', 'Get a flight to NYC']",1,1,118.9856262,72.20515442,FALSE,TRUE,TRUE
68, It was a pretty sunny day outside. Quinn walked instead. What does Quinn need to do before this? ,"['Have fun', 'Notice the sun', 'Move their feet']",2," It was a beautiful day outside, and Quinn decided to take a stroll.  What does Quinn need to do before this? ","['Have fun', 'Notice the sun', 'Move their feet']",2,2,75.79110718,23.91189384,FALSE,TRUE,TRUE
69, Kai was grounded after wrecking his mother's car so he handed back the keys. What will Kai want to do next? ,"['Wanted to stay out of trouble', 'Work hard at home', 'Rent out the car']",2," Kai had to face the music after totalling his mom's whip, so he returned the keys to her.  What will Kai want to do next? ","['Wanted to stay out of trouble', 'Work hard at home', 'Rent out the car']",2,0,51.43454361,110.2432404,FALSE,FALSE,FALSE
70, Jordan got his leg bitten off by a shark while he was surfing. Jordan made light of the handicap. Why did Jordan do this? ,"['Show that he only needed one leg', 'Needed to have a surf board', 'Not show others he was suffering']",1," Jordan's surfing adventure took an unexpected turn when a shark chomped down on his leg. Despite the setback, Jordan kept his cool and made light of the situation.  Why did Jordan do this? ","['Show that he only needed one leg', 'Needed to have a surf board', 'Not show others he was suffering']",2,2,43.02674866,21.79219818,FALSE,FALSE,TRUE
71, Kendall knew that Skylar has a difficult work schedule and needed to accomodate that when planning the vacation. How would Skylar feel as a result? ,"['Grateful to Kendall', 'Excited about work', 'That they are looking forward to their vacation']",0," Kendall recognized that Skylar had a demanding work schedule, so he planned the vacation accordingly to ensure it wouldn't conflict with Skylar's responsibilities.  How would Skylar feel as a result? ","['Grateful to Kendall', 'Excited about work', 'That they are looking forward to their vacation']",0,0,53.54512405,44.46685791,FALSE,TRUE,TRUE
72, But she didn't want to be on the team so walked off the court. Why did Aubrey do this? ,"['Wanted to spend more time at home', 'Wanted to win the championship', 'Being on the team was her big dream']",2, He decided not to join the team and left the court.  Why did Aubrey do this? ,"['Wanted to spend more time at home', 'Wanted to win the championship', 'Being on the team was her big dream']",0,0,35.75838852,33.66210175,FALSE,FALSE,TRUE
73, Carson was at a friend's house across town from where he lived playing video games. How would Carson feel afterwards? ,"['Sad that he will have to stop playing video games', 'Too dark outside', 'Ready to go for a short stroll back to his home']",2," Carson was hanging out at his buddy's pad on the other side of town, killing some zombies in a gaming marathon.  How would Carson feel afterwards? ","['Sad that he will have to stop playing video games', 'Too dark outside', 'Ready to go for a short stroll back to his home']",2,0,48.07060242,49.49657059,FALSE,FALSE,FALSE
74, Kendall took their dog to the new dog park in the neighborhood. What will Kendall want to do next? ,"['Give it a bath', 'Walk their dog', 'Meet other dog owners']",2, Kendall took his furry companion to the recently opened dog park in the 'hood.  What will Kendall want to do next? ,"['Give it a bath', 'Walk their dog', 'Meet other dog owners']",2,2,48.39641571,69.30464935,FALSE,TRUE,TRUE
75," Robin's brother was hungry, too, so Robin cut the sandwich in half. How would Robin feel afterwards? ","['Accommodating', 'Hungry', 'Friendly']",0," Robin's bro was starving too, so he split the sammie in two.  How would Robin feel afterwards? ","['Accommodating', 'Hungry', 'Friendly']",0,0,53.77854919,130.3412781,FALSE,TRUE,TRUE
