idx,sentences_df1,choices_df1,scores_df1,sentences_df2,choices_df2,scores_df2,targets
10, Carson kissed Alex gently on the cheek and asked to go to dinner. What will happen to Carson? ,"['Have a romantic meal', 'Go on a date', 'Loved']",1, Carson tenderly kissed Alex on the cheek and invited him out to dinner.  What will happen to Carson? ,"['Have a romantic meal', 'Go on a date', 'Loved']",1,1
11, Alex walked Robin towards the execution chamber for her last meal. Why did Alex do this? ,"['Work at the jail', 'So Robin can eat', 'Release her']",1, Alex escorted Robin to the execution chamber for her last meal before she was put to sleep.  Why did Alex do this? ,"['Work at the jail', 'So Robin can eat', 'Release her']",1,0
12, Carson was excited to wake up to attend school. Why did Carson do this? ,"['Take the big test', 'Just say hello to friends', 'Go to bed early']",2, Carson was eager to rise and shine for another day of learning at school.  Why did Carson do this? ,"['Take the big test', 'Just say hello to friends', 'Go to bed early']",0,1
13, Taylor proved Carson's point about who was the stronger wrestler of them all. What will Taylor want to do next? ,"['Be good at wrestling', 'Bored', 'Good']",1, Taylor's impressive performance clearly reinforced Carson's assertion about her wrestling skills.  What will Taylor want to do next? ,"['Be good at wrestling', 'Bored', 'Good']",0,0
14, Sydney went trick or treating and the others joined him happily. What will Others want to do next? ,"['Go home', 'Did this to get candy', 'Get candy']",0," Sydney went door-to-door in search of treats, and he was joined by his excited friends.  What will Others want to do next? ","['Go home', 'Did this to get candy', 'Get candy']",2,2
15, Sasha set their trash on fire to get rid of it quickly. How would you describe Sasha? ,"['Dirty', 'Very efficient', 'Inconsiderate']",2, Sasha set their trash ablaze to dispose of it quickly and efficiently.  How would you describe Sasha? ,"['Dirty', 'Very efficient', 'Inconsiderate']",2,1
16, Robin dried up the paper and lit it on fire and it blew away. How would Robin feel afterwards? ,"['Happy their only photo blew away', 'Excited to see what comes next', 'Gone']",1," Robin carefully dried up the paper with a match before setting it ablaze, and it gently drifted away in the breeze.  How would Robin feel afterwards? ","['Happy their only photo blew away', 'Excited to see what comes next', 'Gone']",1,1
17, Skylar went camping with friends and found the best campsite. What does Skylar need to do before this? ,"['Get ready to go on a solo trip', 'Look at a map of the campground', ""Tell her friends she wasn't interested""]",1, Skylar had a fantastic time camping with her friends and discovered an ideal campsite that offered the perfect blend of seclusion and amenities. 🏕️👥  What does Skylar need to do before this? ,"['Get ready to go on a solo trip', 'Look at a map of the campground', ""Tell her friends she wasn't interested""]",1,1
18," Due to his car breaking down, Robin decided to ride with Jan's friends to school. What will Robin want to do next? ","['Fix his car', 'Avoid missing class', 'Arrive on time to school']",0," Since Robin's car broke down, he asked Jan's friends for a lift to school.  What will Robin want to do next? ","['Fix his car', 'Avoid missing class', 'Arrive on time to school']",2,0
19, Cameron took Kai's compliment seriously after the ballgame ended. How would you describe Cameron? ,"['Humble and not too proud', 'Proud', 'Happy']",0, Cameron was pleasantly surprised by Kai's kind words after the ballgame ended.  How would you describe Cameron? ,"['Humble and not too proud', 'Proud', 'Happy']",0,0
20, Jordan taught art in elementary schools and was really great with his students. How would the parents feel as a result? ,"['The art teacher', 'Concerned that Jordan will leave', 'Inspired to make their own art']",2," Jordan had a gift for teaching art to children, and his students adored him for it. He was very patient and creative in his approach, which made learning fun and engaging.  How would the parents feel as a result? ","['The art teacher', 'Concerned that Jordan will leave', 'Inspired to make their own art']",2,1
21, Riley and the others were the best of friends and always supported each other. What will happen to Others? ,"['The others will be dejected', 'The others will offer support', 'The others will be isolated']",1," Riley and her close friends were a tight-knit group, always there for one another through thick and thin.  What will happen to Others? ","['The others will be dejected', 'The others will offer support', 'The others will be isolated']",1,1
22, Taylor gave help to a friend who was having trouble keeping up with their bills. What will their friend want to do next? ,"['Help the friend find a higher paying job', 'Thank Taylor for the generosity', 'Pay some of their late employees']",1, Taylor generously offered assistance to their friend during a difficult time by helping with their overwhelming bills. It's clear that they value their friendship and are willing to go the extra mile to support them. 👍  What will their friend want to do next? ,"['Help the friend find a higher paying job', 'Thank Taylor for the generosity', 'Pay some of their late employees']",1,1
23, Riley had twisted their leg and began to hurt so bad that they could not walk. What does Riley need to do before this? ,"['Lie down', 'Run', 'Sit and relax']",0," Riley injured their leg pretty badly and is experiencing significant pain, making it difficult for them to walk.  What does Riley need to do before this? ","['Lie down', 'Run', 'Sit and relax']",0,1
24, Carson was at a friend's house but suddenly announced they needed to go home. Why did Carson do this? ,"['Caught a bus', 'Called a cab', 'Forgot to feed the dog']",2, Carson was spending time at a friend's house when they suddenly mentioned they needed to head home.  Why did Carson do this? ,"['Caught a bus', 'Called a cab', 'Forgot to feed the dog']",0,2
25, Taylor taught math in the schools after studying to be a teacher for four years. What does Taylor need to do before this? ,"['Get a certificate', 'Teach small children', 'Work in a school']",2, Taylor pursued a degree in education and spent four years honing her teaching skills before joining the faculty of local schools. She's dedicated to helping her students excel in math and beyond! 📚👩‍🏫  What does Taylor need to do before this? ,"['Get a certificate', 'Teach small children', 'Work in a school']",2,0
26, Tracy led their army and fought hard in the war until they sat upon the throne. How would you describe Tracy? ,"['Peasant', 'Ruler', 'Powerful']",2," Tracy displayed remarkable leadership and fought valiantly in the war, ultimately achieving victory and securing their place on the throne.  How would you describe Tracy? ","['Peasant', 'Ruler', 'Powerful']",2,2
27, Kendall watched baseball with his friends after working hard all week at his job. What will Kendall want to do next? ,"['Avoid talking to his friends', 'Cheer his team with his friends', 'Needed to please her boss']",1, Kendall relaxed with his buddies after putting in a long week at work.  What will Kendall want to do next? ,"['Avoid talking to his friends', 'Cheer his team with his friends', 'Needed to please her boss']",1,1
28, kai was bored and had nothing to do so he played card games. What will Kai want to do next? ,"['Do math homework', 'Do nothing', 'Watch television']",2," Kai felt rather bored and looked for something to do, so he decided to play a few rounds of card games.  What will Kai want to do next? ","['Do math homework', 'Do nothing', 'Watch television']",2,2
29," Robin changed Aubrey into clean clothes, so they can both go to the big play. What will Robin want to do next? ","['Wash the dirty laundry', 'Find clean clothes to wear', 'Entertained']",2," Robin kindly assisted Aubrey in changing into clean attire, allowing them to both attend the grand performance in style. 😊  What will Robin want to do next? ","['Wash the dirty laundry', 'Find clean clothes to wear', 'Entertained']",2,0
30, Kendall wrapped string around my neck to measure the collar of a shirt. What will Others want to do next? ,"['Measure other body parts', 'Buy pants', 'Buy a shirt']",1," Kendall carefully wrapped a piece of string around my neck to determine the size of the collar on her shirt. She wanted to make sure it fit perfectly, you can tell she's really particular about these things! 😊  What will Others want to do next? ","['Measure other body parts', 'Buy pants', 'Buy a shirt']",2,0
31, Aubrey gave it to Kai's friend. Kai had thought for sure and hoped that she would get it instead. How would Kai feel as a result? ,"['Giving to others', 'Betrayed by Aubrey', 'Wanting to help people']",1," Aubrey passed the item to Kai's friend, and Kai had expected to receive it herself.  How would Kai feel as a result? ","['Giving to others', 'Betrayed by Aubrey', 'Wanting to help people']",1,1
32, jan took them to NYC so that they could experience the city for the first time. What will Others want to do next? ,"['Look around', 'Look nowhere', 'Make sure they get a good first impression of NYC']",0," Jan generously offered to take them on a trip to New York City, giving them the opportunity to explore the city for the first time. 👨‍👩‍👧‍👦  What will Others want to do next? ","['Look around', 'Look nowhere', 'Make sure they get a good first impression of NYC']",0,0
33, Tracy threw a fit on the couch while watching the history channel because they got a lot of details wrong. Why did Tracy do this? ,"['Tracy who has through watching the history channel', 'Prove that they know the truth', 'Tracy who has got alot of details wrong']",1," Tracy was extremely upset on the couch while watching the History Channel as they had numerous inaccuracies, which really bothered her.  Why did Tracy do this? ","['Tracy who has through watching the history channel', 'Prove that they know the truth', 'Tracy who has got alot of details wrong']",1,1
34, carson hated lee and his family so he took the risk to injure lee. How would you describe Carson? ,"['Carson who has hated lee', 'As mean', 'To risk injure lee']",1," Carson harbored intense animosity towards Lee and his family, leading him to take a reckless risk that could have injured Lee.  How would you describe Carson? ","['Carson who has hated lee', 'As mean', 'To risk injure lee']",1,1
35, Robin stayed outside and tried to finish the game of volleyball she was playing. How would Robin feel afterwards? ,"['Energetic', 'Brave', 'Tired']",2," Robin continued playing her game of volleyball even after moving outside, showing her dedication to the sport.  How would Robin feel afterwards? ","['Energetic', 'Brave', 'Tired']",2,2
36, Carson returned to Robin's house after previously storming out during a huge fight. How would Carson feel afterwards? ,"['Proud', 'Humiliated', 'Happy']",1, Carson had a heated argument with Robin and subsequently left her house in a huff.  How would Carson feel afterwards? ,"['Proud', 'Humiliated', 'Happy']",0,1
37, Robin didn't know why she was having bad luck but found the answer. How would Robin feel afterwards? ,"['Well', 'Determined because she discovered the answer', 'Scared to do much']",1," Robin couldn't understand why she was experiencing such unfortunate events, but after some reflection, she discovered the reason.  How would Robin feel afterwards? ","['Well', 'Determined because she discovered the answer', 'Scared to do much']",1,1
38, Jordan's son was growing out of their shoes. Jordan took their son to the shoe store. How would Jordan's son feel as a result? ,"['Ready to go home', 'Upset and frustrated', 'Ready to find shoes']",2," Jordan noticed that their son's shoes were getting too small, so they took him to the shoe store to get a proper fit.  How would Jordan's son feel as a result? ","['Ready to go home', 'Upset and frustrated', 'Ready to find shoes']",2,2
39, ash was cut short even though everyone wanted to hear what ash had to say. What will happen to Others? ,"['Be happy', 'Enjoy the events', 'Protest the events']",2, Ash's statement was abruptly ended despite everyone's desire to hear his thoughts.  What will happen to Others? ,"['Be happy', 'Enjoy the events', 'Protest the events']",2,2
40, Jordan was talking to a group of friends. Jordan talked behind Ash's back to fit in. What will happen to Jordan? ,"['Lose a bet', 'Proud', 'Guilty']",2, Jordan was conversing with a group of pals and shared some gossip about Ash to gain their approval.  What will happen to Jordan? ,"['Lose a bet', 'Proud', 'Guilty']",2,2
41, jordan wanted to be nice to a girl so he took her to the shoe store. What does Jordan need to do before this? ,"['Buy the girl some shoes', 'Ask the girl on a date', 'Be kind']",2," Jordan wanted to make a good impression on the girl, so he suggested going to the shoe store together to find the perfect pair of shoes that would complement her outfit.  What does Jordan need to do before this? ","['Buy the girl some shoes', 'Ask the girl on a date', 'Be kind']",2,1
42, Aubrey understood Remy better and met his needs more efficiently as his nurse. How would Remy feel as a result? ,"['Anxious as a result', 'Hopeful as a result', 'Desperate as a result']",1, Aubrey had a great understanding of Remy's needs and was able to meet them with impressive efficiency as his nurse. 👏  How would Remy feel as a result? ,"['Anxious as a result', 'Hopeful as a result', 'Desperate as a result']",1,1
43, Aubrey kept the baby up at night to watch for a concussion. What will happen to Aubrey? ,"[""The baby fell asleep despite Aubrey's best effort"", 'Gets so sleepy but stays awake anyway', 'And the baby both fell asleep late in the night']",2," Aubrey made sure to monitor the baby's condition throughout the night, vigilant for any signs of a possible concussion.  What will happen to Aubrey? ","[""The baby fell asleep despite Aubrey's best effort"", 'Gets so sleepy but stays awake anyway', 'And the baby both fell asleep late in the night']",2,1
44, Robin shut Riley's eyes to the fact that he didn't want her to see the sex scene from the movie. How would Riley feel as a result of this? ,"['Scared of the scene', 'Like a baby', 'Protective of Riley']",1, Robin deliberately shielded Riley's eyes from the explicit content in the film to avoid any discomfort or awkwardness.  How would Riley feel as a result of this? ,"['Scared of the scene', 'Like a baby', 'Protective of Riley']",2,1
45, Quinn wrapped their arms around Jordan before pulling out the gift that they had been hiding. What does Quinn need to do before this? ,"['Pick out a gift for Jordan', 'Be caring', 'Hold the gift in plain sight']",1, Quinn warmly embraced Jordan and then discreetly presented them with a thoughtful gift that they had been keeping hidden.  What does Quinn need to do before this? ,"['Pick out a gift for Jordan', 'Be caring', 'Hold the gift in plain sight']",1,0
46, Bailey passed Jesse on his driving examination after he passed with flying colors. What does Bailey need to do before this? ,"['Test Jesse before this', 'Buy a car', 'Celebrate']",0," Bailey performed exceptionally well on his driving test, outdoing Jesse with flying colors.  What does Bailey need to do before this? ","['Test Jesse before this', 'Buy a car', 'Celebrate']",2,0
47, Austin was taking a test and found it difficult at first. How would you describe Austin? ,"['A student', 'Stupid', 'Overwhelmed']",2," Austin encountered some challenges while taking the test, but he persevered and eventually succeeded.  How would you describe Austin? ","['A student', 'Stupid', 'Overwhelmed']",0,2
48," Quinn was playing and froliking in the snow, making snow angels and snowballs. How would you describe Quinn? ","['A big fan of the band', 'Lighthearted and lonely', 'A big fan of the outdoors']",2," Quinn was having an absolute blast playing and romping in the snow, creating adorable snow angels and tossing snowballs with glee.  How would you describe Quinn? ","['A big fan of the band', 'Lighthearted and lonely', 'A big fan of the outdoors']",2,2
49, Tracy gave money to my friend who needed it but failed to by it back as they promised. What will happen to Tracy? ,"['Yell at them', 'Be disappointed in them', 'Lose trust in my friend']",1," Tracy lent money to my friend who was in need, but they failed to repay the loan as promised.  What will happen to Tracy? ","['Yell at them', 'Be disappointed in them', 'Lose trust in my friend']",1,2
50, Camerson was grading Bailey's research paper. Cameron felt satisfied with Bailey's work. How would you describe Cameron? ,"['Honest', 'A success as a teacher', 'Vengeful']",0, Camerson was pleased with Bailey's research paper; the content and structure were impressive.  How would you describe Cameron? ,"['Honest', 'A success as a teacher', 'Vengeful']",0,1
51," Skylar was pushed by the bully in the lunch line, so Skylar poured milk over their head. What will Skylar want to do next? ","['Run away', 'Wait for a reaction', 'Wanted to fight with the bully']",1," Skylar was upset when the bully pushed them in the lunch line, so they reacted by pouring milk over the other person's head. It was a spontaneous and emotional response.  What will Skylar want to do next? ","['Run away', 'Wait for a reaction', 'Wanted to fight with the bully']",1,0
52," Remy gave you Skylar account for netflix, so you wouldn't have to pay for your own account. How would you describe Remy? ","['Feeling bored', 'Feeling loved', 'Cheated']",1," Remy kindly offered you access to Skylar's Netflix account, eliminating the need for you to purchase your own membership.  How would you describe Remy? ","['Feeling bored', 'Feeling loved', 'Cheated']",1,2
53, Skylar was on the phone while at the national park. They lent little attention to the view. What will Skylar want to do next? ,"['Get Skylar off the phone', 'Sleep', 'Build']",0," Skylar was engrossed in their conversation on the phone while at the national park, barely paying attention to the stunning scenery around them.  What will Skylar want to do next? ","['Get Skylar off the phone', 'Sleep', 'Build']",2,0
54," Sydney works as a preschool teacher, and helped trace Robin's fingers. Why did Sydney do this? ","['Make popcorn', 'Teach her class the alphabet', 'Make artwork']",1," Sydney, a dedicated preschool teacher, helped trace Robin's hand prints.  Why did Sydney do this? ","['Make popcorn', 'Teach her class the alphabet', 'Make artwork']",2,2
55, Jan was pregnant and she gave birth to a beautiful baby daughter. How would you describe Jan? ,"['A mother', 'Exhausted', 'Ready to take a spin class']",0," Jan was thrilled to welcome her adorable baby girl into the world! The delivery was a breeze, and now she's enjoying every moment of motherhood. 😍👧  How would you describe Jan? ","['A mother', 'Exhausted', 'Ready to take a spin class']",0,0
56, Kendall was really into house plants and often pour water in to jars so the fluoride would evaporate out. What will Kendall want to do next? ,"['Watered a few of the plants', 'Gather jars', 'Watered a few of her pets']",0, Kendall had a thing for house plants and regularly watered them excessively to allow the fluoride to evaporate.  What will Kendall want to do next? ,"['Watered a few of the plants', 'Gather jars', 'Watered a few of her pets']",0,0
57," Knowing skylar would want to go too, Kendall took Skylar into account. Why did Kendall do this? ","['Kendall who has want to skylar', 'Get this over with', 'Help skylar']",0," As Kendall knew that Skylar would also want to join in, she considered her friend's preferences when planning the activity.  Why did Kendall do this? ","['Kendall who has want to skylar', 'Get this over with', 'Help skylar']",0,2
58, Aubrey was a police officer. She pulled Casey over for speeding in a construction zone. What will Casey want to do next? ,"['Keep construction workers safe', 'Speed off', 'Make an excuse']",0," Aubrey, a dedicated police officer, pulled over Casey for driving recklessly in a construction zone.  What will Casey want to do next? ","['Keep construction workers safe', 'Speed off', 'Make an excuse']",2,2
59, Riley granted Jan the highest title of the kingdom and celebrated with a feast. What will Jan want to do next? ,"['Celebrate all night with the kingdom', 'Proud', 'Indifferent']",1, Riley presented Jan with the esteemed highest title of the realm and hosted a grand feast in her honor. 🎉🍴  What will Jan want to do next? ,"['Celebrate all night with the kingdom', 'Proud', 'Indifferent']",1,0
60," After being kicked out of the house by his parents, Jordan needed a place to live. How would you describe Jordan? ","['Quite lazy', 'Sad', 'Extremely hardworking']",0," After being forced to leave his childhood home, Jordan found himself in search of a new place to live.  How would you describe Jordan? ","['Quite lazy', 'Sad', 'Extremely hardworking']",2,1
61, Remy gave birth to a baby girl on a Saturday afternoon. What does Remy need to do before this? ,"['Leave her husband', 'Did this to start a family', 'Go to the hospital']",2," On a recent Saturday afternoon, Remy welcomed a beautiful baby girl into the world.  What does Remy need to do before this? ","['Leave her husband', 'Did this to start a family', 'Go to the hospital']",2,2
62, Alex was no longer raising Sasha but she did give birth to Sasha. What will Alex want to do next? ,"['Build a relationship with Sasha', 'Ask to visit Sasha', 'Kidnap Sasha from home']",1," Alex is no longer responsible for raising Sasha, despite the fact that she brought her into the world.  What will Alex want to do next? ","['Build a relationship with Sasha', 'Ask to visit Sasha', 'Kidnap Sasha from home']",1,1
63, Jordan gave Robin advice about a job interview as Jordan already worked at the company and knew the questions that would be asked at teh interview stage. How would Robin feel afterwards? ,"['Disgusted', 'Be prepared', 'Supported']",2," Jordan offered Robin some valuable advice on how to ace the job interview, having previously worked at the company and knowing what questions to expect.  How would Robin feel afterwards? ","['Disgusted', 'Be prepared', 'Supported']",2,2
64, Cameron went out of her way to buy food for the homeless. How would Cameron feel afterwards? ,"['Mad', 'Upset', 'Happy']",2," Cameron made a special effort to purchase provisions for the less fortunate members of society, going out of her way to ensure that they have access to basic necessities like food.  How would Cameron feel afterwards? ","['Mad', 'Upset', 'Happy']",2,2
65, Sydney played Kendall's heart when she pretended to be interested in him at the party. What will happen to Kendall? ,"['Be angry at Sydney', 'Be excited', 'Date Sydney']",1," Sydney's behavior towards Kendall at the party was rather manipulative, as she pretended to be interested in him despite not actually feeling that way. 😕  What will happen to Kendall? ","['Be angry at Sydney', 'Be excited', 'Date Sydney']",0,0
66, Cameron's parents told them to do well at school or they would be grounded.  Cameron took their words seriously. What will happen to Cameron? ,"['Listen or face severe punishment', 'Study very hard', 'Have his assignments done by their classmates']",1," Cameron's parents encouraged them to excel in school by warning them of the consequences of not doing well, and Cameron heeded their advice.  What will happen to Cameron? ","['Listen or face severe punishment', 'Study very hard', 'Have his assignments done by their classmates']",1,1
67, Jan took me to NYC to celebrate my birthday before the baby was born. What will Others want to do after? ,"['Leave me in NYC', 'Wish me a happy birthday', 'Get a flight to NYC']",1," Jan and I went to New York City to celebrate my birthday before the baby was born. It was such a thoughtful gesture, and we had a wonderful time exploring the city together.  What will Others want to do after? ","['Leave me in NYC', 'Wish me a happy birthday', 'Get a flight to NYC']",1,1
68, It was a pretty sunny day outside. Quinn walked instead. What does Quinn need to do before this? ,"['Have fun', 'Notice the sun', 'Move their feet']",2," On a beautiful day like today, Quinn opted to walk instead of driving.  What does Quinn need to do before this? ","['Have fun', 'Notice the sun', 'Move their feet']",2,2
69, Kai was grounded after wrecking his mother's car so he handed back the keys. What will Kai want to do next? ,"['Wanted to stay out of trouble', 'Work hard at home', 'Rent out the car']",2," After wrecking his mother's car, Kai was grounded and had to return the keys.  What will Kai want to do next? ","['Wanted to stay out of trouble', 'Work hard at home', 'Rent out the car']",2,0
70, Jordan got his leg bitten off by a shark while he was surfing. Jordan made light of the handicap. Why did Jordan do this? ,"['Show that he only needed one leg', 'Needed to have a surf board', 'Not show others he was suffering']",1," Jordan had a terrifying encounter with a shark while surfing, resulting in him losing his leg. However, he remained unfazed and made light of the situation.  Why did Jordan do this? ","['Show that he only needed one leg', 'Needed to have a surf board', 'Not show others he was suffering']",2,2
71, Kendall knew that Skylar has a difficult work schedule and needed to accomodate that when planning the vacation. How would Skylar feel as a result? ,"['Grateful to Kendall', 'Excited about work', 'That they are looking forward to their vacation']",0," Kendall knew that Skylar's work hours were pretty restrictive, so she made sure to plan the vacation around Skylar's availability.  How would Skylar feel as a result? ","['Grateful to Kendall', 'Excited about work', 'That they are looking forward to their vacation']",0,0
72, But she didn't want to be on the team so walked off the court. Why did Aubrey do this? ,"['Wanted to spend more time at home', 'Wanted to win the championship', 'Being on the team was her big dream']",2," However, she didn't want to be part of the team, so she exited the court.  Why did Aubrey do this? ","['Wanted to spend more time at home', 'Wanted to win the championship', 'Being on the team was her big dream']",0,0
73, Carson was at a friend's house across town from where he lived playing video games. How would Carson feel afterwards? ,"['Sad that he will have to stop playing video games', 'Too dark outside', 'Ready to go for a short stroll back to his home']",2," Carson spent the evening at his friend's house, engrossed in playing video games and having a blast.  How would Carson feel afterwards? ","['Sad that he will have to stop playing video games', 'Too dark outside', 'Ready to go for a short stroll back to his home']",2,0
74, Kendall took their dog to the new dog park in the neighborhood. What will Kendall want to do next? ,"['Give it a bath', 'Walk their dog', 'Meet other dog owners']",2, Kendall brought their dog to the recently opened dog park in the neighborhood.  What will Kendall want to do next? ,"['Give it a bath', 'Walk their dog', 'Meet other dog owners']",2,2
75," Robin's brother was hungry, too, so Robin cut the sandwich in half. How would Robin feel afterwards? ","['Accommodating', 'Hungry', 'Friendly']",0," Since Robin's brother was also hungry, she divided the sandwich into two equal parts.  How would Robin feel afterwards? ","['Accommodating', 'Hungry', 'Friendly']",0,0
76, Addison regarded every girl as somebody who should be treated by their actions. How would Others feel as a result? ,"['Bored now', 'Loved now', 'Passive now']",1, Addison believed that each girl should be judged by her actions rather than her identity.  How would Others feel as a result? ,"['Bored now', 'Loved now', 'Passive now']",1,1
77, Remy challenged them to a game and then beat them so much. How would they feel as a result? ,"['Weak', 'Proud', 'Happy']",1," Remy gave them a run for their money, but ultimately emerged victorious in the game.  How would they feel as a result? ","['Weak', 'Proud', 'Happy']",2,0
78, Casey gave some money to Jesse so she could go to the movie. How would you describe Casey? ,"['Thankful', 'Greedy', 'Giving']",0, Casey provided Jesse with some financial support so she could go see a movie.  How would you describe Casey? ,"['Thankful', 'Greedy', 'Giving']",0,2
79, Lee gave birth to ten babies over a span of ten years. How would you describe Lee? ,"['Barren', 'Caring', 'Would love her children']",1," Lee had an incredibly prolific childbearing period, giving birth to ten babies over the span of ten years.  How would you describe Lee? ","['Barren', 'Caring', 'Would love her children']",1,2
80, Cameron wore some very heavy clothes even thought it was hot outside and he would sweat heavily outside. How would Others feel as a result? ,"['Thinks differently', 'Awkward', 'Hungry']",0," Cameron donned some very thick attire despite the scorching heat, which made him perspire profusely outside.  How would Others feel as a result? ","['Thinks differently', 'Awkward', 'Hungry']",0,1
81, Remy understood every mystery because she was a famous mystery writer. What will Others want to do after? ,"['Ask Remy more', ""Destroy Remy's books"", 'Be a mystery writer']",0," Remy had an incredible talent for unraveling mysteries, which was no wonder since she was a renowned mystery writer. Her keen observations and sharp mind allowed her to solve even the most complex cases with ease.  What will Others want to do after? ","['Ask Remy more', ""Destroy Remy's books"", 'Be a mystery writer']",0,0
82," Kendall persisted after being told no, and eventually had a positive effect on Lee. What will Lee want to do next? ","['Give into Kendall', ""Give a punch to Kendall's face"", 'Refuse to help Kendall']",0," Despite initial rejection, Kendall persevered and ultimately found success with Lee.  What will Lee want to do next? ","['Give into Kendall', ""Give a punch to Kendall's face"", 'Refuse to help Kendall']",0,0
83, Alex worshiped Jesus in their way even though everyone said it was the wrong way to do it. What will Alex want to do next? ,"['Ale who has worshiped jesus', 'Be discouraged by others', 'Not listen to others']",2," Alex had a distinct approach to worshiping Jesus, despite what others might have thought was the right or wrong way to do it.  What will Alex want to do next? ","['Ale who has worshiped jesus', 'Be discouraged by others', 'Not listen to others']",2,2
84, Cameron got a new video game and wanted to spend the night playing it. How would Cameron feel afterwards? ,"['Tired', 'Addicted to video games', 'A gamer']",1, Cameron was thrilled when he received a new video game as a gift and wanted to spend the evening enjoying it.  How would Cameron feel afterwards? ,"['Tired', 'Addicted to video games', 'A gamer']",1,2
85, Alex grew closer to their significant other after they vacationed together. How would Alex feel afterwards? ,"['In love', 'Happy', 'Back from vacation']",0," After their romantic getaway together, Alex felt a deeper connection with their significant other and enjoyed spending quality time with them.  How would Alex feel afterwards? ","['In love', 'Happy', 'Back from vacation']",0,0
86, Aubrey got gas at the station and got some snacks for the drive. Why did Aubrey do this? ,"['Find a gas station to stop at', 'Make a snack', 'Have fuel']",1, Aubrey filled up her tank and picked up some quick bites for the drive.  Why did Aubrey do this? ,"['Find a gas station to stop at', 'Make a snack', 'Have fuel']",1,2
87, Riley regarded Jesse with observant eyes then smiled after they ate the last cookie. How would you describe Riley? ,"['As talkative', 'As silly', 'Like a person who was thoughtful']",2," Riley watched Jesse intently, a smile eventually surfacing after they polished off the last cookie.  How would you describe Riley? ","['As talkative', 'As silly', 'Like a person who was thoughtful']",2,1
