Row ID,Category,Paraphrases,Orginal
157,(Middle-Aged Male),"Tracy showed incredible leadership and determination during the war, leading her army to victory and ultimately securing her spot on the throne. She's a true inspiration for all of us! 💪🏽👨‍💼",
158,(Senior Female),"Tracy was an unstoppable force during the war, fighting tirelessly until she achieved her goal and sat upon the throne. She's a true role model for young people today! 💪🏽👵🏻",
159,(Young Adult Male),"Tracy totally killed it in the war, dude! She was like a total badass, leading her army and fighting hard until she won the throne. Respect! 💪🏽👦🏻",
160,(Older Adult Female),"Tracy demonstrated remarkable courage and perseverance during the war, ultimately succeeding in her quest to become the ruler of the land. She's an inspiration to us all! 💪🏽👵🏻",
161,---------------,---------------,
162,(Young Adults),"Kendall chilled with his squad after putting in major hours at his 9-to-5. They binge-watched baseball games, sipping cold brews and vibing to the crack of the bat.",['Kendall watched baseball with his friends after working hard all week at his job.']
163,(Women),"Kendall unwound with his girlfriends after a long week at the office. They cozied up on the couch, munching snacks and cheering on their favorite teams during the baseball game marathon.",
164,(Men),Kendall relaxed with his bros after putting in a tough week of work. They bonded over beers and the thrill of the game as they watched baseball together.,
165,(Seniors),"Kendall spent quality time with his buddies, reminiscing about their own baseball days while watching the current crop of players. They savored every moment, sipping lemonade and enjoying the simple pleasures in life.",
166,(Multicultural),"Kendall and his friends from diverse backgrounds came together to enjoy a shared love of baseball. They swapped stories and laughter as they watched the game, celebrating their differences while finding common ground in their passion for sports.",
167,---------------,---------------,
168,"(Young Adult, Male)","Kai was feeling lazy and needed something to pass the time, so he started playing some card games.",['kai was bored and had nothing to do so he played card games.']
169,(Middle-Aged Woman),"Kai had a few spare minutes and wanted to do something fun, so he decided to play some card games.",
170,"(Retired Senior, Female)","Kai was looking for a low-key activity to keep his mind engaged, so he pulled out his deck of cards and started playing some games.",
171,(Teenage Girl),"Omg, Kai was so boooored, like, he had nothing better to do, so he played some card games, you know?",
172,"(Urban Male, Hip-Hop Fan)","Yo, Kai was chillin' at home, just kickin' it, and he needed somethin' to do, so he busted out his cards and started playin' some games.",
173,---------------,---------------,
174,(Young mother),"Robin quickly swapped Aubrey into some fresh duds, so they could both head out to the big show.","['Robin changed Aubrey into clean clothes, so they can both go to the big play.']"
175,(Retired grandfather),"Robin gave Aubrey a fancy makeover with some new garb, and now they're ready for the main event!",
176,(Hipster teenager),"Like, Robin totally revamped Aubrey's wardrobe, you know? Now they're looking fly for that big performance!",
177,(Corporate executive),"Robin ensured Aubrey was dressed in appropriate attire for the significant occasion, prioritizing a cohesive look for their joint outing.",
178,(Southern belle),"Oh my stars, Robin just darling-ized Aubrey in all-new duds, honey! They're fixin' to put on quite a show now!",
179,---------------,---------------,
180,(Young Adult Female),Kendall carefully wrapped a measuring string around my neck to ensure the perfect fit for my shirt collar.,['Kendall wrapped string around my neck to measure the collar of a shirt.']
181,(Middle-Aged Male),"Kendall expertly wrapped a measuring string around my neck to measure the collar of my shirt, making sure it fit just right.",
182,(Senior Female),"Kendall gently wrapped a measuring string around my neck to determine the size of my shirt collar, ensuring a comfortable and stylish fit.",
183,(Young Male of Color),"Kendall tightened a measuring string around my neck like a boss, making sure my shirt collar was on point.",
184,(Elderly Female),"Kendall delicately wrapped a measuring string around my neck to determine the size of my shirt collar, taking into account my age and preferences.",
185,---------------,---------------,
186,"(Young Adult, Female)","Aubrey handed over the item to Kai's BFF, who had been eyeing it for sure and was secretly hoping she'd get it instead.","[""Aubrey gave it to Kai's friend. Kai had thought for sure and hoped that she would get it instead.""]"
187,(Middle-Aged Male),"Aubrey passed the thing to Kai's buddy, who had been wondering if he'd get it and kinda hoped his pal would score it instead.",
188,"(Senior Citizen, Female)","Aubrey gave the object to Kai's chum, who had been speculating about receiving it and was quite hopeful that she'd be the one to get it instead.",
189,"(Young Child, Male)","Aubrey gave the thingy to Kai's friend, who wanted it so bad and hoped he would get it instead of his pal Kai.",
190,"(Multicultural, Non-binary)","Aubrey gifted the item to Kai's homie, who had been pondering their desirability for it and was keeping their fingers crossed that they would receive it instead of their pal Kai.",
191,---------------,---------------,
192,(Young Adult),Jan took us to NYC so we could finally experience the city for ourselves.,['jan took them to NYC so that they could experience the city for the first time.']
193,(Middle-Aged Mom),Jan took the kids and me to NYC so we could all experience the city for the first time together.,
194,(Retired Senior),Jan took us to NYC so we could relive some of our favorite memories from when we were younger.,
195,(Multiracial Teenager),Jan took us to NYC so we could check out the super dope sights and sounds for the first time.,
196,(Rural Grandma),Jan took the youngins' to NYC so they could see all the hustle and bustle of the big city for the first time.,
197,---------------,---------------,
198,"(Young Adult, Female)",Tracy had a total meltdown on the couch while binge-watching the history channel because they were so annoyed by all the inaccuracies.,['Tracy threw a fit on the couch while watching the history channel because they got a lot of details wrong.']
199,"(Middle-Aged Man, White Collar)",Tracy had a conniption fit on the couch while watching the history channel because they were appalled by all the factual errors.,
200,"(Retired Senior, African American)",Tracy got mighty upset on the couch while watchin' the history channel 'cause they found out they got a lotta things wrong.,
201,"(Young Mother, Hispanic)",Tracy had a total tantrum on the couch while watching the history channel because they were so frustrated with all the mistakes.,
202,"(Older Adult, Asian Immigrant)",Tracy experienced a great deal of displeasure on the couch while viewing the history channel due to the inaccurate information presented.,
203,---------------,---------------,
204,"(Young Adult, Male)",Carson was so mad at Lee that he took the risk of hurting him.,['carson hated lee and his family so he took the risk to injure lee.']
205,(Mature Female),Carson's anger towards Lee and his family led him to take a dangerous course of action.,
206,(Young African American Male),"Carson had beef with Lee, so he rolled the dice and tried to hurt him.",
207,(Middle-Aged Asian Mother),"Carson was consumed by his negative feelings towards Lee's family, driving him to act rashly and put himself at risk.",
208,(Elderly Caucasian Grandmother),"Oh my stars, Carson certainly had it in for Lee! He took quite the chance trying to hurt that young man.",
209,---------------,---------------,
210,"(Young Adult, Female)","Robin chilled outside for a bit longer, determined to close out the epic volleyball game she was totally crushing.",['Robin stayed outside and tried to finish the game of volleyball she was playing.']
211,(Middle-Aged Male),"Robin stuck around outside for a little while longer, trying her best to wrap up the volleyball match she was in the zone with.",
212,"(Senior Citizen, Female)","Robin lingered outside for a spell, attempting to complete the volleyball game she had started with such enthusiasm.",
213,"(Young Adult, Male)","Robin hung out outside for a bit, trying to finish the sick volleyball game she was dominating.",
214,"(Non-Native English Speaker, Female)","Robin remained outside for a short time more, attempting to complete the sports activity of volleyball she had begun with great excitement.",
215,---------------,---------------,
216,"(Young Adult, Female)",Carson totally freaked out and left Robin's crib after they had a major blowout fight.,"[""Carson returned to Robin's house after previously storming out during a huge fight.""]"
217,(Middle-Aged Male),Carson had a total meltdown and bailed on Robin's house following a heated argument.,
218,"(Senior Citizen, Female)","After a dreadful disagreement, Carson became enraged and departed Robin's domicile in haste.",
219,"(Young Adult, Male)","Carson ghosted Robin's crib after they got into a huge argument, like, seriously who does that?",
220,"(Asian American, Female)","Due to their differing viewpoints, Carson and Robin had an intense confrontation, resulting in Carson leaving the premises abruptly.",
221,---------------,---------------,
222,"(Young Adult, Female)","Robin couldn't figure out why she was having such a rough week, but then she stumbled upon the solution.","[""Robin didn't know why she was having bad luck but found the answer.""]"
223,(Middle-Aged Male),"Robin was baffled by her recent streak of misfortune, but eventually she discovered the root cause.",
224,"(Senior Citizen, Female)","Robin was perplexed by her run of bad luck, but after some reflection, she finally found the answer.",
225,"(Young Adult, Male)","Robin was struggling with a series of unfortunate events, but then she nailed the solution.",
226,"(Multicultural, Non-Binary)","Robin had been experiencing some seriously bad juju, but after some exploration, they found the source of the problem.",
227,---------------,---------------,
228,"(Young Adult, Male)","Jordan's kid was kicking it old school with their footwear, but they were quickly outgrowing their kicks. So, Jordan took their son to the shoe spot to cop some fresh gear.","[""Jordan's son was growing out of their shoes. Jordan took their son to the shoe store.""]"
229,(Middle-Aged Woman),"Jordan's son was rapidly outgrowing his shoes, so Jordan took him to the shoe store to find a more suitable size. As a mom, I know how important it is to keep our kids comfortable and stylish!",
230,(Teenage Girl),"OMG, Jordan's son was totally rocking those shoes, but they were way too small! So, Jordan took their son to the shoe store to upgrade his style game. I mean, who wants to wear crusty old shoes, am I right?",
231,(Retired Senior Citizen),"Jordan's grandson was outgrowing his footwear, so Jordan took him to the shoe store to get a proper fit. As an elderly person myself, I understand the importance of finding comfortable shoes that last.",
232,"(Racially Diverse, Urban Youth)","Yo, Jordan's son was bustin' out of his kicks, so Jordan took him to the shoe spot to cop some fresh gear. As a young person of color, I know how important it is to stay on top of your style game and be comfortable at the same time.",
233,---------------,---------------,
234,Young Adults (Age 18-24),<nostr>,['ash was cut short even though everyone wanted to hear what ash had to say.']
235,Middle-Aged Women (Age 35-49),<nostr>,
236,Older Men (Age 60+),<nostr>,
237,Urban Teenagers (Age 15-17),<nostr>,
238,Professional Women (Age 25-34),<nostr>,
239,---------------,---------------,
240,"(Young Adult, Female)",Jordan was chatting with her squad and threw shade at Ash to be part of the cool crew.,"[""Jordan was talking to a group of friends. Jordan talked behind Ash's back to fit in.""]"
241,(Middle-Aged Male),Jordan was jawing with his buddies and spoke negatively about Ash to gain their approval.,
242,"(Multiracial Teenager, Non-Binary)",Jordan was vibing with their peeps and talked smack about Ash to fit in with the group.,
243,"(Senior Citizen, Female)",Jordan was conversing with her ladies' circle and gossiped about Ash to gain acceptance.,
244,"(Young Child, Male)",Jordan was talking to his friends and said mean things about Ash to be popular.,
245,---------------,---------------,
246,(Young Adult Female),"Jordan was trying to impress the girl, so he took her to the shoe store to show off his style and hopefully win her over.",['jordan wanted to be nice to a girl so he took her to the shoe store.']
247,(Middle-Aged Male),"Jordan wanted to make a good impression on the girl, so he took her to the shoe store to see if they had any shoes that she might like.",
248,(Teenage Female),"OMG, Jordan was being so sweet to the girl! He took her to the shoe store because he knew she loved shoes and wanted to make her happy.",
249,(Senior Citizen Male),"Jordan thought it would be nice to take the girl to the shoe store because he knew she enjoyed shopping for new shoes, and he wanted to spend some quality time with her.",
250,(Young Adult Non-Binary),"Jordan, who identifies as non-binary, wanted to show their appreciation for the girl by taking them to the shoe store, hoping they could find a pair of shoes that made them feel confident and happy.",
251,---------------,---------------,
252,Young Adult Female,Aubrey totally got Remy and was like his ultimate nurse BFF! She knew exactly what he needed and made sure he got it. 💕,['Aubrey understood Remy better and met his needs more efficiently as his nurse.']
253,Older Male,Aubrey was a real trooper when it came to looking after Remy. She had a great handle on what he required and saw to it that he received top-notch care. 👨‍⚕️,
254,Middle-Aged Female,"Aubrey had a special way with Remy, and she was always on point when it came to fulfilling his needs. She was like a superhero nurse! 💪",
255,Millennial Male,Aubrey was the real MVP when it came to taking care of Remy. She knew his vibe and made sure he had everything he needed to stay happy and healthy. 😎,
256,Senior Female,Aubrey was a dear soul who took great care of Remy. She had a gentle touch and always made sure he felt comfortable and secure. 🐰,
257,---------------,---------------,
258,"(Male, 35-49)", Aubrey made sure the baby was awake throughout the night to monitor for any signs of a concussion.,['Aubrey kept the baby up at night to watch for a concussion.']
259,"(Female, 25-34)", Aubrey stayed up all night keeping a close eye on the baby to ensure they didn't suffer from a concussion.,
260,"(Asian, 45-64)", Aubrey carefully monitored the baby throughout the night to detect any potential symptoms of a concussion.,
261,"(Latino, 18-24)", Aubrey kept vigilante over the baby at night to check for any signs of a possible concussion.,
262,"(Middle Eastern, 50+)", Aubrey remained attentive and watchful throughout the night to guarantee the baby's safety from a potential concussion.,
263,---------------,---------------,
264,Young adult female,Robin totally blocked Riley from seeing the racy scene in the movie that she didn't want her to witness.,"[""Robin shut Riley's eyes to the fact that he didn't want her to see the sex scene from the movie.""]"
265,Older male,"Robin cleverly obscured the explicit content from Riley's view, sparing her delicate sensibilities.",
266,African American female,"Robin played it safe and covered Riley's eyes during the sexual scene, 'cause she knew that's what her homegirl wanted.",
267,Asian male teenager,"Robin cunningly concealed the graphic content from Riley to protect her innocence, as she was aware of her friend's aversion to explicit material.",
268,Latina grandmother,"Mija, Robin shut that scene off quick! She didn't want Riley to see all that messy stuff.",
269,---------------,---------------,
270,(Young Adult Female),Quinn gave Jordan a big hug before excitedly pulling out the special gift they had been keeping secret.,['Quinn wrapped their arms around Jordan before pulling out the gift that they had been hiding.']
271,(Middle-Aged Male),Quinn enveloped Jordan in a warm embrace before presenting the thoughtful gift they had been holding back.,
272,(Senior Female),Quinn lovingly wrapped their arms around Jordan and then revealed the surprise gift they had been keeping under wraps.,
