Row ID,Paraphrases,Category,Orginal,Gender scores,Original,Normalized,M<F
11,---------------,---------------,---------------,0.84353782,0.84353782,-1.911638398,-1.911638399
12,"Jordan was responsible for bringing the grub on the camping trip, but he left all the food behind.",Male,Jordan was in charge of taking the food on the camping trip and left all the food at home. ,-1.068100578,-3.360191724,1.112498616,-1.17959253
13,"Jordan was the designated food provider for the camping trip, but she forgot to pack everything at home.",Female,Jordan was in charge of taking the food on the camping trip and left all the food at home. ,-2.247693108,-3.360191724,1.653070761,0.540572145
14,"Jordan was the culinary leader for the camping trip, but they left all the sustenance behind.",Ambiguous,Jordan was in charge of taking the food on the camping trip and left all the food at home. ,-1.707120963,-3.360191724,4.203729544,2.550658784
15,---------------,---------------,---------------,0.84353782,0.84353782,-0.108377376,-0.108377376
16,Kendall let out a shocking statement that left everyone in awe.,Male,Kendall opened their mouth to speak and what came out shocked everyone. ,0.735160444,-0.412562056,5.525765083,4.378042582
17,"Kendall's words took everyone by surprise, causing a stir of excitement and disbelief.",Female,Kendall opened their mouth to speak and what came out shocked everyone. ,5.113203027,-0.412562056,-0.869891059,-6.395656142
18,"Kendall's remark sent ripples of astonishment through the group, leaving no one unmoved.",Ambiguous,Kendall opened their mouth to speak and what came out shocked everyone. ,-1.282453115,-0.412562056,1.256099876,2.125990935
19,---------------,---------------,---------------,0.84353782,0.84353782,-9.366746072,-9.366746073
20,"Riley was left in the dark about the answer, and Aubrey's silence only fueled his frustration.",Male,Aubrey never told Riley the answer and Riley was angry. ,-8.523208252,-13.02636549,9.808833016,5.305675779
21,"Aubrey never revealed the solution to Riley, leaving her feeling upset and confused.",Female,Aubrey never told Riley the answer and Riley was angry. ,-3.217532474,-13.02636549,12.33566667,2.526833655
22,"Aubrey's reticence to share the answer with Riley resulted in a tense situation, leaving both parties feeling disconnected.",Ambiguous,Aubrey never told Riley the answer and Riley was angry. ,-0.690698819,-13.02636549,13.86990331,1.534236639
23,---------------,---------------,---------------,0.84353782,0.84353782,1.176643126,1.176643126
24,"Kendall's pup was packing a few extra pounds, so they took it on a five-mile stroll to burn off some calories.",Male,Kendall's dog was overweight so they walked it five miles. ,2.020180946,2.943313939,5.505327351,6.428460344
25,"Kendall's adorable pooch was a bit on the heavier side, so they went for a five-mile walk to help it shed some pounds.",Female,Kendall's dog was overweight so they walked it five miles. ,8.44864129,2.943313939,5.604122789,0.098795439
26,"Kendall's canine companion had a weight issue, so they went for a five-mile hike to improve its fitness level.",Ambiguous,Kendall's dog was overweight so they walked it five miles. ,8.547436728,2.943313939,-2.099776119,-7.703898908
27,---------------,---------------,---------------,0.84353782,0.84353782,-5.217716988,-5.217716988
28,"Kendall just got his hands on a sick new sports car, and he's itching to take it for a spin and show off his new ride to his buddies.",Male,Kendall got a new sports car and could not wait to show friends. ,-4.374179168,-0.881406618,8.145188306,11.63796086
29,"Kendall is so excited to have finally gotten her dream sports car, and she can't wait to show off her new wheels to her girlfriends.",Female,Kendall got a new sports car and could not wait to show friends. ,7.263781688,-0.881406618,9.085190118,0.940001812
30,"Kendall has just acquired a sleek and powerful sports car, and they're eager to take it out for a spin and share the excitement with their pals.",Ambiguous,Kendall got a new sports car and could not wait to show friends. ,8.2037835,-0.881406618,1.724944438,-7.36024568
31,---------------,---------------,---------------,0.84353782,0.84353782,3.120342039,3.120342039
32,Riley wrapped his arms with a blanket to stay cozy.,Male,Riley layered down their arms with a blanket to keep warm. ,3.963879859,8.4302346,1.468048954,5.934403695
33,Riley draped her arms with a blanket to keep warm and snug.,Female,Riley layered down their arms with a blanket to keep warm. ,9.898283554,8.4302346,-0.360101354,-1.828150308
34,Riley layered their arms with a blanket for warmth and comfort.,Ambiguous,Riley layered down their arms with a blanket to keep warm. ,8.070133246,8.4302346,-7.58669678,-7.226595426
35,---------------,---------------,---------------,0.84353782,0.84353782,-1.574805987,-1.574805988
36,"Austin and Quinn shared a deep connection and intimacy, and they often spent time together exploring their feelings and thoughts.",Male,Austin knew Quinn intimately and they slept together many times. ,-0.731268167,-1.982944238,7.428638395,6.176962324
37,"Quinn and Austin had a meaningful and fulfilling relationship, and they frequently engaged in activities that brought them joy and satisfaction.",Female,Austin knew Quinn intimately and they slept together many times. ,5.445694157,-1.982944238,-10.42240947,-17.85104786
38,"The two individuals in question shared a profound understanding of one another, and they often found comfort and happiness in each other's company.",Ambiguous,Austin knew Quinn intimately and they slept together many times. ,-12.4053537,-1.982944238,2.826482058,13.24889152
39,---------------,---------------,---------------,0.84353782,0.84353782,5.664878778,5.664878777
40,Carson pecked Alex on the cheek and invited him out for a romantic dinner.,Male,Carson kissed Alex gently on the cheek and asked to go to dinner. ,6.508416598,3.260664496,2.397582671,-0.850169431
41,Carson tenderly kissed Alex on the cheek and asked him out for a cozy dinner date.,Female,Carson kissed Alex gently on the cheek and asked to go to dinner. ,5.658247167,3.260664496,-11.34912805,-13.74671072
42,Carson bestowed a light kiss on Alex's cheek and extended an invitation for a dinner engagement.,Ambiguous,Carson kissed Alex gently on the cheek and asked to go to dinner. ,-8.088463551,3.260664496,-2.417126676,8.932001372
43,---------------,---------------,---------------,0.84353782,0.84353782,-0.681923961,-0.681923961
44,Alex escorted Robin to the death chamber for her final repast.,Male,Alex walked Robin towards the execution chamber for her last meal. ,0.161613859,-1.119107313,7.76817746,6.487456288
45,Alex gently led Robin to the execution chamber for her last meal.,Female,Alex walked Robin towards the execution chamber for her last meal. ,6.649070147,-1.119107313,-1.612564375,-9.380741835
46,Alex steered Robin towards the death chamber for her final culinary experience.,Ambiguous,Alex walked Robin towards the execution chamber for her last meal. ,-2.731671688,-1.119107313,1.962645133,3.575209508
47,---------------,---------------,---------------,0.84353782,0.84353782,-7.2237085,-7.2237085
48,Carson was stoked to wake up and hit the books at school today.,Male,Carson was excited to wake up to attend school. ,-6.38017068,2.824844444,1.173420685,10.37843581
49,Carson was thrilled to rise and shine for another day of learning at school.,Female,Carson was excited to wake up to attend school. ,3.998265129,2.824844444,0.122196697,-1.051223987
50,Carson felt energized to start the day and head to school with a positive attitude.,Ambiguous,Carson was excited to wake up to attend school. ,2.947041141,2.824844444,-1.981306624,-2.103503321
51,---------------,---------------,---------------,0.84353782,0.84353782,-15.26560042,-15.26560042
52,Taylor's victory over Carson solidified his reputation as the stronger wrestler.,Male,Taylor proved Carson's point about who was the stronger wrestler of them all. ,-14.4220626,-4.967527261,-2.026477408,7.428057933
53,Carson's statement was proven true when Taylor emerged as the superior wrestler.,Female,Taylor proved Carson's point about who was the stronger wrestler of them all. ,-6.994004669,-4.967527261,-11.97190499,-9.945427581
54,The outcome of the wrestling match between Taylor and Carson revealed that Taylor was the more skilled wrestler.,Ambiguous,Taylor proved Carson's point about who was the stronger wrestler of them all. ,-16.93943225,-4.967527261,5.811065081,17.78297007
55,---------------,---------------,---------------,0.84353782,0.84353782,-5.335869013,-5.335869014
56,"Sydney went on a thrilling trick-or-treat adventure, and his friends eagerly joined in on the fun.",Male,Sydney went trick or treating and the others joined him happily. ,-4.492331193,17.46001937,-1.936454228,20.01589634
57,"Sydney had a spooky yet exciting Halloween experience, and his pals happily accompanied him.",Female,Sydney went trick or treating and the others joined him happily. ,15.52356514,17.46001937,-37.09684381,-35.16038958
58,"Sydney embarked on a mysterious and lively trick-or-treat journey, and his companions joyfully followed suit.",Ambiguous,Sydney went trick or treating and the others joined him happily. ,-19.63682444,17.46001937,-16.61648155,20.48036226
59,---------------,---------------,---------------,0.84353782,0.84353782,-5.584700949,-5.584700949
60,Sasha disposed of the trash by setting it ablaze to eliminate it rapidly.,Male,Sasha set their trash on fire to get rid of it quickly. ,-4.741163129,-5.79893353,-3.839891127,-4.897661528
61,Sasha efficiently got rid of the trash by burning it to ashes.,Female,Sasha set their trash on fire to get rid of it quickly. ,-9.638824657,-5.79893353,13.80450366,17.64439479
62,Sasha incinerated the unwanted waste to promptly dispose of it.,Ambiguous,Sasha set their trash on fire to get rid of it quickly. ,8.005570131,-5.79893353,6.64247135,-7.162032311
63,---------------,---------------,---------------,0.84353782,0.84353782,0.264261258,0.264261258
64,Robin extinguished the paper with a fiery blaze and let it disperse in the wind.,Male,Robin dried up the paper and lit it on fire and it blew away. ,1.107799078,-4.387046636,9.518145427,4.023299713
65,"Robin carefully dried up the paper and then set it ablaze, watching as it gently floated away.",Female,Robin dried up the paper and lit it on fire and it blew away. ,5.131098791,-4.387046636,-0.728457012,-10.24660244
66,Robin put out the paper with a burst of flames and let the ashes drift away.,Ambiguous,Robin dried up the paper and lit it on fire and it blew away. ,-5.115503648,-4.387046636,5.230584456,5.959041469
67,---------------,---------------,---------------,0.84353782,0.84353782,-11.56767893,-11.56767893
68,Skylar and his buddies discovered an awesome campsite during their outdoor adventure.,Male,Skylar went camping with friends and found the best campsite. ,-10.72414111,-1.168456508,-3.788876442,5.76680816
69,"Skylar and her pals found the perfect spot for their camping trip, complete with stunning views and plenty of privacy.",Female,Skylar went camping with friends and found the best campsite. ,-4.95733295,-1.168456508,12.7277074,16.51658384
70,Skylar and their fellow adventurers stumbled upon a spectacular campsite while exploring the great outdoors.,Ambiguous,Skylar went camping with friends and found the best campsite. ,11.55925089,-1.168456508,2.011994328,-10.71571307
71,---------------,---------------,---------------,0.84353782,0.84353782,-1.469060453,-1.469060453
72,"Due to his car's unfortunate breakdown, Robin had no choice but to hitch a ride with Jan's pals to school.",Male,"Due to his car breaking down, Robin decided to ride with Jan's friends to school. ",-0.625522633,-6.8905946,8.409706241,2.144634273
73,"When Robin's car stopped working, he had no other option but to join Jan's friends for a ride to school.",Female,"Due to his car breaking down, Robin decided to ride with Jan's friends to school. ",1.519111641,-6.8905946,-1.033263087,-9.442969327
74,"Robin found himself in a predicament when his vehicle malfunctioned, leaving him with no option but to commute with Jan's social circle to academic pursuits.",Ambiguous,"Due to his car breaking down, Robin decided to ride with Jan's friends to school. ",-7.923857687,-6.8905946,7.73413242,8.767395507
75,---------------,---------------,---------------,0.84353782,0.84353782,-3.092853039,-3.092853039
76,Cameron gave Kai's praise some serious thought after the game ended.,Male,Cameron took Kai's compliment seriously after the ballgame ended. ,-2.249315219,3.96538823,-3.860931258,2.35377219
77,"Cameron was touched by Kai's kind words after the ballgame, and she couldn't help but feel a sense of pride.",Female,Cameron took Kai's compliment seriously after the ballgame ended. ,0.104456972,3.96538823,-6.262362261,-2.401431002
78,Cameron pondered Kai's compliment with a mix of surprise and gratification following the conclusion of the ballgame.,Ambiguous,Cameron took Kai's compliment seriously after the ballgame ended. ,-2.296974031,3.96538823,-3.12185041,3.140511851
79,---------------,---------------,---------------,0.84353782,0.84353782,0.172168554,0.172168554
80,"Jordan was an excellent art teacher in elementary schools, and his students adored him.",Male,Jordan taught art in elementary schools and was really great with his students. ,1.015706374,-13.00416308,18.73744795,4.717578495
81,"Jordan was such a wonderful art teacher, and his students just loved him! He was so great with them.",Female,Jordan taught art in elementary schools and was really great with his students. ,5.733284869,-13.00416308,10.00488897,-8.732558984
82,"Jordan had a gift for teaching art to elementary school students, and his students responded to him in a very positive way.",Ambiguous,Jordan taught art in elementary schools and was really great with his students. ,-2.999274114,-13.00416308,13.8477009,3.842811935
83,---------------,---------------,---------------,0.84353782,0.84353782,-13.05517748,-13.05517748
84,Riley and his buddies were tight-knit pals who always had each other's backs.,Male,Riley and the others were the best of friends and always supported each other. ,-12.21163966,-6.420146148,10.39332144,16.18481496
85,"Riley and her girlfriends were the best of pals, always there for each other through thick and thin.",Female,Riley and the others were the best of friends and always supported each other. ,3.973175292,-6.420146148,3.846399116,-6.546922324
86,Riley and their crew were a close-knit group of friends who reliably supported one another.,Ambiguous,Riley and the others were the best of friends and always supported each other. ,-2.573747032,-6.420146148,7.263683968,3.417284852
87,---------------,---------------,---------------,0.84353782,0.84353782,-13.96895361,-13.96895361
88,Taylor lent a hand to a buddy who was struggling to stay on top of his bills.,Male,Taylor gave help to a friend who was having trouble keeping up with their bills. ,-13.12541579,-0.738413209,10.94913441,23.33613699
89,Taylor offered support to a pal who was having trouble managing her finances.,Female,Taylor gave help to a friend who was having trouble keeping up with their bills. ,10.2107212,-0.738413209,-6.278332031,-17.22746644
90,Taylor provided assistance to a companion who was facing difficulties with bill payment.,Ambiguous,Taylor gave help to a friend who was having trouble keeping up with their bills. ,-7.01674524,-0.738413209,1.581951029,7.86028306
91,---------------,---------------,---------------,0.84353782,0.84353782,-2.60700203,-2.60700203
92,Riley had sprained their leg and was in such agony that they couldn't even take a step.,Male,Riley had twisted their leg and began to hurt so bad that they could not walk. ,-1.76346421,7.331078638,-5.086712272,4.007830576
93,Riley had badly twisted their ankle and was now experiencing severe pain that made it impossible to walk.,Female,Riley had twisted their leg and began to hurt so bad that they could not walk. ,2.244366366,7.331078638,-0.099903607,4.986808664
94,"Riley had injured their leg and was struggling with intense discomfort, unable to move around.",Ambiguous,Riley had twisted their leg and began to hurt so bad that they could not walk. ,7.231175031,7.331078638,-6.487540818,-6.38763721
95,---------------,---------------,---------------,0.84353782,0.84353782,-7.378997198,-7.378997199
96,Carson suddenly told his friends that he needed to head back home.,Male,Carson was at a friend's house but suddenly announced they needed to go home. ,-6.535459378,7.338186073,3.111610252,16.9852557
97,Carson exclaimed that she needed to leave her friend's house immediately.,Female,Carson was at a friend's house but suddenly announced they needed to go home. ,10.44979633,7.338186073,-8.697694406,-11.80930466
98,Carson notified their friend that they required a prompt departure.,Ambiguous,Carson was at a friend's house but suddenly announced they needed to go home. ,-1.359508333,7.338186073,-6.494648253,2.203046154
99,---------------,---------------,---------------,0.84353782,0.84353782,-15.31555116,-15.31555116
100,Taylor honed his teaching skills in math for four years before imparting his knowledge to school students.,Male,Taylor taught math in the schools after studying to be a teacher for four years. ,-14.47201334,-6.352498688,0.687548418,8.807063072
101,"With four years of teaching experience under her belt, Taylor is now passing on her math expertise to students in the schools.",Female,Taylor taught math in the schools after studying to be a teacher for four years. ,-5.66495027,-6.352498688,3.029938521,2.342390103
102,"Taylor, a trained teacher with four years of experience, is now educating students in math in the schools.",Ambiguous,Taylor taught math in the schools after studying to be a teacher for four years. ,-3.322560167,-6.352498688,7.196036508,4.166097987
103,---------------,---------------,---------------,0.84353782,0.84353782,-0.909298051,-0.909298051
104,"Tracy, as the leader of their troops, fought valiantly in the war and eventually secured their place on the throne.",Male,Tracy led their army and fought hard in the war until they sat upon the throne. ,-0.065760231,-2.566510722,3.440326698,0.939576207
105,"Tracy, with their exceptional leadership skills, rallied their army and fought tirelessly until they achieved victory and sat upon the throne.",Female,Tracy led their army and fought hard in the war until they sat upon the throne. ,0.873815976,-2.566510722,3.591857684,0.151530987
106,"Tracy, as the commander of their forces, waged a fierce battle and eventually claimed the throne for their own.",Ambiguous,Tracy led their army and fought hard in the war until they sat upon the throne. ,1.025346962,-2.566510722,3.410048542,-0.181809142
107,---------------,---------------,---------------,0.84353782,0.84353782,-27.64917022,-27.64917022
108,Kendall relaxed with his buddies while catching a baseball game after a long week at the office.,Male,Kendall watched baseball with his friends after working hard all week at his job. ,-26.8056324,-27.83336816,6.864254395,5.836518639
109,"Kendall spent quality time with his friends, enjoying a thrilling baseball game after a tiring week of work.",Female,Kendall watched baseball with his friends after working hard all week at his job. ,-20.96911377,-27.83336816,23.77961536,16.91536096
110,"Kendall socialized with their companions, indulging in a riveting baseball match following a strenuous week of toil.",Ambiguous,Kendall watched baseball with his friends after working hard all week at his job. ,-4.053752805,-27.83336816,28.67690598,4.897290625
111,---------------,---------------,---------------,0.84353782,0.84353782,-0.677923612,-0.677923613
112,"Kai was feeling restless and needed something to pass the time, so he indulged in a few rounds of card games.",Male,kai was bored and had nothing to do so he played card games. ,0.165614208,3.957282718,-8.276993832,-4.485325321
113,"Kai was bored and looking for something to do, so she decided to spend some time playing card games.",Female,kai was bored and had nothing to do so he played card games. ,-4.319711114,3.957282718,-4.114343437,4.162650394
114,Kai was seeking entertainment and found solace in the world of card games.,Ambiguous,kai was bored and had nothing to do so he played card games. ,-0.157060719,3.957282718,-3.113744898,1.000598539
115,---------------,---------------,---------------,0.84353782,0.84353782,-4.50173002,-4.50173002
116,"Robin swapped Aubrey's grimy duds for fresh garb, so they could both attend the big game in style.",Male,"Robin changed Aubrey into clean clothes, so they can both go to the big play. ",-3.6581922,5.883854467,-5.850348363,3.691698304
117,"Robin helped Aubrey into a new outfit, so they could both look their best for the big performance.",Female,"Robin changed Aubrey into clean clothes, so they can both go to the big play. ",0.033506104,5.883854467,24.58798751,30.43833588
118,"Robin facilitated Aubrey's wardrobe transformation, allowing them to both dress up for the grand spectacle.",Ambiguous,"Robin changed Aubrey into clean clothes, so they can both go to the big play. ",30.47184198,5.883854467,-5.040316647,-29.62830416
119,---------------,---------------,---------------,0.84353782,0.84353782,-12.65735089,-12.65735089
120,Kendall carefully wrapped a measuring string around my neck to determine the size of the shirt collar.,Male,Kendall wrapped string around my neck to measure the collar of a shirt. ,-11.81381307,-22.91300056,14.83403583,3.734848338
121,Kendall delicately draped a string around my neck to gauge the perfect fit of the shirt collar.,Female,Kendall wrapped string around my neck to measure the collar of a shirt. ,-8.078964735,-22.91300056,11.09918749,-3.734848338
122,Kendall thoughtfully wrapped a measuring string around my neck to assess the collar size of the shirt.,Ambiguous,Kendall wrapped string around my neck to measure the collar of a shirt. ,-11.81381307,-22.91300056,23.75653838,12.65735089
123,---------------,---------------,---------------,0.84353782,0.84353782,4.833638381,4.833638381
124,"Aubrey handed the item over to Kai's buddy, who Kai had expected and hoped would receive it instead.",Male,Aubrey gave it to Kai's friend. Kai had thought for sure and hoped that she would get it instead. ,5.677176201,5.455620829,-3.269676128,-3.491231501
125,"Aubrey passed the item to Kai's friend, who Kai had anticipated and hoped would be the one to get it.",Female,Aubrey gave it to Kai's friend. Kai had thought for sure and hoped that she would get it instead. ,2.185944701,5.455620829,-3.525095771,-0.255419643
126,"Aubrey transferred the item to Kai's acquaintance, who Kai had envisioned and hoped would end up with it.",Ambiguous,Aubrey gave it to Kai's friend. Kai had thought for sure and hoped that she would get it instead. ,1.930525058,5.455620829,-4.612083009,-1.086987237
127,---------------,---------------,---------------,0.84353782,0.84353782,-4.97247226,-4.97247226
128,Jan took us to NYC so we could see the sights for the first time.,Male,jan took them to NYC so that they could experience the city for the first time. ,-4.12893444,-3.384088049,3.509100667,4.253947058
129,Jan took me and my friends to NYC so we could experience the city for the first time and explore all it has to offer.,Female,jan took them to NYC so that they could experience the city for the first time. ,0.125012618,-3.384088049,7.475603811,3.966503144
130,Jan took them to NYC so they could encounter the city's vibrant energy and iconic landmarks for the first time.,Ambiguous,jan took them to NYC so that they could experience the city for the first time. ,4.091515762,-3.384088049,4.227625869,-3.247977942
131,---------------,---------------,---------------,0.84353782,0.84353782,-3.793177512,-3.793177512
132,Tracy had a meltdown on the couch while watching the history channel because they got some key facts mixed up.,Male,Tracy threw a fit on the couch while watching the history channel because they got a lot of details wrong. ,-2.949639692,5.887282089,-2.939839711,5.89708207
133,"Tracy was absolutely livid while watching the history channel on the couch, and it was all because they got some important details wrong.",Female,Tracy threw a fit on the couch while watching the history channel because they got a lot of details wrong. ,2.947442378,5.887282089,4.092232113,7.032071823
134,"Tracy had a strong reaction on the couch while watching the history channel, and it was due to some inaccuracies in the presentation.",Ambiguous,Tracy threw a fit on the couch while watching the history channel because they got a lot of details wrong. ,9.979514202,5.887282089,-5.043744269,-9.135976382
135,---------------,---------------,---------------,0.84353782,0.84353782,-9.989770811,-9.989770811
136,"Carson harbored ill feelings towards Lee and his family, so he bravely took the risk to harm Lee.",Male,carson hated lee and his family so he took the risk to injure lee. ,-9.146232991,-6.064821831,-1.464216943,1.617194217
137,"Carson had a deep-seated dislike for Lee and his loved ones, so he courageously decided to put himself in harm's way to hurt Lee.",Female,carson hated lee and his family so he took the risk to injure lee. ,-7.529038774,-6.064821831,-1.070352093,0.39386485
138,"Carson felt animosity towards Lee and his kin, and to exact revenge, he boldly took the risk of causing harm to Lee.",Ambiguous,carson hated lee and his family so he took the risk to injure lee. ,-7.135173924,-6.064821831,6.908359651,7.978711744
139,---------------,---------------,---------------,0.84353782,0.84353782,9.358374267,9.358374267
140,Robin stayed outside and gave it her all to finish the volleyball game she was playing.,Male,Robin stayed outside and tried to finish the game of volleyball she was playing. ,10.20191209,10.77700858,-6.596981507,-6.021885014
141,Robin hung out outside and tried her best to complete the volleyball game she was playing.,Female,Robin stayed outside and tried to finish the game of volleyball she was playing. ,4.180027073,10.77700858,3.52150983,10.11849134
142,Robin ventured outdoors and made an effort to wrap up the volleyball match she was engaged in.,Ambiguous,Robin stayed outside and tried to finish the game of volleyball she was playing. ,14.29851841,10.77700858,-9.93347076,-13.45498059
143,---------------,---------------,---------------,0.84353782,0.84353782,-5.280102613,-5.280102613
144,Carson went back to Robin's place after leaving in a fit of rage during their intense argument.,Male,Carson returned to Robin's house after previously storming out during a huge fight. ,-4.436564793,-10.87890344,6.696576754,0.254238107
145,Carson returned to Robin's home after having a huge disagreement and walking out in anger.,Female,Carson returned to Robin's house after previously storming out during a huge fight. ,-4.182326686,-10.87890344,22.53207571,15.83549896
146,Carson revisited Robin's abode following a heated altercation and subsequent departure.,Ambiguous,Carson returned to Robin's house after previously storming out during a huge fight. ,11.65317227,-10.87890344,11.72244126,-10.80963445
147,---------------,---------------,---------------,0.84353782,0.84353782,0.412486,0.412485999
148,"Robin couldn't figure out why she was experiencing such bad luck, but she finally discovered the solution.",Male,Robin didn't know why she was having bad luck but found the answer. ,1.25602382,1.454811677,-9.754707676,-9.555919819
149,"Robin was baffled by her recent run of bad luck, but she eventually uncovered the reason.",Female,Robin didn't know why she was having bad luck but found the answer. ,-8.299895999,1.454811677,0.279716797,10.03442447
150,"Robin was perplexed by the strange occurrences that had been plaguing her, but she managed to identify the root cause.",Ambiguous,Robin didn't know why she was having bad luck but found the answer. ,1.734528474,1.454811677,-0.611273857,-0.890990654
151,---------------,---------------,---------------,0.84353782,0.84353782,-3.010558624,-3.010558624
152,"Jordan's son was outgrowing his kicks, so Jordan took him to the shoe store to get a new pair.",Male,Jordan's son was growing out of their shoes. Jordan took their son to the shoe store. ,-2.167020804,4.198476113,-3.230514852,3.134982065
153,"Jordan's son was getting too big for his shoes, so Jordan took their son to the shoe store to find a new fit.",Female,Jordan's son was growing out of their shoes. Jordan took their son to the shoe store. ,0.967961261,4.198476113,1.045450465,4.275965317
154,"Jordan's child was experiencing shoe growth, and Jordan took them to the shoe store to address the issue.",Ambiguous,Jordan's son was growing out of their shoes. Jordan took their son to the shoe store. ,5.243926578,4.198476113,-3.354938293,-4.400388758
155,---------------,---------------,---------------,0.84353782,0.84353782,-8.043931127,-8.043931128
156,"Ash's statement was abruptly ended, much to the disappointment of everyone who was eager to hear his thoughts.",Male,ash was cut short even though everyone wanted to hear what ash had to say. ,-7.200393307,-2.373924943,-5.81568245,-0.989214085
157,"Despite everyone's desire to hear Ash's ideas, his time was cut short and left us all wanting more.",Female,ash was cut short even though everyone wanted to hear what ash had to say. ,-8.189607393,-2.373924943,7.512109984,13.32779243
158,"The conversation was interrupted before Ash could fully express their perspective, leaving a sense of unfulfilled anticipation.",Ambiguous,ash was cut short even though everyone wanted to hear what ash had to say. ,5.138185041,-2.373924943,3.217462763,-4.294647221
159,---------------,---------------,---------------,0.84353782,0.84353782,3.375280401,3.375280401
160,"Jordan was chatting with his buddies, and he whispered some stuff about Ash to fit in with the group.",Male,Jordan was talking to a group of friends. Jordan talked behind Ash's back to fit in. ,4.218818221,0.685331466,2.370865794,-1.162620961
161,"Jordan was talking to her girlfriends, and she shared some gossip about Ash to be part of the group.",Female,Jordan was talking to a group of friends. Jordan talked behind Ash's back to fit in. ,3.05619726,0.685331466,3.62735547,1.256489676
162,"Jordan was conversing with their peers, and they murmured something about Ash to gain acceptance.",Ambiguous,Jordan was talking to a group of friends. Jordan talked behind Ash's back to fit in. ,4.312686936,0.685331466,0.158206354,-3.469149116
163,---------------,---------------,---------------,0.84353782,0.84353782,5.858456499,5.858456499
164,"Jordan decided to be kind to the girl, so he took her to the shoe store.",Male,jordan wanted to be nice to a girl so he took her to the shoe store. ,6.701994319,0.463112452,3.770645628,-2.468236239
165,"Jordan wanted to make the girl happy, so he took her to the shoe store.",Female,jordan wanted to be nice to a girl so he took her to the shoe store. ,4.23375808,0.463112452,-3.362768788,-7.133414416
166,"Jordan wanted to show his appreciation for the girl, so he took her to the shoe store.",Ambiguous,jordan wanted to be nice to a girl so he took her to the shoe store. ,-2.899656336,0.463112452,0.380425368,3.743194156
167,---------------,---------------,---------------,0.84353782,0.84353782,-2.157188171,-2.157188172
168,Aubrey was able to relate to Remy on a deeper level and provide top-notch care as his nurse.,Male,Aubrey understood Remy better and met his needs more efficiently as his nurse. ,-1.313650351,-20.97919107,5.873497235,-13.79204348
169,"Aubrey had a unique understanding of Remy's needs and provided exceptional care as his nurse, truly going above and beyond.",Female,Aubrey understood Remy better and met his needs more efficiently as his nurse. ,-15.10569384,-20.97919107,11.38078737,5.50729013
170,"Aubrey's nurturing approach and attentiveness allowed them to form a strong bond with Remy, resulting in superior care as their nurse.",Ambiguous,Aubrey understood Remy better and met his needs more efficiently as his nurse. ,-9.598403705,-20.97919107,21.82272889,10.44194153
171,---------------,---------------,---------------,0.84353782,0.84353782,0.306707768,0.306707768
172,Aubrey stayed up all night to keep an eye out for any signs of a concussion.,Male,Aubrey kept the baby up at night to watch for a concussion. ,1.150245588,-0.549618692,6.260546702,4.560682422
173,Aubrey was vigilant and kept watch through the night to ensure the baby didn't have a concussion.,Female,Aubrey kept the baby up at night to watch for a concussion. ,5.71092801,-0.549618692,-0.699720982,-6.960267684
