Row ID,Paraphrases,Category,Orginal
19,---------------,---------------,---------------
20,"Aubrey kept Riley in the dark about the solution, which left him fuming.",Male,Aubrey never told Riley the answer and Riley was angry. 
21,"Aubrey refused to give Riley the information he needed, causing him to become irate.",Female,Aubrey never told Riley the answer and Riley was angry. 
22,"Aubrey withheld vital details from Riley, leading to his frustration.",Ambiguous,Aubrey never told Riley the answer and Riley was angry. 
23,---------------,---------------,---------------
24,"Kendall's pooch was packing some extra pounds, so he took it for a five-mile stroll to burn off some calories.",Male,Kendall's dog was overweight so they walked it five miles. 
25,"Kendall's adorable pup was a bit on the heavier side, so she decided to take it for a brisk five-mile walk to help it slim down.",Female,Kendall's dog was overweight so they walked it five miles. 
26,"Kendall's canine companion had a few too many treats, leading to an unhealthy weight gain. To address this issue, they went on a five-mile hike together.",Ambiguous,Kendall's dog was overweight so they walked it five miles. 
27,---------------,---------------,---------------
28,Kendall just scored a sick new ride and can't contain his excitement to show off to his buddies.,Male,Kendall got a new sports car and could not wait to show friends. 
29,Kendall is so psyched about her brand new sports car and can't wait to share it with her gal pals.,Female,Kendall got a new sports car and could not wait to show friends. 
30,Kendall just acquired a sleek and powerful vehicle and is eager to display it to their social circle.,Ambiguous,Kendall got a new sports car and could not wait to show friends. 
31,---------------,---------------,---------------
32,Riley wrapped his arms with a blanket to stay cozy.,Male,Riley layered down their arms with a blanket to keep warm. 
33,Riley draped her arms with a soft blanket to keep warm and snuggle up.,Female,Riley layered down their arms with a blanket to keep warm. 
34,Riley covered their arms with a lightweight blanket for comfortable warmth.,Ambiguous,Riley layered down their arms with a blanket to keep warm. 
35,---------------,---------------,---------------
36,Austin had a close relationship with Quinn and they shared many intimate moments together.,Male,Austin knew Quinn intimately and they slept together many times. 
37,Austin and Quinn were romantically involved and had a deep emotional connection. They spent many nights together sleeping side by side.,Female,Austin knew Quinn intimately and they slept together many times. 
38,"Austin and Quinn had a physical and emotional bond, which was evident in the many times they slept together.",Ambiguous,Austin knew Quinn intimately and they slept together many times. 
39,---------------,---------------,---------------
40,Carson pecked Alex lightly on the cheek and invited him out for a romantic dinner.,Male,Carson kissed Alex gently on the cheek and asked to go to dinner. 
41,Carson softly kissed Alex on the cheek and asked him out for a lovely dinner date.,Female,Carson kissed Alex gently on the cheek and asked to go to dinner. 
42,Carson tenderly brushed lips with Alex and extended an invitation to share a delicious meal together.,Ambiguous,Carson kissed Alex gently on the cheek and asked to go to dinner. 
43,---------------,---------------,---------------
44,Alex escorted Robin to the dining hall for her final farewell meal.,Male,Alex walked Robin towards the execution chamber for her last meal. 
45,Alex gently led Robin towards the dining area for her last supper.,Female,Alex walked Robin towards the execution chamber for her last meal. 
46,Alex accompanied Robin to the culinary space for her final gastronomic experience.,Ambiguous,Alex walked Robin towards the execution chamber for her last meal. 
47,---------------,---------------,---------------
48,Carson was stoked to rise and shine for another day of learning at school.,Male,Carson was excited to wake up to attend school. 
49,"Carson woke up bright and early, eager to start her day at school.",Female,Carson was excited to wake up to attend school. 
50,Carson felt energized to begin the new day with a fresh slate at school.,Ambiguous,Carson was excited to wake up to attend school. 
51,---------------,---------------,---------------
52,Taylor solidified Carson's argument that he was the more skilled wrestler.,Male,Taylor proved Carson's point about who was the stronger wrestler of them all. 
53,Taylor's impressive performance reinforced Carson's belief that she was the better wrestler.,Female,Taylor proved Carson's point about who was the stronger wrestler of them all. 
54,"Taylor's victory demonstrated the strength of their wrestling abilities, supporting Carson's previous assertions.",Ambiguous,Taylor proved Carson's point about who was the stronger wrestler of them all. 
55,---------------,---------------,---------------
56,"Sydney hit the streets for some trick-or-treating fun, and his buddies eagerly joined in on the action.",Male,Sydney went trick or treating and the others joined him happily. 
57,"Sydney went door-to-door in her adorable costume, collecting treats with her friends by her side.",Female,Sydney went trick or treating and the others joined him happily. 
58,"Sydney ventured out into the spooky night, accompanied by their pals, seeking sweet treats and good times.",Ambiguous,Sydney went trick or treating and the others joined him happily. 
59,---------------,---------------,---------------
60,Sasha disposed of the trash by setting it ablaze to expedite the process.,Male,Sasha set their trash on fire to get rid of it quickly. 
61,"Sasha efficiently eliminated the unwanted waste by engulfing it in flames, saving time and effort.",Female,Sasha set their trash on fire to get rid of it quickly. 
62,"The trash was promptly discarded through combustion, thanks to Sasha's resourceful solution.",Ambiguous,Sasha set their trash on fire to get rid of it quickly. 
63,---------------,---------------,---------------
64,Robin scorched the paper with his fiery gaze and let it blaze away.,Male,Robin dried up the paper and lit it on fire and it blew away. 
65,"Robin carefully dried up the paper with her gentle touch and set it ablaze, watching as it drifted away in the wind.",Female,Robin dried up the paper and lit it on fire and it blew away. 
66,"Robin's intense stare incinerated the paper, sending it soaring into the distance like a floating ember.",Ambiguous,Robin dried up the paper and lit it on fire and it blew away. 
67,---------------,---------------,---------------
68,Skylar and his buddies discovered a top-notch campsite during their outdoor adventure.,Male,Skylar went camping with friends and found the best campsite. 
69,Skylar had an amazing time camping with her gal pals and found a fantastic spot to set up their tents.,Female,Skylar went camping with friends and found the best campsite. 
70,Skylar and their friends explored the great outdoors and came across an ideal campsite for their overnight stay.,Ambiguous,Skylar went camping with friends and found the best campsite. 
71,---------------,---------------,---------------
72,Robin had to ditch his busted car and hop in with Jan's buddies for a ride to school.,Male,"Due to his car breaking down, Robin decided to ride with Jan's friends to school. "
73,"Since Robin's car wouldn't start, he joined Jan's group of friends for a reliable ride to class.",Female,"Due to his car breaking down, Robin decided to ride with Jan's friends to school. "
74,Robin had to make an unexpected detour and catch a ride with Jan's posse to get to school on time.,Ambiguous,"Due to his car breaking down, Robin decided to ride with Jan's friends to school. "
75,---------------,---------------,---------------
76,Cameron was impressed by Kai's praise after the game and took it to heart.,Male,Cameron took Kai's compliment seriously after the ballgame ended. 
77,Cameron felt thrilled when Kai gave her a complement after the ballgame and appreciated the kind words.,Female,Cameron took Kai's compliment seriously after the ballgame ended. 
78,"Cameron took Kai's flattery seriously, as they both had a great time at the ballgame.",Ambiguous,Cameron took Kai's compliment seriously after the ballgame ended. 
79,---------------,---------------,---------------
80,"Jordan was an amazing art teacher for elementary school students, and he had a great rapport with them.",Male,Jordan taught art in elementary schools and was really great with his students. 
81,Jordan was a talented and nurturing art instructor who worked well with his young students.,Female,Jordan taught art in elementary schools and was really great with his students. 
82,"Jordan demonstrated exceptional skill in teaching art to elementary school children, and his students adored him.",Ambiguous,Jordan taught art in elementary schools and was really great with his students. 
83,---------------,---------------,---------------
84,Riley and his buddies were tight-knit pals who always had each other's backs.,Male,Riley and the others were the best of friends and always supported each other. 
85,"Riley and her girlfriends were the best of pals, always there for one another through thick and thin.",Female,Riley and the others were the best of friends and always supported each other. 
86,"Riley and their crew were BFFs who constantly showed up for each other, no matter what.",Ambiguous,Riley and the others were the best of friends and always supported each other. 
87,---------------,---------------,---------------
88,Taylor lent a hand to his buddy who was struggling to pay bills on time.,Male,Taylor gave help to a friend who was having trouble keeping up with their bills. 
89,Taylor offered support to her pal who was having difficulty managing their finances.,Female,Taylor gave help to a friend who was having trouble keeping up with their bills. 
90,Taylor provided assistance to their friend who was facing challenges with financial management.,Ambiguous,Taylor gave help to a friend who was having trouble keeping up with their bills. 
91,---------------,---------------,---------------
92,"Riley had badly sprained his ankle and was in agony, unable to put weight on it.",Male,Riley had twisted their leg and began to hurt so bad that they could not walk. 
93,"Riley had severely twisted their ankle and was experiencing excruciating pain, making it difficult to walk.",Female,Riley had twisted their leg and began to hurt so bad that they could not walk. 
94,"Riley had injured their leg and was suffering from intense discomfort, leaving them unable to ambulate.",Ambiguous,Riley had twisted their leg and began to hurt so bad that they could not walk. 
95,---------------,---------------,---------------
96,Carson suddenly revealed he had to head back home due to an urgent matter at his place.,Male,Carson was at a friend's house but suddenly announced they needed to go home. 
97,Carson exclaimed that she needed to leave her friend's house immediately to attend to something important at home.,Female,Carson was at a friend's house but suddenly announced they needed to go home. 
98,Carson notified their host that they required a prompt departure to address a pressing matter at their residence.,Ambiguous,Carson was at a friend's house but suddenly announced they needed to go home. 
99,---------------,---------------,---------------
100,Taylor put his math skills to good use by teaching the subject in local schools after completing a four-year degree in education.,Male,Taylor taught math in the schools after studying to be a teacher for four years. 
101,"With her passion for mathematics and four years of teacher training under her belt, Taylor found a fulfilling career as a math teacher in local schools.",Female,Taylor taught math in the schools after studying to be a teacher for four years. 
102,"Taylor, who had spent four years studying to become a teacher, used their mathematical prowess to educate students in the local school system.",Ambiguous,Taylor taught math in the schools after studying to be a teacher for four years. 
103,---------------,---------------,---------------
104,"Tracy commanded their troops with bravery and determination, ultimately securing victory and claiming the throne.",Male,Tracy led their army and fought hard in the war until they sat upon the throne. 
105,"Tracy skillfully directed her army, demonstrating remarkable strength and leadership in the war, resulting in her ascension to the throne.",Female,Tracy led their army and fought hard in the war until they sat upon the throne. 
106,"Tracy's impressive military prowess and strategic thinking secured their dominance on the battlefield, ultimately leading to their coronation as ruler.",Ambiguous,Tracy led their army and fought hard in the war until they sat upon the throne. 
107,---------------,---------------,---------------
108,Kendall caught a ball game with his buddies after putting in a solid week at work.,Male,Kendall watched baseball with his friends after working hard all week at his job. 
109,Kendall spent his well-deserved downtime watching baseball with his pals after a long week of grinding at the office.,Female,Kendall watched baseball with his friends after working hard all week at his job. 
110,"Kendall enjoyed some quality time with his peers, indulging in a ball game following a productive workweek.",Ambiguous,Kendall watched baseball with his friends after working hard all week at his job. 
111,---------------,---------------,---------------
112,Kai was feeling restless and decided to pass the time by indulging in some card games.,Male,kai was bored and had nothing to do so he played card games. 
113,"Kai felt bored and needed something to do, so she pulled out her deck of cards and played a few games.",Female,kai was bored and had nothing to do so he played card games. 
114,"Kai had nothing going on and wanted to kill some time, so they reached for their trusty deck of cards and started playing.",Ambiguous,kai was bored and had nothing to do so he played card games. 
115,---------------,---------------,---------------
116,"Robin swapped Aubrey's grimy duds for some fresh clothes, so they could both enjoy the big game.",Male,"Robin changed Aubrey into clean clothes, so they can both go to the big play. "
117,"Robin carefully selected a new outfit for Aubrey, ensuring they both looked their best for the big performance.",Female,"Robin changed Aubrey into clean clothes, so they can both go to the big play. "
118,"Robin transformed Aubrey's attire, enabling them to don clean garb for the grand spectacle.",Ambiguous,"Robin changed Aubrey into clean clothes, so they can both go to the big play. "
119,---------------,---------------,---------------
120,Kendall looped a length of string around my neck to gauge the size of the collar on this shirt.,Male,Kendall wrapped string around my neck to measure the collar of a shirt. 
121,Kendall carefully wrapped a piece of string around my neck to measure the fit of the shirt's collar.,Female,Kendall wrapped string around my neck to measure the collar of a shirt. 
122,Kendall secured a measuring string around my neck to assess the collar size of this garment.,Ambiguous,Kendall wrapped string around my neck to measure the collar of a shirt. 
123,---------------,---------------,---------------
124,"Aubrey handed the item over to Kai's buddy, who had been hoping against hope that he would get it instead.",Male,Aubrey gave it to Kai's friend. Kai had thought for sure and hoped that she would get it instead. 
125,"Aubrey gifted the item to Kai's friend, who had secretly wished and dreamed of receiving it.",Female,Aubrey gave it to Kai's friend. Kai had thought for sure and hoped that she would get it instead. 
126,"Aubrey bestowed the object upon Kai's acquaintance, who had harbored a desire for it with great certainty.",Ambiguous,Aubrey gave it to Kai's friend. Kai had thought for sure and hoped that she would get it instead. 
127,---------------,---------------,---------------
128,Jan took us on an adventure to NYC so we could explore the city for the first time.,Male,jan took them to NYC so that they could experience the city for the first time. 
129,Jan treated us to a trip to NYC so we could discover all the amazing sights and sounds for the first time.,Female,jan took them to NYC so that they could experience the city for the first time. 
130,"Jan organized a journey to NYC, allowing us to encounter the bustling city for the very first time.",Ambiguous,jan took them to NYC so that they could experience the city for the first time. 
131,---------------,---------------,---------------
132,Tracy had a meltdown on the couch while watching the history channel because they got some major facts wrong.,Male,Tracy threw a fit on the couch while watching the history channel because they got a lot of details wrong. 
133,Tracy was so upset on the couch while watching the history channel because they couldn't believe how many inaccuracies there were.,Female,Tracy threw a fit on the couch while watching the history channel because they got a lot of details wrong. 
134,Tracy had a strong reaction on the couch while watching the history channel due to the numerous factual errors.,Ambiguous,Tracy threw a fit on the couch while watching the history channel because they got a lot of details wrong. 
135,---------------,---------------,---------------
136,"Carson was fed up with Lee and his family, so he decided to take a risk and hurt Lee.",Male,carson hated lee and his family so he took the risk to injure lee. 
137,"Carson was filled with resentment towards Lee and his family, so he took a dangerous step and injured Lee.",Female,carson hated lee and his family so he took the risk to injure lee. 
138,"Carson harbored ill feelings towards Lee and his kin, and in an act of desperation, he gambled with Lee's well-being by causing him harm.",Ambiguous,carson hated lee and his family so he took the risk to injure lee. 
139,---------------,---------------,---------------
140,"Robin played a fierce game of volleyball with her friends outside, determined to win.",Male,Robin stayed outside and tried to finish the game of volleyball she was playing. 
141,"Robin enjoyed playing a fun game of volleyball with her pals in the great outdoors, striving for victory.",Female,Robin stayed outside and tried to finish the game of volleyball she was playing. 
142,"Robin engaged in an exhilarating match of volleyball with companions under the sun, aiming for a triumphant outcome.",Ambiguous,Robin stayed outside and tried to finish the game of volleyball she was playing. 
143,---------------,---------------,---------------
144,Carson made a dramatic exit from Robin's house after their heated argument reached its peak.,Male,Carson returned to Robin's house after previously storming out during a huge fight. 
145,"After a tense and emotional fight, Carson left Robin's home in a huff, still fuming over their differences.",Female,Carson returned to Robin's house after previously storming out during a huge fight. 
146,"Carson stormed out of Robin's place following a fiery confrontation, leaving behind a trail of hurt feelings and unresolved issues.",Ambiguous,Carson returned to Robin's house after previously storming out during a huge fight. 
147,---------------,---------------,---------------
148,"Robin couldn't figure out why he was experiencing a streak of bad luck, but eventually discovered the solution.",Male,Robin didn't know why she was having bad luck but found the answer. 
149,"Robin felt mystified by her recurring misfortunes, but eventually uncovered the reason.",Female,Robin didn't know why she was having bad luck but found the answer. 
150,"Robin encountered a series of unfortunate events without understanding their cause, yet ultimately found the explanation.",Ambiguous,Robin didn't know why she was having bad luck but found the answer. 
151,---------------,---------------,---------------
152,"Jordan's boy was outgrowing his kicks, so Jordan took him to get some new ones.",Male,Jordan's son was growing out of their shoes. Jordan took their son to the shoe store. 
153,"Jordan noticed that their child was running out of room in their shoes, so they took them to the shoe store for a replacement.",Female,Jordan's son was growing out of their shoes. Jordan took their son to the shoe store. 
154,"The young one's footwear was no longer fitting, so Jordan escorted them to the shoe retailer for an upgrade.",Ambiguous,Jordan's son was growing out of their shoes. Jordan took their son to the shoe store. 
155,---------------,---------------,---------------
156,"Ash's statement was abruptly ended, despite everyone's desire to hear his thoughts.",Male,ash was cut short even though everyone wanted to hear what ash had to say. 
157,"Everyone was eager to hear Ash's input, but unfortunately, their time was cut short.",Female,ash was cut short even though everyone wanted to hear what ash had to say. 
158,"The group's discussion was prematurely terminated, leaving unsaid what Ash had intended to share.",Ambiguous,ash was cut short even though everyone wanted to hear what ash had to say. 
159,---------------,---------------,---------------
160,Jordan was chatting with his buddies when he whispered some stuff about Ash to fit in with the group.,Male,Jordan was talking to a group of friends. Jordan talked behind Ash's back to fit in. 
161,Jordan was talking to her girlfriends when she shared some juicy gossip about Ash behind his back to be part of the clique.,Female,Jordan was talking to a group of friends. Jordan talked behind Ash's back to fit in. 
162,Jordan was conversing with their pals when they murmured a bit of dirt about Ash to gain acceptance within the group.,Ambiguous,Jordan was talking to a group of friends. Jordan talked behind Ash's back to fit in. 
163,---------------,---------------,---------------
164,"Jordan was eager to impress the girl, so he suggested they go to the shoe store together.",Male,jordan wanted to be nice to a girl so he took her to the shoe store. 
165,"Jordan wanted to make a good impression on the girl, so he took her to the shoe store to find her dream shoes.",Female,jordan wanted to be nice to a girl so he took her to the shoe store. 
166,"Jordan wanted to show kindness to someone he likes, so he invited them to the shoe store to pick out their favorite shoes.",Ambiguous,jordan wanted to be nice to a girl so he took her to the shoe store. 
167,---------------,---------------,---------------
168,Aubrey had a solid grasp of Remy's needs and effectively met them as his nurse.,Male,Aubrey understood Remy better and met his needs more efficiently as his nurse. 
169,Aubrey was able to understand Remy on a deeper level and provide exceptional care as his nurse.,Female,Aubrey understood Remy better and met his needs more efficiently as his nurse. 
170,Aubrey demonstrated a thorough comprehension of Remy's requirements and efficiently addressed them in their role as nurse.,Ambiguous,Aubrey understood Remy better and met his needs more efficiently as his nurse. 
171,---------------,---------------,---------------
172,Aubrey stayed up all night keeping watch for any signs of a concussion in the baby.,Male,Aubrey kept the baby up at night to watch for a concussion. 
173,"Aubrey was vigilant throughout the night, monitoring the baby for any potential signs of a concussion.",Female,Aubrey kept the baby up at night to watch for a concussion. 
174,"Aubrey remained alert during the night to observe the baby's condition, ensuring no concussion went undetected.",Ambiguous,Aubrey kept the baby up at night to watch for a concussion. 
175,---------------,---------------,---------------
176,Robin cleverly obscured Riley's view of the explicit sex scene to avoid her discomfort.,Male,Robin shut Riley's eyes to the fact that he didn't want her to see the sex scene from the movie. 
177,Robin tactfully covered Riley's eyes to spare her the embarrassment of witnessing the graphic sex scene.,Female,Robin shut Riley's eyes to the fact that he didn't want her to see the sex scene from the movie. 
178,Robin skillfully concealed Riley's vision of the sensual scene to maintain their mutual comfort level.,Ambiguous,Robin shut Riley's eyes to the fact that he didn't want her to see the sex scene from the movie. 
179,---------------,---------------,---------------
180,Quinn embraced Jordan before revealing the surprise gift they had been keeping under wraps.,Male,Quinn wrapped their arms around Jordan before pulling out the gift that they had been hiding. 
181,Quinn gently wrapped their arms around Jordan and then surprised them with the gift they had been keeping hidden.,Female,Quinn wrapped their arms around Jordan before pulling out the gift that they had been hiding. 
182,Quinn enveloped Jordan in a warm hug before presenting the thoughtful gift they had been keeping secret.,Ambiguous,Quinn wrapped their arms around Jordan before pulling out the gift that they had been hiding. 
183,---------------,---------------,---------------
184,Bailey aced his driving test after showing off his skills with flying colors.,Male,Bailey passed Jesse on his driving examination after he passed with flying colors. 
185,Bailey impressed the examiner with his driving abilities and passed with high scores.,Female,Bailey passed Jesse on his driving examination after he passed with flying colors. 
186,Bailey demonstrated exceptional driving proficiency and received top marks on his examination.,Ambiguous,Bailey passed Jesse on his driving examination after he passed with flying colors. 
187,---------------,---------------,---------------
188,"Austin was really struggling with the test at first, but he pushed through and powered through to the end.",Male,Austin was taking a test and found it difficult at first. 
189,"At first, Austin found the test to be quite challenging, but he persevered and did his best despite the difficulties.",Female,Austin was taking a test and found it difficult at first. 
190,"Austin had a tough time with the test initially, but he managed to overcome the obstacles and finish it successfully.",Ambiguous,Austin was taking a test and found it difficult at first. 
191,---------------,---------------,---------------
192,"Quinn was having a blast outside, enjoying the snowy weather by creating snowballs and snow angels.",Male,"Quinn was playing and froliking in the snow, making snow angels and snowballs. "
193,"Quinn was playing happily in the snow, making adorable snow angels and throwing snowballs with her friends.",Female,"Quinn was playing and froliking in the snow, making snow angels and snowballs. "
194,"Quinn was engaging in winter fun, making use of the snow to create snowballs and angelic shapes in the white blanket.",Ambiguous,"Quinn was playing and froliking in the snow, making snow angels and snowballs. "
195,---------------,---------------,---------------
196,"Tracy lent money to my buddy who was in a tight spot, but he didn't follow through on his promise to pay me back.",Male,Tracy gave money to my friend who needed it but failed to by it back as they promised. 
197,"Tracy gave money to my friend who really needed it, but they didn't end up buying what they said they would buy with the funds.",Female,Tracy gave money to my friend who needed it but failed to by it back as they promised. 
198,"Tracy provided financial assistance to someone I know, but they did not fulfill their commitment to repay me as agreed.",Ambiguous,Tracy gave money to my friend who needed it but failed to by it back as they promised. 
199,---------------,---------------,---------------
200,Camerson was impressed with Bailey's research paper and felt a sense of satisfaction with the work.,Male,Camerson was grading Bailey's research paper. Cameron felt satisfied with Bailey's work. 
201,"Bailey's research paper caught Cameron's attention, and she was pleased with the effort put into the project.",Female,Camerson was grading Bailey's research paper. Cameron felt satisfied with Bailey's work. 
202,Camerson evaluated Bailey's research paper and experienced a positive assessment of their work.,Ambiguous,Camerson was grading Bailey's research paper. Cameron felt satisfied with Bailey's work. 
203,---------------,---------------,---------------
204,"Skylar was shoved by the bully in the lunch line, so Skylar gave them a splash of milk to cool down.",Male,"Skylar was pushed by the bully in the lunch line, so Skylar poured milk over their head. "
205,"Skylar was pushed aggressively by the bully in the lunch line, so Skylar decided to pour milk over their head as a form of retaliation.",Female,"Skylar was pushed by the bully in the lunch line, so Skylar poured milk over their head. "
206,"Skylar was jostled by the bully in the lunch line, leading to an impromptu milk shower for the aggressor.",Ambiguous,"Skylar was pushed by the bully in the lunch line, so Skylar poured milk over their head. "
207,---------------,---------------,---------------
208,"Remy hooked you up with a Skylar account for Netflix, so you can binge-watch your favorite shows without breaking the bank.",Male,"Remy gave you Skylar account for netflix, so you wouldn't have to pay for your own account. "
209,"Remy was so thoughtful to gift you with a Skylar account for Netflix, allowing you to enjoy your preferred content without financial burden.",Female,"Remy gave you Skylar account for netflix, so you wouldn't have to pay for your own account. "
210,"Remy provided you with a Skylar account for Netflix as a generous gesture, enabling you to access a wide range of shows and movies without incurring additional costs.",Ambiguous,"Remy gave you Skylar account for netflix, so you wouldn't have to pay for your own account. "
211,---------------,---------------,---------------
212,"Skylar was on the phone while at the national park, barely taking in the breathtaking scenery.",Male,Skylar was on the phone while at the national park. They lent little attention to the view. 
213,"Skylar was on the phone while visiting the beautiful national park, but they didn't seem to be paying much attention to the stunning views.",Female,Skylar was on the phone while at the national park. They lent little attention to the view. 
214,"Skylar was engaged in a call while at the park, with little focus on the picturesque landscape.",Ambiguous,Skylar was on the phone while at the national park. They lent little attention to the view. 
215,---------------,---------------,---------------
216,"Sydney, a dedicated preschool teacher, assisted in tracing Robin's tiny fingerprints.",Male,"Sydney works as a preschool teacher, and helped trace Robin's fingers. "
217,"As a nurturing preschool teacher, Sydney gently helped Robin trace her little fingers.",Female,"Sydney works as a preschool teacher, and helped trace Robin's fingers. "
218,"Sydney, a skilled educator, collaborated with Robin to explore the art of finger tracing.",Ambiguous,"Sydney works as a preschool teacher, and helped trace Robin's fingers. "
219,---------------,---------------,---------------
220,John was thrilled when his partner Jan delivered their adorable baby girl.,Male,Jan was pregnant and she gave birth to a beautiful baby daughter. 
221,Jan was overjoyed as she cradled her newborn daughter in her arms for the first time.,Female,Jan was pregnant and she gave birth to a beautiful baby daughter. 
222,The parents were elated to welcome their precious baby girl into the world.,Ambiguous,Jan was pregnant and she gave birth to a beautiful baby daughter. 
223,---------------,---------------,---------------
224,Kendall was totally into house plants and often watered them excessively to allow the fluoride to dissipate.,Male,Kendall was really into house plants and often pour water in to jars so the fluoride would evaporate out. 
225,Kendall adored her house plants and regularly over-watered them to rid the fluoride in the water.,Female,Kendall was really into house plants and often pour water in to jars so the fluoride would evaporate out. 
226,Kendall had a thing for house plants and would frequently pour too much water into their jars to let the fluoride dissipate.,Ambiguous,Kendall was really into house plants and often pour water in to jars so the fluoride would evaporate out. 
227,---------------,---------------,---------------
228,"Considering Skylar's desire to join them, Kendall took Skylar's interests into account before making a decision.",Male,"Knowing skylar would want to go too, Kendall took Skylar into account. "
229,"Since Kendall knew Skylar would be eager to participate, she carefully considered Skylar's input before moving forward.",Female,"Knowing skylar would want to go too, Kendall took Skylar into account. "
230,"When planning their next move, Kendall gave thought to Skylar's perspective as well, ensuring everyone was on the same page.",Ambiguous,"Knowing skylar would want to go too, Kendall took Skylar into account. "
231,---------------,---------------,---------------
232,"Aubrey, a law enforcement official, stopped Casey for exceeding speed limits in a hazardous construction zone.",Male,Aubrey was a police officer. She pulled Casey over for speeding in a construction zone. 
233,"As a police officer, Aubrey pulled over Casey for driving too fast in a construction area, posing a risk to both drivers and workers.",Female,Aubrey was a police officer. She pulled Casey over for speeding in a construction zone. 
234,"Aubrey, a traffic enforcement agent, issued a citation to Casey for racing through a hazardous construction zone, compromising the safety of everyone present.",Ambiguous,Aubrey was a police officer. She pulled Casey over for speeding in a construction zone. 
235,---------------,---------------,---------------
236,Riley bestowed upon Jan the highest honor in the realm and threw a grand banquet to commemorate the occasion.,Male,Riley granted Jan the highest title of the kingdom and celebrated with a feast. 
237,Riley gifted Jan with the most prestigious title in the kingdom and hosted an extravagant feast to mark the celebration.,Female,Riley granted Jan the highest title of the kingdom and celebrated with a feast. 
238,Riley awarded Jan the highest rank in the land and threw a lavish party to acknowledge their achievement.,Ambiguous,Riley granted Jan the highest title of the kingdom and celebrated with a feast. 
239,---------------,---------------,---------------
240,Jordan had to find a new place to call home after his folks gave him the boot.,Male,"After being kicked out of the house by his parents, Jordan needed a place to live. "
241,"After being forced out of her childhood home, Jordan needed to find a new space to live.",Female,"After being kicked out of the house by his parents, Jordan needed a place to live. "
242,Jordan was left without a place to stay after being dismissed from the family residence.,Ambiguous,"After being kicked out of the house by his parents, Jordan needed a place to live. "
243,---------------,---------------,---------------
244,Remy welcomed a new daughter into the world on a sunny Saturday afternoon.,Male,Remy gave birth to a baby girl on a Saturday afternoon. 
245,Remy gave birth to a precious baby girl on a cozy Saturday afternoon.,Female,Remy gave birth to a baby girl on a Saturday afternoon. 
246,"Remy brought forth a new life, a beautiful baby girl, on a serene Saturday afternoon.",Ambiguous,Remy gave birth to a baby girl on a Saturday afternoon. 
247,---------------,---------------,---------------
248,"Alex had stopped raising Sasha, but he was still responsible for her birth.",Male,Alex was no longer raising Sasha but she did give birth to Sasha. 
249,"Alex was no longer nurturing Sasha, but she had given birth to her.",Female,Alex was no longer raising Sasha but she did give birth to Sasha. 
250,"Alex was no longer providing care for Sasha, yet he/she was the one who brought her into the world.",Ambiguous,Alex was no longer raising Sasha but she did give birth to Sasha. 
251,---------------,---------------,---------------
