,Row ID,Paraphrases,Category,Orginal,value
76,76,Cameron was impressed by Kai's praise after the game and took it to heart.,Male,Cameron took Kai's compliment seriously after the ballgame ended. ,26.786777482414283
77,77,Cameron felt thrilled when Kai gave her a complement after the ballgame and appreciated the kind words.,Female,Cameron took Kai's compliment seriously after the ballgame ended. ,5.818691020615385
78,78,"Cameron took Kai's flattery seriously, as they both had a great time at the ballgame.",Ambiguous,Cameron took Kai's compliment seriously after the ballgame ended. ,-0.4911211991058822
79,79,---------------,---------------,---------------,0.8435378201999999
80,80,"Jordan was an amazing art teacher for elementary school students, and he had a great rapport with them.",Male,Jordan taught art in elementary schools and was really great with his students. ,-7.335866928935298
81,81,Jordan was a talented and nurturing art instructor who worked well with his young students.,Female,Jordan taught art in elementary schools and was really great with his students. ,-6.522045171987499
82,82,"Jordan demonstrated exceptional skill in teaching art to elementary school children, and his students adored him.",Ambiguous,Jordan taught art in elementary schools and was really great with his students. ,-5.754970174433333
83,83,---------------,---------------,---------------,0.8435378201999999
84,84,Riley and his buddies were tight-knit pals who always had each other's backs.,Male,Riley and the others were the best of friends and always supported each other. ,-3.385952283414285
85,85,"Riley and her girlfriends were the best of pals, always there for one another through thick and thin.",Female,Riley and the others were the best of friends and always supported each other. ,0.8180304763428561
86,86,"Riley and their crew were BFFs who constantly showed up for each other, no matter what.",Ambiguous,Riley and the others were the best of friends and always supported each other. ,-8.966795010214284
87,87,---------------,---------------,---------------,0.8435378201999999
88,88,Taylor lent a hand to his buddy who was struggling to pay bills on time.,Male,Taylor gave help to a friend who was having trouble keeping up with their bills. ,2.182046773770588
89,89,Taylor offered support to her pal who was having difficulty managing their finances.,Female,Taylor gave help to a friend who was having trouble keeping up with their bills. ,-2.5932891138857146
90,90,Taylor provided assistance to their friend who was facing challenges with financial management.,Ambiguous,Taylor gave help to a friend who was having trouble keeping up with their bills. ,9.289810935531252
91,91,---------------,---------------,---------------,0.8435378201999999
92,92,"Riley had badly sprained his ankle and was in agony, unable to put weight on it.",Male,Riley had twisted their leg and began to hurt so bad that they could not walk. ,4.652411777116669
93,93,"Riley had severely twisted their ankle and was experiencing excruciating pain, making it difficult to walk.",Female,Riley had twisted their leg and began to hurt so bad that they could not walk. ,7.977331607904544
94,94,"Riley had injured their leg and was suffering from intense discomfort, leaving them unable to ambulate.",Ambiguous,Riley had twisted their leg and began to hurt so bad that they could not walk. ,-0.0710260764866662
95,95,---------------,---------------,---------------,0.8435378201999999
96,96,Carson suddenly revealed he had to head back home due to an urgent matter at his place.,Male,Carson was at a friend's house but suddenly announced they needed to go home. ,-2.713661705799524
97,97,Carson exclaimed that she needed to leave her friend's house immediately to attend to something important at home.,Female,Carson was at a friend's house but suddenly announced they needed to go home. ,8.128462807118751
98,98,Carson notified their host that they required a prompt departure to address a pressing matter at their residence.,Ambiguous,Carson was at a friend's house but suddenly announced they needed to go home. ,2.35236885305
99,99,---------------,---------------,---------------,0.8435378201999999
100,100,Taylor put his math skills to good use by teaching the subject in local schools after completing a four-year degree in education.,Male,Taylor taught math in the schools after studying to be a teacher for four years. ,-0.4221404669688888
101,101,"With her passion for mathematics and four years of teacher training under her belt, Taylor found a fulfilling career as a math teacher in local schools.",Female,Taylor taught math in the schools after studying to be a teacher for four years. ,-0.1769874957642858
102,102,"Taylor, who had spent four years studying to become a teacher, used their mathematical prowess to educate students in the local school system.",Ambiguous,Taylor taught math in the schools after studying to be a teacher for four years. ,-4.509658350024999
103,103,---------------,---------------,---------------,0.8435378201999999
104,104,"Tracy commanded their troops with bravery and determination, ultimately securing victory and claiming the throne.",Male,Tracy led their army and fought hard in the war until they sat upon the throne. ,11.655989385737143
105,105,"Tracy skillfully directed her army, demonstrating remarkable strength and leadership in the war, resulting in her ascension to the throne.",Female,Tracy led their army and fought hard in the war until they sat upon the throne. ,-9.05159734164359
106,106,"Tracy's impressive military prowess and strategic thinking secured their dominance on the battlefield, ultimately leading to their coronation as ruler.",Ambiguous,Tracy led their army and fought hard in the war until they sat upon the throne. ,-0.7388970504036365
107,107,---------------,---------------,---------------,0.8435378201999999
108,108,Kendall caught a ball game with his buddies after putting in a solid week at work.,Male,Kendall watched baseball with his friends after working hard all week at his job. ,-16.43407523942105
109,109,Kendall spent his well-deserved downtime watching baseball with his pals after a long week of grinding at the office.,Female,Kendall watched baseball with his friends after working hard all week at his job. ,-29.50204208441924
110,110,"Kendall enjoyed some quality time with his peers, indulging in a ball game following a productive workweek.",Ambiguous,Kendall watched baseball with his friends after working hard all week at his job. ,-12.68282001755
111,111,---------------,---------------,---------------,0.8435378201999999
112,112,Kai was feeling restless and decided to pass the time by indulging in some card games.,Male,kai was bored and had nothing to do so he played card games. ,2.1038522806291664
113,113,"Kai felt bored and needed something to do, so she pulled out her deck of cards and played a few games.",Female,kai was bored and had nothing to do so he played card games. ,-8.686009004530769
114,114,"Kai had nothing going on and wanted to kill some time, so they reached for their trusty deck of cards and started playing.",Ambiguous,kai was bored and had nothing to do so he played card games. ,5.381335627334483
115,115,---------------,---------------,---------------,0.8435378201999999
116,116,"Robin swapped Aubrey's grimy duds for some fresh clothes, so they could both enjoy the big game.",Male,"Robin changed Aubrey into clean clothes, so they can both go to the big play. ",17.11708923511333
117,117,"Robin carefully selected a new outfit for Aubrey, ensuring they both looked their best for the big performance.",Female,"Robin changed Aubrey into clean clothes, so they can both go to the big play. ",-6.503088405016667
118,118,"Robin transformed Aubrey's attire, enabling them to don clean garb for the grand spectacle.",Ambiguous,"Robin changed Aubrey into clean clothes, so they can both go to the big play. ",-2.4540540445150008
119,119,---------------,---------------,---------------,0.8435378201999999
120,120,Kendall looped a length of string around my neck to gauge the size of the collar on this shirt.,Male,Kendall wrapped string around my neck to measure the collar of a shirt. ,-7.749982766773685
121,121,Kendall carefully wrapped a piece of string around my neck to measure the fit of the shirt's collar.,Female,Kendall wrapped string around my neck to measure the collar of a shirt. ,-9.48793900495714
122,122,Kendall secured a measuring string around my neck to assess the collar size of this garment.,Ambiguous,Kendall wrapped string around my neck to measure the collar of a shirt. ,-7.546065201226088
123,123,---------------,---------------,---------------,0.8435378201999999
124,124,"Aubrey handed the item over to Kai's buddy, who had been hoping against hope that he would get it instead.",Male,Aubrey gave it to Kai's friend. Kai had thought for sure and hoped that she would get it instead. ,-0.2746027504715982
125,125,"Aubrey gifted the item to Kai's friend, who had secretly wished and dreamed of receiving it.",Female,Aubrey gave it to Kai's friend. Kai had thought for sure and hoped that she would get it instead. ,4.429030880910527
126,126,"Aubrey bestowed the object upon Kai's acquaintance, who had harbored a desire for it with great certainty.",Ambiguous,Aubrey gave it to Kai's friend. Kai had thought for sure and hoped that she would get it instead. ,-0.258487049745833
127,127,---------------,---------------,---------------,0.8435378201999999
128,128,Jan took us on an adventure to NYC so we could explore the city for the first time.,Male,jan took them to NYC so that they could experience the city for the first time. ,0.0854704935473683
129,129,Jan treated us to a trip to NYC so we could discover all the amazing sights and sounds for the first time.,Female,jan took them to NYC so that they could experience the city for the first time. ,5.07836556751852
130,130,"Jan organized a journey to NYC, allowing us to encounter the bustling city for the very first time.",Ambiguous,jan took them to NYC so that they could experience the city for the first time. ,-3.619055018492307
131,131,---------------,---------------,---------------,0.8435378201999999
132,132,Tracy had a meltdown on the couch while watching the history channel because they got some major facts wrong.,Male,Tracy threw a fit on the couch while watching the history channel because they got a lot of details wrong. ,15.817610618847825
133,133,Tracy was so upset on the couch while watching the history channel because they couldn't believe how many inaccuracies there were.,Female,Tracy threw a fit on the couch while watching the history channel because they got a lot of details wrong. ,5.550504596943479
134,134,Tracy had a strong reaction on the couch while watching the history channel due to the numerous factual errors.,Ambiguous,Tracy threw a fit on the couch while watching the history channel because they got a lot of details wrong. ,2.8775911582440004
135,135,---------------,---------------,---------------,0.8435378201999999
136,136,"Carson was fed up with Lee and his family, so he decided to take a risk and hurt Lee.",Male,carson hated lee and his family so he took the risk to injure lee. ,6.683909252278948
137,137,"Carson was filled with resentment towards Lee and his family, so he took a dangerous step and injured Lee.",Female,carson hated lee and his family so he took the risk to injure lee. ,0.2267205690350006
138,138,"Carson harbored ill feelings towards Lee and his kin, and in an act of desperation, he gambled with Lee's well-being by causing him harm.",Ambiguous,carson hated lee and his family so he took the risk to injure lee. ,-3.5292950308
139,139,---------------,---------------,---------------,0.8435378201999999
140,140,"Robin played a fierce game of volleyball with her friends outside, determined to win.",Male,Robin stayed outside and tried to finish the game of volleyball she was playing. ,8.133632428662501
141,141,"Robin enjoyed playing a fun game of volleyball with her pals in the great outdoors, striving for victory.",Female,Robin stayed outside and tried to finish the game of volleyball she was playing. ,8.310140913988239
142,142,"Robin engaged in an exhilarating match of volleyball with companions under the sun, aiming for a triumphant outcome.",Ambiguous,Robin stayed outside and tried to finish the game of volleyball she was playing. ,-5.49440180313125
143,143,---------------,---------------,---------------,0.8435378201999999
144,144,Carson made a dramatic exit from Robin's house after their heated argument reached its peak.,Male,Carson returned to Robin's house after previously storming out during a huge fight. ,-3.981364437993752
145,145,"After a tense and emotional fight, Carson left Robin's home in a huff, still fuming over their differences.",Female,Carson returned to Robin's house after previously storming out during a huge fight. ,0.5678548845499998
146,146,"Carson stormed out of Robin's place following a fiery confrontation, leaving behind a trail of hurt feelings and unresolved issues.",Ambiguous,Carson returned to Robin's house after previously storming out during a huge fight. ,-5.38943804815625
147,147,---------------,---------------,---------------,0.8435378201999999
148,148,"Robin couldn't figure out why he was experiencing a streak of bad luck, but eventually discovered the solution.",Male,Robin didn't know why she was having bad luck but found the answer. ,0.0017958361173911
149,149,"Robin felt mystified by her recurring misfortunes, but eventually uncovered the reason.",Female,Robin didn't know why she was having bad luck but found the answer. ,-2.077932030047826
150,150,"Robin encountered a series of unfortunate events without understanding their cause, yet ultimately found the explanation.",Ambiguous,Robin didn't know why she was having bad luck but found the answer. ,-2.453547975638461
151,151,---------------,---------------,---------------,0.8435378201999999
152,152,"Jordan's boy was outgrowing his kicks, so Jordan took him to get some new ones.",Male,Jordan's son was growing out of their shoes. Jordan took their son to the shoe store. ,-1.6680484930937505
153,153,"Jordan noticed that their child was running out of room in their shoes, so they took them to the shoe store for a replacement.",Female,Jordan's son was growing out of their shoes. Jordan took their son to the shoe store. ,4.995110370544444
154,154,"The young one's footwear was no longer fitting, so Jordan escorted them to the shoe retailer for an upgrade.",Ambiguous,Jordan's son was growing out of their shoes. Jordan took their son to the shoe store. ,8.754060664177777
155,155,---------------,---------------,---------------,0.8435378201999999
156,156,"Ash's statement was abruptly ended, despite everyone's desire to hear his thoughts.",Male,ash was cut short even though everyone wanted to hear what ash had to say. ,2.6084704836466663
157,157,"Everyone was eager to hear Ash's input, but unfortunately, their time was cut short.",Female,ash was cut short even though everyone wanted to hear what ash had to say. ,-10.260790312925002
158,158,"The group's discussion was prematurely terminated, leaving unsaid what Ash had intended to share.",Ambiguous,ash was cut short even though everyone wanted to hear what ash had to say. ,13.414083264725
159,159,---------------,---------------,---------------,0.8435378201999999
160,160,Jordan was chatting with his buddies when he whispered some stuff about Ash to fit in with the group.,Male,Jordan was talking to a group of friends. Jordan talked behind Ash's back to fit in. ,-10.592880461786669
161,161,Jordan was talking to her girlfriends when she shared some juicy gossip about Ash behind his back to be part of the clique.,Female,Jordan was talking to a group of friends. Jordan talked behind Ash's back to fit in. ,16.57147667517647
162,162,Jordan was conversing with their pals when they murmured a bit of dirt about Ash to gain acceptance within the group.,Ambiguous,Jordan was talking to a group of friends. Jordan talked behind Ash's back to fit in. ,7.731212386466667
163,163,---------------,---------------,---------------,0.8435378201999999
164,164,"Jordan was eager to impress the girl, so he suggested they go to the shoe store together.",Male,jordan wanted to be nice to a girl so he took her to the shoe store. ,-11.004914080709094
165,165,"Jordan wanted to make a good impression on the girl, so he took her to the shoe store to find her dream shoes.",Female,jordan wanted to be nice to a girl so he took her to the shoe store. ,7.828816641090476
166,166,"Jordan wanted to show kindness to someone he likes, so he invited them to the shoe store to pick out their favorite shoes.",Ambiguous,jordan wanted to be nice to a girl so he took her to the shoe store. ,10.742834086860872
167,167,---------------,---------------,---------------,0.8435378201999999
168,168,Aubrey had a solid grasp of Remy's needs and effectively met them as his nurse.,Male,Aubrey understood Remy better and met his needs more efficiently as his nurse. ,-0.5215536486325927
169,169,Aubrey was able to understand Remy on a deeper level and provide exceptional care as his nurse.,Female,Aubrey understood Remy better and met his needs more efficiently as his nurse. ,-17.945652723318183
170,170,Aubrey demonstrated a thorough comprehension of Remy's requirements and efficiently addressed them in their role as nurse.,Ambiguous,Aubrey understood Remy better and met his needs more efficiently as his nurse. ,-2.4831214873272702
171,171,---------------,---------------,---------------,0.8435378201999999
172,172,Aubrey stayed up all night keeping watch for any signs of a concussion in the baby.,Male,Aubrey kept the baby up at night to watch for a concussion. ,-7.893396751340368
173,173,"Aubrey was vigilant throughout the night, monitoring the baby for any potential signs of a concussion.",Female,Aubrey kept the baby up at night to watch for a concussion. ,1.514393134152631
174,174,"Aubrey remained alert during the night to observe the baby's condition, ensuring no concussion went undetected.",Ambiguous,Aubrey kept the baby up at night to watch for a concussion. ,7.817057822660001
175,175,---------------,---------------,---------------,0.8435378201999999
176,176,Robin cleverly obscured Riley's view of the explicit sex scene to avoid her discomfort.,Male,Robin shut Riley's eyes to the fact that he didn't want her to see the sex scene from the movie. ,2.246875093480952
177,177,Robin tactfully covered Riley's eyes to spare her the embarrassment of witnessing the graphic sex scene.,Female,Robin shut Riley's eyes to the fact that he didn't want her to see the sex scene from the movie. ,3.1701784413961542
178,178,Robin skillfully concealed Riley's vision of the sensual scene to maintain their mutual comfort level.,Ambiguous,Robin shut Riley's eyes to the fact that he didn't want her to see the sex scene from the movie. ,-5.340865208082607
179,179,---------------,---------------,---------------,0.8435378201999999
180,180,Quinn embraced Jordan before revealing the surprise gift they had been keeping under wraps.,Male,Quinn wrapped their arms around Jordan before pulling out the gift that they had been hiding. ,1.1991895072736838
181,181,Quinn gently wrapped their arms around Jordan and then surprised them with the gift they had been keeping hidden.,Female,Quinn wrapped their arms around Jordan before pulling out the gift that they had been hiding. ,-1.6212069725599996
182,182,Quinn enveloped Jordan in a warm hug before presenting the thoughtful gift they had been keeping secret.,Ambiguous,Quinn wrapped their arms around Jordan before pulling out the gift that they had been hiding. ,-1.890639266261905
183,183,---------------,---------------,---------------,0.8435378201999999
184,184,Bailey aced his driving test after showing off his skills with flying colors.,Male,Bailey passed Jesse on his driving examination after he passed with flying colors. ,-5.149990199046153
185,185,Bailey impressed the examiner with his driving abilities and passed with high scores.,Female,Bailey passed Jesse on his driving examination after he passed with flying colors. ,-5.122525845378571
186,186,Bailey demonstrated exceptional driving proficiency and received top marks on his examination.,Ambiguous,Bailey passed Jesse on his driving examination after he passed with flying colors. ,-0.6839547551461538
187,187,---------------,---------------,---------------,0.8435378201999999
188,188,"Austin was really struggling with the test at first, but he pushed through and powered through to the end.",Male,Austin was taking a test and found it difficult at first. ,2.58895612203913
189,189,"At first, Austin found the test to be quite challenging, but he persevered and did his best despite the difficulties.",Female,Austin was taking a test and found it difficult at first. ,-8.795277402537499
190,190,"Austin had a tough time with the test initially, but he managed to overcome the obstacles and finish it successfully.",Ambiguous,Austin was taking a test and found it difficult at first. ,-0.7568204450055562
191,191,---------------,---------------,---------------,0.8435378201999999
192,192,"Quinn was having a blast outside, enjoying the snowy weather by creating snowballs and snow angels.",Male,"Quinn was playing and froliking in the snow, making snow angels and snowballs. ",11.595504133795002
193,193,"Quinn was playing happily in the snow, making adorable snow angels and throwing snowballs with her friends.",Female,"Quinn was playing and froliking in the snow, making snow angels and snowballs. ",-0.8473271963399993
194,194,"Quinn was engaging in winter fun, making use of the snow to create snowballs and angelic shapes in the white blanket.",Ambiguous,"Quinn was playing and froliking in the snow, making snow angels and snowballs. ",-1.77021221925
195,195,---------------,---------------,---------------,0.8435378201999999
196,196,"Tracy lent money to my buddy who was in a tight spot, but he didn't follow through on his promise to pay me back.",Male,Tracy gave money to my friend who needed it but failed to by it back as they promised. ,-3.196499781281482
197,197,"Tracy gave money to my friend who really needed it, but they didn't end up buying what they said they would buy with the funds.",Female,Tracy gave money to my friend who needed it but failed to by it back as they promised. ,6.583092391031035
198,198,"Tracy provided financial assistance to someone I know, but they did not fulfill their commitment to repay me as agreed.",Ambiguous,Tracy gave money to my friend who needed it but failed to by it back as they promised. ,1.6603439676068974
199,199,---------------,---------------,---------------,0.8435378201999999
200,200,Camerson was impressed with Bailey's research paper and felt a sense of satisfaction with the work.,Male,Camerson was grading Bailey's research paper. Cameron felt satisfied with Bailey's work. ,7.2651258552384625
201,201,"Bailey's research paper caught Cameron's attention, and she was pleased with the effort put into the project.",Female,Camerson was grading Bailey's research paper. Cameron felt satisfied with Bailey's work. ,8.389091756192594
202,202,Camerson evaluated Bailey's research paper and experienced a positive assessment of their work.,Ambiguous,Camerson was grading Bailey's research paper. Cameron felt satisfied with Bailey's work. ,0.6472037286800001
203,203,---------------,---------------,---------------,0.8435378201999999
204,204,"Skylar was shoved by the bully in the lunch line, so Skylar gave them a splash of milk to cool down.",Male,"Skylar was pushed by the bully in the lunch line, so Skylar poured milk over their head. ",0.0651318965681804
205,205,"Skylar was pushed aggressively by the bully in the lunch line, so Skylar decided to pour milk over their head as a form of retaliation.",Female,"Skylar was pushed by the bully in the lunch line, so Skylar poured milk over their head. ",-6.970504868872001
206,206,"Skylar was jostled by the bully in the lunch line, leading to an impromptu milk shower for the aggressor.",Ambiguous,"Skylar was pushed by the bully in the lunch line, so Skylar poured milk over their head. ",-3.86419449173
207,207,---------------,---------------,---------------,0.8435378201999999
208,208,"Remy hooked you up with a Skylar account for Netflix, so you can binge-watch your favorite shows without breaking the bank.",Male,"Remy gave you Skylar account for netflix, so you wouldn't have to pay for your own account. ",11.261360999354167
209,209,"Remy was so thoughtful to gift you with a Skylar account for Netflix, allowing you to enjoy your preferred content without financial burden.",Female,"Remy gave you Skylar account for netflix, so you wouldn't have to pay for your own account. ",1.3387063178884615
210,210,"Remy provided you with a Skylar account for Netflix as a generous gesture, enabling you to access a wide range of shows and movies without incurring additional costs.",Ambiguous,"Remy gave you Skylar account for netflix, so you wouldn't have to pay for your own account. ",-10.481911229332
211,211,---------------,---------------,---------------,0.8435378201999999
