Row ID,Paraphrases,Category,Orginal,value
180,Quinn gave Jordan a big hug before pulling out the super cool gift they had been keeping secret!,Young (<20),Quinn wrapped their arms around Jordan before pulling out the gift that they had been hiding. ,1.199189507
181,Quinn embraced Jordan and then discreetly presented the special gift they had been concealing.,Miggle Age (20-60),Quinn wrapped their arms around Jordan before pulling out the gift that they had been hiding. ,-1.621206973
182,Quinn put their arms around Jordan and delicately extracted the thoughtful present they had been saving for a special moment.,Old (>60),Quinn wrapped their arms around Jordan before pulling out the gift that they had been hiding. ,-1.890639266
183,---------------,---------------,---------------,0.84353782
184,Bailey totally crushed her driving exam and left Jesse in the dust! 🚀💪,Young (<20),Bailey passed Jesse on his driving examination after he passed with flying colors. ,-5.149990199
185,"Bailey performed exceptionally well on her driving test, outpacing Jesse with ease. 🚗👍",Miggle Age (20-60),Bailey passed Jesse on his driving examination after he passed with flying colors. ,-5.122525845
186,"Bailey passed her driving exam with flying colors, leaving Jesse behind! 🚗👵",Old (>60),Bailey passed Jesse on his driving examination after he passed with flying colors. ,-0.683954755
187,---------------,---------------,---------------,0.84353782
188,"Austin was totally struggling with the test at first, but he kept at it and eventually got the hang of it.",Young (<20),Austin was taking a test and found it difficult at first. ,2.588956122
189,"Austin had a bit of a rough time with the test initially, but he dug in and managed to overcome his challenges.",Miggle Age (20-60),Austin was taking a test and found it difficult at first. ,-8.795277403
190,"Austin encountered some difficulties with the test to begin with, but he persevered and eventually succeeded.",Old (>60),Austin was taking a test and found it difficult at first. ,-0.756820445
191,---------------,---------------,---------------,0.84353782
192,"Quinn was totally slaying it in the snow, making sick snow angels and snowballs like a total boss! 🎯❄️",Young (<20),"Quinn was playing and froliking in the snow, making snow angels and snowballs. ",11.59550413
193,"Quinn was having a blast in the snow, playing around and making snow angels and snowballs with glee! 😄❄️",Miggle Age (20-60),"Quinn was playing and froliking in the snow, making snow angels and snowballs. ",-0.847327196
194,"Quinn was engaging in some delightful winter activities, such as making snow angels and snowballs, and frolicking about in the snow. 😊❄️",Old (>60),"Quinn was playing and froliking in the snow, making snow angels and snowballs. ",-1.770212219
195,---------------,---------------,---------------,0.84353782
196,"Tracy lent some cash to my buddy who was in a tight spot, but they didn't follow through on their promise to pay her back.",Young (<20),Tracy gave money to my friend who needed it but failed to by it back as they promised. ,-3.196499781
197,"Tracy generously gave money to my friend who was short on funds, but they didn't keep their end of the bargain and return the favor as promised.",Miggle Age (20-60),Tracy gave money to my friend who needed it but failed to by it back as they promised. ,6.583092391
198,"Tracy kindly loaned some money to my acquaintance who was experiencing financial difficulties, yet they failed to repay the kind gesture as they had assured they would.",Old (>60),Tracy gave money to my friend who needed it but failed to by it back as they promised. ,1.660343968
199,---------------,---------------,---------------,0.84353782
200,Cam was super impressed with Bailey's research paper. He felt like giving her a high-five for all the hard work she put into it!,Young (<20),Camerson was grading Bailey's research paper. Cameron felt satisfied with Bailey's work. ,7.265125855
201,Cameron was pleased with the effort Bailey put into her research paper. He thought she did an excellent job and was proud of her accomplishment.,Miggle Age (20-60),Camerson was grading Bailey's research paper. Cameron felt satisfied with Bailey's work. ,8.389091756
202,Cameron was thoroughly satisfied with Bailey's research paper. He gave her a pat on the back for all her dedication and hard work.,Old (>60),Camerson was grading Bailey's research paper. Cameron felt satisfied with Bailey's work. ,0.647203729
203,---------------,---------------,---------------,0.84353782
204,"Skylar was totally pushed by the bully in the lunch line, so Skylar totally poured milk all over their head!",Young (<20),"Skylar was pushed by the bully in the lunch line, so Skylar poured milk over their head. ",0.065131897
205,"Skylar was rudely shoved by the bully in the lunch line, so Skylar decided to get revenge by pouring milk over their head.",Miggle Age (20-60),"Skylar was pushed by the bully in the lunch line, so Skylar poured milk over their head. ",-6.970504869
206,"Skylar was rather forcefully bumped into by the bully in the lunch line, so Skylar took matters into their own hands and poured milk over the bully's head.",Old (>60),"Skylar was pushed by the bully in the lunch line, so Skylar poured milk over their head. ",-3.864194492
207,---------------,---------------,---------------,0.84353782
208,"Remy hooked you up with Skylar's Netflix account, so you can binge-watch your fave shows without breaking the bank! 😍",Young (<20),"Remy gave you Skylar account for netflix, so you wouldn't have to pay for your own account. ",11.261361
209,"Remy kindly provided you with Skylar's Netflix account, allowing you to enjoy a wide range of TV shows and movies without incurring additional costs.",Miggle Age (20-60),"Remy gave you Skylar account for netflix, so you wouldn't have to pay for your own account. ",1.338706318
