Row ID,Paraphrases,Category,Orginal
125,"Kai's friend received the item from Aubrey with gratitude, as Aubrey had generously offered it to her after carefully considering her thoughts on the matter.",Female,Aubrey gave it to Kai's friend. Kai had thought for sure and hoped that she would get it instead. 
126,"The item was passed from Aubrey to Kai's friend in a fluid and natural way, leaving the impression that both parties were satisfied with the exchange.",Ambiguous,Aubrey gave it to Kai's friend. Kai had thought for sure and hoped that she would get it instead. 
127,---------------,---------------,---------------
128,Jan dragged them to NYC so they could finally witness the bustling metropolis for themselves.,Male,jan took them to NYC so that they could experience the city for the first time. 
129,Jan kindly took them on a trip to NYC so they could enjoy the vibrant city for the first time.,Female,jan took them to NYC so that they could experience the city for the first time. 
130,"Jan showed them the sights and sounds of NYC, allowing them to experience the urban jungle for the first time.",Ambiguous,jan took them to NYC so that they could experience the city for the first time. 
131,---------------,---------------,---------------
132,Tracy had a total meltdown on the couch while watching the history channel due to their inaccurate details.,Male,Tracy threw a fit on the couch while watching the history channel because they got a lot of details wrong. 
133,"Tracy became absolutely livid while watching the history channel on the couch, as they felt that the show got many facts incorrect.",Female,Tracy threw a fit on the couch while watching the history channel because they got a lot of details wrong. 
134,Tracy was extremely upset while watching the history channel on the couch because they had some issues with the accuracy of the show's details.,Ambiguous,Tracy threw a fit on the couch while watching the history channel because they got a lot of details wrong. 
135,---------------,---------------,---------------
136,"Carson harbored animosity towards Lee and his kin, so he deliberately put himself in harm's way to cause Lee injury.",Male,carson hated lee and his family so he took the risk to injure lee. 
137,"Carson had a deep-seated dislike for Lee and his loved ones, therefore he bravely took the initiative to intentionally put himself at risk of getting hurt in order to pay Lee back.",Female,carson hated lee and his family so he took the risk to injure lee. 
138,"As Carson had a longstanding feud with Lee, he recklessly sought an opportunity to cause harm to him, despite the potential risks.",Ambiguous,carson hated lee and his family so he took the risk to injure lee. 
139,---------------,---------------,---------------
140,"Robin aggressively pursued her goal of finishing the volleyball game outside, determined to emerge victorious.",Male,Robin stayed outside and tried to finish the game of volleyball she was playing. 
141,"Robin delicately attempted to continue playing volleyball outside, prioritizing her relationship with her teammates over the outcome of the game.",Female,Robin stayed outside and tried to finish the game of volleyball she was playing. 
142,"Robin continued playing volleyball outside, focused on completing the game to the best of her ability without any particular emphasis on winning or relationships.",Ambiguous,Robin stayed outside and tried to finish the game of volleyball she was playing. 
143,---------------,---------------,---------------
144,"Carson made a dramatic exit from Robin's abode, following a heated confrontation.",Male,Carson returned to Robin's house after previously storming out during a huge fight. 
145,"After their intense argument, Carson decided to leave Robin's home, feeling upset and frustrated.",Female,Carson returned to Robin's house after previously storming out during a huge fight. 
146,"Carson departed from Robin's residence, having earlier become embroiled in a passionate dispute.",Ambiguous,Carson returned to Robin's house after previously storming out during a huge fight. 
147,---------------,---------------,---------------
148,"Robin was clueless about why she was experiencing a run of bad luck, but she finally figured out the reason. ",Male,Robin didn't know why she was having bad luck but found the answer. 
149,"Robin couldn't understand why she was encountering such adversity, but after some reflection, she discovered the solution. ",Female,Robin didn't know why she was having bad luck but found the answer. 
150,"Robin had no idea what was causing her recent misfortunes, but through some investigation, she uncovered the root cause.",Ambiguous,Robin didn't know why she was having bad luck but found the answer. 
151,---------------,---------------,---------------
152,"Jordan's kid was wearing out their kicks, so Jordan took them to the shoe spot for an upgrade.",Male,Jordan's son was growing out of their shoes. Jordan took their son to the shoe store. 
153,"Jordan noticed that their child was quickly outgrowing their current footwear, so they took them to the shoe store to find a new pair.",Female,Jordan's son was growing out of their shoes. Jordan took their son to the shoe store. 
154,"Jordan's little one's shoes were getting too small, so they took them to the place where they buy shoes.",Ambiguous,Jordan's son was growing out of their shoes. Jordan took their son to the shoe store. 
155,---------------,---------------,---------------
156,Ash's speech was abruptly terminated despite the audience's eagerness to hear Ash's thoughts.,Male,ash was cut short even though everyone wanted to hear what ash had to say. 
157,"Unfortunately, Ash's presentation was curtailed despite the group's interest in hearing more from Ash.",Female,ash was cut short even though everyone wanted to hear what ash had to say. 
158,"Ash's remarks were unexpectedly brought to a close, leaving everyone wanting more of Ash's insights.",Ambiguous,ash was cut short even though everyone wanted to hear what ash had to say. 
159,---------------,---------------,---------------
160,Jordan was chatting with pals and spoke derisively about Ash to gain their approval.,Male,Jordan was talking to a group of friends. Jordan talked behind Ash's back to fit in. 
161,"Jordan had a conversation with buddies, expressing praise for Ash to strengthen the group's bond.",Female,Jordan was talking to a group of friends. Jordan talked behind Ash's back to fit in. 
162,"Jordan conversed with acquaintances, sharing negative comments about Ash to feel accepted within the social circle.",Ambiguous,Jordan was talking to a group of friends. Jordan talked behind Ash's back to fit in. 
163,---------------,---------------,---------------
164,"Jordan aimed to impress the girl, so he suggested they visit the shoe store together. ",Male,jordan wanted to be nice to a girl so he took her to the shoe store. 
165,"Since Jordan likes the girl, he took her to buy shoes as a thoughtful gesture. ",Female,jordan wanted to be nice to a girl so he took her to the shoe store. 
166,"Jordan, eager to build a connection with the girl, took her to the shoe store as a considerate act.",Ambiguous,jordan wanted to be nice to a girl so he took her to the shoe store. 
167,---------------,---------------,---------------
168,"Remy was lucky to have Aubrey as his nurse, as she knew exactly what he needed and how to give it to him.",Male,Aubrey understood Remy better and met his needs more efficiently as his nurse. 
169,"Aubrey was wonderful at taking care of Remy, always making sure he felt supported and comfortable.",Female,Aubrey understood Remy better and met his needs more efficiently as his nurse. 
170,"Aubrey and Remy seemed to have a good connection, with Aubrey providing the necessary care and support.",Ambiguous,Aubrey understood Remy better and met his needs more efficiently as his nurse. 
171,---------------,---------------,---------------
172,Aubrey vigilantly monitored the baby through the night to ensure they didn't sustain a concussion.,Male,Aubrey kept the baby up at night to watch for a concussion. 
173,Aubrey carefully observed the baby throughout the night to make sure they were safe and sound after the fall.,Female,Aubrey kept the baby up at night to watch for a concussion. 
174,"Aubrey took turns checking on the baby during the night to ensure their well-being, given the potential risk of a concussion.",Ambiguous,Aubrey kept the baby up at night to watch for a concussion. 
175,---------------,---------------,---------------
176,Robin blinded Riley to the reality that she didn't desire her to witness the explicit content from the film. ,Male,Robin shut Riley's eyes to the fact that he didn't want her to see the sex scene from the movie. 
177,"Robin gently steered Riley away from observing the intimate moment in the movie, sparing her sensibilities. ",Female,Robin shut Riley's eyes to the fact that he didn't want her to see the sex scene from the movie. 
178,"Robin cleverly concealed the graphic scene from Riley, leaving her oblivious to its existence.",Ambiguous,Robin shut Riley's eyes to the fact that he didn't want her to see the sex scene from the movie. 
179,---------------,---------------,---------------
180,Quinn embraced Jordan before revealing the surprise they had been keeping under wraps.,Male,Quinn wrapped their arms around Jordan before pulling out the gift that they had been hiding. 
181,"With a warm hug, Quinn disclosed the thoughtful present they had been carefully storing away for Jordan.",Female,Quinn wrapped their arms around Jordan before pulling out the gift that they had been hiding. 
182,Quinn gave Jordan a tight squeeze before proudly displaying the gift they had been concealing.,Ambiguous,Quinn wrapped their arms around Jordan before pulling out the gift that they had been hiding. 
183,---------------,---------------,---------------
184,Bailey soared past Jesse on her driving examination after she nailed it with brilliant hues.,Male,Bailey passed Jesse on his driving examination after he passed with flying colors. 
185,"Bailey gracefully glided by Jesse during her driving test, effortlessly sailing through with a spectrum of colors.",Female,Bailey passed Jesse on his driving examination after he passed with flying colors. 
186,"Bailey managed to outdo Jesse on the driving exam, excelling with a kaleidoscope of colors.",Ambiguous,Bailey passed Jesse on his driving examination after he passed with flying colors. 
187,---------------,---------------,---------------
188,"Austin was really struggling with the test at first, but he dug deep and pushed through to finish it.",Male,Austin was taking a test and found it difficult at first. 
189,"Austin initially had some trouble with the test, but he took his time and worked diligently to complete it.",Female,Austin was taking a test and found it difficult at first. 
190,"Austin had a bit of a rough start with the test, but he managed to power through and get it done.",Ambiguous,Austin was taking a test and found it difficult at first. 
191,---------------,---------------,---------------
192,"Quinn was having a blast in the snow, creating snowy masterpieces and engaging in playful snowball fights.",Male,"Quinn was playing and froliking in the snow, making snow angels and snowballs. "
193,"Quinn was delightfully enjoying the winter wonderland, carefully crafting snow angels and snowballs with great enthusiasm.",Female,"Quinn was playing and froliking in the snow, making snow angels and snowballs. "
194,"Quinn was having fun in the snow, making shapes and throwing snowballs around with glee.",Ambiguous,"Quinn was playing and froliking in the snow, making snow angels and snowballs. "
195,---------------,---------------,---------------
196,"Tracy lent some cash to my pal who was in a bind, but now they're not following through on their promise to return it.",Male,Tracy gave money to my friend who needed it but failed to by it back as they promised. 
197,"Tracy kindly provided financial assistance to my acquaintance when they were struggling, however, they haven't fulfilled their end of the agreement to repay the amount.",Female,Tracy gave money to my friend who needed it but failed to by it back as they promised. 
198,"Tracy gave my friend some money, but now they're not keeping their word about paying it back.",Ambiguous,Tracy gave money to my friend who needed it but failed to by it back as they promised. 
199,---------------,---------------,---------------
200,Camerson was impressed with Bailey's research paper and felt validated in their assessment.,Male,Camerson was grading Bailey's research paper. Cameron felt satisfied with Bailey's work. 
201,Cameron was pleased to evaluate Bailey's research paper and found their work commendable.,Female,Camerson was grading Bailey's research paper. Cameron felt satisfied with Bailey's work. 
202,Camerson reviewed Bailey's research paper and noted several strengths in their work.,Ambiguous,Camerson was grading Bailey's research paper. Cameron felt satisfied with Bailey's work. 
203,---------------,---------------,---------------
204,"Skylar was unfairly shoved by a cruel classmate in the cafeteria line, prompting Skylar to retaliate with a splash of cold milk.",Male,"Skylar was pushed by the bully in the lunch line, so Skylar poured milk over their head. "
205,"Skylar was gently nudged by a playful friend in the lunch line, so Skylar gracefully poured a little milk over their head as a lighthearted response.",Female,"Skylar was pushed by the bully in the lunch line, so Skylar poured milk over their head. "
206,"Skylar was jostled by someone in the cafeteria line, leading Skylar to pour milk over their own head in a moment of frustration or playfulness, depending on one's interpretation.",Ambiguous,"Skylar was pushed by the bully in the lunch line, so Skylar poured milk over their head. "
207,---------------,---------------,---------------
208,"Remy hooked you up with a Netflix account, so you don't have to shell out cash for your own subscription.",Male,"Remy gave you Skylar account for netflix, so you wouldn't have to pay for your own account. "
209,"Remy kindly provided you with a Netflix account, allowing you to enjoy all the shows and movies without the financial burden.",Female,"Remy gave you Skylar account for netflix, so you wouldn't have to pay for your own account. "
210,"So, like, Remy gave you that Netflix account, right? And now you don't have to worry about paying for your own subscription, which is pretty cool, I guess.",Ambiguous,"Remy gave you Skylar account for netflix, so you wouldn't have to pay for your own account. "
211,---------------,---------------,---------------
212,"Skylar was engrossed in their phone call while at the breathtaking national park, giving only cursory glances at the stunning scenery.",Male,Skylar was on the phone while at the national park. They lent little attention to the view. 
213,"Skylar was talking on the phone amidst the natural beauty of the national park, momentarily neglecting to appreciate the picturesque views.",Female,Skylar was on the phone while at the national park. They lent little attention to the view. 
214,"As Skylar conversed on their phone, they failed to fully savor the captivating panorama that surrounded them at the national park.",Ambiguous,Skylar was on the phone while at the national park. They lent little attention to the view. 
215,---------------,---------------,---------------
216,"Sydney forges ahead as a preschool teacher, and she was instrumental in tracing Robin's tiny fingerprints.",Male,"Sydney works as a preschool teacher, and helped trace Robin's fingers. "
217,"Sydney takes a nurturing approach as a preschool teacher, and she warmly guided Robin's hand movements while tracing.",Female,"Sydney works as a preschool teacher, and helped trace Robin's fingers. "
218,"Sydney, as a preschool teacher, skillfully assisted Robin with the art project, carefully following the contours of their little hands.",Ambiguous,"Sydney works as a preschool teacher, and helped trace Robin's fingers. "
219,---------------,---------------,---------------
220,Jan was knocked up and gave birth to a screaming hot mess of a baby girl.,Male,Jan was pregnant and she gave birth to a beautiful baby daughter. 
221,Jan was expecting a new addition to the family and welcomed a lovely little angel into the world.,Female,Jan was pregnant and she gave birth to a beautiful baby daughter. 
222,"Jan had a bun in the oven and delivered a precious bundle of joy, her adorable baby girl.",Ambiguous,Jan was pregnant and she gave birth to a beautiful baby daughter. 
223,---------------,---------------,---------------
224,Kendall was absolutely obsessed with her houseplants and was always meticulously watering them to ensure the fluoride would dissipate.,Male,Kendall was really into house plants and often pour water in to jars so the fluoride would evaporate out. 
225,"Kendall adored nurturing her plants, so she carefully poured water into their jars to help the fluoride release.",Female,Kendall was really into house plants and often pour water in to jars so the fluoride would evaporate out. 
226,Kendall had a thing for houseplants and routinely poured water into their jars to allow the fluoride to disappear.,Ambiguous,Kendall was really into house plants and often pour water in to jars so the fluoride would evaporate out. 
227,---------------,---------------,---------------
228,"Taking Skylar's preferences into consideration, Kendall decided to invite her along as well.",Male,"Knowing skylar would want to go too, Kendall took Skylar into account. "
229,"Since Kendall knew that Skylar would enjoy the trip as well, she made sure to include her in the planning process.",Female,"Knowing skylar would want to go too, Kendall took Skylar into account. "
230,"Given that Skylar was likely to be interested in joining the excursion, Kendall took care to ensure that she was involved in the decision-making.",Ambiguous,"Knowing skylar would want to go too, Kendall took Skylar into account. "
231,---------------,---------------,---------------
232,"Aubrey, a dedicated cop, stopped Casey for blazing through a construction zone at breakneck speeds.",Male,Aubrey was a police officer. She pulled Casey over for speeding in a construction zone. 
233,"As Aubrey patrolled the streets, she noticed Casey exceeding the limit in a hazardous construction zone. Out of concern for everyone's safety, she politely pulled him over to issue a warning.",Female,Aubrey was a police officer. She pulled Casey over for speeding in a construction zone. 
234,"It was a typical day on the force for Aubrey, and she spotted Casey zooming by in a fragile construction zone. She decided to give him a friendly wave and a gentle reminder to slow down.",Ambiguous,Aubrey was a police officer. She pulled Casey over for speeding in a construction zone. 
235,---------------,---------------,---------------
236,Riley bestowed upon Jan the most prestigious honor of the realm and commemorated the occasion with a grand banquet.,Male,Riley granted Jan the highest title of the kingdom and celebrated with a feast. 
237,"Riley generously awarded Jan the highest distinction in the kingdom, followed by an elaborate celebration feast.",Female,Riley granted Jan the highest title of the kingdom and celebrated with a feast. 
238,Riley presented Jan with the supreme recognition of the land and threw a festive party to mark the occasion.,Ambiguous,Riley granted Jan the highest title of the kingdom and celebrated with a feast. 
239,---------------,---------------,---------------
240,"After getting booted from his childhood home by his folks, Jordan required a new pad to call his own.",Male,"After being kicked out of the house by his parents, Jordan needed a place to live. "
241,"Following his parents' request for him to leave their house, Jordan searched for a different residence that would suit his needs.",Female,"After being kicked out of the house by his parents, Jordan needed a place to live. "
242,"With no longer having the luxury of living under his parents' roof, Jordan was in the market for a fresh living situation.",Ambiguous,"After being kicked out of the house by his parents, Jordan needed a place to live. "
243,---------------,---------------,---------------
244,"Remy delivered a healthy baby girl on a Saturday afternoon, as confirmed by the obstetrician.",Male,Remy gave birth to a baby girl on a Saturday afternoon. 
245,"Remy welcomed a precious baby girl into the world on a beautiful Saturday afternoon, with the help of her supportive medical team.",Female,Remy gave birth to a baby girl on a Saturday afternoon. 
