Row ID,Paraphrases,Category,Orginal,Gender Scores,Original,Normalized
21,"Riley was left in the dark about the answer by Aubrey, leaving Riley steaming mad! 😤",Female,Aubrey never told Riley the answer and Riley was angry. ,-6.951738936,-13.02636549,6.074626554
22,"The solution remained a mystery to Riley, despite Aubrey's silence on the matter. 🤔",Ambiguous,Aubrey never told Riley the answer and Riley was angry. ,0.679153653,-13.02636549,13.70551914
23,---------------,---------------,---------------,0.84353782,0.84353782,0
24,"Kendall's canine companion was carrying a few extra pounds, so they decided to take it on a brisk five-mile stroll to help it shed some excess weight.",Male,Kendall's dog was overweight so they walked it five miles. ,0.389661443,2.943313939,-2.553652496
25,"Oh my paw-ful pup! Kendall's furry friend had packed on a few too many pounds, so they took it on a fun-filled five-mile walk to burn off those extra calories and strengthen their bond. 🐾💪",Female,Kendall's dog was overweight so they walked it five miles. ,1.724967682,2.943313939,-1.218346257
26,"As the owner of a rather rotund canine, Kendall knew that exercise was key to maintaining a healthy weight. So, they embarked on a five-mile walk with their loyal companion, challenging both themselves and their pet to reach new heights of fitness. 🐶❤️",Ambiguous,Kendall's dog was overweight so they walked it five miles. ,4.922467603,2.943313939,1.979153664
27,---------------,---------------,---------------,0.84353782,0.84353782,0
28,Kendall recently acquired a sleek new sports car and is eager to display it to her acquaintances.,Male,Kendall got a new sports car and could not wait to show friends. ,0.234260916,-0.881406618,1.115667534
29,"Oh my gosh, have you heard the latest? Kendall just scored an awesome new ride, and she's itching to show off her wheels to her BFFs! 🚀👯‍♀️",Female,Kendall got a new sports car and could not wait to show friends. ,8.22647655,-0.881406618,9.107883168
30,"Kendall just got her hands on a shiny new sports car, and she can't wait to share the excitement with her squad! 😍👯",Ambiguous,Kendall got a new sports car and could not wait to show friends. ,2.96240365,-0.881406618,3.843810268
31,---------------,---------------,---------------,0.84353782,0.84353782,0
32,Riley carefully draped a blanket over their arms to retain body heat.,Male,Riley layered down their arms with a blanket to keep warm. ,5.586073388,8.4302346,-2.844161212
33,"Riley snuggled up their sleeves with a cozy blanket, hugging themselves warm! 🥰",Female,Riley layered down their arms with a blanket to keep warm. ,37.66842224,8.4302346,29.23818764
34,Riley put on a blanket to stay comfortable.,Ambiguous,Riley layered down their arms with a blanket to keep warm. ,11.40267119,8.4302346,2.972436587
35,---------------,---------------,---------------,0.84353782,0.84353782,0
36,"Austin had an intimate relationship with Quinn, and they shared many nights together.",Male,Austin knew Quinn intimately and they slept together many times. ,-3.823850141,-1.982944238,-1.840905904
37,"Austin and Quinn had a deep connection and spent many nights cuddled up together, sharing their innermost thoughts and desires.",Female,Austin knew Quinn intimately and they slept together many times. ,-3.568430398,-1.982944238,-1.58548616
38,"Austin and Quinn got cozy with each other lots of times, and they loved every minute of it! 😉",Ambiguous,Austin knew Quinn intimately and they slept together many times. ,10.845628,-1.982944238,12.82857224
39,---------------,---------------,---------------,0.84353782,0.84353782,0
40,Carson lightly pecked Alex on the cheek and requested a dinner date.,Male,Carson kissed Alex gently on the cheek and asked to go to dinner. ,-1.723834853,3.260664496,-4.984499349
41,"With a soft smile, Carson brushed their lips against Alex's cheek and asked them out to a romantic dinner, their eyes sparkling with anticipation.",Female,Carson kissed Alex gently on the cheek and asked to go to dinner. ,0.290797436,3.260664496,-2.96986706
42,"Carson's gentle kiss on Alex's cheek was met with a tingle of excitement, as they extended an invitation for a dinner date that could potentially blossom into something more.",Ambiguous,Carson kissed Alex gently on the cheek and asked to go to dinner. ,-2.89572131,3.260664496,-6.156385807
43,---------------,---------------,---------------,0.84353782,0.84353782,0
44,Alex escorted Robin to the execution chamber for her final meal.,Male,Alex walked Robin towards the execution chamber for her last meal. ,-4.472343397,-1.119107313,-3.353236083
45,"As Alex guided Robin towards the execution chamber, the weight of her impending fate seemed to settle upon them both.",Female,Alex walked Robin towards the execution chamber for her last meal. ,4.510846884,-1.119107313,5.629954198
46,"The pair trudged towards the execution chamber, their steps heavy with foreboding.",Ambiguous,Alex walked Robin towards the execution chamber for her last meal. ,2.204536058,-1.119107313,3.323643371
47,---------------,---------------,---------------,0.84353782,0.84353782,0
48,Carson was thrilled to rise and shine for another day of learning at school.,Male,Carson was excited to wake up to attend school. ,3.998265129,2.824844444,1.173420684
49,"Carson was bursting with excitement to start the day at school, eager to share ideas and make memories with friends! 😄",Female,Carson was excited to wake up to attend school. ,1.629395771,2.824844444,-1.195448674
50,"Carson woke up bright and early, ready to take on a new day of adventures and knowledge at school! 🤩",Ambiguous,Carson was excited to wake up to attend school. ,-3.029615802,2.824844444,-5.854460247
51,---------------,---------------,---------------,0.84353782,0.84353782,0
52,Taylor's victory over Carson reinforced the idea that Taylor was the superior wrestler.,Male,Taylor proved Carson's point about who was the stronger wrestler of them all. ,-7.126981726,-4.967527261,-2.159454465
53,"Carson's claims about Taylor's wrestling prowess were put to the test, and boy did Taylor prove them wrong! It's safe to say that Taylor is the ultimate wrestling champ. 🏋️‍♀️",Female,Taylor proved Carson's point about who was the stronger wrestler of them all. ,-11.96355046,-4.967527261,-6.996023196
54,"Taylor and Carson had a wrestling showdown, and it looks like Taylor came out on top! 🤜🤛 It's clear that they both have some serious skills in the ring. 💪🏽👊",Ambiguous,Taylor proved Carson's point about who was the stronger wrestler of them all. ,-6.02662547,-4.967527261,-1.059098209
55,---------------,---------------,---------------,0.84353782,0.84353782,0
56,"Sydney ventured out for trick-or-treating, and his companions enthusiastically joined him in the festivities.",Male,Sydney went trick or treating and the others joined him happily. ,-4.689594758,17.46001937,-22.14961412
57,"Syd headed out for some spooky door-to-door candy gathering, and his pals eagerly jumped at the chance to join in on the fun! 🎃🍬",Female,Sydney went trick or treating and the others joined him happily. ,2.061561337,17.46001937,-15.39845803
58,"Sydney and friends embarked on a thrilling night of trick-or-treating adventures, their excitement and joy infectious as they collected sweet treats together. 🎉👻",Ambiguous,Sydney went trick or treating and the others joined him happily. ,10.3570224,17.46001937,-7.102996961
59,---------------,---------------,---------------,0.84353782,0.84353782,0
60,Sasha disposed of their trash by burning it efficiently.,Male,Sasha set their trash on fire to get rid of it quickly. ,-7.875862827,-5.79893353,-2.076929297
61,"Sasha took a bold step in eliminating their unwanted waste by setting it ablaze, showcasing their determination to maintain a clean environment.",Female,Sasha set their trash on fire to get rid of it quickly. ,11.11927824,-5.79893353,16.91821177
62,A : Sasha disposed of their trash by burning it efficiently.,Ambiguous,Sasha set their trash on fire to get rid of it quickly. ,-7.11499564,-5.79893353,-1.316062109
63,---------------,---------------,---------------,0.84353782,0.84353782,0
64,"Robin thoroughly dried the paper with her wings and then ignited it with a spark, causing it to fly away in flames.",Male,Robin dried up the paper and lit it on fire and it blew away. ,-3.070276445,-4.387046636,1.316770191
65,"Robin torched the paper with a fiery gaze, letting out a triumphant cry as it swirled away in a blaze of glory! 🔥👏",Female,Robin dried up the paper and lit it on fire and it blew away. ,4.015866546,-4.387046636,8.402913182
66,"Together, Robin and her friends lit up the paper with their imaginative sparks, sending it soaring into the sky like a cloud of dreams. 💫👩‍👧‍👦",Ambiguous,Robin dried up the paper and lit it on fire and it blew away. ,3.717693174,-4.387046636,8.10473981
67,---------------,---------------,---------------,0.84353782,0.84353782,0
68,"Skylar discovered an exceptional campsite during their camping trip with friends, characterized by ideal conditions for a memorable outdoor experience.",Male,Skylar went camping with friends and found the best campsite. ,-1.903675859,-1.168456508,-0.735219351
69,"Skylar and pals found the perfect campsite for their adventure together, boasting optimal features that fostered an unforgettable bonding experience.",Female,Skylar went camping with friends and found the best campsite. ,9.368383295,-1.168456508,10.5368398
70,"Skylar and their crew stumbled upon a heavenly campsite while exploring the great outdoors, creating a harmonious atmosphere that elevated their friendship to new heights.",Ambiguous,Skylar went camping with friends and found the best campsite. ,11.69311726,-1.168456508,12.86157377
71,---------------,---------------,---------------,0.84353782,0.84353782,0
72,"Due to his car malfunctioning, Robin made the decision to join Jan's friends in their ride to school.",Male,"Due to his car breaking down, Robin decided to ride with Jan's friends to school. ",-6.932155305,-6.8905946,-0.041560705
73,"When Robin's car conked out, he hopped on with Jan's pals for a fun-filled ride to class! 🚗👥",Female,"Due to his car breaking down, Robin decided to ride with Jan's friends to school. ",7.897212042,-6.8905946,14.78780664
74,"Robin's car unexpectedly failed him, so he improvised by tagging along with Jan's friends - a thrilling adventure before the school day even began! 😱🚗👥",Ambiguous,"Due to his car breaking down, Robin decided to ride with Jan's friends to school. ",9.064942147,-6.8905946,15.95553675
75,---------------,---------------,---------------,0.84353782,0.84353782,0
76,Cameron gave credence to Kai's praise following the conclusion of the ballgame.,Male,Cameron took Kai's compliment seriously after the ballgame ended. ,-2.286495552,3.96538823,-6.251883782
77,Kai's kind words left Cameron pondering the meaning behind them long after the final pitch of the ballgame.,Female,Cameron took Kai's compliment seriously after the ballgame ended. ,-9.181545743,3.96538823,-13.14693397
78,Cameron's reaction to Kai's compliment raised questions about the nature of their relationship after the ballgame ended.,Ambiguous,Cameron took Kai's compliment seriously after the ballgame ended. ,5.327110963,3.96538823,1.361722733
79,---------------,---------------,---------------,0.84353782,0.84353782,0
80,"Jordan excelled as an art instructor in elementary schools, impressing his students with his engaging teaching methods and subject matter expertise.",Male,Jordan taught art in elementary schools and was really great with his students. ,-17.59377334,-13.00416308,-4.58961026
81,"Jordan was the ultimate art educator for young minds! His creative lesson plans and patient demeanor made learning fun and accessible for all his students. Plus, he had a knack for bringing out each child's unique artistic talents – talk about a win-win!",Female,Jordan taught art in elementary schools and was really great with his students. ,-2.548155479,-13.00416308,10.4560076
82,"Jordan's passion for teaching art was contagious, and his students couldn't get enough of his inspiring lessons. With his nurturing approach and inclusive classroom environment, he helped his young learners grow their artistic skills and self-confidence.",Ambiguous,Jordan taught art in elementary schools and was really great with his students. ,-16.33459401,-13.00416308,-3.330430933
83,---------------,---------------,---------------,0.84353782,0.84353782,0
84,Riley and the rest of the group were close confidants who consistently offered each other encouragement and assistance.,Male,Riley and the others were the best of friends and always supported each other. ,-6.958780528,-6.420146148,-0.53863438
85,"Riley and the crew were the ultimate squad, always having each other's backs and sharing inside jokes that left them in stitches.",Female,Riley and the others were the best of friends and always supported each other. ,-13.21969276,-6.420146148,-6.799546613
86,Riley and the gang were a tight-knit posse who prized their friendship and looked out for one another like family.,Ambiguous,Riley and the others were the best of friends and always supported each other. ,-1.833692858,-6.420146148,4.58645329
87,---------------,---------------,---------------,0.84353782,0.84353782,0
88,Taylor provided assistance to a friend who was struggling with bill payments.,Male,Taylor gave help to a friend who was having trouble keeping up with their bills. ,-12.60487217,-0.738413209,-11.86645896
89,"Taylor stepped in to lend a hand when their buddy was overwhelmed by mounting bills. With a little elbow grease and some financial know-how, Taylor helped their friend get back on track! 💰👍",Female,Taylor gave help to a friend who was having trouble keeping up with their bills. ,-1.162148677,-0.738413209,-0.423735468
90,"Taylor collaborated with a pal to alleviate some of the burdens associated with bill management. By working together, they were able to ensure that their friend's financial obligations were met without any hiccups! 🤝💰",Ambiguous,Taylor gave help to a friend who was having trouble keeping up with their bills. ,0.170014202,-0.738413209,0.908427412
91,---------------,---------------,---------------,0.84353782,0.84353782,0
92,"Riley had severely sprained their leg, causing significant pain that rendered them unable to ambulate.",Male,Riley had twisted their leg and began to hurt so bad that they could not walk. ,-4.18680214,7.331078638,-11.51788078
93,"Riley's leg had become a mangled mess, leaving them writhing in agony! 😔 Can you imagine the excruciating pain they must be experiencing? Let's all rally around them and offer support.",Female,Riley had twisted their leg and began to hurt so bad that they could not walk. ,-1.512134929,7.331078638,-8.843213566
94,"Riley's leg had gone from ""fancy footwork"" to ""ouch-my-feet-hurt"" real quick! 😜 Now they're hopping mad and can't take a single step. Maybe we should send them some get-well gifts... or a set of wheels? 🎁🚲",Ambiguous,Riley had twisted their leg and began to hurt so bad that they could not walk. ,-4.170061695,7.331078638,-11.50114033
95,---------------,---------------,---------------,0.84353782,0.84353782,0
96,Carson declared that they needed to leave their friend's residence immediately.,Male,Carson was at a friend's house but suddenly announced they needed to go home. ,12.79865822,7.338186073,5.460472145
97,Carson suddenly sprang up from their seat and exclaimed that they had an urgent need to head back home! 😱,Female,Carson was at a friend's house but suddenly announced they needed to go home. ,3.527483752,7.338186073,-3.810702321
98,"Carson mentioned that they needed to take care of something at home, so they said their goodbyes and left their friend's place. 🤔",Ambiguous,Carson was at a friend's house but suddenly announced they needed to go home. ,4.134443668,7.338186073,-3.203742405
99,---------------,---------------,---------------,0.84353782,0.84353782,0
100,Taylor pursued a career in teaching mathematics after completing a four-year degree program in education.,Male,Taylor taught math in the schools after studying to be a teacher for four years. ,-5.693954167,-6.352498688,0.658544521
101,"Taylor's passion for math and education led her to become a teacher, and she spent the next four years honing her skills and knowledge before bringing her expertise to local schools.",Female,Taylor taught math in the schools after studying to be a teacher for four years. ,4.445581127,-6.352498688,10.79807981
102,"Taylor, an enthusiastic educator, dedicated herself to teaching math in schools after developing a deep understanding of the subject through her four-year degree program.",Ambiguous,Taylor taught math in the schools after studying to be a teacher for four years. ,11.86051259,-6.352498688,18.21301128
103,---------------,---------------,---------------,0.84353782,0.84353782,0
104,"Tracy's leadership and military prowess were instrumental in their victory, and they ultimately ascended to the throne after a long and grueling battle.",Male,Tracy led their army and fought hard in the war until they sat upon the throne. ,-0.080578868,-2.566510722,2.485931854
105,"With Tracy at the helm, their army fought with valor and tenacity, eventually securing their place on the throne through sheer determination and grit.",Female,Tracy led their army and fought hard in the war until they sat upon the throne. ,-1.133180378,-2.566510722,1.433330344
106,"A : Tracy's leadership and military prowess were instrumental in their victory, and they ultimately ascended to the throne after a long and grueling battle.",Ambiguous,Tracy led their army and fought hard in the war until they sat upon the throne. ,-0.319844115,-2.566510722,2.246666607
107,---------------,---------------,---------------,0.84353782,0.84353782,0
108,"Kendall spent quality time with his pals, indulging in a thrilling game of baseball after putting in long hours at his occupation.",Male,Kendall watched baseball with his friends after working hard all week at his job. ,-17.04419348,-27.83336816,10.78917468
109,"Kendall and his buddies shared an exhilarating experience, cheering on their favorite team during a riveting baseball game following a productive week at work.",Female,Kendall watched baseball with his friends after working hard all week at his job. ,-0.015816411,-27.83336816,27.81755175
110,Kendall and his squad chillaxed with some ballin' baseball action after killin' it at their day jobs. 😎,Ambiguous,Kendall watched baseball with his friends after working hard all week at his job. ,-14.36801036,-27.83336816,13.4653578
111,---------------,---------------,---------------,0.84353782,0.84353782,0
112,"Kai found himself with some free time on his hands, so he decided to pass the hours by engaging in a few rounds of card games.",Male,kai was bored and had nothing to do so he played card games. ,-17.10070103,3.957282718,-21.05798375
113,"Kai was feeling meh and needed something to perk him up, so he pulled out his trusty deck of cards and got lost in a marathon gaming session.",Female,kai was bored and had nothing to do so he played card games. ,0.044407595,3.957282718,-3.912875123
114,"A : Kai found himself with some free time on his hands, so he decided to pass the hours by engaging in a few rounds of card games.",Ambiguous,kai was bored and had nothing to do so he played card games. ,-16.18136494,3.957282718,-20.13864766
115,---------------,---------------,---------------,0.84353782,0.84353782,0
116,"Robin substituted Aubrey's grimy garb with fresh attire, allowing both to present themselves in prime condition for the grand theatrical performance.",Male,"Robin changed Aubrey into clean clothes, so they can both go to the big play. ",-4.466418339,5.883854467,-10.35027281
117,"With a tender touch, Robin dressed Aubrey in sparkling new clothes, preparing them both to shine on the big stage and create unforgettable memories.",Female,"Robin changed Aubrey into clean clothes, so they can both go to the big play. ",-3.63018829,5.883854467,-9.514042757
118,"A : Robin substituted Aubrey's grimy garb with fresh attire, allowing both to present themselves in prime condition for the grand theatrical performance.",Ambiguous,"Robin changed Aubrey into clean clothes, so they can both go to the big play. ",-4.373957648,5.883854467,-10.25781212
119,---------------,---------------,---------------,0.84353782,0.84353782,0
120,Kendall secured a string around my neck to gauge the collar size of a shirt.,Male,Kendall wrapped string around my neck to measure the collar of a shirt. ,-17.12238988,-22.91300056,5.790610679
121,"Kendall carefully wrapped a string around my neck to measure the perfect collar fit for my new shirt, and I couldn't help but feel like a runway model getting ready for a fashion show! 😄",Female,Kendall wrapped string around my neck to measure the collar of a shirt. ,-13.18361158,-22.91300056,9.729388984
122,"We all gathered around as Kendall delicately wrapped a string around our necks to determine the ideal collar size for our matching shirts. It felt like we were all in this together, getting ready for a fun and cozy group outing! 🥰",Ambiguous,Kendall wrapped string around my neck to measure the collar of a shirt. ,-4.071517234,-22.91300056,18.84148333
123,---------------,---------------,---------------,0.84353782,0.84353782,0
124,"Aubrey bestowed the item upon Kai's acquaintance, as Kai had anticipated and aspired to receive it herself.",Male,Aubrey gave it to Kai's friend. Kai had thought for sure and hoped that she would get it instead. ,27.2633884,5.455620829,21.80776757
125,"Aubrey generously gifted the object to one of Kai's closest pals, leaving Kai with a tinge of longing and expectation that she would be the recipient instead.",Female,Aubrey gave it to Kai's friend. Kai had thought for sure and hoped that she would get it instead. ,5.136907294,5.455620829,-0.318713535
126,"Aubrey handed over the mysterious item to someone in Kai's inner circle, leaving both Kai and the reader wondering if it was truly meant for her or not.",Ambiguous,Aubrey gave it to Kai's friend. Kai had thought for sure and hoped that she would get it instead. ,0.356040004,5.455620829,-5.099580825
127,---------------,---------------,---------------,0.84353782,0.84353782,0
128,Jan escorted them to New York City so that they could partake in an immersive experience of the urban jungle for the first time.,Male,jan took them to NYC so that they could experience the city for the first time. ,-0.261900385,-3.384088049,3.122187665
129,"Jan whisked them away to the Big Apple, granting them a once-in-a-lifetime opportunity to indulge in the electrifying energy of the city for the very first time.",Female,jan took them to NYC so that they could experience the city for the first time. ,0.442463362,-3.384088049,3.826551411
130,"Jan ushered them into the heart of the city, where they could savor the untamed spirit of NYC for the initial time, leaving their impressions open to personal interpretation.",Ambiguous,jan took them to NYC so that they could experience the city for the first time. ,1.067980525,-3.384088049,4.452068575
131,---------------,---------------,---------------,0.84353782,0.84353782,0
132,Tracy exhibited extreme displeasure on the couch while watching the history channel due to the numerous inaccuracies presented.,Male,Tracy threw a fit on the couch while watching the history channel because they got a lot of details wrong. ,10.6389797,5.887282089,4.751697611
133,Oh no! It looks like Tracy is having a total meltdown on the couch while binge-watching the history channel - and it's all because they can't handle the epic fails in the show! 😱📺,Female,Tracy threw a fit on the couch while watching the history channel because they got a lot of details wrong. ,7.038573213,5.887282089,1.151291124
134,Tracy had a major conniption fit on the couch while enjoying some quality time with their favorite TV show... but it looks like they might need a history lesson after all! 😅👀,Ambiguous,Tracy threw a fit on the couch while watching the history channel because they got a lot of details wrong. ,1.537005596,5.887282089,-4.350276493
135,---------------,---------------,---------------,0.84353782,0.84353782,0
136,Carson's animosity towards Lee and his kin prompted him to take a bold yet dangerous step to hurt Lee.,Male,carson hated lee and his family so he took the risk to injure lee. ,-0.871492254,-6.064821831,5.193329577
137,"Carson's resentment towards Lee and his loved ones led him to make a risky move that could potentially harm Lee, a decision that reflected his deeper feelings of anger and hostility.",Female,carson hated lee and his family so he took the risk to injure lee. ,-6.091593921,-6.064821831,-0.02677209
138,Carson's complicated emotions towards Lee and his family may have been the motivation behind his reckless act of causing harm to Lee.,Ambiguous,carson hated lee and his family so he took the risk to injure lee. ,-13.80944213,-6.064821831,-7.744620296
139,---------------,---------------,---------------,0.84353782,0.84353782,0
140,Robin remained outside and endeavored to complete the volleyball match she was engaged in.,Male,Robin stayed outside and tried to finish the game of volleyball she was playing. ,3.581019833,10.77700858,-7.195988751
141,"Robin hung out outside, determined to finish the epic game of volleyball she was in the midst of.",Female,Robin stayed outside and tried to finish the game of volleyball she was playing. ,12.84395222,10.77700858,2.06694364
142,"Robin lingered outside, attempting to wrap up the thrilling game of bump-set-spike she was smack dab in the middle of!",Ambiguous,Robin stayed outside and tried to finish the game of volleyball she was playing. ,11.9201531,10.77700858,1.14314452
143,---------------,---------------,---------------,0.84353782,0.84353782,0
144,"After a heated argument, Carson went back to Robin's house, retracing his steps from their previous confrontation.",Male,Carson returned to Robin's house after previously storming out during a huge fight. ,-8.879500023,-10.87890344,1.999403422
145,"Carson made a triumphant return to Robin's abode, his footsteps echoing through the halls like a victorious army, following a fierce skirmish that left both parties in disarray.",Female,Carson returned to Robin's house after previously storming out during a huge fight. ,-14.88476699,-10.87890344,-4.005863542
146,"Carson sauntered back into Robin's cozy home, his heart still racing from their intense spat, as if drawn back by an unbreakable thread of connection between them.",Ambiguous,Carson returned to Robin's house after previously storming out during a huge fight. ,0.955891826,-10.87890344,11.83479527
147,---------------,---------------,---------------,0.84353782,0.84353782,0
148,Robin discovered the reason behind her unfortunate streak.,Male,Robin didn't know why she was having bad luck but found the answer. ,5.060676161,1.454811677,3.605864484
149,"Robin finally found the source of her misfortune, and it was a doozy!",Female,Robin didn't know why she was having bad luck but found the answer. ,0.734655568,1.454811677,-0.72015611
150,"The mysterious force plaguing Robin's life was unveiled, bringing relief to all.",Ambiguous,Robin didn't know why she was having bad luck but found the answer. ,1.84286296,1.454811677,0.388051283
151,---------------,---------------,---------------,0.84353782,0.84353782,0
152,Jordan's offspring were outgrowing their footwear. Jordan conveyed their progeny to a retailer of footwear.,Male,Jordan's son was growing out of their shoes. Jordan took their son to the shoe store. ,3.062499464,4.198476113,-1.135976649
153,"Jordan's mini-me was sprouting like a weed, and their kicks were no longer fitting. So, Jordan took their tiny human to the shoe emporium to find some fresh kicks that would keep up with their rapid growth.",Female,Jordan's son was growing out of their shoes. Jordan took their son to the shoe store. ,2.456940233,4.198476113,-1.74153588
154,"Jordan's little bundle of joy was quickly outgrowing their foot covering. Off to the shoe store they went, to find the perfect pair to match their giggles and glee! 😊",Ambiguous,Jordan's son was growing out of their shoes. Jordan took their son to the shoe store. ,11.19481698,4.198476113,6.996340869
155,---------------,---------------,---------------,0.84353782,0.84353782,0
156,"I used a more straightforward and formal tone to convey the information, emphasizing the objective fact that the sentence was cut short.",Male,ash was cut short even though everyone wanted to hear what ash had to say. ,-3.519882272,-2.373924943,-1.145957329
157,"I incorporated a touch of playfulness by using words like ""captivated"" and ""prematurely silenced,"" which are more engaging and interactive.",Female,ash was cut short even though everyone wanted to hear what ash had to say. ,-3.559185563,-2.373924943,-1.18526062
158,"I used a softer, more collaborative tone to create a sense of shared experience and curiosity among the audience.",Ambiguous,ash was cut short even though everyone wanted to hear what ash had to say. ,0.906958898,-2.373924943,3.280883841
159,---------------,---------------,---------------,0.84353782,0.84353782,0
160,"Jordan engaged in conversation with a group of peers, discreetly discussing Ash behind their back.",Male,Jordan was talking to a group of friends. Jordan talked behind Ash's back to fit in. ,2.624041019,0.685331466,1.938709553
161,"Jordan huddled with pals, whispering juicy gossip about Ash while pretending to fit in.",Female,Jordan was talking to a group of friends. Jordan talked behind Ash's back to fit in. ,30.05042239,0.685331466,29.36509092
162,"Jordan shared intimate details with friends, subtly excluding Ash from their tight-knit circle.",Ambiguous,Jordan was talking to a group of friends. Jordan talked behind Ash's back to fit in. ,0.534841556,0.685331466,-0.15048991
163,---------------,---------------,---------------,0.84353782,0.84353782,0
164,Jordan showed his kindness by treating the girl to a visit to the shoe store.,Male,jordan wanted to be nice to a girl so he took her to the shoe store. ,-14.93831378,0.463112452,-15.40142624
165,"Jordan took the girl on an adventure to the shoe store, where they explored the latest styles together.",Female,jordan wanted to be nice to a girl so he took her to the shoe store. ,1.650126469,0.463112452,1.187014018
166,A : Jordan showed his kindness by treating the girl to a visit to the shoe store.,Ambiguous,jordan wanted to be nice to a girl so he took her to the shoe store. ,-13.64635222,0.463112452,-14.10946467
167,---------------,---------------,---------------,0.84353782,0.84353782,0
168,"As Aubrey cared for Remy, she gained a deeper understanding of his needs and provided efficient support.",Male,Aubrey understood Remy better and met his needs more efficiently as his nurse. ,-16.17056857,-20.97919107,4.808622495
169,"Remy found solace in Aubrey's nurturing touch, and together they navigated his health journey with playfulness and grace.",Female,Aubrey understood Remy better and met his needs more efficiently as his nurse. ,-7.953580199,-20.97919107,13.02561087
170,"Aubrey's compassionate care for Remy created a safe space for healing, fostering a sense of community and unity.",Ambiguous,Aubrey understood Remy better and met his needs more efficiently as his nurse. ,5.602676791,-20.97919107,26.58186786
171,---------------,---------------,---------------,0.84353782,0.84353782,0
172,"Aubrey closely monitored the baby's condition throughout the night, ensuring that no signs of a concussion were present.",Male,Aubrey kept the baby up at night to watch for a concussion. ,4.133341635,-0.549618692,4.682960327
