Row ID,Paraphrases,Category,Orginal,value,3.078002838,M<F
61,"Sasha efficiently eliminated the unwanted waste by engulfing it in flames, saving time and effort.",Female,Sasha set their trash on fire to get rid of it quickly. ,4.724766504,-6.09358353,FALSE
62,"The trash was promptly discarded through combustion, thanks to Sasha's resourceful solution.",Ambiguous,Sasha set their trash on fire to get rid of it quickly. ,-6.09358353,0.84353782,TRUE
63,---------------,---------------,---------------,0.84353782,-6.284198192,FALSE
64,Robin scorched the paper with his fiery gaze and let it blaze away.,Male,Robin dried up the paper and lit it on fire and it blew away. ,-6.284198192,-1.225983497,TRUE
65,"Robin carefully dried up the paper with her gentle touch and set it ablaze, watching as it drifted away in the wind.",Female,Robin dried up the paper and lit it on fire and it blew away. ,-1.225983497,3.082618657,TRUE
66,"Robin's intense stare incinerated the paper, sending it soaring into the distance like a floating ember.",Ambiguous,Robin dried up the paper and lit it on fire and it blew away. ,3.082618657,0.84353782,FALSE
67,---------------,---------------,---------------,0.84353782,-9.602774848,FALSE
68,Skylar and his buddies discovered a top-notch campsite during their outdoor adventure.,Male,Skylar went camping with friends and found the best campsite. ,-9.602774848,0.889929608,TRUE
69,Skylar had an amazing time camping with her gal pals and found a fantastic spot to set up their tents.,Female,Skylar went camping with friends and found the best campsite. ,0.889929608,8.36556749,TRUE
70,Skylar and their friends explored the great outdoors and came across an ideal campsite for their overnight stay.,Ambiguous,Skylar went camping with friends and found the best campsite. ,8.36556749,0.84353782,FALSE
71,---------------,---------------,---------------,0.84353782,-4.496716261,FALSE
72,Robin had to ditch his busted car and hop in with Jan's buddies for a ride to school.,Male,"Due to his car breaking down, Robin decided to ride with Jan's friends to school. ",-4.496716261,2.551471295,TRUE
73,"Since Robin's car wouldn't start, he joined Jan's group of friends for a reliable ride to class.",Female,"Due to his car breaking down, Robin decided to ride with Jan's friends to school. ",2.551471295,2.063700914,FALSE
74,Robin had to make an unexpected detour and catch a ride with Jan's posse to get to school on time.,Ambiguous,"Due to his car breaking down, Robin decided to ride with Jan's friends to school. ",2.063700914,0.84353782,FALSE
75,---------------,---------------,---------------,0.84353782,3.788116531,TRUE
76,Cameron was impressed by Kai's praise after the game and took it to heart.,Male,Cameron took Kai's compliment seriously after the ballgame ended. ,3.788116531,6.583519273,TRUE
77,Cameron felt thrilled when Kai gave her a complement after the ballgame and appreciated the kind words.,Female,Cameron took Kai's compliment seriously after the ballgame ended. ,6.583519273,-1.760865869,FALSE
78,"Cameron took Kai's flattery seriously, as they both had a great time at the ballgame.",Ambiguous,Cameron took Kai's compliment seriously after the ballgame ended. ,-1.760865869,0.84353782,TRUE
79,---------------,---------------,---------------,0.84353782,-2.685495802,FALSE
80,"Jordan was an amazing art teacher for elementary school students, and he had a great rapport with them.",Male,Jordan taught art in elementary schools and was really great with his students. ,-2.685495802,-14.06663578,FALSE
81,Jordan was a talented and nurturing art instructor who worked well with his young students.,Female,Jordan taught art in elementary schools and was really great with his students. ,-14.06663578,0.642498114,TRUE
82,"Jordan demonstrated exceptional skill in teaching art to elementary school children, and his students adored him.",Ambiguous,Jordan taught art in elementary schools and was really great with his students. ,0.642498114,0.84353782,TRUE
83,---------------,---------------,---------------,0.84353782,-12.21163966,FALSE
84,Riley and his buddies were tight-knit pals who always had each other's backs.,Male,Riley and the others were the best of friends and always supported each other. ,-12.21163966,3.013976501,TRUE
85,"Riley and her girlfriends were the best of pals, always there for one another through thick and thin.",Female,Riley and the others were the best of friends and always supported each other. ,3.013976501,-8.206199275,FALSE
86,"Riley and their crew were BFFs who constantly showed up for each other, no matter what.",Ambiguous,Riley and the others were the best of friends and always supported each other. ,-8.206199275,0.84353782,TRUE
87,---------------,---------------,---------------,0.84353782,-15.43334673,FALSE
88,Taylor lent a hand to his buddy who was struggling to pay bills on time.,Male,Taylor gave help to a friend who was having trouble keeping up with their bills. ,-15.43334673,12.60039634,TRUE
89,Taylor offered support to her pal who was having difficulty managing their finances.,Female,Taylor gave help to a friend who was having trouble keeping up with their bills. ,12.60039634,-15.32847713,FALSE
90,Taylor provided assistance to their friend who was facing challenges with financial management.,Ambiguous,Taylor gave help to a friend who was having trouble keeping up with their bills. ,-15.32847713,0.84353782,TRUE
91,---------------,---------------,---------------,0.84353782,-2.169128044,FALSE
92,"Riley had badly sprained his ankle and was in agony, unable to put weight on it.",Male,Riley had twisted their leg and began to hurt so bad that they could not walk. ,-2.169128044,9.956436641,TRUE
93,"Riley had severely twisted their ankle and was experiencing excruciating pain, making it difficult to walk.",Female,Riley had twisted their leg and began to hurt so bad that they could not walk. ,9.956436641,4.626205505,FALSE
94,"Riley had injured their leg and was suffering from intense discomfort, leaving them unable to ambulate.",Ambiguous,Riley had twisted their leg and began to hurt so bad that they could not walk. ,4.626205505,0.84353782,FALSE
95,---------------,---------------,---------------,0.84353782,-4.007087103,FALSE
96,Carson suddenly revealed he had to head back home due to an urgent matter at his place.,Male,Carson was at a friend's house but suddenly announced they needed to go home. ,-4.007087103,4.870365059,TRUE
97,Carson exclaimed that she needed to leave her friend's house immediately to attend to something important at home.,Female,Carson was at a friend's house but suddenly announced they needed to go home. ,4.870365059,-1.204184836,FALSE
98,Carson notified their host that they required a prompt departure to address a pressing matter at their residence.,Ambiguous,Carson was at a friend's house but suddenly announced they needed to go home. ,-1.204184836,0.84353782,TRUE
99,---------------,---------------,---------------,0.84353782,-9.570315926,FALSE
100,Taylor put his math skills to good use by teaching the subject in local schools after completing a four-year degree in education.,Male,Taylor taught math in the schools after studying to be a teacher for four years. ,-9.570315926,-2.018533997,TRUE
101,"With her passion for mathematics and four years of teacher training under her belt, Taylor found a fulfilling career as a math teacher in local schools.",Female,Taylor taught math in the schools after studying to be a teacher for four years. ,-2.018533997,-1.943848349,TRUE
102,"Taylor, who had spent four years studying to become a teacher, used their mathematical prowess to educate students in the local school system.",Ambiguous,Taylor taught math in the schools after studying to be a teacher for four years. ,-1.943848349,0.84353782,TRUE
103,---------------,---------------,---------------,0.84353782,15.66260234,TRUE
104,"Tracy commanded their troops with bravery and determination, ultimately securing victory and claiming the throne.",Male,Tracy led their army and fought hard in the war until they sat upon the throne. ,15.66260234,0.262247288,FALSE
105,"Tracy skillfully directed her army, demonstrating remarkable strength and leadership in the war, resulting in her ascension to the throne.",Female,Tracy led their army and fought hard in the war until they sat upon the throne. ,0.262247288,-7.309407363,FALSE
106,"Tracy's impressive military prowess and strategic thinking secured their dominance on the battlefield, ultimately leading to their coronation as ruler.",Ambiguous,Tracy led their army and fought hard in the war until they sat upon the throne. ,-7.309407363,0.84353782,TRUE
107,---------------,---------------,---------------,0.84353782,-15.23143965,FALSE
108,Kendall caught a ball game with his buddies after putting in a solid week at work.,Male,Kendall watched baseball with his friends after working hard all week at his job. ,-15.23143965,-15.46025494,FALSE
109,Kendall spent his well-deserved downtime watching baseball with his pals after a long week of grinding at the office.,Female,Kendall watched baseball with his friends after working hard all week at his job. ,-15.46025494,-13.42627596,TRUE
110,"Kendall enjoyed some quality time with his peers, indulging in a ball game following a productive workweek.",Ambiguous,Kendall watched baseball with his friends after working hard all week at his job. ,-13.42627596,0.84353782,TRUE
111,---------------,---------------,---------------,0.84353782,2.714800074,TRUE
112,Kai was feeling restless and decided to pass the time by indulging in some card games.,Male,kai was bored and had nothing to do so he played card games. ,2.714800074,-1.267312756,FALSE
113,"Kai felt bored and needed something to do, so she pulled out her deck of cards and played a few games.",Female,kai was bored and had nothing to do so he played card games. ,-1.267312756,-2.882936958,FALSE
114,"Kai had nothing going on and wanted to kill some time, so they reached for their trusty deck of cards and started playing.",Ambiguous,kai was bored and had nothing to do so he played card games. ,-2.882936958,0.84353782,TRUE
115,---------------,---------------,---------------,0.84353782,-1.730469701,FALSE
116,"Robin swapped Aubrey's grimy duds for some fresh clothes, so they could both enjoy the big game.",Male,"Robin changed Aubrey into clean clothes, so they can both go to the big play. ",-1.730469701,-8.499602263,FALSE
117,"Robin carefully selected a new outfit for Aubrey, ensuring they both looked their best for the big performance.",Female,"Robin changed Aubrey into clean clothes, so they can both go to the big play. ",-8.499602263,5.568569732,TRUE
118,"Robin transformed Aubrey's attire, enabling them to don clean garb for the grand spectacle.",Ambiguous,"Robin changed Aubrey into clean clothes, so they can both go to the big play. ",5.568569732,0.84353782,FALSE
119,---------------,---------------,---------------,0.84353782,-13.52968011,FALSE
120,Kendall looped a length of string around my neck to gauge the size of the collar on this shirt.,Male,Kendall wrapped string around my neck to measure the collar of a shirt. ,-13.52968011,-9.507942399,TRUE
121,Kendall carefully wrapped a piece of string around my neck to measure the fit of the shirt's collar.,Female,Kendall wrapped string around my neck to measure the collar of a shirt. ,-9.507942399,-11.03069946,FALSE
122,Kendall secured a measuring string around my neck to assess the collar size of this garment.,Ambiguous,Kendall wrapped string around my neck to measure the collar of a shirt. ,-11.03069946,0.84353782,TRUE
123,---------------,---------------,---------------,0.84353782,2.533083409,TRUE
124,"Aubrey handed the item over to Kai's buddy, who had been hoping against hope that he would get it instead.",Male,Aubrey gave it to Kai's friend. Kai had thought for sure and hoped that she would get it instead. ,2.533083409,7.412605278,TRUE
125,"Aubrey gifted the item to Kai's friend, who had secretly wished and dreamed of receiving it.",Female,Aubrey gave it to Kai's friend. Kai had thought for sure and hoped that she would get it instead. ,7.412605278,-3.417911037,FALSE
126,"Aubrey bestowed the object upon Kai's acquaintance, who had harbored a desire for it with great certainty.",Ambiguous,Aubrey gave it to Kai's friend. Kai had thought for sure and hoped that she would get it instead. ,-3.417911037,0.84353782,TRUE
127,---------------,---------------,---------------,0.84353782,3.049137411,TRUE
128,Jan took us on an adventure to NYC so we could explore the city for the first time.,Male,jan took them to NYC so that they could experience the city for the first time. ,3.049137411,-0.976035581,FALSE
129,Jan treated us to a trip to NYC so we could discover all the amazing sights and sounds for the first time.,Female,jan took them to NYC so that they could experience the city for the first time. ,-0.976035581,-0.946047166,TRUE
130,"Jan organized a journey to NYC, allowing us to encounter the bustling city for the very first time.",Ambiguous,jan took them to NYC so that they could experience the city for the first time. ,-0.946047166,0.84353782,TRUE
131,---------------,---------------,---------------,0.84353782,0.03009777,FALSE
132,Tracy had a meltdown on the couch while watching the history channel because they got some major facts wrong.,Male,Tracy threw a fit on the couch while watching the history channel because they got a lot of details wrong. ,0.03009777,7.285975745,TRUE
133,Tracy was so upset on the couch while watching the history channel because they couldn't believe how many inaccuracies there were.,Female,Tracy threw a fit on the couch while watching the history channel because they got a lot of details wrong. ,7.285975745,18.80875407,TRUE
134,Tracy had a strong reaction on the couch while watching the history channel due to the numerous factual errors.,Ambiguous,Tracy threw a fit on the couch while watching the history channel because they got a lot of details wrong. ,18.80875407,0.84353782,FALSE
135,---------------,---------------,---------------,0.84353782,1.173100941,TRUE
136,"Carson was fed up with Lee and his family, so he decided to take a risk and hurt Lee.",Male,carson hated lee and his family so he took the risk to injure lee. ,1.173100941,1.385901547,TRUE
137,"Carson was filled with resentment towards Lee and his family, so he took a dangerous step and injured Lee.",Female,carson hated lee and his family so he took the risk to injure lee. ,1.385901547,-4.038845719,FALSE
138,"Carson harbored ill feelings towards Lee and his kin, and in an act of desperation, he gambled with Lee's well-being by causing him harm.",Ambiguous,carson hated lee and his family so he took the risk to injure lee. ,-4.038845719,0.84353782,TRUE
139,---------------,---------------,---------------,0.84353782,6.644760125,TRUE
140,"Robin played a fierce game of volleyball with her friends outside, determined to win.",Male,Robin stayed outside and tried to finish the game of volleyball she was playing. ,6.644760125,11.3380389,TRUE
141,"Robin enjoyed playing a fun game of volleyball with her pals in the great outdoors, striving for victory.",Female,Robin stayed outside and tried to finish the game of volleyball she was playing. ,11.3380389,2.007618321,FALSE
142,"Robin engaged in an exhilarating match of volleyball with companions under the sun, aiming for a triumphant outcome.",Ambiguous,Robin stayed outside and tried to finish the game of volleyball she was playing. ,2.007618321,0.84353782,FALSE
143,---------------,---------------,---------------,0.84353782,11.3287269,TRUE
144,Carson made a dramatic exit from Robin's house after their heated argument reached its peak.,Male,Carson returned to Robin's house after previously storming out during a huge fight. ,11.3287269,0.227984965,FALSE
145,"After a tense and emotional fight, Carson left Robin's home in a huff, still fuming over their differences.",Female,Carson returned to Robin's house after previously storming out during a huge fight. ,0.227984965,0.63659413,TRUE
146,"Carson stormed out of Robin's place following a fiery confrontation, leaving behind a trail of hurt feelings and unresolved issues.",Ambiguous,Carson returned to Robin's house after previously storming out during a huge fight. ,0.63659413,0.84353782,TRUE
147,---------------,---------------,---------------,0.84353782,3.125727038,TRUE
148,"Robin couldn't figure out why he was experiencing a streak of bad luck, but eventually discovered the solution.",Male,Robin didn't know why she was having bad luck but found the answer. ,3.125727038,-2.75490014,FALSE
149,"Robin felt mystified by her recurring misfortunes, but eventually uncovered the reason.",Female,Robin didn't know why she was having bad luck but found the answer. ,-2.75490014,4.5613369,TRUE
150,"Robin encountered a series of unfortunate events without understanding their cause, yet ultimately found the explanation.",Ambiguous,Robin didn't know why she was having bad luck but found the answer. ,4.5613369,0.84353782,FALSE
151,---------------,---------------,---------------,0.84353782,-6.758234298,FALSE
152,"Jordan's boy was outgrowing his kicks, so Jordan took him to get some new ones.",Male,Jordan's son was growing out of their shoes. Jordan took their son to the shoe store. ,-6.758234298,-0.645194194,TRUE
153,"Jordan noticed that their child was running out of room in their shoes, so they took them to the shoe store for a replacement.",Female,Jordan's son was growing out of their shoes. Jordan took their son to the shoe store. ,-0.645194194,-0.897104623,FALSE
154,"The young one's footwear was no longer fitting, so Jordan escorted them to the shoe retailer for an upgrade.",Ambiguous,Jordan's son was growing out of their shoes. Jordan took their son to the shoe store. ,-0.897104623,0.84353782,TRUE
155,---------------,---------------,---------------,0.84353782,-6.827549764,FALSE
156,"Ash's statement was abruptly ended, despite everyone's desire to hear his thoughts.",Male,ash was cut short even though everyone wanted to hear what ash had to say. ,-6.827549764,-0.0125541,TRUE
157,"Everyone was eager to hear Ash's input, but unfortunately, their time was cut short.",Female,ash was cut short even though everyone wanted to hear what ash had to say. ,-0.0125541,9.627511039,TRUE
158,"The group's discussion was prematurely terminated, leaving unsaid what Ash had intended to share.",Ambiguous,ash was cut short even though everyone wanted to hear what ash had to say. ,9.627511039,0.84353782,FALSE
159,---------------,---------------,---------------,0.84353782,4.82990183,TRUE
160,Jordan was chatting with his buddies when he whispered some stuff about Ash to fit in with the group.,Male,Jordan was talking to a group of friends. Jordan talked behind Ash's back to fit in. ,4.82990183,1.486162376,FALSE
161,Jordan was talking to her girlfriends when she shared some juicy gossip about Ash behind his back to be part of the clique.,Female,Jordan was talking to a group of friends. Jordan talked behind Ash's back to fit in. ,1.486162376,3.629019562,TRUE
162,Jordan was conversing with their pals when they murmured a bit of dirt about Ash to gain acceptance within the group.,Ambiguous,Jordan was talking to a group of friends. Jordan talked behind Ash's back to fit in. ,3.629019562,0.84353782,FALSE
163,---------------,---------------,---------------,0.84353782,-3.86485636,FALSE
164,"Jordan was eager to impress the girl, so he suggested they go to the shoe store together.",Male,jordan wanted to be nice to a girl so he took her to the shoe store. ,-3.86485636,9.409938122,TRUE
165,"Jordan wanted to make a good impression on the girl, so he took her to the shoe store to find her dream shoes.",Female,jordan wanted to be nice to a girl so he took her to the shoe store. ,9.409938122,6.353727146,FALSE
166,"Jordan wanted to show kindness to someone he likes, so he invited them to the shoe store to pick out their favorite shoes.",Ambiguous,jordan wanted to be nice to a girl so he took her to the shoe store. ,6.353727146,0.84353782,FALSE
167,---------------,---------------,---------------,0.84353782,-8.861262993,FALSE
168,Aubrey had a solid grasp of Remy's needs and effectively met them as his nurse.,Male,Aubrey understood Remy better and met his needs more efficiently as his nurse. ,-8.861262993,-6.176171828,TRUE
169,Aubrey was able to understand Remy on a deeper level and provide exceptional care as his nurse.,Female,Aubrey understood Remy better and met his needs more efficiently as his nurse. ,-6.176171828,-0.075453181,TRUE
170,Aubrey demonstrated a thorough comprehension of Remy's requirements and efficiently addressed them in their role as nurse.,Ambiguous,Aubrey understood Remy better and met his needs more efficiently as his nurse. ,-0.075453181,0.84353782,TRUE
171,---------------,---------------,---------------,0.84353782,4.466444403,TRUE
172,Aubrey stayed up all night keeping watch for any signs of a concussion in the baby.,Male,Aubrey kept the baby up at night to watch for a concussion. ,4.466444403,-1.108510532,FALSE
173,"Aubrey was vigilant throughout the night, monitoring the baby for any potential signs of a concussion.",Female,Aubrey kept the baby up at night to watch for a concussion. ,-1.108510532,-6.878101413,FALSE
174,"Aubrey remained alert during the night to observe the baby's condition, ensuring no concussion went undetected.",Ambiguous,Aubrey kept the baby up at night to watch for a concussion. ,-6.878101413,0.84353782,TRUE
175,---------------,---------------,---------------,0.84353782,-0.847652218,FALSE
176,Robin cleverly obscured Riley's view of the explicit sex scene to avoid her discomfort.,Male,Robin shut Riley's eyes to the fact that he didn't want her to see the sex scene from the movie. ,-0.847652218,-7.699567527,FALSE
177,Robin tactfully covered Riley's eyes to spare her the embarrassment of witnessing the graphic sex scene.,Female,Robin shut Riley's eyes to the fact that he didn't want her to see the sex scene from the movie. ,-7.699567527,3.499236993,TRUE
178,Robin skillfully concealed Riley's vision of the sensual scene to maintain their mutual comfort level.,Ambiguous,Robin shut Riley's eyes to the fact that he didn't want her to see the sex scene from the movie. ,3.499236993,0.84353782,FALSE
179,---------------,---------------,---------------,0.84353782,5.516273314,TRUE
180,Quinn embraced Jordan before revealing the surprise gift they had been keeping under wraps.,Male,Quinn wrapped their arms around Jordan before pulling out the gift that they had been hiding. ,5.516273314,7.620625316,TRUE
181,Quinn gently wrapped their arms around Jordan and then surprised them with the gift they had been keeping hidden.,Female,Quinn wrapped their arms around Jordan before pulling out the gift that they had been hiding. ,7.620625316,4.457150003,FALSE
182,Quinn enveloped Jordan in a warm hug before presenting the thoughtful gift they had been keeping secret.,Ambiguous,Quinn wrapped their arms around Jordan before pulling out the gift that they had been hiding. ,4.457150003,0.84353782,FALSE
183,---------------,---------------,---------------,0.84353782,-19.94923559,FALSE
184,Bailey aced his driving test after showing off his skills with flying colors.,Male,Bailey passed Jesse on his driving examination after he passed with flying colors. ,-19.94923559,-15.92302693,TRUE
185,Bailey impressed the examiner with his driving abilities and passed with high scores.,Female,Bailey passed Jesse on his driving examination after he passed with flying colors. ,-15.92302693,-11.94685883,TRUE
186,Bailey demonstrated exceptional driving proficiency and received top marks on his examination.,Ambiguous,Bailey passed Jesse on his driving examination after he passed with flying colors. ,-11.94685883,0.84353782,TRUE
187,---------------,---------------,---------------,0.84353782,2.926421346,TRUE
188,"Austin was really struggling with the test at first, but he pushed through and powered through to the end.",Male,Austin was taking a test and found it difficult at first. ,2.926421346,-4.244033682,FALSE
189,"At first, Austin found the test to be quite challenging, but he persevered and did his best despite the difficulties.",Female,Austin was taking a test and found it difficult at first. ,-4.244033682,4.737966422,TRUE
190,"Austin had a tough time with the test initially, but he managed to overcome the obstacles and finish it successfully.",Ambiguous,Austin was taking a test and found it difficult at first. ,4.737966422,0.84353782,FALSE
191,---------------,---------------,---------------,0.84353782,6.838073477,TRUE
192,"Quinn was having a blast outside, enjoying the snowy weather by creating snowballs and snow angels.",Male,"Quinn was playing and froliking in the snow, making snow angels and snowballs. ",6.838073477,22.76144351,TRUE
