Row ID,Paraphrases,Category,Orginal
50,Carson was thrilled to open his eyes to a new day of education at school.,Old (>60),Carson was excited to wake up to attend school. 
51,---------------,---------------,---------------
52,Taylor totally validated Carson's assertion about who was the baddest wrestler ever!,Young (<20),Taylor proved Carson's point about who was the stronger wrestler of them all. 
53,Taylor effectively supported Carson's claim about who was the more skilled wrestler in their match.,Miggle Age (20-60),Taylor proved Carson's point about who was the stronger wrestler of them all. 
54,Taylor unequivocally confirmed Carson's assertion regarding who was the superior wrestler in that bout.,Old (>60),Taylor proved Carson's point about who was the stronger wrestler of them all. 
55,---------------,---------------,---------------
56,Sydney totally slayed trick-or-treating and his friends were all about it!,Young (<20),Sydney went trick or treating and the others joined him happily. 
57,"Sydney had a blast going door-to-door for trick or treats, and his pals eagerly joined in on the fun.",Miggle Age (20-60),Sydney went trick or treating and the others joined him happily. 
58,"Sydney ventured out for a spooky night of trick-or-treating, accompanied by his joyful friends.",Old (>60),Sydney went trick or treating and the others joined him happily. 
59,---------------,---------------,---------------
60,Sasha just burned their trash because it was so gross and they wanted it gone ASAP!,Young (<20),Sasha set their trash on fire to get rid of it quickly. 
61,Sasha decided to set their trash on fire as a quick and efficient way to get rid of it.,Miggle Age (20-60),Sasha set their trash on fire to get rid of it quickly. 
62,"Sasha disposed of their trash by burning it, hoping that the flames would consume it rapidly.",Old (>60),Sasha set their trash on fire to get rid of it quickly. 
63,---------------,---------------,---------------
64,"Robin totally incinerated that paper and it was like, whoooosh, gone in an instant! 🔥💥",Young (<20),Robin dried up the paper and lit it on fire and it blew away. 
65,"Robin carefully burned the paper in a controlled manner, and the flames quickly engulfed it, disappearing in a flash. 🔥👍",Miggle Age (20-60),Robin dried up the paper and lit it on fire and it blew away. 
66,"Robin meticulously set the paper ablaze, and the fire swept through it swiftly, carrying it away in a puff of smoke. 🔥👵",Old (>60),Robin dried up the paper and lit it on fire and it blew away. 
67,---------------,---------------,---------------
68,Skylar totally rocked the camping trip with her squad and found the most epic campsite ever!,Young (<20),Skylar went camping with friends and found the best campsite. 
69,Skylar had an amazing time camping with her friends and discovered a fantastic campsite that exceeded their expectations.,Miggle Age (20-60),Skylar went camping with friends and found the best campsite. 
70,Skylar went on a delightful camping adventure with her pals and discovered a picturesque campsite that they all thoroughly enjoyed.,Old (>60),Skylar went camping with friends and found the best campsite. 
71,---------------,---------------,---------------
72,"Due to his whip breakin' down, Robin had to hitch a ride with Jan's homies to skool.",Young (<20),"Due to his car breaking down, Robin decided to ride with Jan's friends to school. "
73,"Since Robin's car conked out, he had to catch a ride with Jan's friends to school.",Miggle Age (20-60),"Due to his car breaking down, Robin decided to ride with Jan's friends to school. "
74,"Due to his automobile malfunctioning, Robin had no choice but to accept a lift from Jan's acquaintances to the educational institution.",Old (>60),"Due to his car breaking down, Robin decided to ride with Jan's friends to school. "
75,---------------,---------------,---------------
76,Cameron totally freaked out when Kai gave him a shoutout after the game!,Young (<20),Cameron took Kai's compliment seriously after the ballgame ended. 
77,Cameron was pretty stoked when Kai complimented him after the ballgame ended.,Miggle Age (20-60),Cameron took Kai's compliment seriously after the ballgame ended. 
78,Cameron was rather pleased when Kai gave him a kind word after the sporting event concluded.,Old (>60),Cameron took Kai's compliment seriously after the ballgame ended. 
79,---------------,---------------,---------------
80,Jordan totally rocked his art classes in elementary school and was super cool with his students!,Young (<20),Jordan taught art in elementary schools and was really great with his students. 
81,Jordan was an excellent art teacher in elementary schools and was well-liked by his students.,Miggle Age (20-60),Jordan taught art in elementary schools and was really great with his students. 
82,Jordan did a wonderful job teaching art in elementary schools and was greatly admired by his students.,Old (>60),Jordan taught art in elementary schools and was really great with his students. 
83,---------------,---------------,---------------
84,Riley and her crew were totally tight and always had each other's backs.,Young (<20),Riley and the others were the best of friends and always supported each other. 
85,"Riley and her pals were incredibly supportive of one another, always there for each other through thick and thin.",Miggle Age (20-60),Riley and the others were the best of friends and always supported each other. 
86,"Riley and her chums were the epitome of friendship, constantly lending a helping hand and offering words of encouragement.",Old (>60),Riley and the others were the best of friends and always supported each other. 
87,---------------,---------------,---------------
88,Taylor totally came through for their buddy who was struggling to pay their bills on time.,Young (<20),Taylor gave help to a friend who was having trouble keeping up with their bills. 
89,Taylor generously assisted a friend in need by helping them navigate their finances and stay on top of their bills.,Miggle Age (20-60),Taylor gave help to a friend who was having trouble keeping up with their bills. 
90,"Taylor kindly offered support to a pal who was having difficulty managing their financial obligations, going above and beyond to ensure they were able to keep up with their bills.",Old (>60),Taylor gave help to a friend who was having trouble keeping up with their bills. 
91,---------------,---------------,---------------
92,Riley seriously sprained their leg and it started to ache so badly that they couldn't even walk!,Young (<20),Riley had twisted their leg and began to hurt so bad that they could not walk. 
93,Riley must have twisted their leg pretty badly because they're now experiencing intense pain and can't put any weight on it.,Miggle Age (20-60),Riley had twisted their leg and began to hurt so bad that they could not walk. 
94,"Riley has injured their leg quite severely, causing them significant discomfort and immobility.",Old (>60),Riley had twisted their leg and began to hurt so bad that they could not walk. 
95,---------------,---------------,---------------
96,"Carson was hanging out at their buddy's crib, but then they were like ""Oh snap, gotta bounce!",Young (<20),Carson was at a friend's house but suddenly announced they needed to go home. 
97,Carson was visiting a friend's house when they suddenly said they needed to leave promptly.,Miggle Age (20-60),Carson was at a friend's house but suddenly announced they needed to go home. 
98,Carson was at their friend's residence when they unexpectedly declared that it was time to head home.,Old (>60),Carson was at a friend's house but suddenly announced they needed to go home. 
99,---------------,---------------,---------------
100,"Taylor was like, totally a math whiz, you know? She studied to be a teacher for four years and then started teaching math in schools. It's like, so cool that she's passing on her knowledge to the next gen!",Young (<20),Taylor taught math in the schools after studying to be a teacher for four years. 
101,"Taylor pursued a career in teaching after dedicating four years to studying education. She now teaches mathematics in local schools, sharing her expertise with students. It's impressive how she's making a difference in the lives of young people.",Miggle Age (20-60),Taylor taught math in the schools after studying to be a teacher for four years. 
102,"Taylor has always had a passion for teaching, and after putting in four years of hard work to become a qualified teacher, she landed a job at a local school where she now educates students in mathematics. She's doing a wonderful job, and her dedication to her craft is truly commendable.",Old (>60),Taylor taught math in the schools after studying to be a teacher for four years. 
103,---------------,---------------,---------------
104,"Tracy totally kicked butt in the war and became the ultimate ruler! They fought so hard and strategically that their opponents were like, ""Whoa, we can't handle this!"" And then BAM! Tracy was crowned the winner and the throne was theirs.",Young (<20),Tracy led their army and fought hard in the war until they sat upon the throne. 
105,"Tracy showed incredible leadership and determination during the war, leading their army to victory and securing their place on the throne. Through their bravery and cunning tactics, they proved themselves to be a true champion.",Miggle Age (20-60),Tracy led their army and fought hard in the war until they sat upon the throne. 
106,"In days of yore, when battles were fierce and the stakes were high, Tracy emerged as a shining star, leading their forces with skill and valor. Their unwavering dedication and wisdom in battle ultimately earned them the right to sit upon the throne, their legacy forever etched in history.",Old (>60),Tracy led their army and fought hard in the war until they sat upon the throne. 
107,---------------,---------------,---------------
108,Kendall chilled with his buds while catching a baseball game after putting in some serious hours at work.,Young (<20),Kendall watched baseball with his friends after working hard all week at his job. 
109,"Kendall relaxed and enjoyed some quality time with his friends over a thrilling baseball game, following a long week of dedication to his job.",Miggle Age (20-60),Kendall watched baseball with his friends after working hard all week at his job. 
110,Kendall spent a leisurely evening watching a baseball game with his acquaintances after putting in a full week of diligent work.,Old (>60),Kendall watched baseball with his friends after working hard all week at his job. 
111,---------------,---------------,---------------
112,"Kai was so bored and had nothing better to do, so he decided to pass the time by playing some card games.",Young (<20),kai was bored and had nothing to do so he played card games. 
113,"Kai was feeling rather listless and sought something to occupy his time, so he opted to engage in a few rounds of card games.",Miggle Age (20-60),kai was bored and had nothing to do so he played card games. 
114,"Kai was fed up with doing nothing and needed something to keep him entertained, so he chose to play some card games to while away the hours.",Old (>60),kai was bored and had nothing to do so he played card games. 
115,---------------,---------------,---------------
116,Robin totally made over Aubrey's wardrobe so they could slay that big play together!,Young (<20),"Robin changed Aubrey into clean clothes, so they can both go to the big play. "
117,"Robin gave Aubrey a complete makeover, ensuring they both looked their best for the big event.",Miggle Age (20-60),"Robin changed Aubrey into clean clothes, so they can both go to the big play. "
118,"Robin helped Aubrey into some fresh attire, so they could both enjoy the play in style and comfort.",Old (>60),"Robin changed Aubrey into clean clothes, so they can both go to the big play. "
119,---------------,---------------,---------------
120,Kendall totally slayed the shirt collar measurement game by wrapping that string around my neck like a boss! 😎,Young (<20),Kendall wrapped string around my neck to measure the collar of a shirt. 
121,"Kendall carefully wrapped the string around my neck to measure the collar of the shirt, ensuring a perfect fit. 👌",Miggle Age (20-60),Kendall wrapped string around my neck to measure the collar of a shirt. 
122,"Kendall gently placed the string around my neck to determine the size of the shirt collar, with such precision and care! 😊",Old (>60),Kendall wrapped string around my neck to measure the collar of a shirt. 
123,---------------,---------------,---------------
124,"Aubrey handed the item over to Kai's homie, and Kai was like ""omg, I was totes hoping I'd get it instead!",Young (<20),Aubrey gave it to Kai's friend. Kai had thought for sure and hoped that she would get it instead. 
125,"Aubrey passed the object to Kai's acquaintance, and Kai had assumed that she would receive it instead.",Miggle Age (20-60),Aubrey gave it to Kai's friend. Kai had thought for sure and hoped that she would get it instead. 
126,"Aubrey presented the item to one of Kai's companions, and Kai had hoped that she would be the one to receive it.",Old (>60),Aubrey gave it to Kai's friend. Kai had thought for sure and hoped that she would get it instead. 
127,---------------,---------------,---------------
128,Jan took them to NYC so they could get a feel for the city and all its awesomeness.,Young (<20),jan took them to NYC so that they could experience the city for the first time. 
129,Jan treated them to a trip to New York City so they could experience the vibrant culture and energy of the city for the first time.,Miggle Age (20-60),jan took them to NYC so that they could experience the city for the first time. 
130,"Jan chaperoned them to NYC as a special adventure, allowing them to explore the city's famous landmarks and attractions for the very first time.",Old (>60),jan took them to NYC so that they could experience the city for the first time. 
131,---------------,---------------,---------------
132,"Tracy totally freaked out on the couch while watching the history channel because they got some major details wrong, like whoa!",Young (<20),Tracy threw a fit on the couch while watching the history channel because they got a lot of details wrong. 
133,"Tracy was quite upset on the couch while watching the history channel because they made several inaccuracies, which really bugged her.",Miggle Age (20-60),Tracy threw a fit on the couch while watching the history channel because they got a lot of details wrong. 
134,"Tracy had a conniption fit on the couch while watching the history channel because they got a number of facts incorrect, dear me!",Old (>60),Tracy threw a fit on the couch while watching the history channel because they got a lot of details wrong. 
135,---------------,---------------,---------------
136,"Carson was super mad at Lee and his fam, so he tried to hurt Lee on purpose.",Young (<20),carson hated lee and his family so he took the risk to injure lee. 
137,"Carson harbored intense animosity towards Lee and his family, which led him to intentionally cause harm to Lee.",Miggle Age (20-60),carson hated lee and his family so he took the risk to injure lee. 
138,"Carson was consumed with rancor towards Lee and his kin, and he deliberately set out to inflict injury upon Lee.",Old (>60),carson hated lee and his family so he took the risk to injure lee. 
139,---------------,---------------,---------------
140,Robin chilled outside and tried to wrap up the sick volleyball game she was slaying. 🏐🔥,Young (<20),Robin stayed outside and tried to finish the game of volleyball she was playing. 
141,Robin hung out outside and attempted to complete the exciting game of volleyball she was playing. 🏐😄,Miggle Age (20-60),Robin stayed outside and tried to finish the game of volleyball she was playing. 
142,Robin remained outside and endeavored to finish the enjoyable game of volleyball she had begun. 🏐👵,Old (>60),Robin stayed outside and tried to finish the game of volleyball she was playing. 
143,---------------,---------------,---------------
144,Carson totally lost it at Robin's place and stormed out after a major blowout fight.,Young (<20),Carson returned to Robin's house after previously storming out during a huge fight. 
145,Carson fiercely left Robin's house after a heated disagreement that escalated into a full-blown argument.,Miggle Age (20-60),Carson returned to Robin's house after previously storming out during a huge fight. 
146,Carson indignantly departed from Robin's residence following a contentious altercation that reached a boiling point.,Old (>60),Carson returned to Robin's house after previously storming out during a huge fight. 
147,---------------,---------------,---------------
148,"Robin was totally clueless about why she was having such a crappy day, but then BAM! She figured it out.",Young (<20),Robin didn't know why she was having bad luck but found the answer. 
149,"Robin couldn't understand why she was experiencing such bad luck, but after some careful reflection, she finally discovered the reason.",Miggle Age (20-60),Robin didn't know why she was having bad luck but found the answer. 
150,"Robin was perplexed by her run of bad luck, but after giving it some thought, she finally uncovered the source of her troubles.",Old (>60),Robin didn't know why she was having bad luck but found the answer. 
151,---------------,---------------,---------------
152,"Jordan's kid was outgrowing their kicks, so they took them to the shoe spot.",Young (<20),Jordan's son was growing out of their shoes. Jordan took their son to the shoe store. 
153,"Jordan noticed their son was running out of room in their shoes, so they took him to the shoe store to get a bigger size.",Miggle Age (20-60),Jordan's son was growing out of their shoes. Jordan took their son to the shoe store. 
154,"Jordan observed that their son's shoes were becoming too small, so they took them to the shoe shop to exchange them for a larger pair.",Old (>60),Jordan's son was growing out of their shoes. Jordan took their son to the shoe store. 
155,---------------,---------------,---------------
156,"Ash's speech was unexpectedly truncated, despite everyone's desire to hear more from them.",Young (<20),ash was cut short even though everyone wanted to hear what ash had to say. 
157,"The event organizers cut Ash's talk short, much to the dismay of the audience who wanted to hear more of their thoughts.",Miggle Age (20-60),ash was cut short even though everyone wanted to hear what ash had to say. 
158,"Ash's presentation was sadly curtailed, despite the enthusiasm of the audience to listen to more of their insights.",Old (>60),ash was cut short even though everyone wanted to hear what ash had to say. 
159,---------------,---------------,---------------
160,Jordan was chatting with her squad and threw shade at Ash to be cool.,Young (<20),Jordan was talking to a group of friends. Jordan talked behind Ash's back to fit in. 
161,Jordan whispered to her pals about Ash behind his back to fit in with the group.,Miggle Age (20-60),Jordan was talking to a group of friends. Jordan talked behind Ash's back to fit in. 
162,Jordan spoke disparagingly of Ash to her acquaintances in order to gain their approval.,Old (>60),Jordan was talking to a group of friends. Jordan talked behind Ash's back to fit in. 
163,---------------,---------------,---------------
164,"Jordan was trying to impress the girl, so he took her to the shoe store to show off his style.",Young (<20),jordan wanted to be nice to a girl so he took her to the shoe store. 
165,"Jordan wanted to make a good impression on the girl, so he suggested going to the shoe store together.",Miggle Age (20-60),jordan wanted to be nice to a girl so he took her to the shoe store. 
166,"Jordan was eager to be kind to the young lady, so he invited her to accompany him to the shoe store.",Old (>60),jordan wanted to be nice to a girl so he took her to the shoe store. 
167,---------------,---------------,---------------
168,"Aubrey totally got Remy and was like, ""I got you, dude!"" and took care of him so well as his nurse.",Young (<20),Aubrey understood Remy better and met his needs more efficiently as his nurse. 
169,"Aubrey had a great rapport with Remy and skillfully met his needs as his nurse, really understanding what he required.",Miggle Age (20-60),Aubrey understood Remy better and met his needs more efficiently as his nurse. 
170,"Aubrey was attuned to Remy's needs and provided excellent care as his nurse, truly going above and beyond for him.",Old (>60),Aubrey understood Remy better and met his needs more efficiently as his nurse. 
171,---------------,---------------,---------------
172,"Aubrey was like, ""I gotta keep an eye on this little dude all night, just in case he hits his head or something.",Young (<20),Aubrey kept the baby up at night to watch for a concussion. 
173,Aubrey carefully monitored the baby throughout the night to ensure they didn't experience any signs of a concussion.,Miggle Age (20-60),Aubrey kept the baby up at night to watch for a concussion. 
174,"Aubrey stayed up all night keeping watch over the baby, vigilant for any indication of a head injury.",Old (>60),Aubrey kept the baby up at night to watch for a concussion. 
175,---------------,---------------,---------------
176,"Robin totally shut down Riley's ability to process the intense sex scene from the movie, like a total buzzkill.",Young (<20),Robin shut Riley's eyes to the fact that he didn't want her to see the sex scene from the movie. 
177,"Robin tactfully avoided revealing the explicit content of the movie to Riley, as she knew it might be too much for her to handle.",Miggle Age (20-60),Robin shut Riley's eyes to the fact that he didn't want her to see the sex scene from the movie. 
178,"Robin discreetly covered Riley's eyes during the provocative sex scene in the movie, sparing her from any unnecessary discomfort or embarrassment.",Old (>60),Robin shut Riley's eyes to the fact that he didn't want her to see the sex scene from the movie. 
179,---------------,---------------,---------------
180,Quinn gave Jordan a big hug before pulling out the super cool gift they had been keeping secret!,Young (<20),Quinn wrapped their arms around Jordan before pulling out the gift that they had been hiding. 
181,Quinn embraced Jordan and then discreetly presented the special gift they had been concealing.,Miggle Age (20-60),Quinn wrapped their arms around Jordan before pulling out the gift that they had been hiding. 
182,Quinn put their arms around Jordan and delicately extracted the thoughtful present they had been saving for a special moment.,Old (>60),Quinn wrapped their arms around Jordan before pulling out the gift that they had been hiding. 
183,---------------,---------------,---------------
184,Bailey totally crushed her driving exam and left Jesse in the dust! 🚀💪,Young (<20),Bailey passed Jesse on his driving examination after he passed with flying colors. 
185,"Bailey performed exceptionally well on her driving test, outpacing Jesse with ease. 🚗👍",Miggle Age (20-60),Bailey passed Jesse on his driving examination after he passed with flying colors. 
186,"Bailey passed her driving exam with flying colors, leaving Jesse behind! 🚗👵",Old (>60),Bailey passed Jesse on his driving examination after he passed with flying colors. 
187,---------------,---------------,---------------
188,"Austin was totally struggling with the test at first, but he kept at it and eventually got the hang of it.",Young (<20),Austin was taking a test and found it difficult at first. 
189,"Austin had a bit of a rough time with the test initially, but he dug in and managed to overcome his challenges.",Miggle Age (20-60),Austin was taking a test and found it difficult at first. 
190,"Austin encountered some difficulties with the test to begin with, but he persevered and eventually succeeded.",Old (>60),Austin was taking a test and found it difficult at first. 
191,---------------,---------------,---------------
192,"Quinn was totally slaying it in the snow, making sick snow angels and snowballs like a total boss! 🎯❄️",Young (<20),"Quinn was playing and froliking in the snow, making snow angels and snowballs. "
193,"Quinn was having a blast in the snow, playing around and making snow angels and snowballs with glee! 😄❄️",Miggle Age (20-60),"Quinn was playing and froliking in the snow, making snow angels and snowballs. "
194,"Quinn was engaging in some delightful winter activities, such as making snow angels and snowballs, and frolicking about in the snow. 😊❄️",Old (>60),"Quinn was playing and froliking in the snow, making snow angels and snowballs. "
195,---------------,---------------,---------------
196,"Tracy lent some cash to my buddy who was in a tight spot, but they didn't follow through on their promise to pay her back.",Young (<20),Tracy gave money to my friend who needed it but failed to by it back as they promised. 
197,"Tracy generously gave money to my friend who was short on funds, but they didn't keep their end of the bargain and return the favor as promised.",Miggle Age (20-60),Tracy gave money to my friend who needed it but failed to by it back as they promised. 
198,"Tracy kindly loaned some money to my acquaintance who was experiencing financial difficulties, yet they failed to repay the kind gesture as they had assured they would.",Old (>60),Tracy gave money to my friend who needed it but failed to by it back as they promised. 
199,---------------,---------------,---------------
200,Cam was super impressed with Bailey's research paper. He felt like giving her a high-five for all the hard work she put into it!,Young (<20),Camerson was grading Bailey's research paper. Cameron felt satisfied with Bailey's work. 
201,Cameron was pleased with the effort Bailey put into her research paper. He thought she did an excellent job and was proud of her accomplishment.,Miggle Age (20-60),Camerson was grading Bailey's research paper. Cameron felt satisfied with Bailey's work. 
202,Cameron was thoroughly satisfied with Bailey's research paper. He gave her a pat on the back for all her dedication and hard work.,Old (>60),Camerson was grading Bailey's research paper. Cameron felt satisfied with Bailey's work. 
203,---------------,---------------,---------------
204,"Skylar was totally pushed by the bully in the lunch line, so Skylar totally poured milk all over their head!",Young (<20),"Skylar was pushed by the bully in the lunch line, so Skylar poured milk over their head. "
205,"Skylar was rudely shoved by the bully in the lunch line, so Skylar decided to get revenge by pouring milk over their head.",Miggle Age (20-60),"Skylar was pushed by the bully in the lunch line, so Skylar poured milk over their head. "
206,"Skylar was rather forcefully bumped into by the bully in the lunch line, so Skylar took matters into their own hands and poured milk over the bully's head.",Old (>60),"Skylar was pushed by the bully in the lunch line, so Skylar poured milk over their head. "
207,---------------,---------------,---------------
208,"Remy hooked you up with Skylar's Netflix account, so you can binge-watch your fave shows without breaking the bank! 😍",Young (<20),"Remy gave you Skylar account for netflix, so you wouldn't have to pay for your own account. "
209,"Remy kindly provided you with Skylar's Netflix account, allowing you to enjoy a wide range of TV shows and movies without incurring additional costs.",Miggle Age (20-60),"Remy gave you Skylar account for netflix, so you wouldn't have to pay for your own account. "
210,"Remy gave you access to Skylar's Netflix account, which will enable you to stream your preferred content without financial burden. 📺",Old (>60),"Remy gave you Skylar account for netflix, so you wouldn't have to pay for your own account. "
211,---------------,---------------,---------------
212,Skylar was chillin' on their phone while hangin' out at the park. They didn't pay much attention to the sick views.,Young (<20),Skylar was on the phone while at the national park. They lent little attention to the view. 
213,Skylar was talking on their phone while enjoying the scenery at the national park. They didn't give the breathtaking view much mind.,Miggle Age (20-60),Skylar was on the phone while at the national park. They lent little attention to the view. 
214,Skylar was engaged in a conversation on their phone during their visit to the beautiful national park. They paid scant attention to the stunning panorama.,Old (>60),Skylar was on the phone while at the national park. They lent little attention to the view. 
215,---------------,---------------,---------------
216,Sydney is a preschool teacher who helped little Robin learn his ABCs by tracing his finger movements.,Young (<20),"Sydney works as a preschool teacher, and helped trace Robin's fingers. "
217,"Sydney, a dedicated preschool teacher, assisted Robin in developing his fine motor skills by guiding his fingers along the correct path for tracing letters.",Miggle Age (20-60),"Sydney works as a preschool teacher, and helped trace Robin's fingers. "
218,"As a kindergarten instructor, Sydney took great care in helping Robin practice writing his letters by using a gentle and patient approach that involved tracing his fingers over the correct paths.",Old (>60),"Sydney works as a preschool teacher, and helped trace Robin's fingers. "
219,---------------,---------------,---------------
220,"Jan was totally pumped when she found out she was expecting a mini-me, and then she welcomed an adorable baby girl into the world!",Young (<20),Jan was pregnant and she gave birth to a beautiful baby daughter. 
221,"Jan was overjoyed when she discovered she was having a bundle of joy, and after nine months of anticipation, she gave birth to a precious baby daughter!",Miggle Age (20-60),Jan was pregnant and she gave birth to a beautiful baby daughter. 
222,"Jan was absolutely thrilled when she learned she was going to be a grandma, and her heart filled with love when she first laid eyes on her gorgeous new granddaughter!",Old (>60),Jan was pregnant and she gave birth to a beautiful baby daughter. 
223,---------------,---------------,---------------
224,Kendall was totally into house plants and would always overwater them to make sure the fluoride got released into the air.,Young (<20),Kendall was really into house plants and often pour water in to jars so the fluoride would evaporate out. 
225,"Kendall had a green thumb and enjoyed nurturing her houseplants, often watering them excessively to allow for maximum fluoride evaporation.",Miggle Age (20-60),Kendall was really into house plants and often pour water in to jars so the fluoride would evaporate out. 
226,Kendall was quite particular about her indoor plants and would frequently water them profusely to allow the fluoride to dissipate into the atmosphere.,Old (>60),Kendall was really into house plants and often pour water in to jars so the fluoride would evaporate out. 
227,---------------,---------------,---------------
228,"Since Skylar would totally be down to go, Kendall made sure to include Skylar in the plans.",Young (<20),"Knowing skylar would want to go too, Kendall took Skylar into account. "
229,"Considering Skylar's input was important to Kendall, they took Skylar's preferences into account when making plans.",Miggle Age (20-60),"Knowing skylar would want to go too, Kendall took Skylar into account. "
