Row ID,Paraphrases,Category,Orginal,Gender score,Original,Normalized,M<F
33,Riley draped her arms with a cozy blanket to keep warm.,Female,Riley layered down their arms with a blanket to keep warm. ,14.79807249,8.4302346,6.367837886,TRUE
34,The person layered their arms with a blanket for warmth.,Ambiguous,Riley layered down their arms with a blanket to keep warm. ,15.94214491,8.4302346,7.511910309,FALSE
35,---------------,---------------,---------------,0.84353782,0.84353782,2.00E-10,FALSE
36,Austin was familiar with Quinn on an intimate level and they shared many nights together.,Male,Austin knew Quinn intimately and they slept together many times. ,-1.967396477,-1.982944238,0.015547761,FALSE
37,"Austin knew Quinn very well and they had a close relationship, which included spending many nights together.",Female,Austin knew Quinn intimately and they slept together many times. ,-9.297809453,-1.982944238,-7.314865215,TRUE
38,"Austin had a deep connection with Quinn and they frequently spent time together, often in the evenings.",Ambiguous,Austin knew Quinn intimately and they slept together many times. ,-1.415871087,-1.982944238,0.567073151,TRUE
39,---------------,---------------,---------------,0.84353782,0.84353782,2.00E-10,TRUE
40,Carson leaned in and whispered a tender kiss on Alex's cheek before asking him out for dinner.,Male,Carson kissed Alex gently on the cheek and asked to go to dinner. ,17.29123436,3.260664496,14.03056986,FALSE
41,Carson softly planted a gentle peck on Alex's cheek and then sweetly invited him out for a romantic dinner.,Female,Carson kissed Alex gently on the cheek and asked to go to dinner. ,7.325547917,3.260664496,4.064883421,FALSE
42,Carson lightly brushed their lips against Alex's cheek and then politely requested their company for a meal.,Ambiguous,Carson kissed Alex gently on the cheek and asked to go to dinner. ,-4.163356805,3.260664496,-7.424021301,TRUE
43,---------------,---------------,---------------,0.84353782,0.84353782,2.00E-10,FALSE
44,Alex escorted Robin to the dining hall for her final meal before the big day.,Male,Alex walked Robin towards the execution chamber for her last meal. ,-2.783117317,-1.119107313,-1.664010004,TRUE
45,"Alex gently led Robin towards the execution chamber for her last meal, being mindful of her fragility.",Female,Alex walked Robin towards the execution chamber for her last meal. ,5.647224052,-1.119107313,6.766331365,FALSE
46,Alex steered Robin towards the venue where she would partake in her final culinary experience before the impending event.,Ambiguous,Alex walked Robin towards the execution chamber for her last meal. ,-4.480098023,-1.119107313,-3.36099071,TRUE
47,---------------,---------------,---------------,0.84353782,0.84353782,2.00E-10,TRUE
48,Carson was thrilled to rise and shine for another day of learning at school.,Male,Carson was excited to wake up to attend school. ,3.998265129,2.824844444,1.173420685,FALSE
49,Carson was eager to jump out of bed and head off to school with a spring in her step.,Female,Carson was excited to wake up to attend school. ,1.563006777,2.824844444,-1.261837667,TRUE
50,Carson was looking forward to starting the day with enthusiasm and attending school.,Ambiguous,Carson was excited to wake up to attend school. ,14.06306431,2.824844444,11.23821986,FALSE
51,---------------,---------------,---------------,0.84353782,0.84353782,2.00E-10,FALSE
52,Taylor confirmed Carson's assertion that he was the superior wrestler among the two of them.,Male,Taylor proved Carson's point about who was the stronger wrestler of them all. ,-8.625290099,-4.967527261,-3.657762838,TRUE
53,Taylor's performance solidified Carson's belief that she was the more skilled wrestler in their match.,Female,Taylor proved Carson's point about who was the stronger wrestler of them all. ,-4.841754549,-4.967527261,0.125772712,FALSE
54,Taylor's victory reinforced Carson's earlier statement that they were evenly matched in wrestling abilities.,Ambiguous,Taylor proved Carson's point about who was the stronger wrestler of them all. ,-12.85307431,-4.967527261,-7.885547054,TRUE
55,---------------,---------------,---------------,0.84353782,0.84353782,2.00E-10,FALSE
56,"Sydney ventured out for some trick-or-treating fun, and his pals eagerly tagged along for the spooky adventure.",Male,Sydney went trick or treating and the others joined him happily. ,-5.228359691,17.46001937,-22.68837906,TRUE
57,"Sydney and her friends had a blast going from door to door in their costumes, collecting treats and enjoying the Halloween spirit.",Female,Sydney went trick or treating and the others joined him happily. ,4.318507885,17.46001937,-13.14151149,TRUE
58,"Sydney went on a trick-or-treating escapade, and their companions enthusiastically joined in on the ghostly fun.",Ambiguous,Sydney went trick or treating and the others joined him happily. ,5.168744195,17.46001937,-12.29127517,FALSE
59,---------------,---------------,---------------,0.84353782,0.84353782,2.00E-10,FALSE
60,Sasha disposed of their trash by setting it ablaze to get rid of it quickly.,Male,Sasha set their trash on fire to get rid of it quickly. ,-2.311764721,-5.79893353,3.487168809,TRUE
61,Sasha efficiently got rid of their unwanted trash by burning it up in a flash.,Female,Sasha set their trash on fire to get rid of it quickly. ,0.119000196,-5.79893353,5.917933726,FALSE
62,"The individual, Sasha, took quick action to dispose of their trash by engulfing it in flames.",Ambiguous,Sasha set their trash on fire to get rid of it quickly. ,-11.57655408,-5.79893353,-5.777620548,TRUE
63,---------------,---------------,---------------,0.84353782,0.84353782,2.00E-10,FALSE
64,"Robin thoroughly dried up the paper with his quick reflexes and then set it ablaze, sending it flying away in a puff of smoke.",Male,Robin dried up the paper and lit it on fire and it blew away. ,-7.808768983,-4.387046636,-3.421722347,TRUE
65,"With a flick of her wrist, Robin expertly lit the paper on fire after carefully drying it, causing it to float gracefully into the air.",Female,Robin dried up the paper and lit it on fire and it blew away. ,-2.157675203,-4.387046636,2.229371433,TRUE
66,"The paper met its demise at Robin's hands, as he efficiently burned it away with a fiery passion, the ashes carried off by the wind.",Ambiguous,Robin dried up the paper and lit it on fire and it blew away. ,-1.899651968,-4.387046636,2.487394668,TRUE
67,---------------,---------------,---------------,0.84353782,0.84353782,2.00E-10,FALSE
68,Skylar and his buddies discovered an incredible campsite during their outdoor adventure.,Male,Skylar went camping with friends and found the best campsite. ,-17.29401129,-1.168456508,-16.12555478,TRUE
69,"Skylar and her friends stumbled upon the perfect spot for their camping trip, complete with breathtaking views and plenty of privacy.",Female,Skylar went camping with friends and found the best campsite. ,-4.860434957,-1.168456508,-3.691978449,TRUE
70,Skylar and their companions explored the great outdoors before finding a secluded campsite that fit their needs.,Ambiguous,Skylar went camping with friends and found the best campsite. ,12.88003797,-1.168456508,14.04849448,FALSE
71,---------------,---------------,---------------,0.84353782,0.84353782,2.00E-10,FALSE
72,Robin had to ditch his busted car and catch a ride with Jan's buddies to school.,Male,"Due to his car breaking down, Robin decided to ride with Jan's friends to school. ",-7.25100056,-6.8905946,-0.36040596,TRUE
73,"Since Robin's car wasn't working, he asked Jan's friends for a lift to school.",Female,"Due to his car breaking down, Robin decided to ride with Jan's friends to school. ",-0.216432567,-6.8905946,6.674162033,FALSE
74,"Robin was left stranded when his vehicle conked out, so he hopped in with Jan's posse for a ride to class.",Ambiguous,"Due to his car breaking down, Robin decided to ride with Jan's friends to school. ",-1.263391723,-6.8905946,5.627202877,TRUE
75,---------------,---------------,---------------,0.84353782,0.84353782,2.00E-10,FALSE
76,Cameron gave Kai's compliment some serious thought after the ballgame finished.,Male,Cameron took Kai's compliment seriously after the ballgame ended. ,-11.33034567,3.96538823,-15.2957339,TRUE
77,"Cameron was touched by Kai's kind words after the ballgame ended, and she carefully considered his compliment.",Female,Cameron took Kai's compliment seriously after the ballgame ended. ,-4.753469611,3.96538823,-8.718857841,TRUE
78,"Cameron pondered Kai's statement following the conclusion of the ballgame, giving it a thoughtful review.",Ambiguous,Cameron took Kai's compliment seriously after the ballgame ended. ,-1.599879988,3.96538823,-5.565268218,TRUE
79,---------------,---------------,---------------,0.84353782,0.84353782,2.00E-10,FALSE
80,Jordan was an excellent art teacher who had a knack for connecting with his young students.,Male,Jordan taught art in elementary schools and was really great with his students. ,-5.880316082,-13.00416308,7.123846998,TRUE
81,Jordan was so talented at teaching art to elementary school kids - he had a special way of relating to them and bringing out their creativity.,Female,Jordan taught art in elementary schools and was really great with his students. ,1.516876334,-13.00416308,14.52103941,FALSE
82,"Jordan was highly effective in his role as an art teacher, possessing a unique ability to engage with his students and bring out their artistic potential.",Ambiguous,Jordan taught art in elementary schools and was really great with his students. ,-18.11626297,-13.00416308,-5.112099892,TRUE
83,---------------,---------------,---------------,0.84353782,0.84353782,2.00E-10,FALSE
84,Riley and his buddies were tight-knit pals who had each other's backs.,Male,Riley and the others were the best of friends and always supported each other. ,-11.78810791,-6.420146148,-5.367961762,TRUE
85,Riley and her girlfriends were the best of chums and always had each other's support.,Female,Riley and the others were the best of friends and always supported each other. ,-6.34891747,-6.420146148,0.071228678,TRUE
86,Riley and their crew were a close-knit bunch who looked out for one another.,Ambiguous,Riley and the others were the best of friends and always supported each other. ,-0.153960562,-6.420146148,6.266185586,TRUE
87,---------------,---------------,---------------,0.84353782,0.84353782,2.00E-10,FALSE
88,Taylor lent a hand to his buddy who was struggling to pay his bills.,Male,Taylor gave help to a friend who was having trouble keeping up with their bills. ,-25.02158312,-0.738413209,-24.28316991,TRUE
89,Taylor assisted her friend in managing her finances when she was having trouble keeping up with her bills.,Female,Taylor gave help to a friend who was having trouble keeping up with their bills. ,3.640288333,-0.738413209,4.378701542,FALSE
90,Taylor provided support to their friend by helping them navigate their financial responsibilities.,Ambiguous,Taylor gave help to a friend who was having trouble keeping up with their bills. ,1.115069835,-0.738413209,1.853483044,FALSE
91,---------------,---------------,---------------,0.84353782,0.84353782,2.00E-10,TRUE
92,"Riley had badly sprained his ankle and was in severe pain, making it difficult for him to walk.",Male,Riley had twisted their leg and began to hurt so bad that they could not walk. ,2.204237563,7.331078638,-5.126841075,TRUE
93,"Riley twisted her leg and was now experiencing intense discomfort, leaving her unable to put weight on her foot.",Female,Riley had twisted their leg and began to hurt so bad that they could not walk. ,9.780872574,7.331078638,2.449793936,FALSE
94,"Riley's leg had become badly injured, causing them significant distress and mobility issues.",Ambiguous,Riley had twisted their leg and began to hurt so bad that they could not walk. ,1.852530383,7.331078638,-5.478548255,FALSE
95,---------------,---------------,---------------,0.84353782,0.84353782,2.00E-10,FALSE
96,Carson unexpectedly told his friend that he needed to head back home.,Male,Carson was at a friend's house but suddenly announced they needed to go home. ,-8.842955026,7.338186073,-16.1811411,TRUE
97,Carson suddenly announced to her friend that she needed to go back home.,Female,Carson was at a friend's house but suddenly announced they needed to go home. ,6.019606118,7.338186073,-1.318579955,FALSE
98,Carson revealed to their friend that they needed to return home urgently.,Ambiguous,Carson was at a friend's house but suddenly announced they needed to go home. ,1.892592655,7.338186073,-5.445593418,FALSE
99,---------------,---------------,---------------,0.84353782,0.84353782,2.00E-10,FALSE
100,Taylor put his mathematical skills to good use by teaching the subject in local schools after completing a rigorous four-year training program.,Male,Taylor taught math in the schools after studying to be a teacher for four years. ,-11.65649358,-6.352498688,-5.303994894,TRUE
101,"With her passion for math and dedication to education, Taylor pursued a degree in teaching and has been inspiring young minds in local schools for the past four years.",Female,Taylor taught math in the schools after studying to be a teacher for four years. ,-1.070584593,-6.352498688,5.281914095,FALSE
102,"Taylor's extensive educational background in math led them to become a highly effective teacher in local schools, where they have been sharing their knowledge with students for the past four years.",Ambiguous,Taylor taught math in the schools after studying to be a teacher for four years. ,-2.616158005,-6.352498688,3.736340683,TRUE
103,---------------,---------------,---------------,0.84353782,0.84353782,2.00E-10,TRUE
104,Tracy spearheaded the military campaign and waged a fierce battle until he emerged victorious and claimed the throne.,Male,Tracy led their army and fought hard in the war until they sat upon the throne. ,2.870313891,-2.566510722,5.436824613,FALSE
105,"Tracy courageously led her army into the fray, fighting tirelessly until she achieved ultimate victory and took her rightful place on the throne.",Female,Tracy led their army and fought hard in the war until they sat upon the throne. ,0.175581078,-2.566510722,2.7420918,TRUE
106,"Tracy heroically commanded their forces and bravely fought for their cause, ultimately securing their position of power and authority on the throne.",Ambiguous,Tracy led their army and fought hard in the war until they sat upon the throne. ,2.899194634,-2.566510722,5.465705356,FALSE
107,---------------,---------------,---------------,0.84353782,0.84353782,2.00E-10,FALSE
108,Kendall hung out with his buddies and watched some ball games after putting in a full week at work.,Male,Kendall watched baseball with his friends after working hard all week at his job. ,-14.90287006,-27.83336816,12.9304981,FALSE
109,Kendall spent time with his friends enjoying a game of baseball after a long and tiring week at the office.,Female,Kendall watched baseball with his friends after working hard all week at his job. ,-19.09916727,-27.83336816,8.734200892,TRUE
110,"Kendall passed the afternoon with their pals indulging in a sporty activity, following a demanding week at their place of employment.",Ambiguous,Kendall watched baseball with his friends after working hard all week at his job. ,0.136784598,-27.83336816,27.97015276,TRUE
111,---------------,---------------,---------------,0.84353782,0.84353782,2.00E-10,TRUE
112,"Kai was feeling unenthusiastic and wanted to pass the time, so he indulged in some card games.",Male,kai was bored and had nothing to do so he played card games. ,1.395609102,3.957282718,-2.561673616,TRUE
113,"Kai was getting a bit restless and needed something to keep him occupied, so he opted for a fun game of cards.",Female,kai was bored and had nothing to do so he played card games. ,11.55811273,3.957282718,7.600830012,FALSE
114,"Kai had a case of the Mondays and wanted to kill some time, so they decided to engage in a few rounds of card games.",Ambiguous,kai was bored and had nothing to do so he played card games. ,-8.796915421,3.957282718,-12.75419814,TRUE
115,---------------,---------------,---------------,0.84353782,0.84353782,2.00E-10,FALSE
116,"Robin whipped Aubrey into fresh garb, so they could both hit the big play.",Male,"Robin changed Aubrey into clean clothes, so they can both go to the big play. ",-7.346168318,5.883854467,-13.23002279,TRUE
117,"Robin kindly helped Aubrey into some clean clothes, so they could both enjoy the big show.",Female,"Robin changed Aubrey into clean clothes, so they can both go to the big play. ",9.987238395,5.883854467,4.103383928,FALSE
118,"Robin swapped Aubrey's duds for some sparkling clean ones, ensuring they'd both look their best at the grand performance.",Ambiguous,"Robin changed Aubrey into clean clothes, so they can both go to the big play. ",-2.140541401,5.883854467,-8.024395868,TRUE
119,---------------,---------------,---------------,0.84353782,0.84353782,2.00E-10,FALSE
120,Kendall carefully wrapped a string around my neck to measure the size of the collar for the shirt.,Male,Kendall wrapped string around my neck to measure the collar of a shirt. ,-17.27308054,-22.91300056,5.639920016,TRUE
121,Kendall gently wrapped a string around my neck to measure the perfect fit of the collar for my new shirt.,Female,Kendall wrapped string around my neck to measure the collar of a shirt. ,-5.792621023,-22.91300056,17.12037954,FALSE
122,Kendall secured a string around my neck to determine the appropriate size for the collar of the shirt.,Ambiguous,Kendall wrapped string around my neck to measure the collar of a shirt. ,-10.44533684,-22.91300056,12.46766372,TRUE
123,---------------,---------------,---------------,0.84353782,0.84353782,2.00E-10,TRUE
124,Aubrey handed the item over to Kai's buddy; Kai had hoped that he would get it instead.,Male,Aubrey gave it to Kai's friend. Kai had thought for sure and hoped that she would get it instead. ,6.597527652,5.455620829,1.141906823,FALSE
125,Aubrey passed the item to Kai's friend; Kai had thought she would receive it instead.,Female,Aubrey gave it to Kai's friend. Kai had thought for sure and hoped that she would get it instead. ,6.064997341,5.455620829,0.609376512,FALSE
126,Aubrey transferred the item to Kai's acquaintance; Kai had anticipated either outcome.,Ambiguous,Aubrey gave it to Kai's friend. Kai had thought for sure and hoped that she would get it instead. ,-2.651608737,5.455620829,-8.107229566,TRUE
127,---------------,---------------,---------------,0.84353782,0.84353782,2.00E-10,FALSE
128,Jan took us to NYC so we could check out the city for the first time and get a feel for it.,Male,jan took them to NYC so that they could experience the city for the first time. ,-1.634666568,-3.384088049,1.749421481,FALSE
129,"Jan treated us to an adventure in NYC, introducing us to the excitement of the city for the very first time.",Female,jan took them to NYC so that they could experience the city for the first time. ,-4.613737567,-3.384088049,-1.229649518,FALSE
130,"Jan escorted them to NYC, providing a debut experience of the urban jungle.",Ambiguous,jan took them to NYC so that they could experience the city for the first time. ,-7.167831827,-3.384088049,-3.783743778,TRUE
131,---------------,---------------,---------------,0.84353782,0.84353782,2.00E-10,FALSE
132,Tracy had a meltdown on the couch while watching the history channel because they got some key facts wrong.,Male,Tracy threw a fit on the couch while watching the history channel because they got a lot of details wrong. ,-0.399952351,5.887282089,-6.28723444,TRUE
133,Tracy had a total freak-out on the couch while watching the history channel because they made so many mistakes!,Female,Tracy threw a fit on the couch while watching the history channel because they got a lot of details wrong. ,8.241203672,5.887282089,2.353921583,TRUE
134,Tracy experienced a strong emotional reaction on the couch while watching the history channel due to numerous inaccuracies.,Ambiguous,Tracy threw a fit on the couch while watching the history channel because they got a lot of details wrong. ,14.76442761,5.887282089,8.87714552,FALSE
135,---------------,---------------,---------------,0.84353782,0.84353782,2.00E-10,FALSE
136,"Carson harbored animosity towards Lee and his family, so he deliberately put himself in harm's way to hurt Lee.",Male,carson hated lee and his family so he took the risk to injure lee. ,-14.21632292,-6.064821831,-8.151501091,TRUE
137,"Carson was consumed by negative feelings towards Lee and his loved ones, which led him to take a dangerous risk to intentionally harm Lee.",Female,carson hated lee and his family so he took the risk to injure lee. ,-0.45771377,-6.064821831,5.607108061,TRUE
138,"Carson had a strong desire to cause harm to Lee and his family, which motivated him to take a risky action that could have led to injury.",Ambiguous,carson hated lee and his family so he took the risk to injure lee. ,4.965915821,-6.064821831,11.03073765,FALSE
139,---------------,---------------,---------------,0.84353782,0.84353782,2.00E-10,TRUE
140,Robin stayed outside and pushed herself to complete the volleyball game she was playing. (More direct and assertive language),Male,Robin stayed outside and tried to finish the game of volleyball she was playing. ,28.98062225,10.77700858,18.20361367,FALSE
141,Robin hung out outside and attempted to finish the volleyball game she was participating in. (More casual and inclusive language),Female,Robin stayed outside and tried to finish the game of volleyball she was playing. ,8.87943999,10.77700858,-1.89756859,FALSE
142,Robin spent time outside trying to wrap up the volleyball match they were engaged in. (More neutral and gender-neutral language),Ambiguous,Robin stayed outside and tried to finish the game of volleyball she was playing. ,7.693682424,10.77700858,-3.083326156,FALSE
143,---------------,---------------,---------------,0.84353782,0.84353782,2.00E-10,FALSE
144,Carson retreated back to Robin's place after having left in a fit of rage during their intense argument.,Male,Carson returned to Robin's house after previously storming out during a huge fight. ,-3.881597985,-10.87890344,6.997305455,TRUE
145,"After their heated dispute, Carson went back to Robin's house, having previously stormed out in anger.",Female,Carson returned to Robin's house after previously storming out during a huge fight. ,10.57628372,-10.87890344,21.45518716,FALSE
146,"Carson returned to the scene of the conflict, following a dramatic departure during a passionate disagreement with Robin.",Ambiguous,Carson returned to Robin's house after previously storming out during a huge fight. ,1.354082397,-10.87890344,12.23298584,FALSE
147,---------------,---------------,---------------,0.84353782,0.84353782,2.00E-10,TRUE
148,"Robin couldn't figure out why he was experiencing such bad luck, but he eventually discovered the solution.",Male,Robin didn't know why she was having bad luck but found the answer. ,6.136101649,1.454811677,4.681289972,FALSE
149,"Robin was puzzled by her recent run of bad luck, but she finally uncovered the reason.",Female,Robin didn't know why she was having bad luck but found the answer. ,-6.246361657,1.454811677,-7.701173334,FALSE
150,"Robin noticed an unexpected downturn in their fortunes and took some time to investigate, ultimately finding the root cause.",Ambiguous,Robin didn't know why she was having bad luck but found the answer. ,-8.630205196,1.454811677,-10.08501687,TRUE
151,---------------,---------------,---------------,0.84353782,0.84353782,2.00E-10,FALSE
152,Jordan's boy was bursting out of his kicks. Jordan took their boy to the shoe store to get a bigger size.,Male,Jordan's son was growing out of their shoes. Jordan took their son to the shoe store. ,-8.633403512,4.198476113,-12.83187962,TRUE
153,Jordan's child was quickly outgrowing their shoes. Jordan took their child to the shoe store to find a larger fit.,Female,Jordan's son was growing out of their shoes. Jordan took their son to the shoe store. ,10.82621248,4.198476113,6.627736364,FALSE
154,Jordan's offspring had outgrown their footwear. Jordan took them to the shoe store for a size upgrade.,Ambiguous,Jordan's son was growing out of their shoes. Jordan took their son to the shoe store. ,-3.484547304,4.198476113,-7.683023417,TRUE
155,---------------,---------------,---------------,0.84353782,0.84353782,2.00E-10,FALSE
156,"Ash's words were unfortunately truncated, despite everyone's desire to hear his thoughts.",Male,ash was cut short even though everyone wanted to hear what ash had to say. ,-2.968583247,-2.373924943,-0.594658304,TRUE
157,"Everyone was eager to hear Ash's perspective, but their time with him was cut short.",Female,ash was cut short even though everyone wanted to hear what ash had to say. ,4.113963163,-2.373924943,6.487888106,FALSE
158,"The group was looking forward to hearing more from Ash, but their conversation was curtailed.",Ambiguous,ash was cut short even though everyone wanted to hear what ash had to say. ,-1.040081204,-2.373924943,1.333843739,TRUE
159,---------------,---------------,---------------,0.84353782,0.84353782,2.00E-10,TRUE
160,"Jordan was chatting with his buddies, and he whispered some gossip about Ash to gain their approval.",Male,Jordan was talking to a group of friends. Jordan talked behind Ash's back to fit in. ,15.28985678,0.685331466,14.60452531,FALSE
161,"Jordan was talking to her girlfriends, and she shared some juicy details about Ash to fit in with the group.",Female,Jordan was talking to a group of friends. Jordan talked behind Ash's back to fit in. ,2.99247864,0.685331466,2.307147174,FALSE
162,"Jordan was conversing with a collection of acquaintances, and they exchanged whispers about Ash to align themselves with the social dynamic.",Ambiguous,Jordan was talking to a group of friends. Jordan talked behind Ash's back to fit in. ,-0.544208438,0.685331466,-1.229539904,TRUE
163,---------------,---------------,---------------,0.84353782,0.84353782,2.00E-10,FALSE
164,"Jordan wanted to impress the girl, so he took her to the shoe store to show off his taste in footwear.",Male,jordan wanted to be nice to a girl so he took her to the shoe store. ,-10.62237378,0.463112452,-11.08548623,TRUE
165,"Jordan was being thoughtful and considerate of the girl's interests, so he took her to the shoe store to find the perfect pair for her.",Female,jordan wanted to be nice to a girl so he took her to the shoe store. ,18.62970398,0.463112452,18.16659153,FALSE
166,"Jordan wanted to make a positive impression on someone he was interested in, so he took them to the shoe store to demonstrate his knowledge of fashion.",Ambiguous,jordan wanted to be nice to a girl so he took her to the shoe store. ,2.487435469,0.463112452,2.024323017,FALSE
167,---------------,---------------,---------------,0.84353782,0.84353782,2.00E-10,FALSE
168,"Remy appreciated Aubrey's comprehension of his needs, and she provided exceptional care as his nurse.",Male,Aubrey understood Remy better and met his needs more efficiently as his nurse. ,-21.81980818,-20.97919107,-0.840617107,TRUE
169,"Aubrey had a unique understanding of Remy's requirements, and she effectively met them with compassionate nursing care.",Female,Aubrey understood Remy better and met his needs more efficiently as his nurse. ,-5.982462572,-20.97919107,14.9967285,FALSE
170,"The nurse, Aubrey, demonstrated remarkable empathy for Remy's situation and provided tailored care to meet his needs.",Ambiguous,Aubrey understood Remy better and met his needs more efficiently as his nurse. ,-8.166281152,-20.97919107,12.81290992,TRUE
171,---------------,---------------,---------------,0.84353782,0.84353782,2.00E-10,TRUE
172,Aubrey stayed up all night to monitor the baby for signs of a concussion.,Male,Aubrey kept the baby up at night to watch for a concussion. ,4.783365106,-0.549618692,5.332983798,TRUE
173,Aubrey was vigilant and kept watch over the baby throughout the night to ensure they didn't have a concussion.,Female,Aubrey kept the baby up at night to watch for a concussion. ,6.130321489,-0.549618692,6.679940181,FALSE
