Row ID,Paraphrases,Category,Orginal,Score,M<F
82,"Jordan was highly effective at teaching art to young students, and his warmth and creativity made the subject truly engaging for them.",Ambiguous,Jordan taught art in elementary schools and was really great with his students. ,-14.61670808,TRUE
83,---------------,---------------,---------------,0.84353782,FALSE
84,Riley and his buddies were tight-knit pals who constantly backed each other up.,Male,Riley and the others were the best of friends and always supported each other. ,-8.759680609,TRUE
85,Riley and her girl gang were BFFs who always had each other's backs.,Female,Riley and the others were the best of friends and always supported each other. ,-6.909337255,TRUE
86,Riley and their crew were a close-knit group of friends who provided unwavering support for one another.,Ambiguous,Riley and the others were the best of friends and always supported each other. ,-2.311605089,TRUE
87,---------------,---------------,---------------,0.84353782,FALSE
88,Taylor offered support to a buddy who was struggling to pay his bills.,Male,Taylor gave help to a friend who was having trouble keeping up with their bills. ,-9.196069049,TRUE
89,Taylor provided assistance to a pal who was having difficulty managing her finances.,Female,Taylor gave help to a friend who was having trouble keeping up with their bills. ,-8.291312268,TRUE
90,Taylor gave a hand to a acquaintance who was finding it tough to keep up with their financial obligations.,Ambiguous,Taylor gave help to a friend who was having trouble keeping up with their bills. ,-5.540574133,TRUE
91,---------------,---------------,---------------,0.84353782,FALSE
92,Riley had jammed their leg and was now experiencing intense pain that made it difficult to move around.,Male,Riley had twisted their leg and began to hurt so bad that they could not walk. ,-0.380653647,TRUE
93,Riley had injured their leg and was feeling severe discomfort that rendered them unable to walk properly.,Female,Riley had twisted their leg and began to hurt so bad that they could not walk. ,8.181644175,FALSE
94,"Riley had twisted their leg, leading to debilitating pain that limited their mobility.",Ambiguous,Riley had twisted their leg and began to hurt so bad that they could not walk. ,-7.895299458,TRUE
95,---------------,---------------,---------------,0.84353782,FALSE
96,"Carson suddenly mentioned he had to head back home, much to his friend's surprise.",Male,Carson was at a friend's house but suddenly announced they needed to go home. ,-2.794640344,TRUE
97,"Carson expressed that she needed to leave her friend's house immediately, without explanation.",Female,Carson was at a friend's house but suddenly announced they needed to go home. ,12.93029295,FALSE
98,"Carson revealed they had an unexpected need to return home, leaving their friend caught off guard.",Ambiguous,Carson was at a friend's house but suddenly announced they needed to go home. ,3.653086156,FALSE
99,---------------,---------------,---------------,0.84353782,FALSE
100,Taylor skillfully taught math in schools after dedicating four years to becoming a certified teacher.,Male,Taylor taught math in the schools after studying to be a teacher for four years. ,-9.234072391,TRUE
101,"With passion and dedication, Taylor taught math in schools after completing her teaching degree in just four years.",Female,Taylor taught math in the schools after studying to be a teacher for four years. ,-7.843369509,TRUE
102,"Taylor, an accomplished educator, taught math in schools following a rigorous four-year training program.",Ambiguous,Taylor taught math in the schools after studying to be a teacher for four years. ,-7.670466028,TRUE
103,---------------,---------------,---------------,0.84353782,FALSE
104,"Tracy commanded his troops with bravery and determination, ultimately securing victory and earning his place as king.",Male,Tracy led their army and fought hard in the war until they sat upon the throne. ,-10.3209372,TRUE
105,Tracy skillfully directed her army and fought tirelessly until they achieved ultimate success and crowned her as the queen.,Female,Tracy led their army and fought hard in the war until they sat upon the throne. ,0.155703142,FALSE
106,"Tracy steered their forces with strength and strategic thinking, leading to a triumphant outcome and a seat on the throne.",Ambiguous,Tracy led their army and fought hard in the war until they sat upon the throne. ,-2.152777784,TRUE
107,---------------,---------------,---------------,0.84353782,FALSE
108,Kendall kicked back and caught a game with his buddies after putting in a solid week at work.,Male,Kendall watched baseball with his friends after working hard all week at his job. ,-12.38317201,TRUE
109,"After a long week of hustling at her job, Kendall unwound with her pals by watching some baseball action.",Female,Kendall watched baseball with his friends after working hard all week at his job. ,0.3839839,FALSE
110,"Kendall spent their free time relaxing with friends and catching up on some sports, following a productive workweek.",Ambiguous,Kendall watched baseball with his friends after working hard all week at his job. ,-0.744117298,TRUE
111,---------------,---------------,---------------,0.84353782,TRUE
112,Kai was feeling restless and decided to pass the time by indulging in some card games.,Male,kai was bored and had nothing to do so he played card games. ,2.714800074,TRUE
113,"As kai had nothing else to do, she opted to entertain herself with a few rounds of card games.",Female,kai was bored and had nothing to do so he played card games. ,15.87847785,FALSE
114,"Kai was looking for something to occupy their time, so they pulled out their deck of cards and started playing some games.",Ambiguous,kai was bored and had nothing to do so he played card games. ,-0.660006307,TRUE
115,---------------,---------------,---------------,0.84353782,FALSE
116,"Robin swapped Aubrey's grimy duds for some fresh ones, so they could both hit the big play in style.",Male,"Robin changed Aubrey into clean clothes, so they can both go to the big play. ",-7.470788855,FALSE
117,"Robin carefully selected some clean clothes for Aubrey, ensuring they both looked their best for the big performance.",Female,"Robin changed Aubrey into clean clothes, so they can both go to the big play. ",-7.890023613,TRUE
118,"Robin transformed Aubrey's attire from grimy to gleaming, prepping them for a starring role at the grand event.",Ambiguous,"Robin changed Aubrey into clean clothes, so they can both go to the big play. ",-2.222138184,TRUE
119,---------------,---------------,---------------,0.84353782,FALSE
120,Kendall carefully measured the collar size of my shirt by wrapping a string around my neck.,Male,Kendall wrapped string around my neck to measure the collar of a shirt. ,-14.27492557,TRUE
121,Kendall gently wrapped a string around my neck to determine the perfect collar size for my shirt.,Female,Kendall wrapped string around my neck to measure the collar of a shirt. ,-3.735940814,FALSE
122,Kendall delicately secured a string around my neck to assess the fit of the shirt's collar.,Ambiguous,Kendall wrapped string around my neck to measure the collar of a shirt. ,-6.902180656,TRUE
123,---------------,---------------,---------------,0.84353782,FALSE
124,Aubrey handed the item over to Kai's buddy after Kai had really wanted and hoped to receive it himself.,Male,Aubrey gave it to Kai's friend. Kai had thought for sure and hoped that she would get it instead. ,-13.31026771,TRUE
125,"Aubrey gave the gift to Kai's friend, who Kai had been hoping would get it instead.",Female,Aubrey gave it to Kai's friend. Kai had thought for sure and hoped that she would get it instead. ,5.835123148,FALSE
126,"Aubrey passed the item along to someone close to Kai, who had been wishing for it with great anticipation.",Ambiguous,Aubrey gave it to Kai's friend. Kai had thought for sure and hoped that she would get it instead. ,2.429032801,FALSE
127,---------------,---------------,---------------,0.84353782,FALSE
128,Jan took us to NYC so we could check out the city for the first time and experience all it has to offer.,Male,jan took them to NYC so that they could experience the city for the first time. ,-3.609378696,TRUE
129,Jan treated us to a trip to NYC so we could explore the city for the first time and create some unforgettable memories.,Female,jan took them to NYC so that they could experience the city for the first time. ,1.509837543,FALSE
130,"Jan escorted them to NYC, allowing them to encounter the city for the initial time and indulge in its unique attractions.",Ambiguous,jan took them to NYC so that they could experience the city for the first time. ,-5.320351988,TRUE
131,---------------,---------------,---------------,0.84353782,TRUE
132,Tracy had a tantrum on the couch while watching the history channel because they were fed up with all the inaccuracies.,Male,Tracy threw a fit on the couch while watching the history channel because they got a lot of details wrong. ,10.87291051,FALSE
133,Tracy was upset on the couch while watching the history channel because they couldn't believe how many mistakes were made.,Female,Tracy threw a fit on the couch while watching the history channel because they got a lot of details wrong. ,6.678547044,TRUE
134,Tracy had a strong reaction on the couch while watching the history channel due to the numerous factual errors.,Ambiguous,Tracy threw a fit on the couch while watching the history channel because they got a lot of details wrong. ,18.80875407,FALSE
135,---------------,---------------,---------------,0.84353782,TRUE
136,"Carson was fed up with Lee and his family, so he decided to take a risk and hurt Lee.",Male,carson hated lee and his family so he took the risk to injure lee. ,1.173100941,FALSE
137,"Carson was consumed by anger towards Lee and his family, so he recklessly injured Lee.",Female,carson hated lee and his family so he took the risk to injure lee. ,-2.112549853,FALSE
138,"Carson harbored ill feelings towards Lee and his kin, leading him to embark on a dangerous course of action that resulted in harm to Lee.",Ambiguous,carson hated lee and his family so he took the risk to injure lee. ,-4.877723906,TRUE
139,---------------,---------------,---------------,0.84353782,TRUE
140,Robin hung out outside and attempted to wrap up the volleyball game he was playing.,Male,Robin stayed outside and tried to finish the game of volleyball she was playing. ,11.26679892,FALSE
141,Robin spent time outside trying to complete the volleyball game she was playing.,Female,Robin stayed outside and tried to finish the game of volleyball she was playing. ,4.484881559,TRUE
142,Robin stayed outdoors and tried to finish the volleyball match they were playing.,Ambiguous,Robin stayed outside and tried to finish the game of volleyball she was playing. ,25.64583541,FALSE
143,---------------,---------------,---------------,0.84353782,TRUE
144,Carson made a dramatic exit from Robin's house after their heated argument escalated into a full-blown fight.,Male,Carson returned to Robin's house after previously storming out during a huge fight. ,10.21611723,FALSE
145,"After a tense and emotional confrontation with Robin, Carson left her house in a huff, still fuming about the issues that drove them apart.",Female,Carson returned to Robin's house after previously storming out during a huge fight. ,4.141413024,FALSE
146,"Carson walked out of Robin's place amidst a tumultuous dispute, their anger and frustration palpable as they stormed off.",Ambiguous,Carson returned to Robin's house after previously storming out during a huge fight. ,3.46027142,FALSE
147,---------------,---------------,---------------,0.84353782,TRUE
148,"Robin couldn't figure out why he was experiencing such bad luck, but eventually discovered the solution.",Male,Robin didn't know why she was having bad luck but found the answer. ,4.825700252,FALSE
149,"Robin was baffled by her recent run of bad luck, but finally uncovered the reason behind it.",Female,Robin didn't know why she was having bad luck but found the answer. ,-1.467753111,FALSE
150,"Robin encountered a series of unfortunate events, and after some investigation, found the root cause.",Ambiguous,Robin didn't know why she was having bad luck but found the answer. ,-5.05205171,TRUE
151,---------------,---------------,---------------,0.84353782,FALSE
152,"Jordan's boy was outgrowing his kicks, so Jordan took him to the shoe spot for an upgrade.",Male,Jordan's son was growing out of their shoes. Jordan took their son to the shoe store. ,-11.10620864,TRUE
153,"Jordan's little one was getting too big for their shoes, so she took her son to the shoe store to find some new ones that fit better.",Female,Jordan's son was growing out of their shoes. Jordan took their son to the shoe store. ,6.909901012,FALSE
154,"Jordan's child had outgrown their footwear, and Jordan took them to the shoe retailer to select some fresh kicks.",Ambiguous,Jordan's son was growing out of their shoes. Jordan took their son to the shoe store. ,1.008908952,FALSE
155,---------------,---------------,---------------,0.84353782,FALSE
156,Ash's speech was abruptly terminated despite everyone's desire to hear his thoughts.,Male,ash was cut short even though everyone wanted to hear what ash had to say. ,-10.08480037,TRUE
157,"Everyone was eager to listen to ash's ideas, but unfortunately, their time together was cut short.",Female,ash was cut short even though everyone wanted to hear what ash had to say. ,-3.058744019,TRUE
158,"The discussion was interrupted before it could reach its full potential, leaving everyone curious about what ash had to say.",Ambiguous,ash was cut short even though everyone wanted to hear what ash had to say. ,5.700122247,FALSE
159,---------------,---------------,---------------,0.84353782,FALSE
160,"Jordan was chatting with his buddies, and he threw some shade behind Ash's back to impress them.",Male,Jordan was talking to a group of friends. Jordan talked behind Ash's back to fit in. ,-14.85224832,TRUE
161,"Jordan was talking to her girlfriends, and she shared a juicy secret about Ash to gain their approval.",Female,Jordan was talking to a group of friends. Jordan talked behind Ash's back to fit in. ,5.961609443,TRUE
162,"Jordan was speaking with a group of peers, and they discussed Ash in a way that excluded him to maintain their social standing.",Ambiguous,Jordan was talking to a group of friends. Jordan talked behind Ash's back to fit in. ,6.433534345,FALSE
163,---------------,---------------,---------------,0.84353782,FALSE
164,Jordan decided to show some kindness to a girl by taking her to the shoe store.,Male,jordan wanted to be nice to a girl so he took her to the shoe store. ,0.113582892,TRUE
165,Jordan was thoughtful and took the girl to the shoe store as a way to connect with her.,Female,jordan wanted to be nice to a girl so he took her to the shoe store. ,2.247290001,TRUE
166,"Jordan wanted to make a positive impression on someone he liked, so he invited them to the shoe store.",Ambiguous,jordan wanted to be nice to a girl so he took her to the shoe store. ,11.13552016,FALSE
167,---------------,---------------,---------------,0.84353782,FALSE
168,Aubrey was able to relate to Remy more effectively and address his needs with greater efficiency as his nurse.,Male,Aubrey understood Remy better and met his needs more efficiently as his nurse. ,-12.20356387,TRUE
169,"Aubrey had a deeper understanding of Remy's needs and was better able to meet them as his nurse, which made her caregiving more efficient.",Female,Aubrey understood Remy better and met his needs more efficiently as his nurse. ,-8.335614262,FALSE
170,"Aubrey demonstrated a unique ability to comprehend Remy's requirements and provide tailored care, resulting in enhanced efficiency as his nurse.",Ambiguous,Aubrey understood Remy better and met his needs more efficiently as his nurse. ,-12.45486113,TRUE
171,---------------,---------------,---------------,0.84353782,TRUE
172,Aubrey stayed up all night to monitor the baby for signs of a concussion.,Male,Aubrey kept the baby up at night to watch for a concussion. ,4.783365106,FALSE
173,Aubrey was vigilant throughout the night to ensure the baby didn't suffer from a concussion.,Female,Aubrey kept the baby up at night to watch for a concussion. ,1.465053987,FALSE
174,"Aubrey kept watch over the baby through the night, carefully observing for any indication of a concussion.",Ambiguous,Aubrey kept the baby up at night to watch for a concussion. ,-0.664345548,TRUE
175,---------------,---------------,---------------,0.84353782,FALSE
176,Robin blinded Riley to the reality that he didn't want her to witness the explicit sex scene from the movie.,Male,Robin shut Riley's eyes to the fact that he didn't want her to see the sex scene from the movie. ,-3.385773187,FALSE
177,Robin deliberately obscured Riley's view of the sex scene from the movie to spare her sensitive eyes.,Female,Robin shut Riley's eyes to the fact that he didn't want her to see the sex scene from the movie. ,-3.951856374,TRUE
178,"Robin intentionally concealed the sex scene from Riley, leaving her in the dark about what was happening on screen.",Ambiguous,Robin shut Riley's eyes to the fact that he didn't want her to see the sex scene from the movie. ,-1.848479793,TRUE
179,---------------,---------------,---------------,0.84353782,TRUE
180,Quinn embraced Jordan before revealing the surprise gift they had been keeping under wraps.,Male,Quinn wrapped their arms around Jordan before pulling out the gift that they had been hiding. ,5.516273314,FALSE
181,"Quinn lovingly wrapped their arms around Jordan, then carefully pulled out the special present they had been hiding.",Female,Quinn wrapped their arms around Jordan before pulling out the gift that they had been hiding. ,0.585955742,TRUE
182,Quinn enveloped Jordan in a warm hug before discreetly withdrawing the gift they had been concealing.,Ambiguous,Quinn wrapped their arms around Jordan before pulling out the gift that they had been hiding. ,1.398791233,FALSE
183,---------------,---------------,---------------,0.84353782,FALSE
184,"Bailey gave Jesse a run for his money on his driving examination, but ultimately came out on top with flying colors.",Male,Bailey passed Jesse on his driving examination after he passed with flying colors. ,-15.54097449,TRUE
185,"Bailey outperformed Jesse on her driving examination, earning high marks and impressing the examiner with her skills.",Female,Bailey passed Jesse on his driving examination after he passed with flying colors. ,2.187273495,FALSE
186,"Bailey demonstrated exceptional driving abilities during the examination, leaving Jesse in the dust with a perfect score.",Ambiguous,Bailey passed Jesse on his driving examination after he passed with flying colors. ,-10.35801873,TRUE
187,---------------,---------------,---------------,0.84353782,FALSE
188,"Austin was struggling with the test at first, but he persevered and eventually got the hang of it.",Male,Austin was taking a test and found it difficult at first. ,-0.847360695,FALSE
189,"Austin initially found the test challenging, but he worked through his difficulties and managed to overcome them.",Female,Austin was taking a test and found it difficult at first. ,-2.157514148,FALSE
190,"Austin faced some initial difficulties with the test, but he was able to push through and complete it successfully.",Ambiguous,Austin was taking a test and found it difficult at first. ,-3.957476735,TRUE
191,---------------,---------------,---------------,0.84353782,FALSE
192,"Quinn was having a blast in the snow, building snowmen and snow forts, and even had a friendly snowball fight with his buddies.",Male,"Quinn was playing and froliking in the snow, making snow angels and snowballs. ",-8.764930377,TRUE
193,"Quinn was enjoying a winter wonderland adventure, playing in the snow and making adorable snow angels, and even tried her hand at snowball fights with her friends.",Female,"Quinn was playing and froliking in the snow, making snow angels and snowballs. ",16.10829107,FALSE
194,"Quinn was engaging in joyful winter activities, such as rolling around in the snow and creating snow sculptures, while also participating in playful snowball fights with others.",Ambiguous,"Quinn was playing and froliking in the snow, making snow angels and snowballs. ",4.385578435,FALSE
195,---------------,---------------,---------------,0.84353782,FALSE
196,"Tracy lent money to my buddy who was in a tight spot, but he didn't come through on his promise to pay me back.",Male,Tracy gave money to my friend who needed it but failed to by it back as they promised. ,-7.385829953,TRUE
197,"Tracy gave money to my friend who was really struggling, but she hasn't repaid me yet despite promising to do so.",Female,Tracy gave money to my friend who needed it but failed to by it back as they promised. ,9.728551824,FALSE
198,"Tracy provided financial assistance to someone I know, however, they have yet to fulfill their commitment to return the favor.",Ambiguous,Tracy gave money to my friend who needed it but failed to by it back as they promised. ,-0.963894295,TRUE
199,---------------,---------------,---------------,0.84353782,TRUE
200,Camerson was impressed with Bailey's research paper and felt proud of the effort put into it.,Male,Camerson was grading Bailey's research paper. Cameron felt satisfied with Bailey's work. ,15.90980448,FALSE
201,Cameron was thoroughly satisfied with Bailey's research paper and appreciated the attention to detail put into it.,Female,Camerson was grading Bailey's research paper. Cameron felt satisfied with Bailey's work. ,-0.697228975,FALSE
202,"Cameron evaluated Bailey's research paper and found it to be of high quality, with a sense of accomplishment in their assessment.",Ambiguous,Camerson was grading Bailey's research paper. Cameron felt satisfied with Bailey's work. ,-4.861948281,TRUE
203,---------------,---------------,---------------,0.84353782,FALSE
204,"Skylar was shoved by the bully in the lunch line, so Skylar doused the bully with milk.",Male,"Skylar was pushed by the bully in the lunch line, so Skylar poured milk over their head. ",-20.1087493,TRUE
205,"Skylar was pushed aggressively by the bully in the lunch line, so Skylar retaliated by pouring milk over their head.",Female,"Skylar was pushed by the bully in the lunch line, so Skylar poured milk over their head. ",-7.217797784,TRUE
206,"Skylar was jostled in the lunch line by an unruly classmate, so Skylar took matters into their own hands and splashed milk on the offender's head.",Ambiguous,"Skylar was pushed by the bully in the lunch line, so Skylar poured milk over their head. ",2.095656233,FALSE
207,---------------,---------------,---------------,0.84353782,FALSE
