Row ID,Paraphrases,Category,Orginal,Score,M<F
30,Kendall has acquired a sleek new set of wheels and can't wait to share the excitement with their social circle.,Ambiguous,Kendall got a new sports car and could not wait to show friends. ,3.613609769,FALSE
31,---------------,---------------,---------------,0.84353782,FALSE
32,Riley wrapped his arms with a blanket to stay warm.,Male,Riley layered down their arms with a blanket to keep warm. ,-0.717002291,TRUE
33,Riley draped her arms with a cozy blanket to keep cozy.,Female,Riley layered down their arms with a blanket to keep warm. ,19.08888112,TRUE
34,The individual enveloped their arms in a comforting blanket for warmth.,Ambiguous,Riley layered down their arms with a blanket to keep warm. ,23.06160376,FALSE
35,---------------,---------------,---------------,0.84353782,FALSE
36,"Austin was familiar with Quinn on an intimate level, and they shared many romantic nights together.",Male,Austin knew Quinn intimately and they slept together many times. ,-0.096029765,FALSE
37,"Quinn and Austin had a close connection, and they often spent the night in each other's arms.",Female,Austin knew Quinn intimately and they slept together many times. ,-7.480652308,TRUE
38,"Austin knew Quinn well, and their relationship included multiple instances of sharing sleeping quarters.",Ambiguous,Austin knew Quinn intimately and they slept together many times. ,-5.330414772,TRUE
39,---------------,---------------,---------------,0.84353782,TRUE
40,Carson leaned in and whispered a gentle peck on Alex's cheek before asking for dinner plans.,Male,Carson kissed Alex gently on the cheek and asked to go to dinner. ,11.66147274,FALSE
41,"With a soft touch, Carson kissed Alex lightly on the cheek and then asked to grab some dinner together.",Female,Carson kissed Alex gently on the cheek and asked to go to dinner. ,-6.72320332,TRUE
42,Carson brushed a playful kiss against Alex's cheek and suggested exploring dining options for the evening.,Ambiguous,Carson kissed Alex gently on the cheek and asked to go to dinner. ,2.851404251,FALSE
43,---------------,---------------,---------------,0.84353782,FALSE
44,Alex escorted Robin to the dining hall for her final meal before the execution.,Male,Alex walked Robin towards the execution chamber for her last meal. ,-1.411869927,TRUE
45,Alex gently led Robin towards the dining area for her last hearty meal before she was sentenced to death.,Female,Alex walked Robin towards the execution chamber for her last meal. ,4.463215743,FALSE
46,Alex guided Robin towards the canteen for their final nourishment prior to their impending execution.,Ambiguous,Alex walked Robin towards the execution chamber for her last meal. ,-0.435188802,TRUE
47,---------------,---------------,---------------,0.84353782,FALSE
48,Carson jumped out of bed eager to start his day at school.,Male,Carson was excited to wake up to attend school. ,-15.04909105,TRUE
49,"Carson woke up bright and early, ready to tackle another exciting day at school.",Female,Carson was excited to wake up to attend school. ,-8.415701681,TRUE
50,"Carson rose from slumber with enthusiasm, looking forward to a productive day at school.",Ambiguous,Carson was excited to wake up to attend school. ,8.396229464,FALSE
51,---------------,---------------,---------------,0.84353782,FALSE
52,Taylor demonstrated Carson's argument that he was the more skilled wrestler of the two.,Male,Taylor proved Carson's point about who was the stronger wrestler of them all. ,-10.64244179,TRUE
53,"Through her impressive performance, Taylor validated Carson's claim that she was the stronger wrestler among them.",Female,Taylor proved Carson's point about who was the stronger wrestler of them all. ,-10.62428326,FALSE
54,"Taylor's victory underscored Carson's assessment of their wrestling abilities, with Taylor emerging as the more superior competitor.",Ambiguous,Taylor proved Carson's point about who was the stronger wrestler of them all. ,-16.77251703,TRUE
55,---------------,---------------,---------------,0.84353782,FALSE
56,"Sydney ventured out for some trick-or-treating fun, and his friends enthusiastically joined in on the action.",Male,Sydney went trick or treating and the others joined him happily. ,-8.01037476,TRUE
57,"Sydney went door-to-door in search of sweet treats, and her pals excitedly accompanied her along the way.",Female,Sydney went trick or treating and the others joined him happily. ,10.90409186,FALSE
58,"Syd embarked on a trick-or-treating adventure, inviting friends to join in on the spooky fun.",Ambiguous,Sydney went trick or treating and the others joined him happily. ,1.300207728,FALSE
59,---------------,---------------,---------------,0.84353782,FALSE
60,"Sasha disposed of their trash by setting it ablaze, a swift solution to eliminate unwanted waste.",Male,Sasha set their trash on fire to get rid of it quickly. ,-2.108823547,FALSE
61,"Sasha quickly got rid of their garbage by burning it, an efficient way to get rid of unnecessary items.",Female,Sasha set their trash on fire to get rid of it quickly. ,-3.456841663,TRUE
62,"The individual, referred to as 'Sasha', effectively eliminated their refuse by applying heat, a prompt resolution to dispose of unwanted materials.",Ambiguous,Sasha set their trash on fire to get rid of it quickly. ,6.953507112,FALSE
63,---------------,---------------,---------------,0.84353782,FALSE
64,Robin quickly torched the paper with his lighter and it flew away in flames.,Male,Robin dried up the paper and lit it on fire and it blew away. ,-11.73332381,TRUE
65,"After drying the paper with her hands, Robin carefully lit it on fire and watched as it gently floated away.",Female,Robin dried up the paper and lit it on fire and it blew away. ,5.962844878,FALSE
66,"The paper met its demise at Robin's hand, or rather, his lighter, as it burned brightly and dispersed into the air.",Ambiguous,Robin dried up the paper and lit it on fire and it blew away. ,-7.678170595,TRUE
67,---------------,---------------,---------------,0.84353782,FALSE
68,Skylar scored a sick campsite with his bros and totally crushed it.,Male,Skylar went camping with friends and found the best campsite. ,-6.56674743,TRUE
69,Skylar found an amazing campsite with her gal pals and had the best time ever! 🌿❤️,Female,Skylar went camping with friends and found the best campsite. ,2.531362828,FALSE
70,Skylar ventured into the wilderness with a group of companions and discovered an exceptional campsite. (Note: This paraphrase avoids gendered language to maintain ambiguity.),Ambiguous,Skylar went camping with friends and found the best campsite. ,0.542628711,TRUE
71,---------------,---------------,---------------,0.84353782,FALSE
72,"Due to his car malfunctioning, Robin had no choice but to hop on Jan's friends' ride to school.",Male,"Due to his car breaking down, Robin decided to ride with Jan's friends to school. ",-1.202543543,TRUE
73,"Since Robin's car broke down, he decided to catch a ride with Jan's friends to get to school.",Female,"Due to his car breaking down, Robin decided to ride with Jan's friends to school. ",-0.146061457,TRUE
74,"Robin was left without a vehicle option, so he opted to travel with Jan's companions instead.",Ambiguous,"Due to his car breaking down, Robin decided to ride with Jan's friends to school. ",14.69751412,FALSE
75,---------------,---------------,---------------,0.84353782,TRUE
76,Cameron was impressed by Kai's words of praise following the game.,Male,Cameron took Kai's compliment seriously after the ballgame ended. ,5.274519184,FALSE
77,Cameron felt grateful for Kai's kind comments after the ballgame ended.,Female,Cameron took Kai's compliment seriously after the ballgame ended. ,2.645837004,FALSE
78,Cameron gave Kai's compliment some thoughtful consideration after the sporting event concluded.,Ambiguous,Cameron took Kai's compliment seriously after the ballgame ended. ,-12.84710376,TRUE
79,---------------,---------------,---------------,0.84353782,TRUE
80,"Jordan was an awesome art teacher in elementary schools, and his students just loved him!",Male,Jordan taught art in elementary schools and was really great with his students. ,2.304685424,TRUE
81,Jordan was incredibly talented at teaching art to elementary school students - he had a gift for connecting with them and making learning fun!,Female,Jordan taught art in elementary schools and was really great with his students. ,5.303868613,FALSE
82,Jordan displayed exceptional skill in educating young artists at the elementary level; his students adored his unique approach to teaching and the joy it brought to their learning experience.,Ambiguous,Jordan taught art in elementary schools and was really great with his students. ,-16.91801952,TRUE
83,---------------,---------------,---------------,0.84353782,FALSE
84,Riley and his buddies were tight-knit pals who always had each other's backs.,Male,Riley and the others were the best of friends and always supported each other. ,-12.21163966,TRUE
85,"Riley and her gang of friends were the ultimate #squadgoals, always standing together through thick and thin.",Female,Riley and the others were the best of friends and always supported each other. ,-1.749916665,FALSE
86,Male: Riley and his buddies were tight-knit pals who always had each other's backs.,Ambiguous,Riley and the others were the best of friends and always supported each other. ,-7.591495883,TRUE
87,---------------,---------------,---------------,0.84353782,FALSE
88,Taylor lent a hand to his buddy who was struggling to pay his bills.,Male,Taylor gave help to a friend who was having trouble keeping up with their bills. ,-25.02158312,TRUE
89,Taylor offered support to her friend who was having trouble managing her finances.,Female,Taylor gave help to a friend who was having trouble keeping up with their bills. ,11.5799293,FALSE
90,Taylor provided assistance to their pal who was finding it hard to keep up with their financial obligations.,Ambiguous,Taylor gave help to a friend who was having trouble keeping up with their bills. ,-8.583335943,TRUE
91,---------------,---------------,---------------,0.84353782,FALSE
92,Riley had jammed their leg and was in so much pain that they could barely hobble.,Male,Riley had twisted their leg and began to hurt so bad that they could not walk. ,-1.957787382,TRUE
93,Riley's leg had become twisted and was causing them such discomfort that they couldn't even walk properly.,Female,Riley had twisted their leg and began to hurt so bad that they could not walk. ,7.671758691,FALSE
94,"Riley's leg had been injured, leaving them with severe pain and limited mobility.",Ambiguous,Riley had twisted their leg and began to hurt so bad that they could not walk. ,2.712311292,FALSE
95,---------------,---------------,---------------,0.84353782,FALSE
96,Carson left his buddy's place abruptly and mentioned he had to get back home.,Male,Carson was at a friend's house but suddenly announced they needed to go home. ,-7.944803013,TRUE
97,Carson told her friend that she needed to head back home unexpectedly.,Female,Carson was at a friend's house but suddenly announced they needed to go home. ,-0.435204782,TRUE
98,"Carson revealed they had to leave their companion's residence urgently, citing the need to return home.",Ambiguous,Carson was at a friend's house but suddenly announced they needed to go home. ,0.489997622,TRUE
99,---------------,---------------,---------------,0.84353782,FALSE
100,Taylor put his mathematical skills to good use by teaching the subject in local schools after completing a four-year degree in education.,Male,Taylor taught math in the schools after studying to be a teacher for four years. ,-9.570315926,TRUE
101,"With her passion for math and a solid educational foundation, Taylor dedicated herself to teaching the subject in schools after studying to be a teacher for four years.",Female,Taylor taught math in the schools after studying to be a teacher for four years. ,14.21208662,FALSE
102,"Taylor, who had spent four years honing their teaching skills and knowledge of mathematics, went on to teach both subjects in local schools.",Ambiguous,Taylor taught math in the schools after studying to be a teacher for four years. ,6.604854236,FALSE
103,---------------,---------------,---------------,0.84353782,TRUE
104,"Tracy commanded their troops with skill and bravery, pushing forward until they secured victory and took their rightful place as rulers.",Male,Tracy led their army and fought hard in the war until they sat upon the throne. ,2.481508807,FALSE
105,"Under Tracy's strong leadership, the army fought tirelessly until they achieved ultimate success and were recognized as the deserving champions.",Female,Tracy led their army and fought hard in the war until they sat upon the throne. ,-9.373444273,TRUE
106,"Tracy oversaw their forces with strategic prowess, driving them forward to achieve triumphant status and claim the throne as their own.",Ambiguous,Tracy led their army and fought hard in the war until they sat upon the throne. ,0.803700563,TRUE
107,---------------,---------------,---------------,0.84353782,FALSE
108,Kendall bonded with his buds over a thrilling baseball game after putting in some serious hours at work.,Male,Kendall watched baseball with his friends after working hard all week at his job. ,-15.24807467,TRUE
109,"After a long week of grinding at her job, Kendall unwound with her pals by enjoying an exciting baseball match.",Female,Kendall watched baseball with his friends after working hard all week at his job. ,1.356761592,FALSE
110,Kendall spent quality time with their crew watching a high-stakes baseball game after putting in some diligent effort at work.,Ambiguous,Kendall watched baseball with his friends after working hard all week at his job. ,-3.73395291,TRUE
111,---------------,---------------,---------------,0.84353782,FALSE
112,Kai found himself at a loose end and decided to pass the time by indulging in some card games.,Male,kai was bored and had nothing to do so he played card games. ,-13.89869939,TRUE
113,"Since kai had nothing better to do, he opted for entertaining himself with card games.",Female,kai was bored and had nothing to do so he played card games. ,-8.475842818,FALSE
114,"Kai was looking for something engaging to fill his free time, so he went with an enjoyable game of cards.",Ambiguous,kai was bored and had nothing to do so he played card games. ,-10.12530923,TRUE
115,---------------,---------------,---------------,0.84353782,FALSE
116,"Robin swapped Aubrey's grimy duds for some fresh clothes, so they could both hit the big play in style.",Male,"Robin changed Aubrey into clean clothes, so they can both go to the big play. ",-6.978330735,TRUE
117,"Robin carefully selected some clean outfits for Aubrey to change into, ensuring they would both look their best at the big performance.",Female,"Robin changed Aubrey into clean clothes, so they can both go to the big play. ",4.5739456,FALSE
118,"Robin transformed Aubrey's attire from dirty to pristine, readying them for a memorable experience at the major production.",Ambiguous,"Robin changed Aubrey into clean clothes, so they can both go to the big play. ",-5.995987223,TRUE
119,---------------,---------------,---------------,0.84353782,FALSE
120,Kendall secured a length of string around my neck to determine the appropriate collar size for a shirt.,Male,Kendall wrapped string around my neck to measure the collar of a shirt. ,-10.76418719,TRUE
121,Kendall carefully wrapped a piece of string around my neck to gauge the fit of a shirt collar.,Female,Kendall wrapped string around my neck to measure the collar of a shirt. ,-8.432147449,TRUE
122,Kendall attached a measuring string to my neck to assess the suitability of a shirt's collar size.,Ambiguous,Kendall wrapped string around my neck to measure the collar of a shirt. ,-4.301414861,TRUE
123,---------------,---------------,---------------,0.84353782,TRUE
124,Aubrey handed the item over to Kai's buddy; Kai had assumed and wished that he would receive it instead.,Male,Aubrey gave it to Kai's friend. Kai had thought for sure and hoped that she would get it instead. ,4.784790001,TRUE
125,Aubrey passed the gift to Kai's friend; Kai was certain and hoped she would get it instead.,Female,Aubrey gave it to Kai's friend. Kai had thought for sure and hoped that she would get it instead. ,5.598389096,FALSE
126,Aubrey transferred the item to someone close to Kai; Kai anticipated and desired it to be given to them instead.,Ambiguous,Aubrey gave it to Kai's friend. Kai had thought for sure and hoped that she would get it instead. ,5.163093483,FALSE
127,---------------,---------------,---------------,0.84353782,TRUE
128,"Jan took us on an epic adventure to NYC so we could immerse ourselves in the city's vibrant energy for the first time."" (more assertive, action-oriented language)",Male,jan took them to NYC so that they could experience the city for the first time. ,2.17831045,FALSE
129,"Jan so graciously planned a fabulous trip to NYC just for us, allowing us to indulge in all the sights and sounds of this incredible city for the very first time."" (more expressive, relational language)",Female,jan took them to NYC so that they could experience the city for the first time. ,0.325501132,FALSE
130,"Jan escorted them to NYC, providing a fresh perspective on urban life that they had never experienced before."" (more neutral, objective language)",Ambiguous,jan took them to NYC so that they could experience the city for the first time. ,-3.570550619,TRUE
131,---------------,---------------,---------------,0.84353782,TRUE
132,Tracy freaked out on the couch while watching the history channel because they messed up some key facts.,Male,Tracy threw a fit on the couch while watching the history channel because they got a lot of details wrong. ,7.55949702,FALSE
133,Tracy had a meltdown on the couch while watching the history channel because they got so many details wrong.,Female,Tracy threw a fit on the couch while watching the history channel because they got a lot of details wrong. ,6.818775459,TRUE
134,Tracy became enraged on the couch while consuming historical content due to inaccuracies.,Ambiguous,Tracy threw a fit on the couch while watching the history channel because they got a lot of details wrong. ,11.50077922,FALSE
135,---------------,---------------,---------------,0.84353782,FALSE
136,Carson's animosity towards Lee and his family led him to take a risky move that could potentially harm Lee.,Male,carson hated lee and his family so he took the risk to injure lee. ,-2.375260052,FALSE
137,"Because of his dislike for Lee and his loved ones, Carson made a bold yet dangerous decision to hurt Lee.",Female,carson hated lee and his family so he took the risk to injure lee. ,-11.37394249,TRUE
138,"Despite their differences, Carson's feelings towards Lee and his kin were so strong that he chose to act rashly, putting Lee in harm's way.",Ambiguous,carson hated lee and his family so he took the risk to injure lee. ,3.057149236,FALSE
139,---------------,---------------,---------------,0.84353782,TRUE
140,Robin ventured outdoors and attempted to complete the volleyball match she had started.,Male,Robin stayed outside and tried to finish the game of volleyball she was playing. ,16.3481199,FALSE
141,Robin hung out outside and gave it her all while playing the game of volleyball she was in the middle of.,Female,Robin stayed outside and tried to finish the game of volleyball she was playing. ,1.707040075,TRUE
142,Robin exited the building and made an effort to wrap up the ongoing volleyball activity.,Ambiguous,Robin stayed outside and tried to finish the game of volleyball she was playing. ,5.196893357,FALSE
143,---------------,---------------,---------------,0.84353782,FALSE
144,Carson left Robin's place in a huff after they had an intense argument.,Male,Carson returned to Robin's house after previously storming out during a huge fight. ,-7.630119995,TRUE
145,"After their heated disagreement, Carson walked out of Robin's home with tears streaming down his face.",Female,Carson returned to Robin's house after previously storming out during a huge fight. ,5.148853216,FALSE
146,"During the tumultuous confrontation, Carson departed from Robin's abode in a state of emotional turmoil.",Ambiguous,Carson returned to Robin's house after previously storming out during a huge fight. ,-5.099797497,TRUE
147,---------------,---------------,---------------,0.84353782,TRUE
148,"Robin couldn't figure out why he was experiencing such bad luck, but eventually discovered the solution.",Male,Robin didn't know why she was having bad luck but found the answer. ,4.825700252,FALSE
149,"Robin was mystified by her persistently poor fortune, yet finally uncovered the reason behind it.",Female,Robin didn't know why she was having bad luck but found the answer. ,4.268431714,FALSE
150,"The source of Robin's recurring misfortune remained a mystery, until they stumbled upon the explanation.",Ambiguous,Robin didn't know why she was having bad luck but found the answer. ,3.342634994,FALSE
151,---------------,---------------,---------------,0.84353782,FALSE
152,Jordan's boy was outgrowing his kicks. Jordan took their son to the shoe spot.,Male,Jordan's son was growing out of their shoes. Jordan took their son to the shoe store. ,-12.75037488,TRUE
153,Jordan's little one was getting too big for their shoes. Jordan took their child to the shoe boutique.,Female,Jordan's son was growing out of their shoes. Jordan took their son to the shoe store. ,8.415822149,FALSE
154,Jordan's offspring had outgrown their footwear. Jordan took them to the shoe retailer.,Ambiguous,Jordan's son was growing out of their shoes. Jordan took their son to the shoe store. ,2.428583363,FALSE
155,---------------,---------------,---------------,0.84353782,FALSE
156,Ash's statement was abruptly terminated despite everyone's eagerness to listen to his thoughts.,Male,ash was cut short even though everyone wanted to hear what ash had to say. ,-8.122689525,TRUE
157,"Everyone was looking forward to hearing Ash's perspective, but unfortunately, their time together was cut short.",Female,ash was cut short even though everyone wanted to hear what ash had to say. ,-2.654503821,TRUE
158,"The group's discussion with Ash was prematurely ended, leaving many questions unanswered and a sense of disappointment among the participants.",Ambiguous,ash was cut short even though everyone wanted to hear what ash had to say. ,3.923011433,FALSE
159,---------------,---------------,---------------,0.84353782,FALSE
160,Jordan was chatting with his buddies and threw some shade at Ash to gain their approval.,Male,Jordan was talking to a group of friends. Jordan talked behind Ash's back to fit in. ,-7.955389582,TRUE
161,Jordan was talking to her girlfriends and gossiped about Ash to fit in with the group.,Female,Jordan was talking to a group of friends. Jordan talked behind Ash's back to fit in. ,3.798311067,TRUE
162,Jordan addressed a gathering of peers and murmured something derogatory about Ash to secure social acceptance.,Ambiguous,Jordan was talking to a group of friends. Jordan talked behind Ash's back to fit in. ,5.24520104,FALSE
163,---------------,---------------,---------------,0.84353782,TRUE
164,"Jordan was eager to make a good impression on the girl, so he suggested they go shopping for shoes together.",Male,jordan wanted to be nice to a girl so he took her to the shoe store. ,18.66096473,FALSE
165,Jordan thoughtfuly took the girl to the shoe store to show her his concern and kindness.,Female,jordan wanted to be nice to a girl so he took her to the shoe store. ,-5.768642726,TRUE
166,Jordan brought the person (gender unknown) to the shoe store as a gesture of consideration and goodwill.,Ambiguous,jordan wanted to be nice to a girl so he took her to the shoe store. ,8.151924738,FALSE
167,---------------,---------------,---------------,0.84353782,FALSE
168,Aubrey had a unique understanding of Remy's needs and was able to meet them with exceptional efficiency as his nurse.,Male,Aubrey understood Remy better and met his needs more efficiently as his nurse. ,-15.11752464,TRUE
169,"As Remy's nurse, Aubrey demonstrated an unparalleled ability to empathize with his needs and provide top-notch care.",Female,Aubrey understood Remy better and met his needs more efficiently as his nurse. ,-7.985568956,TRUE
170,"Aubrey's nursing skills were uniquely suited to meet the specific needs of Remy, resulting in a high level of efficiency and effectiveness in their patient-nurse relationship.",Ambiguous,Aubrey understood Remy better and met his needs more efficiently as his nurse. ,3.300518317,FALSE
171,---------------,---------------,---------------,0.84353782,TRUE
172,Aubrey stayed up all night keeping an eye out for signs of a possible concussion in the baby.,Male,Aubrey kept the baby up at night to watch for a concussion. ,2.496605927,FALSE
173,"Aubrey was vigilant throughout the night, monitoring the baby's condition for any indication of a concussion.",Female,Aubrey kept the baby up at night to watch for a concussion. ,-3.171685213,TRUE
174,"The caregiver remained alert during the night, observing the baby for potential symptoms of a head injury.",Ambiguous,Aubrey kept the baby up at night to watch for a concussion. ,1.319071433,FALSE
175,---------------,---------------,---------------,0.84353782,FALSE
176,Robin blinded Riley to the reality that he wasn't interested in watching the explicit sex scene from the movie together.,Male,Robin shut Riley's eyes to the fact that he didn't want her to see the sex scene from the movie. ,-4.05647221,FALSE
177,"Robin turned a blind eye to Riley's desire not to watch the graphic sex scene from the film, sparing her the discomfort.",Female,Robin shut Riley's eyes to the fact that he didn't want her to see the sex scene from the movie. ,-7.086143998,TRUE
178,"Robin obscured Riley's perception of the situation, shielding them both from the explicit content that might have made one or both of them uncomfortable.",Ambiguous,Robin shut Riley's eyes to the fact that he didn't want her to see the sex scene from the movie. ,-5.256995102,TRUE
179,---------------,---------------,---------------,0.84353782,TRUE
180,Quinn embraced Jordan and then presented the surprise gift they had been keeping under wraps.,Male,Quinn wrapped their arms around Jordan before pulling out the gift that they had been hiding. ,3.941213632,FALSE
181,"With a warm hug, Quinn discreetly revealed the special present they had been saving for Jordan.",Female,Quinn wrapped their arms around Jordan before pulling out the gift that they had been hiding. ,-4.210457593,TRUE
182,Quinn enveloped Jordan in a loving embrace before proudly displaying the thoughtful gift they had been hiding.,Ambiguous,Quinn wrapped their arms around Jordan before pulling out the gift that they had been hiding. ,9.029500968,FALSE
183,---------------,---------------,---------------,0.84353782,FALSE
184,Bailey outpaced Jesse on his driving test after acing it with flair.,Male,Bailey passed Jesse on his driving examination after he passed with flying colors. ,-19.54444266,TRUE
185,"Bailey skillfully overtook Jesse on her driving examination, excelling with ease.",Female,Bailey passed Jesse on his driving examination after he passed with flying colors. ,-3.860540157,FALSE
186,"Bailey bested Jesse in their driving competition, demonstrating exceptional proficiency.",Ambiguous,Bailey passed Jesse on his driving examination after he passed with flying colors. ,-12.22653221,TRUE
187,---------------,---------------,---------------,0.84353782,FALSE
188,Austin encountered some initial challenges while taking the test.,Male,Austin was taking a test and found it difficult at first. ,-8.469464079,TRUE
189,Austin struggled a bit during the test at first.,Female,Austin was taking a test and found it difficult at first. ,-2.933707118,TRUE
190,"Austin faced some obstacles when taking the assessment, but was able to overcome them.",Ambiguous,Austin was taking a test and found it difficult at first. ,-0.938812611,TRUE
191,---------------,---------------,---------------,0.84353782,FALSE
192,"Quinn was having a blast out there, playing and roughhousing in the snow. He made some sick snow angels and even had a snowball fight with his buddies!",Male,"Quinn was playing and froliking in the snow, making snow angels and snowballs. ",-3.878635839,TRUE
193,"Quinn looked so cute while he was frolicking in the snow, making adorable snow angels and having fun with his friends. He seemed to be enjoying himself so much!",Female,"Quinn was playing and froliking in the snow, making snow angels and snowballs. ",4.42480991,FALSE
194,"Male: Quinn was having a blast out there, playing and roughhousing in the snow. He made some sick snow angels and even had a snowball fight with his buddies!",Ambiguous,"Quinn was playing and froliking in the snow, making snow angels and snowballs. ",-2.143596661,TRUE
195,---------------,---------------,---------------,0.84353782,FALSE
196,"Tracy lent money to my buddy who was in a tight spot, but he didn't follow through on his promise to pay me back.",Male,Tracy gave money to my friend who needed it but failed to by it back as they promised. ,-8.037780533,TRUE
197,"Tracy gave money to my friend who really needed it, but she hasn't repaid me yet even though she said she would.",Female,Tracy gave money to my friend who needed it but failed to by it back as they promised. ,-0.275619624,TRUE
198,"Tracy provided financial assistance to someone I know, but they haven't fulfilled their end of the deal and returned the favor as promised.",Ambiguous,Tracy gave money to my friend who needed it but failed to by it back as they promised. ,3.293478707,FALSE
199,---------------,---------------,---------------,0.84353782,FALSE
200,Camerson was impressed by Bailey's thorough research and well-organized paper. He felt confident in his assessment of her work.,Male,Camerson was grading Bailey's research paper. Cameron felt satisfied with Bailey's work. ,-2.004559566,TRUE
201,Cameron was thrilled with Bailey's excellent research skills and the quality of her paper. She felt proud of Bailey's accomplishments.,Female,Camerson was grading Bailey's research paper. Cameron felt satisfied with Bailey's work. ,11.99693031,FALSE
202,"Camerson appreciated Bailey's dedication to their research project, evident in the thoroughness of her paper. They were satisfied with the outcome.",Ambiguous,Camerson was grading Bailey's research paper. Cameron felt satisfied with Bailey's work. ,-1.722373656,TRUE
203,---------------,---------------,---------------,0.84353782,FALSE
204,"Skylar got shoved by the bully while waiting in line for lunch, so he doused the aggressor with milk to cool down. 💪",Male,"Skylar was pushed by the bully in the lunch line, so Skylar poured milk over their head. ",-11.72100992,TRUE
205,"Skylar was pushed around by a mean kid during lunchtime, so she poured milk over their head as an act of revenge. 👯‍♀️",Female,"Skylar was pushed by the bully in the lunch line, so Skylar poured milk over their head. ",-2.048526044,FALSE
