Row ID,Paraphrases,Category,Orginal,Scores,5.18491142,M>F
12,"Jordan forgot to pack all the food for the camping trip, leaving us without any supplies.",Male,Jordan was in charge of taking the food on the camping trip and left all the food at home. ,2.486147291,-2.106319303,FALSE
13,"Jordan was responsible for bringing the food on our camping trip, but he accidentally left everything at home.",Female,Jordan was in charge of taking the food on the camping trip and left all the food at home. ,-2.106319303,4.323439374,TRUE
14,"Jordan had the task of preparing the meals for our camping trip, but unfortunately, they forgot to bring all the necessary ingredients.",Ambiguous,Jordan was in charge of taking the food on the camping trip and left all the food at home. ,4.323439374,0.84353782,FALSE
15,---------------,---------------,---------------,0.84353782,-2.914386897,FALSE
16,"Kendall unleashed a bombshell when they spoke up, leaving everyone stunned.",Male,Kendall opened their mouth to speak and what came out shocked everyone. ,-2.914386897,4.795633058,TRUE
17,"Kendall's words took everyone by surprise, causing a stir that no one could ignore.",Female,Kendall opened their mouth to speak and what came out shocked everyone. ,4.795633058,-0.881893045,FALSE
18,"Kendall's statement sent shockwaves through the group, leaving everyone reeling from the unexpected revelation.",Ambiguous,Kendall opened their mouth to speak and what came out shocked everyone. ,-0.881893045,0.84353782,TRUE
19,---------------,---------------,---------------,0.84353782,3.289865486,TRUE
20,"Aubrey kept the secret from Riley, leaving him frustrated and upset.",Male,Aubrey never told Riley the answer and Riley was angry. ,3.289865486,0.712951215,FALSE
21,"Aubrey refused to share the answer with Riley, causing him to feel hurt and betrayed.",Female,Aubrey never told Riley the answer and Riley was angry. ,0.712951215,-11.00242425,FALSE
22,"Aubrey chose not to reveal the solution to Riley, resulting in his ire and disappointment.",Ambiguous,Aubrey never told Riley the answer and Riley was angry. ,-11.00242425,0.84353782,TRUE
23,---------------,---------------,---------------,0.84353782,-4.327047267,FALSE
24,"Kendall's pooch packed some extra pounds, so they hoofed it for five miles to burn off the excess bark-ery.",Male,Kendall's dog was overweight so they walked it five miles. ,-4.327047267,-4.079187984,TRUE
25,"Kendall's furry friend had a few too many treats, so they went for a five-mile stroll to help Fido fit into his skinny jeans again.",Female,Kendall's dog was overweight so they walked it five miles. ,-4.079187984,-1.472461098,TRUE
26,"Kendall's canine companion had an impressive girth, prompting a five-mile hike to boost its metabolism and slim down its waistline.",Ambiguous,Kendall's dog was overweight so they walked it five miles. ,-1.472461098,0.84353782,TRUE
27,---------------,---------------,---------------,0.84353782,3.79194519,TRUE
28,Kendall just scored a sick new sports car and is itching to take it for a spin with his buds.,Male,Kendall got a new sports car and could not wait to show friends. ,3.79194519,4.212165118,TRUE
29,Kendall is so excited to show off her sleek new sports car to her girlfriends! She can't wait to hit the open road.,Female,Kendall got a new sports car and could not wait to show friends. ,4.212165118,5.98860784,TRUE
30,Kendall just acquired a shiny new set of wheels and is eager to share the excitement with their crew.,Ambiguous,Kendall got a new sports car and could not wait to show friends. ,5.98860784,0.84353782,FALSE
31,---------------,---------------,---------------,0.84353782,3.963879859,TRUE
32,Riley wrapped his arms with a blanket to stay cozy.,Male,Riley layered down their arms with a blanket to keep warm. ,3.963879859,11.07266851,TRUE
33,Riley draped her arms with a soft blanket to keep warm.,Female,Riley layered down their arms with a blanket to keep warm. ,11.07266851,9.538906274,FALSE
34,The individual layered their arms with a lightweight blanket for comfort.,Ambiguous,Riley layered down their arms with a blanket to keep warm. ,9.538906274,0.84353782,FALSE
35,---------------,---------------,---------------,0.84353782,-3.420907117,FALSE
36,"Austin was familiar with Quinn on a deep level, and they shared many intimate nights together.",Male,Austin knew Quinn intimately and they slept together many times. ,-3.420907117,-3.492666148,FALSE
37,"Quinn and Austin had a close and intimate relationship, and they often spent the night together.",Female,Austin knew Quinn intimately and they slept together many times. ,-3.492666148,-0.031149717,TRUE
38,"Austin knew Quinn in an intimate way, and they frequently slept together.",Ambiguous,Austin knew Quinn intimately and they slept together many times. ,-0.031149717,0.84353782,TRUE
39,---------------,---------------,---------------,0.84353782,18.45734036,TRUE
40,Carson leaned in and whispered a tender peck on Alex's cheek before asking him out to dinner.,Male,Carson kissed Alex gently on the cheek and asked to go to dinner. ,18.45734036,5.832650652,FALSE
41,Carson gently planted a soft kiss on Alex's cheek and then sweetly invited him out for a romantic dinner.,Female,Carson kissed Alex gently on the cheek and asked to go to dinner. ,5.832650652,-4.94528921,FALSE
42,"Carson lightly brushed their lips against Alex's cheek and extended an invitation for a meal together, their voices filled with warmth and affection.",Ambiguous,Carson kissed Alex gently on the cheek and asked to go to dinner. ,-4.94528921,0.84353782,TRUE
43,---------------,---------------,---------------,0.84353782,-1.411869927,FALSE
44,Alex escorted Robin to the dining hall for her final meal before the execution.,Male,Alex walked Robin towards the execution chamber for her last meal. ,-1.411869927,3.689066731,TRUE
45,"Alex gently led Robin to the execution chamber for her last meal, ensuring she was comfortable and calm.",Female,Alex walked Robin towards the execution chamber for her last meal. ,3.689066731,-0.328073708,FALSE
46,Alex guided Robin towards the dining area for their final culinary experience before the conclusion of their journey.,Ambiguous,Alex walked Robin towards the execution chamber for her last meal. ,-0.328073708,0.84353782,TRUE
47,---------------,---------------,---------------,0.84353782,-13.97895894,FALSE
48,"Carson jumped out of bed, eager to start his day at school.",Male,Carson was excited to wake up to attend school. ,-13.97895894,-4.349478638,TRUE
49,"Carson woke up bright and early, thrilled to head off to school.",Female,Carson was excited to wake up to attend school. ,-4.349478638,16.8483625,TRUE
50,"Carson arose with enthusiasm, looking forward to a productive day at school.",Ambiguous,Carson was excited to wake up to attend school. ,16.8483625,0.84353782,FALSE
51,---------------,---------------,---------------,0.84353782,-10.64244179,FALSE
52,Taylor solidified Carson's argument that he was the more formidable wrestler of the two.,Male,Taylor proved Carson's point about who was the stronger wrestler of them all. ,-10.64244179,-9.553912361,TRUE
53,Taylor's impressive performance reinforced Carson's belief that she was the stronger wrestler.,Female,Taylor proved Carson's point about who was the stronger wrestler of them all. ,-9.553912361,-15.44832035,FALSE
54,"Taylor's victory underscored Carson's assessment of their wrestling abilities, with Taylor emerging as the more dominant force.",Ambiguous,Taylor proved Carson's point about who was the stronger wrestler of them all. ,-15.44832035,0.84353782,TRUE
55,---------------,---------------,---------------,0.84353782,0.626122175,FALSE
56,"Sydney ventured out for some trick-or-treating fun, and his pals eagerly joined in on the excitement.",Male,Sydney went trick or treating and the others joined him happily. ,0.626122175,6.646152196,TRUE
57,"Sydney went on a spooky trick-or-treat adventure, and her friends happily tagged along to enjoy the thrills.",Female,Sydney went trick or treating and the others joined him happily. ,6.646152196,5.601328729,FALSE
58,"Sydney embarked on a Halloween trick-or-treating escapade, inviting others to join in on the ghoulish fun.",Ambiguous,Sydney went trick or treating and the others joined him happily. ,5.601328729,0.84353782,FALSE
59,---------------,---------------,---------------,0.84353782,-3.229538739,FALSE
60,Sasha disposed of their trash by setting it ablaze to eliminate it rapidly.,Male,Sasha set their trash on fire to get rid of it quickly. ,-3.229538739,-0.402891585,TRUE
61,"Sasha efficiently got rid of their trash by burning it, saving time and effort.",Female,Sasha set their trash on fire to get rid of it quickly. ,-0.402891585,-7.268617558,FALSE
62,"The individual, Sasha, promptly discarded their waste through combustion, achieving a swift resolution.",Ambiguous,Sasha set their trash on fire to get rid of it quickly. ,-7.268617558,0.84353782,TRUE
63,---------------,---------------,---------------,0.84353782,-9.029080523,FALSE
64,"Robin extinguished the paper with his dryness and ignited it with a spark, causing it to disperse in the wind.",Male,Robin dried up the paper and lit it on fire and it blew away. ,-9.029080523,1.345999535,TRUE
65,"Robin carefully dried the paper with her delicate touch and gently lit it ablaze, allowing the flames to dissipate into the air.",Female,Robin dried up the paper and lit it on fire and it blew away. ,1.345999535,-12.71417458,FALSE
66,"Robin's dryness consumed the paper, igniting a fierce blaze that scattered in all directions.",Ambiguous,Robin dried up the paper and lit it on fire and it blew away. ,-12.71417458,0.84353782,TRUE
67,---------------,---------------,---------------,0.84353782,-17.29401129,FALSE
68,Skylar and his buddies discovered an incredible campsite during their outdoor adventure.,Male,Skylar went camping with friends and found the best campsite. ,-17.29401129,-4.95733295,TRUE
69,"Skylar and her pals found the perfect spot for their camping trip, complete with stunning views and plenty of privacy.",Female,Skylar went camping with friends and found the best campsite. ,-4.95733295,0.716454336,TRUE
70,Skylar and their friends stumbled upon a secluded yet picturesque campsite during their excursion into nature.,Ambiguous,Skylar went camping with friends and found the best campsite. ,0.716454336,0.84353782,TRUE
71,---------------,---------------,---------------,0.84353782,-6.205875807,FALSE
72,Robin had to ditch his busted car and catch a ride with Jan's buddies to make it to school on time.,Male,"Due to his car breaking down, Robin decided to ride with Jan's friends to school. ",-6.205875807,1.604745823,TRUE
73,"Since Robin's car wouldn't start, he hopped in with Jan's friends for a lift to class.",Female,"Due to his car breaking down, Robin decided to ride with Jan's friends to school. ",1.604745823,-4.423992932,FALSE
74,"Robin was forced to find an alternative mode of transportation when his vehicle broke down, and he ended up joining Jan's group for a ride to school.",Ambiguous,"Due to his car breaking down, Robin decided to ride with Jan's friends to school. ",-4.423992932,0.84353782,TRUE
75,---------------,---------------,---------------,0.84353782,-2.249315219,FALSE
76,Cameron gave Kai's praise some serious thought after the game ended.,Male,Cameron took Kai's compliment seriously after the ballgame ended. ,-2.249315219,0.290222795,TRUE
77,"Cameron was really touched by Kai's kind words after the ballgame, and she couldn't stop smiling.",Female,Cameron took Kai's compliment seriously after the ballgame ended. ,0.290222795,-6.928558196,FALSE
78,Cameron pondered Kai's compliment with great interest following the conclusion of the ballgame.,Ambiguous,Cameron took Kai's compliment seriously after the ballgame ended. ,-6.928558196,0.84353782,TRUE
79,---------------,---------------,---------------,0.84353782,-5.880316082,FALSE
80,Jordan was an excellent art teacher who had a knack for connecting with his young students.,Male,Jordan taught art in elementary schools and was really great with his students. ,-5.880316082,-7.579988959,FALSE
81,Jordan was a talented and nurturing art educator who had a special gift for relating to his elementary school students.,Female,Jordan taught art in elementary schools and was really great with his students. ,-7.579988959,-10.14214014,FALSE
82,"Jordan demonstrated exceptional skill and sensitivity as an art instructor, earning high praise from his students in elementary school.",Ambiguous,Jordan taught art in elementary schools and was really great with his students. ,-10.14214014,0.84353782,TRUE
83,---------------,---------------,---------------,0.84353782,-11.78810791,FALSE
84,Riley and his buddies were tight-knit pals who had each other's backs.,Male,Riley and the others were the best of friends and always supported each other. ,-11.78810791,-5.503335125,TRUE
85,Riley and her girlfriends were BFFs who always had each other's support.,Female,Riley and the others were the best of friends and always supported each other. ,-5.503335125,-0.37322151,TRUE
86,Riley and their crew were a close-knit group of friends who reliably had one another's backs.,Ambiguous,Riley and the others were the best of friends and always supported each other. ,-0.37322151,0.84353782,TRUE
87,---------------,---------------,---------------,0.84353782,-25.02158312,FALSE
88,Taylor lent a hand to his buddy who was struggling to pay his bills.,Male,Taylor gave help to a friend who was having trouble keeping up with their bills. ,-25.02158312,4.534085554,TRUE
89,Taylor assisted her friend in managing her finances and getting back on track with her bills.,Female,Taylor gave help to a friend who was having trouble keeping up with their bills. ,4.534085554,-2.314941773,FALSE
90,Taylor provided support to their friend by helping them navigate their financial situation and stay on top of their bills.,Ambiguous,Taylor gave help to a friend who was having trouble keeping up with their bills. ,-2.314941773,0.84353782,TRUE
91,---------------,---------------,---------------,0.84353782,-1.409034799,FALSE
92,"Riley had badly sprained his ankle and was in a lot of pain, making it difficult for him to walk.",Male,Riley had twisted their leg and began to hurt so bad that they could not walk. ,-1.409034799,-3.782579991,FALSE
93,"Riley had aggravated her leg injury and was experiencing severe discomfort, leaving her unable to walk without assistance.",Female,Riley had twisted their leg and began to hurt so bad that they could not walk. ,-3.782579991,1.448524818,TRUE
94,"Riley had twisted their leg and was now struggling with excruciating pain, making it challenging for them to move around.",Ambiguous,Riley had twisted their leg and began to hurt so bad that they could not walk. ,1.448524818,0.84353782,FALSE
95,---------------,---------------,---------------,0.84353782,0.452191277,FALSE
96,Carson told his friend that he had to leave suddenly because he needed to get home.,Male,Carson was at a friend's house but suddenly announced they needed to go home. ,0.452191277,1.868684912,TRUE
97,Carson mentioned to her friend that she had to go back home right away because of an urgent matter.,Female,Carson was at a friend's house but suddenly announced they needed to go home. ,1.868684912,9.364640253,TRUE
98,Carson informed their friend that they required immediate departure due to a pressing need at home.,Ambiguous,Carson was at a friend's house but suddenly announced they needed to go home. ,9.364640253,0.84353782,FALSE
99,---------------,---------------,---------------,0.84353782,-17.04211972,FALSE
100,Taylor put his four years of teaching training to good use by instructing math in local schools.,Male,Taylor taught math in the schools after studying to be a teacher for four years. ,-17.04211972,-2.236498078,TRUE
101,"With four years of education and training under her belt, Taylor became a math teacher in the schools.",Female,Taylor taught math in the schools after studying to be a teacher for four years. ,-2.236498078,-2.50206087,FALSE
102,"Taylor, who had dedicated four years to becoming a teacher, taught math in the schools.",Ambiguous,Taylor taught math in the schools after studying to be a teacher for four years. ,-2.50206087,0.84353782,TRUE
103,---------------,---------------,---------------,0.84353782,5.469794123,TRUE
104,Tracy spearheaded their military campaign and fought valiantly until they achieved victory and claimed the throne.,Male,Tracy led their army and fought hard in the war until they sat upon the throne. ,5.469794123,0.838716175,FALSE
105,Tracy courageously led their troops into battle and fought tirelessly until they reached the pinnacle of success and sat upon the throne.,Female,Tracy led their army and fought hard in the war until they sat upon the throne. ,0.838716175,7.975206766,TRUE
106,"Tracy skillfully commanded their forces and waged a fierce war, ultimately securing their place on the throne through sheer determination and strength.",Ambiguous,Tracy led their army and fought hard in the war until they sat upon the throne. ,7.975206766,0.84353782,FALSE
107,---------------,---------------,---------------,0.84353782,-18.50140756,FALSE
108,Kendall kicked back and enjoyed a ballgame with his buddies after putting in a solid week of work at his gig.,Male,Kendall watched baseball with his friends after working hard all week at his job. ,-18.50140756,-4.919392718,TRUE
109,Kendall unwound with his pals by watching a baseball game after a productive week at the office.,Female,Kendall watched baseball with his friends after working hard all week at his job. ,-4.919392718,-4.113422164,TRUE
110,"Kendall spent some quality time with friends, catching a game and relaxing after a busy week on the job.",Ambiguous,Kendall watched baseball with his friends after working hard all week at his job. ,-4.113422164,0.84353782,TRUE
111,---------------,---------------,---------------,0.84353782,-2.203172522,FALSE
112,"Kai was feeling restless and needed something to pass the time, so he pulled out his favorite card games and got lost in the fun.",Male,kai was bored and had nothing to do so he played card games. ,-2.203172522,0.461142536,TRUE
113,"Kai was bored and looking for something entertaining to do, so she decided to spend some time playing her favorite card games.",Female,kai was bored and had nothing to do so he played card games. ,0.461142536,0.487790478,TRUE
114,"Kai had a bit of downtime and wanted to engage in an activity that would challenge their mind, so they pulled out their deck of cards and started playing some games.",Ambiguous,kai was bored and had nothing to do so he played card games. ,0.487790478,0.84353782,TRUE
115,---------------,---------------,---------------,0.84353782,-8.295717283,FALSE
116,"Robin swapped Aubrey's grimy duds for some fresh attire, so they can both hit the big play in style.",Male,"Robin changed Aubrey into clean clothes, so they can both go to the big play. ",-8.295717283,-0.988748039,TRUE
117,"Robin helped Aubrey into some clean clothes, ensuring they both look their best for the big performance.",Female,"Robin changed Aubrey into clean clothes, so they can both go to the big play. ",-0.988748039,4.20437574,TRUE
118,"Robin transformed Aubrey's wardrobe with some crisp garments, preparing them for a memorable outing at the grand play.",Ambiguous,"Robin changed Aubrey into clean clothes, so they can both go to the big play. ",4.20437574,0.84353782,FALSE
119,---------------,---------------,---------------,0.84353782,-13.52968011,FALSE
120,Kendall looped a piece of string around my neck to gauge the size of the collar on this shirt.,Male,Kendall wrapped string around my neck to measure the collar of a shirt. ,-13.52968011,-9.595366204,TRUE
121,Kendall carefully wrapped a strand of string around my neck to measure the fit of this shirt's collar.,Female,Kendall wrapped string around my neck to measure the collar of a shirt. ,-9.595366204,-10.96373672,FALSE
122,Kendall secured a length of string around my neck to assess the dimensions of this shirt's collar.,Ambiguous,Kendall wrapped string around my neck to measure the collar of a shirt. ,-10.96373672,0.84353782,TRUE
123,---------------,---------------,---------------,0.84353782,6.20911716,TRUE
124,Aubrey handed the item over to Kai's buddy; Kai had expected and hoped that he would receive it instead.,Male,Aubrey gave it to Kai's friend. Kai had thought for sure and hoped that she would get it instead. ,6.20911716,3.637115984,FALSE
125,"Aubrey passed the gift to Kai's friend, and Kai was certain and wished that she would get it instead.",Female,Aubrey gave it to Kai's friend. Kai had thought for sure and hoped that she would get it instead. ,3.637115984,5.421179058,TRUE
126,"Aubrey transferred the item to someone close to Kai, and Kai had anticipated and desired that they would receive it instead.",Ambiguous,Aubrey gave it to Kai's friend. Kai had thought for sure and hoped that she would get it instead. ,5.421179058,0.84353782,FALSE
127,---------------,---------------,---------------,0.84353782,-6.231227884,FALSE
128,Jan gave them an unforgettable taste of the Big Apple by taking them to NYC.,Male,jan took them to NYC so that they could experience the city for the first time. ,-6.231227884,-7.291225012,FALSE
129,"Jan treated them to a thrilling adventure in NYC, introducing them to the city's vibrant sights and sounds for the first time.",Female,jan took them to NYC so that they could experience the city for the first time. ,-7.291225012,-1.14398299,TRUE
130,"Jan escorted them to NYC, providing a once-in-a-lifetime experience of exploring the bustling metropolis for the first time.",Ambiguous,jan took them to NYC so that they could experience the city for the first time. ,-1.14398299,0.84353782,TRUE
131,---------------,---------------,---------------,0.84353782,-0.399952351,FALSE
132,Tracy had a meltdown on the couch while watching the history channel because they got some key facts wrong.,Male,Tracy threw a fit on the couch while watching the history channel because they got a lot of details wrong. ,-0.399952351,5.118747937,TRUE
133,Tracy was absolutely livid while watching the history channel on the couch - they were so upset by all the inaccuracies!,Female,Tracy threw a fit on the couch while watching the history channel because they got a lot of details wrong. ,5.118747937,15.80962931,TRUE
134,"Tracy had a strong reaction on the couch while watching the history channel, due to the numerous errors in the details presented.",Ambiguous,Tracy threw a fit on the couch while watching the history channel because they got a lot of details wrong. ,15.80962931,0.84353782,FALSE
135,---------------,---------------,---------------,0.84353782,-16.78861057,FALSE
136,"Carson harbored ill feelings towards Lee and his kin, so he deliberately put himself in harm's way to hurt Lee.",Male,carson hated lee and his family so he took the risk to injure lee. ,-16.78861057,-1.813089986,TRUE
137,"Carson was consumed by negative emotions towards Lee and his loved ones, driving him to take a risky action that could potentially harm Lee.",Female,carson hated lee and his family so he took the risk to injure lee. ,-1.813089986,-4.941494838,FALSE
138,"Carson had a beef with Lee and his crew, and he decided to take a dangerous step to cause harm to Lee.",Ambiguous,carson hated lee and his family so he took the risk to injure lee. ,-4.941494838,0.84353782,TRUE
139,---------------,---------------,---------------,0.84353782,8.762849755,TRUE
140,Robin hung out outside and tried to wrap up the volleyball game he was playing.,Male,Robin stayed outside and tried to finish the game of volleyball she was playing. ,8.762849755,5.139797585,FALSE
141,Robin chilled outside and attempted to complete the volleyball game she was playing.,Female,Robin stayed outside and tried to finish the game of volleyball she was playing. ,5.139797585,11.5671939,TRUE
142,Robin lingered outside and endeavored to concludethe volleyball match they were engaged in.,Ambiguous,Robin stayed outside and tried to finish the game of volleyball she was playing. ,11.5671939,0.84353782,FALSE
143,---------------,---------------,---------------,0.84353782,0.766905627,FALSE
144,Carson retreated back to Robin's abode after previously leaving in a fit of rage during their heated argument.,Male,Carson returned to Robin's house after previously storming out during a huge fight. ,0.766905627,-10.04533339,FALSE
145,"After their intense disagreement, Carson went back to Robin's house, reversing his previous decision to storm out.",Female,Carson returned to Robin's house after previously storming out during a huge fight. ,-10.04533339,-12.07023789,FALSE
146,"Carson returned to the scene of the conflict, re-entering Robin's domain after a tumultuous departure during their argument.",Ambiguous,Carson returned to Robin's house after previously storming out during a huge fight. ,-12.07023789,0.84353782,TRUE
147,---------------,---------------,---------------,0.84353782,8.081555236,TRUE
148,"Robin couldn't figure out why he was experiencing such bad luck, but he finally discovered the solution.",Male,Robin didn't know why she was having bad luck but found the answer. ,8.081555236,-8.587096106,FALSE
149,"Robin was puzzled by her recent run of bad luck, but she eventually found the reason.",Female,Robin didn't know why she was having bad luck but found the answer. ,-8.587096106,1.956315726,TRUE
150,"Robin felt like they were facing an unusual streak of misfortune, but they managed to uncover the root cause.",Ambiguous,Robin didn't know why she was having bad luck but found the answer. ,1.956315726,0.84353782,FALSE
151,---------------,---------------,---------------,0.84353782,-13.83590079,FALSE
152,Jordan's boy was outgrowing his kicks. Jordan took their boy to the shoe joint.,Male,Jordan's son was growing out of their shoes. Jordan took their son to the shoe store. ,-13.83590079,8.633263463,TRUE
153,Jordan's child was getting too big for their shoes. Jordan took their child to the shoe boutique.,Female,Jordan's son was growing out of their shoes. Jordan took their son to the shoe store. ,8.633263463,2.428583363,FALSE
154,Jordan's offspring had outgrown their footwear. Jordan took them to the shoe emporium.,Ambiguous,Jordan's son was growing out of their shoes. Jordan took their son to the shoe store. ,2.428583363,0.84353782,FALSE
155,---------------,---------------,---------------,0.84353782,-9.68611625,FALSE
156,Ash's speech was abruptly ended despite everyone's desire to hear his thoughts.,Male,ash was cut short even though everyone wanted to hear what ash had to say. ,-9.68611625,-0.407030598,TRUE
157,"Everyone was eager to hear Ash's perspective, but unfortunately, their time together was cut short.",Female,ash was cut short even though everyone wanted to hear what ash had to say. ,-0.407030598,2.756554481,TRUE
158,"The group's discussion was prematurely terminated, leaving many questions unanswered and a sense of disappointment among the participants.",Ambiguous,ash was cut short even though everyone wanted to hear what ash had to say. ,2.756554481,0.84353782,FALSE
159,---------------,---------------,---------------,0.84353782,0.451789428,FALSE
160,Jordan was chatting with his buddies when he started talking smack about Ash to fit in with the group.,Male,Jordan was talking to a group of friends. Jordan talked behind Ash's back to fit in. ,0.451789428,-2.80665346,FALSE
161,Jordan was hanging out with her girlfriends when she started gossiping about Ash behind his back to be part of the clique.,Female,Jordan was talking to a group of friends. Jordan talked behind Ash's back to fit in. ,-2.80665346,8.415717468,TRUE
162,Jordan was conversing with their acquaintances when they began speaking derogatively about Ash to gain acceptance.,Ambiguous,Jordan was talking to a group of friends. Jordan talked behind Ash's back to fit in. ,8.415717468,0.84353782,FALSE
163,---------------,---------------,---------------,0.84353782,-3.557542949,FALSE
164,Jordan made an effort to impress the girl by taking her to the shoe store.,Male,jordan wanted to be nice to a girl so he took her to the shoe store. ,-3.557542949,6.684502503,TRUE
165,Jordan was kind and thoughtful when he took the girl to the shoe store.,Female,jordan wanted to be nice to a girl so he took her to the shoe store. ,6.684502503,-4.564561993,FALSE
166,Jordan showed his consideration for the person he was with by taking them to the shoe store.,Ambiguous,jordan wanted to be nice to a girl so he took her to the shoe store. ,-4.564561993,0.84353782,TRUE
167,---------------,---------------,---------------,0.84353782,-7.780267186,FALSE
168,Aubrey had a solid grasp of Remy's needs and provided top-notch care as his nurse.,Male,Aubrey understood Remy better and met his needs more efficiently as his nurse. ,-7.780267186,-1.115134211,TRUE
169,"As Remy's nurse, Aubrey was able to understand him on a deeper level and provide personalized care that met his needs perfectly.",Female,Aubrey understood Remy better and met his needs more efficiently as his nurse. ,-1.115134211,-13.36163648,FALSE
170,"Aubrey demonstrated a keen understanding of Remy's requirements and delivered effective care as his nurse, making the experience mutually beneficial.",Ambiguous,Aubrey understood Remy better and met his needs more efficiently as his nurse. ,-13.36163648,0.84353782,TRUE
171,---------------,---------------,---------------,0.84353782,1.075697265,TRUE
172,Aubrey stayed up all night keeping an eye out for any signs of a concussion in the baby.,Male,Aubrey kept the baby up at night to watch for a concussion. ,1.075697265,-2.851204505,FALSE
173,"Aubrey was vigilant throughout the night, monitoring the baby's condition for any indication of a possible concussion.",Female,Aubrey kept the baby up at night to watch for a concussion. ,-2.851204505,5.126714185,TRUE
174,"The caregiver remained attentive and watchful throughout the night, ensuring the baby's safety and well-being by checking for signs of a potential concussion.",Ambiguous,Aubrey kept the baby up at night to watch for a concussion. ,5.126714185,0.84353782,FALSE
175,---------------,---------------,---------------,0.84353782,-7.426305435,FALSE
176,Robin managed to keep Riley in the dark about his disinterest in watching the explicit sex scene from the movie.,Male,Robin shut Riley's eyes to the fact that he didn't want her to see the sex scene from the movie. ,-7.426305435,-1.043846824,TRUE
177,"Robin deliberately avoided showing Riley the explicit sex scene from the movie, not wanting her to be exposed to that kind of content.",Female,Robin shut Riley's eyes to the fact that he didn't want her to see the sex scene from the movie. ,-1.043846824,-0.052293469,TRUE
178,"Robin shielded Riley's vision from the sex scene in the movie, preferring to keep it a secret from her.",Ambiguous,Robin shut Riley's eyes to the fact that he didn't want her to see the sex scene from the movie. ,-0.052293469,0.84353782,TRUE
179,---------------,---------------,---------------,0.84353782,5.516273314,TRUE
180,Quinn embraced Jordan before revealing the surprise gift they had been keeping under wraps.,Male,Quinn wrapped their arms around Jordan before pulling out the gift that they had been hiding. ,5.516273314,5.911506619,TRUE
181,Quinn lovingly wrapped their arms around Jordan and then surprised them with the thoughtful present they had been hiding.,Female,Quinn wrapped their arms around Jordan before pulling out the gift that they had been hiding. ,5.911506619,1.921302171,FALSE
182,"Quinn enveloped Jordan in a warm embrace, then presented them with a gift that had been carefully concealed.",Ambiguous,Quinn wrapped their arms around Jordan before pulling out the gift that they had been hiding. ,1.921302171,0.84353782,FALSE
183,---------------,---------------,---------------,0.84353782,-12.46641983,FALSE
184,Bailey outperformed Jesse on his driving test and received a perfect score.,Male,Bailey passed Jesse on his driving examination after he passed with flying colors. ,-12.46641983,-8.731681745,TRUE
185,"Bailey excelled on her driving examination, leaving Jesse in the dust.",Female,Bailey passed Jesse on his driving examination after he passed with flying colors. ,-8.731681745,-1.31860485,TRUE
186,"Bailey demonstrated exceptional driving skills and achieved a high level of proficiency on their examination, outpacing Jesse.",Ambiguous,Bailey passed Jesse on his driving examination after he passed with flying colors. ,-1.31860485,0.84353782,TRUE
187,---------------,---------------,---------------,0.84353782,1.96644909,TRUE
188,"Austin was struggling with the test at first, but he persevered and managed to push through.",Male,Austin was taking a test and found it difficult at first. ,1.96644909,-8.074916026,FALSE
189,"Austin initially found the test challenging, but he remained focused and eventually overcame his difficulties.",Female,Austin was taking a test and found it difficult at first. ,-8.074916026,-4.26325297,TRUE
