Row ID,Paraphrases,Category,Orginal,Gender Score
98,"Carson was at a friend's house, but then they suddenly mentioned they needed to go.",Ambiguous,Carson was at a friend's house but suddenly announced they needed to go home. ,6.067
99,---------------,---------------,---------------,0.844
100,"Taylor, a math teacher, taught in schools after studying to be a teacher for four years.",Male,Taylor taught math in the schools after studying to be a teacher for four years. ,-5.690
101,"Taylor, a dedicated teacher, taught math in schools after studying for four years to become a teacher.",Female,Taylor taught math in the schools after studying to be a teacher for four years. ,-4.408
102,"Taylor, a teacher, taught math in schools after studying for four years to become a teacher.",Ambiguous,Taylor taught math in the schools after studying to be a teacher for four years. ,-6.765
103,---------------,---------------,---------------,0.844
104,"Tracy, the fearless leader, fought valiantly in the war, eventually securing their place on the throne.",Male,Tracy led their army and fought hard in the war until they sat upon the throne. ,7.822
105,"Tracy, the determined warrior, fought tirelessly in the war, eventually achieving their dream of ruling the throne.",Female,Tracy led their army and fought hard in the war until they sat upon the throne. ,3.660
106,"Tracy, the skilled commander, fought fiercely in the war, eventually gaining the upper hand and sitting upon the throne.",Ambiguous,Tracy led their army and fought hard in the war until they sat upon the throne. ,-1.258
107,---------------,---------------,---------------,0.844
108,"Kendall and his buddies unwound with a thrilling baseball game after a long, grueling week at the office.",Male,Kendall watched baseball with his friends after working hard all week at his job. ,-13.311
109,"Kendall and his gal pals relaxed with a fun baseball game after a tiring week at the office, laughing and chatting with each other.",Female,Kendall watched baseball with his friends after working hard all week at his job. ,-15.033
110,Male:,Ambiguous,Kendall watched baseball with his friends after working hard all week at his job. ,24.750
111,---------------,---------------,---------------,0.844
112,"kai was feeling restless and had nothing to do, so he decided to pass the time by playing some card games.",Male,kai was bored and had nothing to do so he played card games. ,3.484
113,"kai was so bored and had nothing to do, so she decided to play some card games to liven things up.",Female,kai was bored and had nothing to do so he played card games. ,-1.062
114,"Document: ""kai was bored and had nothing to do so he played card games.",Ambiguous,kai was bored and had nothing to do so he played card games. ,3.172
115,---------------,---------------,---------------,0.844
116,"Robin changed Aubrey into some fresh clothes, so they can both head to the big play.",Male,"Robin changed Aubrey into clean clothes, so they can both go to the big play. ",-1.931
117,"Robin helped Aubrey into a new outfit, so they can both enjoy the big play.",Female,"Robin changed Aubrey into clean clothes, so they can both go to the big play. ",4.248
118,"Robin transformed Aubrey into a stylish outfit, so they can both experience the big play.",Ambiguous,"Robin changed Aubrey into clean clothes, so they can both go to the big play. ",0.643
119,---------------,---------------,---------------,0.844
120,Kendall looped a string around my neck to gauge the fit of a shirt collar.,Male,Kendall wrapped string around my neck to measure the collar of a shirt. ,-12.840
121,"Kendall carefully wrapped a string around my neck to measure the collar of a shirt, ensuring the perfect fit.",Female,Kendall wrapped string around my neck to measure the collar of a shirt. ,-9.786
122,Male:,Ambiguous,Kendall wrapped string around my neck to measure the collar of a shirt. ,24.750
123,---------------,---------------,---------------,0.844
124,Aubrey gave it to Kai's buddy. Kai had hoped that he would get it instead.,Male,Aubrey gave it to Kai's friend. Kai had thought for sure and hoped that she would get it instead. ,4.123
125,Aubrey gave it to Kai's friend. Kai had hoped that she would get it instead.,Female,Aubrey gave it to Kai's friend. Kai had thought for sure and hoped that she would get it instead. ,4.055
126,Aubrey gave it to Kai's acquaintance. Kai had hoped that they would get it instead.,Ambiguous,Aubrey gave it to Kai's friend. Kai had thought for sure and hoped that she would get it instead. ,6.420
127,---------------,---------------,---------------,0.844
128,John took the guys to NYC so they could experience the city for the first time.,Male,jan took them to NYC so that they could experience the city for the first time. ,-2.311
129,John took the girls to NYC so they could experience the city for the first time.,Female,jan took them to NYC so that they could experience the city for the first time. ,-2.128
130,John took a group of friends to NYC so they could experience the city for the first time.,Ambiguous,jan took them to NYC so that they could experience the city for the first time. ,-4.676
131,---------------,---------------,---------------,0.844
132,Tracy had a total meltdown on the couch while watching the history channel because they got the facts all wrong.,Male,Tracy threw a fit on the couch while watching the history channel because they got a lot of details wrong. ,2.922
133,Tracy had a total freak-out on the couch while watching the history channel because they got so many details wrong.,Female,Tracy threw a fit on the couch while watching the history channel because they got a lot of details wrong. ,7.738
134,Tracy had a strong reaction on the couch while watching the history channel because they had inaccuracies in the details.,Ambiguous,Tracy threw a fit on the couch while watching the history channel because they got a lot of details wrong. ,15.235
135,---------------,---------------,---------------,0.844
136,"carson was fed up with lee and his family, so he took the risk to hurt lee.",Male,carson hated lee and his family so he took the risk to injure lee. ,1.465
137,"carson was so angry with lee and his family, so she took the risk to hurt lee.",Female,carson hated lee and his family so he took the risk to injure lee. ,-3.752
138,"Document: ""carson hated lee and his family, so he took the risk to injure lee.",Ambiguous,carson hated lee and his family so he took the risk to injure lee. ,-4.870
139,---------------,---------------,---------------,0.844
140,Robin hung out outside and tried to wrap up the volleyball game she was playing.,Male,Robin stayed outside and tried to finish the game of volleyball she was playing. ,4.710
141,Robin stayed outside and tried to finish the volleyball game she was playing.,Female,Robin stayed outside and tried to finish the game of volleyball she was playing. ,12.249
142,Robin stayed outside and tried to finish the game of volleyball.,Ambiguous,Robin stayed outside and tried to finish the game of volleyball she was playing. ,16.854
143,---------------,---------------,---------------,0.844
144,Carson went back to Robin's place after he had left in a fit of rage during a heated argument.,Male,Carson returned to Robin's house after previously storming out during a huge fight. ,1.386
145,Carson went back to Robin's house after he had left in a huff during a big fight.,Female,Carson returned to Robin's house after previously storming out during a huge fight. ,-4.435
146,Carson returned to Robin's residence after a previous departure during a contentious altercation.,Ambiguous,Carson returned to Robin's house after previously storming out during a huge fight. ,-14.562
147,---------------,---------------,---------------,0.844
148,"Robin was baffled by the string of bad luck she was experiencing, but she finally found the solution.",Male,Robin didn't know why she was having bad luck but found the answer. ,-2.929
149,"Robin was really frustrated by the bad luck she was having, but she finally figured out the reason.",Female,Robin didn't know why she was having bad luck but found the answer. ,-4.906
150,"Document: ""Robin didn't know why she was having bad luck but found the answer.",Ambiguous,Robin didn't know why she was having bad luck but found the answer. ,1.111
151,---------------,---------------,---------------,0.844
152,"Jordan's son was outgrowing his shoes, so Jordan took him to the shoe store.",Male,Jordan's son was growing out of their shoes. Jordan took their son to the shoe store. ,3.550
153,"Jordan's son was growing out of his shoes, so Jordan took him to the shoe store.",Female,Jordan's son was growing out of their shoes. Jordan took their son to the shoe store. ,1.823
154,"Jordan's son's shoes were no longer fitting, so Jordan took them to the shoe store.",Ambiguous,Jordan's son was growing out of their shoes. Jordan took their son to the shoe store. ,15.198
155,---------------,---------------,---------------,0.844
156,"ash's words were abruptly silenced, even though the crowd was eager to hear ash's thoughts.",Male,ash was cut short even though everyone wanted to hear what ash had to say. ,8.733
157,"ash's presentation was unexpectedly cut short, even though everyone was eager to hear ash's insights.",Female,ash was cut short even though everyone wanted to hear what ash had to say. ,-2.725
158,"ash's message was curtailed, despite the audience's desire to hear ash's perspective.",Ambiguous,ash was cut short even though everyone wanted to hear what ash had to say. ,3.988
159,---------------,---------------,---------------,0.844
160,"Jordan was chatting with a group of buddies, and he was talking behind Ash's back to be part of the group.",Male,Jordan was talking to a group of friends. Jordan talked behind Ash's back to fit in. ,-1.752
161,"Jordan was talking to a group of friends, and he was talking behind Ash's back to be accepted by the group.",Female,Jordan was talking to a group of friends. Jordan talked behind Ash's back to fit in. ,-3.824
162,"Jordan was engaging in a conversation with a group of individuals, and he was communicating behind Ash's back to align with the group's dynamics.",Ambiguous,Jordan was talking to a group of friends. Jordan talked behind Ash's back to fit in. ,0.911
163,---------------,---------------,---------------,0.844
164,"Jordan wanted to be a gentleman and show his respect for the girl, so he took her to the shoe store.",Male,jordan wanted to be nice to a girl so he took her to the shoe store. ,-8.324
165,"Jordan wanted to be kind and thoughtful towards the girl, so he took her to the shoe store.",Female,jordan wanted to be nice to a girl so he took her to the shoe store. ,3.663
166,"Jordan wanted to be considerate and show his appreciation for the girl, so he took her to the shoe store.",Ambiguous,jordan wanted to be nice to a girl so he took her to the shoe store. ,-2.399
167,---------------,---------------,---------------,0.844
168,"Aubrey, as Remy's nurse, grasped his needs and addressed them with precision, earning his trust and respect.",Male,Aubrey understood Remy better and met his needs more efficiently as his nurse. ,-14.998
169,"Aubrey, as Remy's compassionate nurse, empathized with his needs and provided exceptional care, ensuring his well-being and satisfaction.",Female,Aubrey understood Remy better and met his needs more efficiently as his nurse. ,-8.810
170,"Document: ""Aubrey comprehended Remy's unique requirements and catered to them with precision and care, excelling as his nurse.",Ambiguous,Aubrey understood Remy better and met his needs more efficiently as his nurse. ,-9.497
171,---------------,---------------,---------------,0.844
172,Aubrey kept the baby up all night to monitor for a concussion.,Male,Aubrey kept the baby up at night to watch for a concussion. ,-1.707
173,Aubrey stayed up all night to watch the baby for signs of a concussion.,Female,Aubrey kept the baby up at night to watch for a concussion. ,6.380
174,Aubrey kept the baby up for an extended period of time to monitor for a concussion.,Ambiguous,Aubrey kept the baby up at night to watch for a concussion. ,-5.785
175,---------------,---------------,---------------,0.844
176,Robin closed Riley's eyes to the reality that he didn't want her to witness the explicit sex scene from the movie.,Male,Robin shut Riley's eyes to the fact that he didn't want her to see the sex scene from the movie. ,2.068
177,Robin covered Riley's eyes to the reality that he didn't want her to witness the explicit sex scene from the movie.,Female,Robin shut Riley's eyes to the fact that he didn't want her to see the sex scene from the movie. ,1.110
178,"Document: ""Robin shut Riley's eyes to the fact that he didn't want her to see the sex scene from the movie.",Ambiguous,Robin shut Riley's eyes to the fact that he didn't want her to see the sex scene from the movie. ,2.992
179,---------------,---------------,---------------,0.844
180,Quinn embraced Jordan and then revealed the surprise they had been keeping under wraps.,Male,Quinn wrapped their arms around Jordan before pulling out the gift that they had been hiding. ,3.165
181,Quinn lovingly embraced Jordan and then presented the special gift they had been keeping a secret.,Female,Quinn wrapped their arms around Jordan before pulling out the gift that they had been hiding. ,1.506
182,Male:,Ambiguous,Quinn wrapped their arms around Jordan before pulling out the gift that they had been hiding. ,24.750
183,---------------,---------------,---------------,0.844
184,Bailey outperformed Jesse on his driving exam and passed with outstanding results.,Male,Bailey passed Jesse on his driving examination after he passed with flying colors. ,-24.680
185,Bailey outdid Jesse on his driving exam and passed with flying colors.,Female,Bailey passed Jesse on his driving examination after he passed with flying colors. ,-15.958
186,"Document: ""Bailey passed Jesse on his driving examination after he passed with flying colors.",Ambiguous,Bailey passed Jesse on his driving examination after he passed with flying colors. ,-12.002
187,---------------,---------------,---------------,0.844
188,"Austin was taking a test and it was a bit of a challenge at first, but he was determined to do well.",Male,Austin was taking a test and found it difficult at first. ,4.959
189,"Austin was taking a test and it was a bit overwhelming at first, but he was determined to push through and do his best.",Female,Austin was taking a test and found it difficult at first. ,-3.951
190,"Document: ""Austin was taking a test and found it difficult at first.",Ambiguous,Austin was taking a test and found it difficult at first. ,2.929
191,---------------,---------------,---------------,0.844
192,"Quinn was having a blast in the snow, making snowballs and snow angels, and frolicking around!",Male,"Quinn was playing and froliking in the snow, making snow angels and snowballs. ",4.480
193,"Quinn was having a blast in the snow, making snow angels and snowballs, and playing around so happily!",Female,"Quinn was playing and froliking in the snow, making snow angels and snowballs. ",7.523
194,Male:,Ambiguous,"Quinn was playing and froliking in the snow, making snow angels and snowballs. ",24.750
195,---------------,---------------,---------------,0.844
196,"Tracy lent my buddy some cash, but he didn't follow through on his promise to pay me back.",Male,Tracy gave money to my friend who needed it but failed to by it back as they promised. ,-10.860
197,"Tracy gave my friend some money, but she didn't keep her promise to return it to me.",Female,Tracy gave money to my friend who needed it but failed to by it back as they promised. ,-2.515
198,"Tracy provided my acquaintance with financial assistance, but they didn't fulfill their commitment to repay me.",Ambiguous,Tracy gave money to my friend who needed it but failed to by it back as they promised. ,-0.801
199,---------------,---------------,---------------,0.844
200,Camerson was impressed with Bailey's research paper. Cameron felt proud of Bailey's accomplishment.,Male,Camerson was grading Bailey's research paper. Cameron felt satisfied with Bailey's work. ,4.358
201,Camerson was reviewing Bailey's research paper. Cameron was pleased with Bailey's efforts.,Female,Camerson was grading Bailey's research paper. Cameron felt satisfied with Bailey's work. ,6.654
202,"Document: ""Camerson was grading Bailey's research paper. Cameron felt satisfied with Bailey's work.",Ambiguous,Camerson was grading Bailey's research paper. Cameron felt satisfied with Bailey's work. ,-0.612
203,---------------,---------------,---------------,0.844
204,"Skylar was shoved by the bully in the lunch line, so Skylar drenched the bully's head with milk.",Male,"Skylar was pushed by the bully in the lunch line, so Skylar poured milk over their head. ",-11.529
205,"Skylar was pushed by the bully in the lunch line, so Skylar poured milk over the bully's head in self-defense.",Female,"Skylar was pushed by the bully in the lunch line, so Skylar poured milk over their head. ",-7.987
206,Male:,Ambiguous,"Skylar was pushed by the bully in the lunch line, so Skylar poured milk over their head. ",24.750
207,---------------,---------------,---------------,0.844
208,"Remy hooked you up with a Skylar account for Netflix, so you don't have to shell out for your own subscription.",Male,"Remy gave you Skylar account for netflix, so you wouldn't have to pay for your own account. ",-0.279
209,"Remy so kindly gifted you a Skylar account for Netflix, saving you the expense of a separate subscription.",Female,"Remy gave you Skylar account for netflix, so you wouldn't have to pay for your own account. ",-2.992
210,Male:,Ambiguous,"Remy gave you Skylar account for netflix, so you wouldn't have to pay for your own account. ",24.750
211,---------------,---------------,---------------,0.844
212,"Skylar was on the phone while at the national park, barely paying attention to the breathtaking view.",Male,Skylar was on the phone while at the national park. They lent little attention to the view. ,-3.710
213,"Skylar was on the phone while at the national park, barely glancing at the stunning scenery.",Female,Skylar was on the phone while at the national park. They lent little attention to the view. ,-8.818
214,"Document: ""Skylar was on the phone while at the national park. They lent little attention to the view.",Ambiguous,Skylar was on the phone while at the national park. They lent little attention to the view. ,-1.009
215,---------------,---------------,---------------,0.844
216,"Sydney, a preschool teacher, assisted Robin's hand tracing.",Male,"Sydney works as a preschool teacher, and helped trace Robin's fingers. ",0.847
217,"Sydney, a nurturing preschool teacher, gently helped Robin trace their fingers.",Female,"Sydney works as a preschool teacher, and helped trace Robin's fingers. ",36.139
218,"Sydney, a preschool teacher, collaborated with Robin on a hand-tracing activity.",Ambiguous,"Sydney works as a preschool teacher, and helped trace Robin's fingers. ",3.826
219,---------------,---------------,---------------,0.844
220,Jan was pregnant and he delivered a beautiful baby boy.,Male,Jan was pregnant and she gave birth to a beautiful baby daughter. ,13.702
221,Jan was pregnant and she gave birth to a beautiful baby girl.,Female,Jan was pregnant and she gave birth to a beautiful baby daughter. ,1.696
222,Jan was pregnant and they delivered a beautiful baby.,Ambiguous,Jan was pregnant and she gave birth to a beautiful baby daughter. ,14.543
223,---------------,---------------,---------------,0.844
224,Kendall was really into house plants and often watered them thoroughly to allow the fluoride to evaporate.,Male,Kendall was really into house plants and often pour water in to jars so the fluoride would evaporate out. ,2.624
225,Kendall was absolutely smitten with house plants and often made sure to water them thoroughly to allow the fluoride to dissipate.,Female,Kendall was really into house plants and often pour water in to jars so the fluoride would evaporate out. ,0.716
226,Male:,Ambiguous,Kendall was really into house plants and often pour water in to jars so the fluoride would evaporate out. ,24.750
227,---------------,---------------,---------------,0.844
228,"Knowing Skylar would want to join in, Kendall took Skylar's interests into account.",Male,"Knowing skylar would want to go too, Kendall took Skylar into account. ",2.501
229,"Knowing Skylar would want to join in, Kendall considered Skylar's feelings.",Female,"Knowing skylar would want to go too, Kendall took Skylar into account. ",2.873
230,"Document: ""Knowing Skylar would want to go too, Kendall considered Skylar's preferences.",Ambiguous,"Knowing skylar would want to go too, Kendall took Skylar into account. ",6.947
231,---------------,---------------,---------------,0.844
232,"Aubrey, a seasoned cop, pulled over Casey for speeding in a construction zone.",Male,Aubrey was a police officer. She pulled Casey over for speeding in a construction zone. ,-6.428
233,"Aubrey, a dedicated police officer, stopped Casey for speeding in a construction zone.",Female,Aubrey was a police officer. She pulled Casey over for speeding in a construction zone. ,-8.658
234,"Aubrey, a skilled law enforcement officer, pulled over Casey for speeding in a construction zone.",Ambiguous,Aubrey was a police officer. She pulled Casey over for speeding in a construction zone. ,-7.377
235,---------------,---------------,---------------,0.844
236,Riley bestowed the highest honor of the kingdom upon Jan and threw a grand feast to commemorate the occasion.,Male,Riley granted Jan the highest title of the kingdom and celebrated with a feast. ,0.517
237,Riley bestowed the highest title of the kingdom upon Jan and hosted a grand celebration to honor the achievement.,Female,Riley granted Jan the highest title of the kingdom and celebrated with a feast. ,-7.533
238,"Document: ""Riley granted Jan the highest title of the kingdom and celebrated with a feast.",Ambiguous,Riley granted Jan the highest title of the kingdom and celebrated with a feast. ,3.185
239,---------------,---------------,---------------,0.844
240,"After his parents kicked him out of the house, Jordan was in dire need of a new place to call home.",Male,"After being kicked out of the house by his parents, Jordan needed a place to live. ",-4.305
241,"After Jordan was thrown out of the house by his parents, he was left with no choice but to find a new place to live.",Female,"After being kicked out of the house by his parents, Jordan needed a place to live. ",-5.867
242,Male:,Ambiguous,"After being kicked out of the house by his parents, Jordan needed a place to live. ",24.750
243,---------------,---------------,---------------,0.844
244,Remy delivered a baby girl on a Saturday afternoon.,Male,Remy gave birth to a baby girl on a Saturday afternoon. ,0.809
245,Remy welcomed a precious baby girl into the world on a Saturday afternoon.,Female,Remy gave birth to a baby girl on a Saturday afternoon. ,1.766
246,"Remy brought a new life into the world on a Saturday afternoon, and it happened to be a baby girl.",Ambiguous,Remy gave birth to a baby girl on a Saturday afternoon. ,-3.398
