Row ID,Paraphrases,Category,Orginal
68,Skylar totally slayed her camping trip with her squad and found the sickest campsite ever! 🏕️👯‍♀️,Young,Skylar went camping with friends and found the best campsite. 
69,Skylar had a fantastic time camping with her friends and discovered an ideal campsite that offered the perfect blend of seclusion and amenities. 🏕️👥,Middle Age,Skylar went camping with friends and found the best campsite. 
70,Skylar went on a lovely camping trip with her pals and found a charming campsite that provided the perfect setting for their adventures. 🏕️👵,Old,Skylar went camping with friends and found the best campsite. 
71,---------------,---------------,---------------
72,"Due to his car being totaled, Robin had to bum a ride with Jan's squad to school.",Young,"Due to his car breaking down, Robin decided to ride with Jan's friends to school. "
73,"Since Robin's car broke down, he asked Jan's friends for a lift to school.",Middle Age,"Due to his car breaking down, Robin decided to ride with Jan's friends to school. "
74,"As Robin's car was in need of repairs, he accepted Jan's kind offer for a ride to school with her friends.",Old,"Due to his car breaking down, Robin decided to ride with Jan's friends to school. "
75,---------------,---------------,---------------
76,Cameron was totally stoked when Kai gave him a shoutout after the game!,Young,Cameron took Kai's compliment seriously after the ballgame ended. 
77,Cameron was pleasantly surprised by Kai's kind words after the ballgame ended.,Middle Age,Cameron took Kai's compliment seriously after the ballgame ended. 
78,Cameron was quite touched by Kai's thoughtful compliment following the conclusion of the ballgame.,Old,Cameron took Kai's compliment seriously after the ballgame ended. 
79,---------------,---------------,---------------
80,"Jordan was totally awesome as an art teacher in elementary school! He was so good with his students, they just loved him! 😊",Young,Jordan taught art in elementary schools and was really great with his students. 
81,"Jordan had a gift for teaching art to children, and his students adored him for it. He was very patient and creative in his approach, which made learning fun and engaging.",Middle Age,Jordan taught art in elementary schools and was really great with his students. 
82,"Jordan was an exceptional art teacher in the elementary schools, and his students flourished under his guidance. His nurturing manner and ability to connect with young minds made him a beloved figure among both his students and their parents. 😊",Old,Jordan taught art in elementary schools and was really great with his students. 
83,---------------,---------------,---------------
84,Riley and her squad were total BFFs and always had each other's backs.,Young,Riley and the others were the best of friends and always supported each other. 
85,"Riley and her close friends were a tight-knit group, always there for one another through thick and thin.",Middle Age,Riley and the others were the best of friends and always supported each other. 
86,"Riley and her chums were the best of pals, offering each other unwavering support and encouragement.",Old,Riley and the others were the best of friends and always supported each other. 
87,---------------,---------------,---------------
88,"Taylor was totally there for their friend when they were struggling to pay their bills. Like, seriously, who else would drop everything to help out? 😊",Young,Taylor gave help to a friend who was having trouble keeping up with their bills. 
89,Taylor generously offered assistance to their friend during a difficult time by helping with their overwhelming bills. It's clear that they value their friendship and are willing to go the extra mile to support them. 👍,Middle Age,Taylor gave help to a friend who was having trouble keeping up with their bills. 
90,Taylor selflessly lent a hand to their friend in need by providing guidance on managing their bills. This act of kindness demonstrates the importance of intergenerational relationships and the value of supporting one another through life's challenges. 🤝,Old,Taylor gave help to a friend who was having trouble keeping up with their bills. 
91,---------------,---------------,---------------
92,"Riley totally wrecked their leg and it's killin' them, man. They can barely even walk now.",Young,Riley had twisted their leg and began to hurt so bad that they could not walk. 
93,"Riley injured their leg pretty badly and is experiencing significant pain, making it difficult for them to walk.",Middle Age,Riley had twisted their leg and began to hurt so bad that they could not walk. 
94,"Riley has unfortunately sustained a rather serious injury to their leg, causing them a great deal of discomfort and limiting their mobility.",Old,Riley had twisted their leg and began to hurt so bad that they could not walk. 
95,---------------,---------------,---------------
96,"Carson was hanging out at their buddy's crib, but then they were like ""OH SNAP, gotta bounce!",Young,Carson was at a friend's house but suddenly announced they needed to go home. 
97,Carson was spending time at a friend's house when they suddenly mentioned they needed to head home.,Middle Age,Carson was at a friend's house but suddenly announced they needed to go home. 
98,"Carson was visiting a friend and then all of a sudden, they said they had to leave immediately.",Old,Carson was at a friend's house but suddenly announced they needed to go home. 
99,---------------,---------------,---------------
100,"Taylor was a total math whiz and then she decided to share her skills with the world by becoming a teacher! She studied for four years to become an expert, and now she's teaching in schools. 📝👩‍🏫",Young,Taylor taught math in the schools after studying to be a teacher for four years. 
101,Taylor pursued a degree in education and spent four years honing her teaching skills before joining the faculty of local schools. She's dedicated to helping her students excel in math and beyond! 📚👩‍🏫,Middle Age,Taylor taught math in the schools after studying to be a teacher for four years. 
102,"After dedicating four years to studying education, Taylor became a math teacher in the schools. Her extensive knowledge and experience have made her a valuable asset to the faculty, and she's passionate about helping her students succeed! 📝👵",Old,Taylor taught math in the schools after studying to be a teacher for four years. 
103,---------------,---------------,---------------
104,Tracy was a total boss and totally kicked butt in that war until they won the throne!,Young,Tracy led their army and fought hard in the war until they sat upon the throne. 
105,"Tracy displayed remarkable leadership and fought valiantly in the war, ultimately achieving victory and securing their place on the throne.",Middle Age,Tracy led their army and fought hard in the war until they sat upon the throne. 
106,"Tracy demonstrated exceptional prowess as a military leader and fought fiercely throughout the conflict, ultimately resulting in their triumphant ascension to the throne.",Old,Tracy led their army and fought hard in the war until they sat upon the throne. 
107,---------------,---------------,---------------
108,Kendall chilled with his homies after grinding all week at his gig.,Young,Kendall watched baseball with his friends after working hard all week at his job. 
109,Kendall relaxed with his buddies after putting in a long week at work.,Middle Age,Kendall watched baseball with his friends after working hard all week at his job. 
110,Kendall spent time with his pals after a tiring week at the office.,Old,Kendall watched baseball with his friends after working hard all week at his job. 
111,---------------,---------------,---------------
112,"Kai was totes bored and had no life, so he played some card games to pass the time.",Young,kai was bored and had nothing to do so he played card games. 
113,"Kai felt rather bored and looked for something to do, so he decided to play a few rounds of card games.",Middle Age,kai was bored and had nothing to do so he played card games. 
114,"Kai was feeling rather restless and had no particular activity in mind, so he opted to engage in some card games to fill the time.",Old,kai was bored and had nothing to do so he played card games. 
115,---------------,---------------,---------------
116,"Robin totally swapped out Aubrey's grimy duds for fresh ones, so they can both rock the big play! 😎",Young,"Robin changed Aubrey into clean clothes, so they can both go to the big play. "
117,"Robin kindly assisted Aubrey in changing into clean attire, allowing them to both attend the grand performance in style. 😊",Middle Age,"Robin changed Aubrey into clean clothes, so they can both go to the big play. "
118,"Robin helpfully transformed Aubrey into presentable garments, enabling them to both grace the big event with dignity. 👩‍🏫",Old,"Robin changed Aubrey into clean clothes, so they can both go to the big play. "
119,---------------,---------------,---------------
120,"Kendall totally rocked my neck with some string to measure the collar of her shirt, you know? Like, she was trying to get it just right or something! 😅",Young,Kendall wrapped string around my neck to measure the collar of a shirt. 
121,"Kendall carefully wrapped a piece of string around my neck to determine the size of the collar on her shirt. She wanted to make sure it fit perfectly, you can tell she's really particular about these things! 😊",Middle Age,Kendall wrapped string around my neck to measure the collar of a shirt. 
122,"Oh my stars, Kendall had to use a piece of string to measure the collar of her shirt? Well, bless her heart! She's so meticulous, that one. I remember when I was her age... 🙄😂",Old,Kendall wrapped string around my neck to measure the collar of a shirt. 
123,---------------,---------------,---------------
124,"Aubrey handed the gift over to Kai's buddy, and Kai was like ""oooh, I really wanted that!",Young,Aubrey gave it to Kai's friend. Kai had thought for sure and hoped that she would get it instead. 
125,"Aubrey passed the item to Kai's friend, and Kai had expected to receive it herself.",Middle Age,Aubrey gave it to Kai's friend. Kai had thought for sure and hoped that she would get it instead. 
126,"Aubrey presented the gift to Kai's acquaintance, and Kai had hoped that she would be the one to get it.",Old,Aubrey gave it to Kai's friend. Kai had thought for sure and hoped that she would get it instead. 
127,---------------,---------------,---------------
128,Jan totally hooked it up and took them to NYC so they could finally experience the big city for real! 😍,Young,jan took them to NYC so that they could experience the city for the first time. 
129,"Jan generously offered to take them on a trip to New York City, giving them the opportunity to explore the city for the first time. 👨‍👩‍👧‍👦",Middle Age,jan took them to NYC so that they could experience the city for the first time. 
130,Jan graciously escorted them to New York City so they could encounter the vibrant urban life for the very first time. 👴🏻👵🏻,Old,jan took them to NYC so that they could experience the city for the first time. 
131,---------------,---------------,---------------
132,"Tracy totally freaked out on the couch while binge-watching History Channel because they got major details wrong, like whoa!",Young,Tracy threw a fit on the couch while watching the history channel because they got a lot of details wrong. 
133,"Tracy was extremely upset on the couch while watching the History Channel as they had numerous inaccuracies, which really bothered her.",Middle Age,Tracy threw a fit on the couch while watching the history channel because they got a lot of details wrong. 
134,"Tracy had a mighty tantrum on the sofa while viewing the History Channel as they made a number of mistakes, which she found quite vexing.",Old,Tracy threw a fit on the couch while watching the history channel because they got a lot of details wrong. 
135,---------------,---------------,---------------
136,"Carson was super angry with Lee and his fam, so he decided to hurt Lee real bad.",Young,carson hated lee and his family so he took the risk to injure lee. 
137,"Carson harbored intense animosity towards Lee and his family, leading him to take a reckless risk that could have injured Lee.",Middle Age,carson hated lee and his family so he took the risk to injure lee. 
138,"Carson was consumed by resentment towards Lee and his kin, prompting him to take a dangerous action with the intention of causing harm to Lee.",Old,carson hated lee and his family so he took the risk to injure lee. 
139,---------------,---------------,---------------
140,"Robin totally killed it on the volleyball court and was determined to finish the game, even though she was outside.",Young,Robin stayed outside and tried to finish the game of volleyball she was playing. 
141,"Robin continued playing her game of volleyball even after moving outside, showing her dedication to the sport.",Middle Age,Robin stayed outside and tried to finish the game of volleyball she was playing. 
142,"Robin decided to complete her volleyball game despite being outside, displaying her perseverance and love for the activity.",Old,Robin stayed outside and tried to finish the game of volleyball she was playing. 
143,---------------,---------------,---------------
144,Carson totally freaked out and left Robin's crib after a major blowout.,Young,Carson returned to Robin's house after previously storming out during a huge fight. 
145,Carson had a heated argument with Robin and subsequently left her house in a huff.,Middle Age,Carson returned to Robin's house after previously storming out during a huge fight. 
146,Carson became quite agitated and departed Robin's residence following a fierce confrontation.,Old,Carson returned to Robin's house after previously storming out during a huge fight. 
147,---------------,---------------,---------------
148,"Robin was totally clueless about why she was having such a crappy day, but then she finally figured it out.",Young,Robin didn't know why she was having bad luck but found the answer. 
149,"Robin couldn't understand why she was experiencing such unfortunate events, but after some reflection, she discovered the reason.",Middle Age,Robin didn't know why she was having bad luck but found the answer. 
150,"Robin was perplexed by her run of bad luck, but eventually, she stumbled upon the explanation for her misfortunes.",Old,Robin didn't know why she was having bad luck but found the answer. 
151,---------------,---------------,---------------
152,"Jordan's kid was outgrowing their kicks, so they took them to the shoe spot.",Young,Jordan's son was growing out of their shoes. Jordan took their son to the shoe store. 
153,"Jordan noticed that their son's shoes were getting too small, so they took him to the shoe store to get a proper fit.",Middle Age,Jordan's son was growing out of their shoes. Jordan took their son to the shoe store. 
154,"Jordan's grandson was rapidly outgrowing his footwear, so Jordan took him to the shoe shop for a new pair.",Old,Jordan's son was growing out of their shoes. Jordan took their son to the shoe store. 
155,---------------,---------------,---------------
156,Ash's speech was cut off even though everyone wanted to hear more from him.,Young,ash was cut short even though everyone wanted to hear what ash had to say. 
157,Ash's statement was abruptly ended despite everyone's desire to hear his thoughts.,Middle Age,ash was cut short even though everyone wanted to hear what ash had to say. 
158,"Ash's words were sadly interrupted before he could finish speaking, leaving everyone wanting more.",Old,ash was cut short even though everyone wanted to hear what ash had to say. 
159,---------------,---------------,---------------
160,Jordan was chillin' with her squad and spilled some tea about Ash behind his back to fit in.,Young,Jordan was talking to a group of friends. Jordan talked behind Ash's back to fit in. 
161,Jordan was conversing with a group of pals and shared some gossip about Ash to gain their approval.,Middle Age,Jordan was talking to a group of friends. Jordan talked behind Ash's back to fit in. 
162,Jordan was engaging in a discussion with a circle of acquaintances and whispered some information about Ash to gain their acceptance.,Old,Jordan was talking to a group of friends. Jordan talked behind Ash's back to fit in. 
163,---------------,---------------,---------------
164,"Jordan was trying to impress the girl, so he took her to the shoe store to show off his style and hopefully win her over.",Young,jordan wanted to be nice to a girl so he took her to the shoe store. 
165,"Jordan wanted to make a good impression on the girl, so he suggested going to the shoe store together to find the perfect pair of shoes that would complement her outfit.",Middle Age,jordan wanted to be nice to a girl so he took her to the shoe store. 
166,"Jordan was kind and considerate towards the young lady, taking her to the shoe store to select a nice pair of shoes that would make her happy.",Old,jordan wanted to be nice to a girl so he took her to the shoe store. 
167,---------------,---------------,---------------
168,"Aubrey totally got Remy and was like, super helpful in taking care of him! 😊",Young,Aubrey understood Remy better and met his needs more efficiently as his nurse. 
169,Aubrey had a great understanding of Remy's needs and was able to meet them with impressive efficiency as his nurse. 👏,Middle Age,Aubrey understood Remy better and met his needs more efficiently as his nurse. 
170,Aubrey demonstrated a remarkable ability to comprehend Remy's requirements and provide excellent care as his nurse. Her dedication was truly admirable. 🙏,Old,Aubrey understood Remy better and met his needs more efficiently as his nurse. 
171,---------------,---------------,---------------
172,"Aubrey was like, ""I gotta keep an eye on this little dude all night in case they get a concussion.",Young,Aubrey kept the baby up at night to watch for a concussion. 
173,"Aubrey made sure to monitor the baby's condition throughout the night, vigilant for any signs of a possible concussion.",Middle Age,Aubrey kept the baby up at night to watch for a concussion. 
174,"Aubrey kept a close watch on the baby through the night, worried that they might have suffered a concussion and needing to take appropriate action.",Old,Aubrey kept the baby up at night to watch for a concussion. 
175,---------------,---------------,---------------
176,Robin totally blocked Riley's view of the racy scene in the movie so she wouldn't get embarrassed or whatever.,Young,Robin shut Riley's eyes to the fact that he didn't want her to see the sex scene from the movie. 
177,Robin deliberately shielded Riley's eyes from the explicit content in the film to avoid any discomfort or awkwardness.,Middle Age,Robin shut Riley's eyes to the fact that he didn't want her to see the sex scene from the movie. 
178,"Robin carefully obscured Riley's vision of the suggestive scene in the movie, sparing her the embarrassment and potential distress that such content might cause.",Old,Robin shut Riley's eyes to the fact that he didn't want her to see the sex scene from the movie. 
179,---------------,---------------,---------------
180,"Quinn secretly handed Jordan a surprise gift, giving them a big hug before revealing it.",Young,Quinn wrapped their arms around Jordan before pulling out the gift that they had been hiding. 
181,Quinn warmly embraced Jordan and then discreetly presented them with a thoughtful gift that they had been keeping hidden.,Middle Age,Quinn wrapped their arms around Jordan before pulling out the gift that they had been hiding. 
182,Quinn lovingly enfolded Jordan in their arms before delicately offering them a special present that they had been concealing.,Old,Quinn wrapped their arms around Jordan before pulling out the gift that they had been hiding. 
183,---------------,---------------,---------------
184,Bailey totally crushed Jesse on his driving examination after acing it with ease!,Young,Bailey passed Jesse on his driving examination after he passed with flying colors. 
185,"Bailey performed exceptionally well on his driving test, outdoing Jesse with flying colors.",Middle Age,Bailey passed Jesse on his driving examination after he passed with flying colors. 
186,"Bailey passed his driver's test with distinction, leaving Jesse in the dust.",Old,Bailey passed Jesse on his driving examination after he passed with flying colors. 
187,---------------,---------------,---------------
188,"Austin was totally struggling with that test at first, but he pushed through and did his best.",Young,Austin was taking a test and found it difficult at first. 
189,"Austin encountered some challenges while taking the test, but he persevered and eventually succeeded.",Middle Age,Austin was taking a test and found it difficult at first. 
190,"Austin had a bit of trouble with the test at first, but he kept at it and managed to do well despite the difficulties.",Old,Austin was taking a test and found it difficult at first. 
191,---------------,---------------,---------------
192,"Quinn was totally lit playing and vibin' in the snow, makin' sick snow angels and throwin' snowballs like a boss!",Young,"Quinn was playing and froliking in the snow, making snow angels and snowballs. "
193,"Quinn was having an absolute blast playing and romping in the snow, creating adorable snow angels and tossing snowballs with glee.",Middle Age,"Quinn was playing and froliking in the snow, making snow angels and snowballs. "
194,"Quinn was enjoying a delightful time frolicking in the snow, making charming snow angels and playfully throwing snowballs.",Old,"Quinn was playing and froliking in the snow, making snow angels and snowballs. "
195,---------------,---------------,---------------
196,"Tracy gave my homie some cash when they were in a tight spot, but they didn't follow through on their promise to pay her back.",Young,Tracy gave money to my friend who needed it but failed to by it back as they promised. 
197,"Tracy lent money to my friend who was in need, but they failed to repay the loan as promised.",Middle Age,Tracy gave money to my friend who needed it but failed to by it back as they promised. 
198,"Tracy gave a loan to my acquaintance who was facing financial difficulties, however, they did not keep their promise to return the amount.",Old,Tracy gave money to my friend who needed it but failed to by it back as they promised. 
199,---------------,---------------,---------------
200,"Cameron was totally stoked with Bailey's research paper. Like, she nailed it!",Young,Camerson was grading Bailey's research paper. Cameron felt satisfied with Bailey's work. 
201,Camerson was pleased with Bailey's research paper; the content and structure were impressive.,Middle Age,Camerson was grading Bailey's research paper. Cameron felt satisfied with Bailey's work. 
202,Mr. Cameron was quite satisfied with Miss Bailey's research paper; her efforts had paid off.,Old,Camerson was grading Bailey's research paper. Cameron felt satisfied with Bailey's work. 
203,---------------,---------------,---------------
204,"Skylar was totally bugging out when the bully shoved them in the lunch line, so they poured milk all over the jerk's head! 😡",Young,"Skylar was pushed by the bully in the lunch line, so Skylar poured milk over their head. "
205,"Skylar was upset when the bully pushed them in the lunch line, so they reacted by pouring milk over the other person's head. It was a spontaneous and emotional response.",Middle Age,"Skylar was pushed by the bully in the lunch line, so Skylar poured milk over their head. "
206,"Skylar was rather distressed when the bully shoved them in the lunch line, so they poured milk over the other person's head as a way to cope with their feelings. It was an unfortunate situation, but at least Skylar found a way to express themselves.",Old,"Skylar was pushed by the bully in the lunch line, so Skylar poured milk over their head. "
207,---------------,---------------,---------------
208,"Remy hooked you up with Skylar's Netflix account, so you don't have to shell out cash for your own subscription!",Young,"Remy gave you Skylar account for netflix, so you wouldn't have to pay for your own account. "
209,"Remy kindly offered you access to Skylar's Netflix account, eliminating the need for you to purchase your own membership.",Middle Age,"Remy gave you Skylar account for netflix, so you wouldn't have to pay for your own account. "
210,"Remy was thoughtful enough to provide you with Skylar's Netflix account information, saving you the expense of purchasing your own subscription.",Old,"Remy gave you Skylar account for netflix, so you wouldn't have to pay for your own account. "
211,---------------,---------------,---------------
212,"Skylar was totally absorbed in their phone call while at the park, almost missing out on the breathtaking views.",Young,Skylar was on the phone while at the national park. They lent little attention to the view. 
213,"Skylar was engrossed in their conversation on the phone while at the national park, barely paying attention to the stunning scenery around them.",Middle Age,Skylar was on the phone while at the national park. They lent little attention to the view. 
214,"Skylar was preoccupied with their phone call during their visit to the park, almost neglecting the beautiful views that surrounded them.",Old,Skylar was on the phone while at the national park. They lent little attention to the view. 
215,---------------,---------------,---------------
216,Sydney is a preschool teacher who assisted in tracing Robin's finger movements.,Young,"Sydney works as a preschool teacher, and helped trace Robin's fingers. "
217,"Sydney, a dedicated preschool teacher, helped trace Robin's hand prints.",Middle Age,"Sydney works as a preschool teacher, and helped trace Robin's fingers. "
218,"Sydney, a seasoned educator, aided in tracing Robin's finger outlines.",Old,"Sydney works as a preschool teacher, and helped trace Robin's fingers. "
219,---------------,---------------,---------------
220,Jan was totally expecting a new addition to the family and voila! She delivered a precious princess! 👶❤️,Young,Jan was pregnant and she gave birth to a beautiful baby daughter. 
221,"Jan was thrilled to welcome her adorable baby girl into the world! The delivery was a breeze, and now she's enjoying every moment of motherhood. 😍👧",Middle Age,Jan was pregnant and she gave birth to a beautiful baby daughter. 
222,"Jan was overjoyed to finally hold her new granddaughter in her arms! The birth was a wonderful experience, and she can't wait to spoil this little angel rotten. 💕👵",Old,Jan was pregnant and she gave birth to a beautiful baby daughter. 
223,---------------,---------------,---------------
224,Kendall was totally into house plants and would always overwater them to make sure the fluoride was gone!,Young,Kendall was really into house plants and often pour water in to jars so the fluoride would evaporate out. 
225,Kendall had a thing for house plants and regularly watered them excessively to allow the fluoride to evaporate.,Middle Age,Kendall was really into house plants and often pour water in to jars so the fluoride would evaporate out. 
226,Kendall was quite fond of her house plants and would often water them abundantly to ensure the fluoride dissipated.,Old,Kendall was really into house plants and often pour water in to jars so the fluoride would evaporate out. 
227,---------------,---------------,---------------
228,"Since Skylar would totally be down for it too, Kendall thought about her buddy before making plans.",Young,"Knowing skylar would want to go too, Kendall took Skylar into account. "
229,"As Kendall knew that Skylar would also want to join in, she considered her friend's preferences when planning the activity.",Middle Age,"Knowing skylar would want to go too, Kendall took Skylar into account. "
230,"Since Skylar was definitely on board with the idea, Kendall thought carefully about how to include her in the plans.",Old,"Knowing skylar would want to go too, Kendall took Skylar into account. "
231,---------------,---------------,---------------
232,Aubrey was a badass cop who nailed Casey for speeding in a construction zone.,Young,Aubrey was a police officer. She pulled Casey over for speeding in a construction zone. 
233,"Aubrey, a dedicated police officer, pulled over Casey for driving recklessly in a construction zone.",Middle Age,Aubrey was a police officer. She pulled Casey over for speeding in a construction zone. 
234,"Aubrey, a diligent law enforcement official, stopped Casey for exceeding the speed limit in a hazardous construction area.",Old,Aubrey was a police officer. She pulled Casey over for speeding in a construction zone. 
235,---------------,---------------,---------------
236,Riley totally showed up Jan with the sickest title in the kingdom and threw a lit feast to celebrate! 🎉👑,Young,Riley granted Jan the highest title of the kingdom and celebrated with a feast. 
237,Riley presented Jan with the esteemed highest title of the realm and hosted a grand feast in her honor. 🎉🍴,Middle Age,Riley granted Jan the highest title of the kingdom and celebrated with a feast. 
