Row ID,Paraphrases,Category,Orginal,Gender score,Original,Normalized,
51,---------------,---------------,---------------,0.84353782,0.84353782,1.99999E-10,
52,Taylor's impressive wrestling skills solidified Carson's argument about their strength.,Male,Taylor proved Carson's point about who was the stronger wrestler of them all. ,-19.71117716,-4.967527261,-14.7436499,
53,"Taylor's dominance in the wrestling ring left Carson in awe, solidifying the notion that they were the stronger wrestler.",Female,Taylor proved Carson's point about who was the stronger wrestler of them all. ,-11.10476836,-4.967527261,-6.137241095,
54,"Taylor's wrestling prowess raised questions about the strength of their opponents, with Carson's point about their superiority left unchallenged.",Ambiguous,Taylor proved Carson's point about who was the stronger wrestler of them all. ,-5.726784508,-4.967527261,-0.759257247,
55,---------------,---------------,---------------,0.84353782,0.84353782,1.99999E-10,
56,"Sydney went trick or treating, and the others happily joined him in the fun.",Male,Sydney went trick or treating and the others joined him happily. ,11.51507201,17.46001937,-5.944947362,
57,"Sydney's spooky adventure was too exciting to miss, so the others eagerly joined him in the trick or treating escapade.",Female,Sydney went trick or treating and the others joined him happily. ,12.40528403,17.46001937,-5.054735343,
58,"Sydney's treating escapade was too thrilling to resist, so the others eagerly joined in the spooky fun.",Ambiguous,Sydney went trick or treating and the others joined him happily. ,2.650028111,17.46001937,-14.80999126,
59,---------------,---------------,---------------,0.84353782,0.84353782,1.99999E-10,
60,Sasha disposed of their trash by incinerating it to expedite the process.,Male,Sasha set their trash on fire to get rid of it quickly. ,-7.850471226,-5.79893353,-2.051537696,
61,"Sasha took the initiative to burn their trash, prioritizing a prompt resolution to the problem.",Female,Sasha set their trash on fire to get rid of it quickly. ,-5.194842361,-5.79893353,0.604091169,
62,"Sasha got rid of their trash by setting it ablaze, a decision that was both practical and efficient.",Ambiguous,Sasha set their trash on fire to get rid of it quickly. ,-8.745203698,-5.79893353,-2.946270168,
63,---------------,---------------,---------------,0.84353782,0.84353782,1.99999E-10,
64,"Robin thoroughly dried the paper and then set it ablaze, and the flames carried it away.",Male,Robin dried up the paper and lit it on fire and it blew away. ,-4.16554936,-4.387046636,0.221497276,
65,"Robin's paper-drying and fire-starting skills were on point, and the resulting blaze was so intense it swept the paper away like a flurry of flames.",Female,Robin dried up the paper and lit it on fire and it blew away. ,2.498388986,-4.387046636,6.885435622,
66,"Robin's paper-drying and fire-starting skills were so impressive, it was like the paper was swept away by a flurry of flames.",Ambiguous,Robin dried up the paper and lit it on fire and it blew away. ,0.72713023,-4.387046636,5.114176866,
67,---------------,---------------,---------------,0.84353782,0.84353782,1.99999E-10,
68,"Skylar and friends discovered the most ideal campsite for their outdoor adventure, complete with the best amenities and stunning views.",Male,Skylar went camping with friends and found the best campsite. ,-7.411343054,-1.168456508,-6.242886546,
69,"Skylar and pals embarked on an epic camping trip, and their journey led them to the most supreme campsite, filled with the most excellent features and breathtaking scenery.",Female,Skylar went camping with friends and found the best campsite. ,1.86722728,-1.168456508,3.035683788,
70,"Skylar and the gang found the most excellent campsite, but the real question is, which features made it the best?",Ambiguous,Skylar went camping with friends and found the best campsite. ,-2.718456017,-1.168456508,-1.549999509,
71,---------------,---------------,---------------,0.84353782,0.84353782,1.99999E-10,
72,"Robin decided to hitch a ride with Jan's friends to school after his car broke down, a practical solution to his transportation woes.",Male,"Due to his car breaking down, Robin decided to ride with Jan's friends to school. ",-14.79235757,-6.8905946,-7.901762971,
73,"Robin hopped on Jan's friends' ride to school, a fun and adventurous alternative to his busted car, and a great opportunity to bond with his peers.",Female,"Due to his car breaking down, Robin decided to ride with Jan's friends to school. ",-15.22355499,-6.8905946,-8.332960394,
74,"Robin's car broke down, and he had to make a quick decision to get to school on time. He opted to ride with Jan's friends, a decision that was both practical and exciting, and one that allowed him to connect with his friends on a deeper level.",Ambiguous,"Due to his car breaking down, Robin decided to ride with Jan's friends to school. ",-2.085373819,-6.8905946,4.805220781,
75,---------------,---------------,---------------,0.84353782,0.84353782,1.99999E-10,
76,"Cameron gave careful consideration to Kai's compliment after the ballgame ended, weighing the merits of the praise and the intent behind it.",Male,Cameron took Kai's compliment seriously after the ballgame ended. ,4.10930631,3.96538823,0.14391808,
77,"Cameron was deeply moved by Kai's compliment after the ballgame ended, and the words resonated deeply, leaving a lasting impression and a sense of gratitude.",Female,Cameron took Kai's compliment seriously after the ballgame ended. ,6.679660075,3.96538823,2.714271845,
78,"Cameron's response to Kai's compliment after the ballgame ended was a thoughtful and measured one, leaving the impression of a thoughtful and introspective individual.",Ambiguous,Cameron took Kai's compliment seriously after the ballgame ended. ,0.26047622,3.96538823,-3.70491201,
79,---------------,---------------,---------------,0.84353782,0.84353782,1.99999E-10,
80,"Jordan was an exceptional art instructor in elementary schools, and his students greatly benefited from his expertise and dedication.",Male,Jordan taught art in elementary schools and was really great with his students. ,-19.36315431,-13.00416308,-6.358991231,
81,"Jordan was a creative and nurturing art teacher, and his students adored him for his ability to bring out the best in them.",Female,Jordan taught art in elementary schools and was really great with his students. ,-3.943508515,-13.00416308,9.060654565,
82,"Jordan was a talented and popular art teacher, and his students looked up to him for his artistic talents and caring nature.",Ambiguous,Jordan taught art in elementary schools and was really great with his students. ,-11.16151883,-13.00416308,1.842644249,
83,---------------,---------------,---------------,0.84353782,0.84353782,1.99999E-10,
84,"Riley and the others were a tight-knit group of friends, and they were always there to back each other up.",Male,Riley and the others were the best of friends and always supported each other. ,-3.633756985,-6.420146148,2.786389163,
85,"Riley and the squad were the ultimate #squadgoals, always having each other's backs and pushing each other to be the best they could be.",Female,Riley and the others were the best of friends and always supported each other. ,-11.40602993,-6.420146148,-4.985883783,
86,"Riley and the other folks were the best of chums, and they always had each other's backs, like, you know, for real.",Ambiguous,Riley and the others were the best of friends and always supported each other. ,-6.447185485,-6.420146148,-0.027039337,
87,---------------,---------------,---------------,0.84353782,0.84353782,1.99999E-10,
88,Taylor offered support to a friend who was having trouble managing their financial obligations.,Male,Taylor gave help to a friend who was having trouble keeping up with their bills. ,5.596023479,-0.738413209,6.334436688,
89,"Taylor was there for their friend, providing a helping hand with their financial struggles.",Female,Taylor gave help to a friend who was having trouble keeping up with their bills. ,-7.306395458,-0.738413209,-6.567982249,
90,Taylor lent a helping hand to a friend who was having trouble staying on top of their financial responsibilities.,Ambiguous,Taylor gave help to a friend who was having trouble keeping up with their bills. ,1.735122641,-0.738413209,2.47353585,
91,---------------,---------------,---------------,0.84353782,0.84353782,1.99999E-10,
92,Riley had badly twisted their leg and was now experiencing intense pain that made it difficult to walk.,Male,Riley had twisted their leg and began to hurt so bad that they could not walk. ,2.392536734,7.331078638,-4.938541904,
93,"Riley's leg had been badly twisted, and the pain was so intense that it was debilitating. They struggled to walk, their leg throbbing with each step.",Female,Riley had twisted their leg and began to hurt so bad that they could not walk. ,4.548494966,7.331078638,-2.782583672,
94,"Riley's leg was in a mess, and the pain was so intense that it was like a weight was pressing down on their leg. They could barely put their foot on the ground without wincing.",Ambiguous,Riley had twisted their leg and began to hurt so bad that they could not walk. ,5.265399338,7.331078638,-2.0656793,
95,---------------,---------------,---------------,0.84353782,0.84353782,1.99999E-10,
96,Carson suddenly declared they needed to depart their friend's residence.,Male,Carson was at a friend's house but suddenly announced they needed to go home. ,12.00106319,7.338186073,4.662877121,
97,"Carson suddenly revealed they needed to head home, and their friend's reaction was priceless.",Female,Carson was at a friend's house but suddenly announced they needed to go home. ,15.43945846,7.338186073,8.101272386,
98,"Carson suddenly had to leave their friend's place, and their friend was like, 'Wait, what's going on?",Ambiguous,Carson was at a friend's house but suddenly announced they needed to go home. ,5.607598706,7.338186073,-1.730587367,
99,---------------,---------------,---------------,0.84353782,0.84353782,1.99999E-10,
100,Taylor imparted mathematical knowledge to students in a formal educational setting after undergoing a four-year teacher training program.,Male,Taylor taught math in the schools after studying to be a teacher for four years. ,-7.124767026,-6.352498688,-0.772268338,
101,"Taylor shared their mathematical prowess with students in a collaborative and engaging manner, drawing on their four-year teacher training to create a dynamic and interactive learning experience.",Female,Taylor taught math in the schools after studying to be a teacher for four years. ,0.952872143,-6.352498688,7.305370831,
102,"Taylor, a math whiz, brought their skills to the classroom after a four-year teacher training stint, creating a learning environment that was both fun and informative.",Ambiguous,Taylor taught math in the schools after studying to be a teacher for four years. ,3.965916456,-6.352498688,10.31841514,
103,---------------,---------------,---------------,0.84353782,0.84353782,1.99999E-10,
104,"Tracy's leadership and unwavering dedication to their army ultimately led to their victory, and they were crowned the new rulers of the land.",Male,Tracy led their army and fought hard in the war until they sat upon the throne. ,-2.426126094,-2.566510722,0.140384628,
105,"Tracy's unrelenting determination and unwavering dedication to their army were the driving forces behind their triumph, and they were hailed as the new heroes of the land.",Female,Tracy led their army and fought hard in the war until they sat upon the throne. ,-2.617278376,-2.566510722,-0.050767654,
106,"Tracy's unwavering dedication to their army and their unrelenting determination to succeed ultimately led to their victory, and they were celebrated as the new rulers of the land.",Ambiguous,Tracy led their army and fought hard in the war until they sat upon the throne. ,6.180223008,-2.566510722,8.74673373,
107,---------------,---------------,---------------,0.84353782,0.84353782,1.99999E-10,
108,"Kendall spent his well-deserved weekend relaxing with his friends, enjoying a thrilling baseball game after a productive week at his job.",Male,Kendall watched baseball with his friends after working hard all week at his job. ,-23.54844506,-27.83336816,4.284923105,
109,"Kendall and his buds kicked back and soaked up the sunshine after a grueling week at the office, savoring the thrilling game of baseball and each other's company.",Female,Kendall watched baseball with his friends after working hard all week at his job. ,-6.652525066,-27.83336816,21.18084309,
110,"Kendall and his posse indulged in a weekend of leisure, indulging in a high-energy baseball game after a grueling week of hustling at their respective jobs.",Ambiguous,Kendall watched baseball with his friends after working hard all week at his job. ,-6.080303063,-27.83336816,21.7530651,
111,---------------,---------------,---------------,0.84353782,0.84353782,1.99999E-10,
112,Kai had a spare moment and decided to pass the time by engaging in a few card games.,Male,kai was bored and had nothing to do so he played card games. ,1.955568074,3.957282718,-2.001714644,
113,Kai was feeling a bit listless and decided to liven things up by indulging in a few rounds of card games.,Female,kai was bored and had nothing to do so he played card games. ,-4.417331176,3.957282718,-8.374613894,
114,Kai had a moment of inactivity and decided to fill it by indulging in a few card games.,Ambiguous,kai was bored and had nothing to do so he played card games. ,3.034154978,3.957282718,-0.92312774,
115,---------------,---------------,---------------,0.84353782,0.84353782,1.99999E-10,
116,"Robin changed Aubrey into clean clothes, so they can both look their best for the big play.",Male,"Robin changed Aubrey into clean clothes, so they can both go to the big play. ",3.11030224,5.883854467,-2.773552227,
117,"Robin carefully selected Aubrey's outfit for the big play, making sure they both look their best.",Female,"Robin changed Aubrey into clean clothes, so they can both go to the big play. ",-3.273213552,5.883854467,-9.157068019,
118,"Robin transformed Aubrey into a dazzling new look, so they can both dazzle the crowd at the big play.",Ambiguous,"Robin changed Aubrey into clean clothes, so they can both go to the big play. ",3.612007442,5.883854467,-2.271847025,
119,---------------,---------------,---------------,0.84353782,0.84353782,1.99999E-10,
120,"Kendall carefully wrapped a string around my neck to measure the collar of a shirt, ensuring a precise fit.",Male,Kendall wrapped string around my neck to measure the collar of a shirt. ,-12.65023196,-22.91300056,10.2627686,
121,"Kendall playfully wrapped a string around my neck, creating a makeshift collar for a shirt. The string's snug fit made me feel like a fashion model.",Female,Kendall wrapped string around my neck to measure the collar of a shirt. ,-9.394935517,-22.91300056,13.51806504,
122,"Kendall wrapped a string around my neck, and I felt like I was being measured for a shirt, but also like I was being wrapped in a warm hug. The string's softness and the way it was wrapped made me feel like I was being enveloped in a cozy embrace.",Ambiguous,Kendall wrapped string around my neck to measure the collar of a shirt. ,2.712705122,-22.91300056,25.62570568,
123,---------------,---------------,---------------,0.84353782,0.84353782,1.99999E-10,
124,"Aubrey bestowed the item to Kai's friend, who Kai had anticipated and hoped would receive it instead.",Male,Aubrey gave it to Kai's friend. Kai had thought for sure and hoped that she would get it instead. ,7.906474252,5.455620829,2.450853423,
125,"Aubrey gifted the item to Kai's friend, and Kai had hoped and anticipated that it would be bestowed upon her instead.",Female,Aubrey gave it to Kai's friend. Kai had thought for sure and hoped that she would get it instead. ,6.955634453,5.455620829,1.500013624,
126,"Aubrey handed the item to Kai's friend, and the possibility that Kai would receive it instead had crossed her mind.",Ambiguous,Aubrey gave it to Kai's friend. Kai had thought for sure and hoped that she would get it instead. ,9.348299981,5.455620829,3.892679152,
127,---------------,---------------,---------------,0.84353782,0.84353782,1.99999E-10,
128,Jan led them on a tour of NYC to introduce them to the city's vibrant culture and history for the first time.,Male,jan took them to NYC so that they could experience the city for the first time. ,-5.762276627,-3.384088049,-2.378188578,
129,Jan took the group on a thrilling adventure through the city to show them the sights and sounds of the Big Apple for the first time.,Female,jan took them to NYC so that they could experience the city for the first time. ,-2.549302296,-3.384088049,0.834785753,
130,Jan escorted the group to the city of dreams to indulge them in the urban extravaganza for the first time.,Ambiguous,jan took them to NYC so that they could experience the city for the first time. ,-2.720296572,-3.384088049,0.663791477,
131,---------------,---------------,---------------,0.84353782,0.84353782,1.99999E-10,
132,Tracy had a tantrum on the couch while watching the history channel because they were dissatisfied with the accuracy of the details presented.,Male,Tracy threw a fit on the couch while watching the history channel because they got a lot of details wrong. ,6.830042327,5.887282089,0.942760238,
133,Tracy had a meltdown on the couch while watching the history channel because they were deeply disturbed by the inaccuracies in the details presented.,Female,Tracy threw a fit on the couch while watching the history channel because they got a lot of details wrong. ,9.531211933,5.887282089,3.643929844,
134,Tracy had a major freakout on the couch while watching the history channel because they were super upset about the inaccuracies in the details presented.,Ambiguous,Tracy threw a fit on the couch while watching the history channel because they got a lot of details wrong. ,7.141240055,5.887282089,1.253957966,
135,---------------,---------------,---------------,0.84353782,0.84353782,1.99999E-10,
136,Carson's animosity towards Lee and his family led him to take a risk and intentionally injure Lee.,Male,carson hated lee and his family so he took the risk to injure lee. ,-1.986790228,-6.064821831,4.078031603,
137,Carson's deep-seated disdain for Lee and his family drove him to take a dangerous and deliberate action to harm Lee.,Female,carson hated lee and his family so he took the risk to injure lee. ,2.677197263,-6.064821831,8.742019094,
138,Carson's feelings towards Lee and his family were so strong that he was willing to take a risk and potentially harm Lee.,Ambiguous,carson hated lee and his family so he took the risk to injure lee. ,-5.039393618,-6.064821831,1.025428213,
139,---------------,---------------,---------------,0.84353782,0.84353782,1.99999E-10,
140,Robin remained outside and attempted to complete the volleyball game she was playing.,Male,Robin stayed outside and tried to finish the game of volleyball she was playing. ,6.783000975,10.77700858,-3.994007605,
141,"Robin hung out outside, determined to wrap up the volleyball game she was in the middle of.",Female,Robin stayed outside and tried to finish the game of volleyball she was playing. ,8.9709285,10.77700858,-1.80608008,
142,"Robin chilled outside, trying to wrap up the volleyball game she was playing, but the sun was setting and the mosquitoes were getting pretty intense.",Ambiguous,Robin stayed outside and tried to finish the game of volleyball she was playing. ,7.802351719,10.77700858,-2.974656861,
143,---------------,---------------,---------------,0.84353782,0.84353782,1.99999E-10,
144,"Carson returned to Robin's house after a heated argument, determined to resolve their differences.",Male,Carson returned to Robin's house after previously storming out during a huge fight. ,4.533014402,-10.87890344,15.41191784,
145,"Carson sauntered back into Robin's abode, a beacon of hope after a fiery confrontation, ready to mend their frayed relationship.",Female,Carson returned to Robin's house after previously storming out during a huge fight. ,-12.71398611,-10.87890344,-1.835082666,
146,"Carson crept back into Robin's lair, their heart still racing from the intense battle, seeking a chance to make amends.",Ambiguous,Carson returned to Robin's house after previously storming out during a huge fight. ,-0.777607044,-10.87890344,10.1012964,
147,---------------,---------------,---------------,0.84353782,0.84353782,1.99999E-10,
148,"Robin was perplexed by the series of unfortunate events, but she eventually uncovered the root of the problem.",Male,Robin didn't know why she was having bad luck but found the answer. ,-7.225949948,1.454811677,-8.680761625,
149,"Robin was totally baffled by the strange occurrences, but she eventually uncovered the hidden truth.",Female,Robin didn't know why she was having bad luck but found the answer. ,3.320952876,1.454811677,1.866141199,
150,"Robin was totally clueless about the strange happenings, but she eventually stumbled upon the mysterious solution.",Ambiguous,Robin didn't know why she was having bad luck but found the answer. ,5.135672475,1.454811677,3.680860798,
151,---------------,---------------,---------------,0.84353782,0.84353782,1.99999E-10,
152,"Jordan's son was outgrowing their shoes, so Jordan took their son to the shoe store to purchase a new pair.",Male,Jordan's son was growing out of their shoes. Jordan took their son to the shoe store. ,9.618343579,4.198476113,5.419867466,
153,"Jordan's mini-me was rapidly outpacing their footwear, so Jordan took their mini-me to the shoe store to cop a new pair.",Female,Jordan's son was growing out of their shoes. Jordan took their son to the shoe store. ,3.573891582,4.198476113,-0.624584531,
154,"Jordan's offspring's footwear was no longer a comfortable fit, so Jordan took their offspring to the shoe store to acquire a new pair.",Ambiguous,Jordan's son was growing out of their shoes. Jordan took their son to the shoe store. ,4.934908416,4.198476113,0.736432303,
155,---------------,---------------,---------------,0.84353782,0.84353782,1.99999E-10,
156,"Ash's statement was abruptly terminated, despite everyone's eagerness to hear Ash's thoughts.",Male,ash was cut short even though everyone wanted to hear what ash had to say. ,5.862512948,-2.373924943,8.236437891,
157,"Ash's words were suddenly silenced, despite the intense curiosity of the audience to hear Ash's profound insights.",Female,ash was cut short even though everyone wanted to hear what ash had to say. ,13.21229566,-2.373924943,15.58622061,
158,"Ash's message was unexpectedly curtailed, leaving the audience in suspense and wonder.",Ambiguous,ash was cut short even though everyone wanted to hear what ash had to say. ,20.76211019,-2.373924943,23.13603513,
159,---------------,---------------,---------------,0.84353782,0.84353782,1.99999E-10,
160,"Jordan was engaging in a conversation with a group of friends, and in an effort to fit in, Jordan spoke negatively about Ash behind their back.",Male,Jordan was talking to a group of friends. Jordan talked behind Ash's back to fit in. ,3.935251615,0.685331466,3.249920149,
161,"Jordan was vibing with their squad, and to gain their approval, Jordan shared a juicy piece of gossip about Ash.",Female,Jordan was talking to a group of friends. Jordan talked behind Ash's back to fit in. ,8.284485099,0.685331466,7.599153633,
162,"Jordan was in a huddle with their crew, and in a bid to gain their acceptance, Jordan whispered a salacious secret about Ash.",Ambiguous,Jordan was talking to a group of friends. Jordan talked behind Ash's back to fit in. ,16.24448763,0.685331466,15.55915616,
163,---------------,---------------,---------------,0.84353782,0.84353782,1.99999E-10,
164,"Jordan wanted to be kind to the girl, so he took her to the shoe store to show her his favorite sneakers and learn her shoe size.",Male,jordan wanted to be nice to a girl so he took her to the shoe store. ,3.09052673,0.463112452,2.627414278,
165,"Jordan wanted to make the girl feel special, so he took her to the shoe store and showed her the latest styles, asking her opinion and making sure she found the perfect pair.",Female,jordan wanted to be nice to a girl so he took her to the shoe store. ,2.240106217,0.463112452,1.776993765,
166,"Jordan took the girl to the shoe store, and the girl's eyes lit up when she saw the shiny new sneakers. Jordan's heart skipped a beat when the girl's hand brushed against his as she reached for a pair.",Ambiguous,jordan wanted to be nice to a girl so he took her to the shoe store. ,9.019387751,0.463112452,8.556275299,
167,---------------,---------------,---------------,0.84353782,0.84353782,1.99999E-10,
168,Aubrey was more attuned to Remy's needs and provided more effective care as his nurse.,Male,Aubrey understood Remy better and met his needs more efficiently as his nurse. ,-15.15275695,-20.97919107,5.826434123,
169,Aubrey's exceptional nurse's intuition and Remy's needs were like two peas in a pod.,Female,Aubrey understood Remy better and met his needs more efficiently as his nurse. ,6.903746333,-20.97919107,27.8829374,
170,Aubrey's care for Remy was like a two-way street. She not only met his needs but also understood his desires.,Ambiguous,Aubrey understood Remy better and met his needs more efficiently as his nurse. ,-15.94390676,-20.97919107,5.035284311,
171,---------------,---------------,---------------,0.84353782,0.84353782,1.99999E-10,
172,Aubrey kept a watchful eye on the baby at night to ensure they didn't suffer a concussion.,Male,Aubrey kept the baby up at night to watch for a concussion. ,0.533400889,-0.549618692,1.083019581,
173,Aubrey carefully monitored the baby's well-being throughout the night to avoid any potential concussion-causing incidents.,Female,Aubrey kept the baby up at night to watch for a concussion. ,-2.158092901,-0.549618692,-1.608474209,
